"","CRC.TITLE","CRC.REL.SCORE","CRC.MATCHED.GENES","CRC.TOTAL.GENES"
"hsa05210","Colorectal cancer",166.1,43,70
"hsa05213","Endometrial cancer",166.1,30,61
"hsa05221","Acute myeloid leukemia",166.1,21,60
"hsa05218","Melanoma",166.1,28,78
"hsa05215","Prostate cancer",166.1,38,95
"hsa05223","Non-small cell lung cancer",166.1,24,59
"hsa05214","Glioma",166.1,25,67
"hsa05205","Proteoglycans in cancer",166.1,64,221
"hsa05200","Pathways in cancer",166.1,111,426
"hsa04620","Toll-like receptor signaling pathway",166.1,21,114
"hsa05142","Chagas disease (American trypanosomiasis)",166.1,33,110
"hsa05161","Hepatitis B",166.1,51,154
"hsa05211","Renal cell carcinoma",162.79,23,80
"hsa04722","Neurotrophin signaling pathway",162.79,25,125
"hsa04060","Cytokine-cytokine receptor interaction",150.44,31,282
"hsa04151","PI3K-Akt signaling pathway",142.11,62,365
"hsa05212","Pancreatic cancer",139.81,33,72
"hsa05220","Chronic myeloid leukemia",139.81,30,76
"hsa05166","HTLV-I infection",139.68,56,282
"hsa04068","FoxO signaling pathway",119.5,40,139
"hsa05219","Bladder cancer",116.65,28,42
"hsa05206","MicroRNAs in cancer",110.97,50,308
"hsa04917","Prolactin signaling pathway",108.18,21,78
"hsa04910","Insulin signaling pathway",107.69,18,158
"hsa04931","Insulin resistance",107.69,15,114
"hsa04150","mTOR signaling pathway",107.69,15,63
"hsa04012","ErbB signaling pathway",103.26,27,96
"hsa04510","Focal adhesion",102.86,40,227
"hsa04512","ECM-receptor interaction",102.86,4,91
"hsa04115","p53 signaling pathway",97.35,28,73
"hsa04912","GnRH signaling pathway",94.28,16,95
"hsa04750","Inflammatory mediator regulation of TRP channels",94.28,11,104
"hsa04915","Estrogen signaling pathway",94.28,22,112
"hsa04310","Wnt signaling pathway",93.13,31,151
"hsa05168","Herpes simplex infection",92.77,23,192
"hsa05162","Measles",92.77,27,140
"hsa05164","Influenza A",92.77,30,183
"hsa04215","Apoptosis",90.19,25,91
"hsa04550","Signaling pathways regulating pluripotency of stemcells",88.43,34,157
"hsa04390","Hippo signaling pathway",81.52,33,168
"hsa04015","Rap1 signaling pathway",79.66,37,229
"hsa04014","Ras signaling pathway",79.66,35,249
"hsa04110","Cell cycle",78.2,29,132
"hsa05203","Viral carcinogenesis",77.47,35,216
"hsa04066","HIF-1 signaling pathway",76.15,28,119
"hsa04010","MAPK signaling pathway",75.41,35,272
"hsa05140","Leishmaniasis",74.92,16,77
"hsa05145","Toxoplasmosis",74.92,27,124
"hsa05222","Small cell lung cancer",73.41,25,91
"hsa04668","TNF signaling pathway",72.76,27,117
"hsa04520","Adherens junction",68.71,23,81
"hsa05216","Thyroid cancer",67.6,17,30
"hsa04370","VEGF signaling pathway",67.2,19,67
"hsa04664","Fc epsilon RI signaling pathway",67.2,15,77
"hsa05152","Tuberculosis",62.88,29,186
"hsa03050","Proteasome",62.58,1,48
"hsa05217","Basal cell carcinoma",62.29,16,62
"hsa04916","Melanogenesis",62.29,22,103
"hsa04340","Hedgehog signaling pathway",62.29,6,53
"hsa04660","T cell receptor signaling pathway",62.14,21,116
"hsa04662","B cell receptor signaling pathway",62.14,16,77
"hsa05320","Autoimmune thyroid disease",61.79,6,58
"hsa04940","Type I diabetes mellitus",61.79,7,47
"hsa04672","Intestinal immune network for IgA production",61.79,5,52
"hsa04612","Antigen processing and presentation",61.79,6,81
"hsa05310","Asthma",61.79,1,35
"hsa05416","Viral myocarditis",61.79,8,64
"hsa05330","Allograft rejection",61.79,7,41
"hsa05332","Graft-versus-host disease",61.79,8,45
"hsa05321","Inflammatory bowel disease (IBD)",61.79,14,67
"hsa04071","Sphingolipid signaling pathway",61.61,25,129
"hsa04350","TGF-beta signaling pathway",60.64,22,92
"hsa05010","Alzheimers disease",57.78,16,177
"hsa04932","Non-alcoholic fatty liver disease (NAFLD)",57.78,27,160
"hsa05160","Hepatitis C",56.21,24,136
"hsa05202","Transcriptional misregulation in cancer",54.28,27,196
"hsa04650","Natural killer cell mediated cytotoxicity",53,24,144
"hsa05230","Central carbon metabolism in cancer",52,19,81
"hsa04330","Notch signaling pathway",51.42,3,51
"hsa04919","Thyroid hormone signaling pathway",51.42,22,125
"hsa05231","Choline metabolism in cancer",51,21,113
"hsa04062","Chemokine signaling pathway",49.42,23,199
"hsa04114","Oocyte meiosis",48.91,13,118
"hsa04914","Progesterone-mediated oocyte maturation",48.91,20,91
"hsa05169","Epstein-Barr virus infection",48.14,26,214
"hsa04380","Osteoclast differentiation",44.72,21,141
"hsa04630","Jak-STAT signaling pathway",39.81,21,169
"hsa05146","Amoebiasis",39.77,18,115
"hsa04621","NOD-like receptor signaling pathway",38.5,10,57
"hsa05133","Pertussis",37.31,15,79
"hsa03430","Mismatch repair",36.79,9,28
"hsa03030","DNA replication",36.67,3,42
