"","LAML.TITLE","LAML.REL.SCORE","LAML.MATCHED.GENES","LAML.TOTAL.GENES"
"hsa05202","Transcriptional misregulation in cancer",114.56,36,196
"hsa04640","Hematopoietic cell lineage",113.06,29,94
"hsa05200","Pathways in cancer",109.99,45,426
"hsa04060","Cytokine-cytokine receptor interaction",94.35,21,282
"hsa05210","Colorectal cancer",88.06,10,70
"hsa05213","Endometrial cancer",88.06,7,61
"hsa05221","Acute myeloid leukemia",88.06,21,60
"hsa04630","Jak-STAT signaling pathway",71.93,25,169
"hsa05166","HTLV-I infection",65.45,28,282
"hsa05212","Pancreatic cancer",60.16,9,72
"hsa05220","Chronic myeloid leukemia",60.16,17,76
"hsa04620","Toll-like receptor signaling pathway",57.54,9,114
"hsa05142","Chagas disease (American trypanosomiasis)",57.54,9,110
"hsa05161","Hepatitis B",57.54,21,154
"hsa04151","PI3K-Akt signaling pathway",55.95,28,365
"hsa04917","Prolactin signaling pathway",51.42,11,78
"hsa05211","Renal cell carcinoma",50.68,10,80
"hsa04722","Neurotrophin signaling pathway",50.68,12,125
"hsa05168","Herpes simplex infection",49.54,18,192
"hsa05162","Measles",49.54,10,140
"hsa05164","Influenza A",49.54,14,183
"hsa05034","Alcoholism",49.09,7,184
"hsa05322","Systemic lupus erythematosus",49.09,6,142
"hsa05320","Autoimmune thyroid disease",43.04,6,58
"hsa04940","Type I diabetes mellitus",43.04,7,47
"hsa04672","Intestinal immune network for IgA production",43.04,7,52
"hsa04612","Antigen processing and presentation",43.04,6,81
"hsa05310","Asthma",43.04,2,35
"hsa05416","Viral myocarditis",43.04,7,64
"hsa05330","Allograft rejection",43.04,7,41
"hsa05332","Graft-versus-host disease",43.04,8,45
"hsa05321","Inflammatory bowel disease (IBD)",43.04,7,67
"hsa04660","T cell receptor signaling pathway",42.71,14,116
"hsa04662","B cell receptor signaling pathway",42.71,9,77
"hsa05169","Epstein-Barr virus infection",41.88,19,214
"hsa05203","Viral carcinogenesis",41.65,19,216
"hsa04012","ErbB signaling pathway",39.41,12,96
