Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes
prerank,hsa05322,0.6809488610424916,3.129400766888507,0.0,0.0,0.0,64/113,16.62%,hsa8349;hsa8336;hsa3017;hsa8337;hsa3012;hsa85236;hsa9555;hsa8347;hsa8364;hsa8343;hsa3018;hsa8345;hsa8346;hsa8362;hsa8341;hsa8350;hsa81;hsa8366;hsa8355;hsa6628;hsa8361;hsa3021;hsa8344;hsa8339;hsa3013;hsa8331;hsa8363;hsa8351;hsa8334;hsa8332;hsa8367;hsa6634;hsa8348;hsa712;hsa8329;hsa54145;hsa2209;hsa8360;hsa8354;hsa8330;hsa958;hsa3458;hsa713;hsa3014;hsa718;hsa2904;hsa1991;hsa942;hsa6737;hsa8359;hsa941;hsa8357;hsa3123;hsa3108;hsa714;hsa8342;hsa3113;hsa3115;hsa2903;hsa255626;hsa55506;hsa8968;hsa3126;hsa732
prerank,hsa04613,0.5647915203040607,2.7759804808968465,0.0,0.0,0.0,75/170,16.22%,hsa8349;hsa8336;hsa3017;hsa8337;hsa3012;hsa85236;hsa9555;hsa8347;hsa8364;hsa8343;hsa3018;hsa8345;hsa8346;hsa8362;hsa8341;hsa8350;hsa8366;hsa8355;hsa8361;hsa3021;hsa8344;hsa292;hsa8339;hsa1182;hsa3013;hsa8331;hsa8363;hsa2359;hsa8351;hsa8334;hsa8332;hsa8367;hsa5295;hsa8348;hsa5291;hsa5600;hsa8329;hsa54145;hsa2209;hsa8360;hsa8354;hsa4353;hsa8330;hsa366;hsa1184;hsa6850;hsa7097;hsa728;hsa51564;hsa4689;hsa3014;hsa60;hsa718;hsa293;hsa10014;hsa1991;hsa64581;hsa79792;hsa8359;hsa8357;hsa1536;hsa4688;hsa8342;hsa51311;hsa51284;hsa3066;hsa7099;hsa566;hsa8841;hsa255626;hsa1535;hsa55506;hsa834;hsa10105;hsa8968
prerank,hsa05034,0.5578260516329034,2.7278234972307662,0.0,0.0,0.0,68/169,16.50%,hsa2354;hsa8349;hsa8336;hsa3017;hsa8337;hsa3012;hsa85236;hsa9555;hsa8347;hsa8364;hsa8343;hsa3018;hsa8345;hsa8346;hsa8362;hsa8341;hsa8350;hsa8366;hsa8355;hsa2782;hsa8361;hsa3021;hsa8344;hsa8339;hsa2885;hsa3013;hsa3845;hsa8331;hsa8363;hsa8351;hsa8334;hsa90993;hsa8332;hsa8367;hsa2030;hsa8348;hsa8329;hsa59345;hsa54145;hsa2773;hsa6655;hsa8360;hsa84152;hsa8354;hsa8330;hsa54331;hsa51564;hsa3014;hsa5173;hsa148327;hsa808;hsa2904;hsa10014;hsa2787;hsa1388;hsa8359;hsa8357;hsa6654;hsa8342;hsa3066;hsa2778;hsa8841;hsa2903;hsa255626;hsa55506;hsa55315;hsa8968;hsa1813
prerank,hsa05168,-0.5356423259818681,-2.5643162232321157,0.0,0.0,0.0,173/463,12.96%,hsa7559;hsa57343;hsa284406;hsa147837;hsa7561;hsa7539;hsa147923;hsa126017;hsa7637;hsa7596;hsa7768;hsa57541;hsa90075;hsa9668;hsa57711;hsa55900;hsa126231;hsa163131;hsa55552;hsa7556;hsa342909;hsa57335;hsa80818;hsa163255;hsa199704;hsa148268;hsa7549;hsa80095;hsa51710;hsa163049;hsa84527;hsa5290;hsa284307;hsa79891;hsa5293;hsa163051;hsa90321;hsa147660;hsa90594;hsa10172;hsa79744;hsa84911;hsa3551;hsa22835;hsa115509;hsa10520;hsa284390;hsa7562;hsa7673;hsa147694;hsa6940;hsa7773;hsa7594;hsa284349;hsa284323;hsa101060200;hsa7733;hsa10795;hsa345462;hsa126068;hsa389114;hsa80264;hsa26152;hsa390927;hsa7752;hsa90592;hsa390980;hsa84775;hsa7625;hsa65251;hsa284370;hsa92595;hsa170959;hsa55659;hsa342892;hsa57547;hsa339559;hsa10838;hsa140612;hsa342908;hsa146198;hsa56242;hsa136051;hsa163050;hsa7582;hsa126375;hsa7700;hsa7766;hsa388567;hsa10929;hsa7770;hsa25799;hsa10780;hsa5500;hsa163087;hsa84924;hsa339327;hsa91120;hsa146434;hsa54925;hsa388566;hsa162655;hsa727;hsa79818;hsa26149;hsa199692;hsa7769;hsa7187;hsa93134;hsa83744;hsa100131017;hsa79088;hsa59348;hsa330;hsa7571;hsa201514;hsa10224;hsa57677;hsa356;hsa126295;hsa57209;hsa6885;hsa7988;hsa219749;hsa7248;hsa581;hsa26974;hsa51427;hsa58500;hsa7638;hsa7569;hsa7699;hsa7587;hsa6426;hsa163227;hsa51276;hsa1965;hsa80110;hsa374899;hsa84874;hsa284306;hsa7767;hsa440515;hsa84436;hsa22869;hsa5501;hsa55762;hsa7581;hsa125893;hsa90333;hsa7755;hsa55769;hsa162966;hsa9831;hsa8740;hsa342926;hsa79788;hsa57232;hsa148266;hsa7592;hsa30832;hsa7692;hsa93474;hsa7639;hsa3593;hsa63934;hsa7743;hsa91975;hsa79175;hsa7772;hsa81931;hsa728927;hsa10379
prerank,hsa05203,0.4903193178312209,2.4307856014283398,0.0,0.0,0.0,62/194,9.92%,hsa3725;hsa8349;hsa3017;hsa85236;hsa5366;hsa8347;hsa7531;hsa6672;hsa8364;hsa8343;hsa3018;hsa8345;hsa8346;hsa8362;hsa8341;hsa81;hsa8366;hsa8361;hsa1026;hsa8344;hsa8339;hsa7533;hsa2885;hsa1108;hsa3845;hsa8363;hsa9114;hsa6774;hsa5966;hsa90993;hsa8367;hsa5295;hsa8348;hsa4067;hsa387;hsa983;hsa991;hsa5291;hsa894;hsa5925;hsa6776;hsa2033;hsa2967;hsa54145;hsa1021;hsa3516;hsa8360;hsa9134;hsa8517;hsa3716;hsa6850;hsa3661;hsa10971;hsa51564;hsa9261;hsa23352;hsa8900;hsa1654;hsa718;hsa148327;hsa1642;hsa10014
prerank,hsa05140,0.5489223097638254,2.3460439329984237,0.0,0.0,0.0,37/73,22.30%,hsa3725;hsa2353;hsa3459;hsa3460;hsa3688;hsa4615;hsa3717;hsa5600;hsa5777;hsa2209;hsa3716;hsa7097;hsa3458;hsa9103;hsa4689;hsa1915;hsa718;hsa3123;hsa3108;hsa1536;hsa4688;hsa3113;hsa23118;hsa7099;hsa3115;hsa7042;hsa1535;hsa3592;hsa3126;hsa2002;hsa65108;hsa653361;hsa1379;hsa5970;hsa4792;hsa3122;hsa3684
prerank,hsa04145,0.48048818614319816,2.272192950721442,0.0,0.0,0.0,62/144,20.10%,hsa7846;hsa7280;hsa10381;hsa10952;hsa84617;hsa3920;hsa533;hsa811;hsa9114;hsa51382;hsa3688;hsa8411;hsa948;hsa949;hsa2209;hsa8685;hsa5878;hsa4353;hsa200576;hsa10333;hsa1778;hsa9146;hsa7097;hsa9103;hsa537;hsa527;hsa84790;hsa4689;hsa4074;hsa60;hsa718;hsa1520;hsa51143;hsa929;hsa821;hsa64581;hsa5869;hsa23480;hsa5289;hsa3678;hsa3123;hsa3108;hsa10376;hsa1536;hsa4688;hsa3113;hsa7099;hsa3115;hsa1535;hsa523;hsa4360;hsa4481;hsa3126;hsa5868;hsa245972;hsa2204;hsa2213;hsa653361;hsa55176;hsa8417;hsa9341;hsa81035
prerank,hsa04142,0.46026600875400564,2.1622800996336964,0.0,0.0003326874139098359,0.001,59/128,21.16%,hsa3920;hsa967;hsa2519;hsa9741;hsa533;hsa79158;hsa411;hsa1200;hsa8943;hsa2717;hsa5476;hsa968;hsa1777;hsa9114;hsa950;hsa1176;hsa2720;hsa1509;hsa1508;hsa54;hsa23659;hsa3988;hsa4126;hsa1519;hsa53;hsa537;hsa527;hsa5660;hsa6556;hsa10577;hsa427;hsa4074;hsa1520;hsa4758;hsa9179;hsa1213;hsa3423;hsa5538;hsa1512;hsa11154;hsa2760;hsa2799;hsa4125;hsa4668;hsa138050;hsa4891;hsa3074;hsa245972;hsa8372;hsa130340;hsa2548;hsa55353;hsa57192;hsa9476;hsa1511;hsa8905;hsa51172;hsa1521;hsa8692
prerank,hsa05323,0.47196712994440115,2.0841995511165825,0.0,0.0008733044615133192,0.003,30/88,16.60%,hsa3725;hsa2353;hsa533;hsa3589;hsa10673;hsa3606;hsa9114;hsa51382;hsa284;hsa54;hsa8741;hsa7097;hsa3458;hsa537;hsa527;hsa7422;hsa942;hsa941;hsa3123;hsa3108;hsa6352;hsa6347;hsa3576;hsa3113;hsa7099;hsa3115;hsa7042;hsa523;hsa3126;hsa245972
prerank,hsa05132,0.38703837247128553,2.0083818005710086,0.0,0.002587568774854279,0.01,79/245,16.94%,hsa3725;hsa9266;hsa2353;hsa5788;hsa388;hsa54205;hsa7846;hsa7280;hsa10381;hsa84617;hsa10097;hsa3799;hsa7295;hsa23191;hsa3606;hsa4615;hsa8797;hsa387;hsa5291;hsa5600;hsa5287;hsa2597;hsa10095;hsa29108;hsa375;hsa10094;hsa5606;hsa5294;hsa10006;hsa5878;hsa7184;hsa6934;hsa7132;hsa10096;hsa23643;hsa8517;hsa382;hsa10333;hsa1778;hsa7097;hsa5058;hsa84790;hsa257397;hsa9844;hsa1639;hsa6281;hsa8767;hsa4074;hsa60;hsa653857;hsa51143;hsa8976;hsa929;hsa112574;hsa3071;hsa5869;hsa6188;hsa79792;hsa6500;hsa5289;hsa64746;hsa10376;hsa4646;hsa83658;hsa10540;hsa3576;hsa23339;hsa27128;hsa23118;hsa7099;hsa1785;hsa6237;hsa834;hsa64837;hsa5868;hsa4671;hsa83657;hsa6993;hsa51626
