Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes
prerank,hsa00190,-0.5487040586408125,-2.284842120731723,0.0,0.0,0.0,60/126,21.41%,hsa4723;hsa374291;hsa513;hsa516;hsa4728;hsa54539;hsa4696;hsa9551;hsa4713;hsa9114;hsa533;hsa1347;hsa10975;hsa4726;hsa1337;hsa4710;hsa4731;hsa4701;hsa9296;hsa245973;hsa1339;hsa27089;hsa1537;hsa534;hsa4704;hsa506;hsa527;hsa1351;hsa1329;hsa1346;hsa509;hsa4719;hsa56901;hsa4695;hsa51606;hsa529;hsa535;hsa4711;hsa29796;hsa4697;hsa1349;hsa7384;hsa1340;hsa498;hsa51079;hsa4708;hsa522;hsa4717;hsa155066;hsa126328;hsa10312;hsa537;hsa528;hsa4716;hsa6390;hsa9550;hsa4702;hsa4698;hsa7385;hsa64077
prerank,hsa04392,0.638112854255931,2.2447545919095377,0.0,0.0012940567502705757,0.001,13/28,11.67%,hsa9770;hsa10413;hsa25937;hsa83937;hsa6788;hsa26524;hsa7003;hsa60485;hsa79633;hsa8994;hsa55233;hsa7005;hsa9113
prerank,hsa04740,0.46136313541555896,2.1974531112460656,0.0,0.0006470283751352879,0.001,59/125,22.31%,hsa26532;hsa144124;hsa158131;hsa442184;hsa4992;hsa26659;hsa143503;hsa79339;hsa26338;hsa4993;hsa1261;hsa26716;hsa5593;hsa26683;hsa390063;hsa5592;hsa390066;hsa120065;hsa120066;hsa81797;hsa124538;hsa135946;hsa5137;hsa282763;hsa390058;hsa26188;hsa390064;hsa81697;hsa26496;hsa81696;hsa8388;hsa26689;hsa26476;hsa56656;hsa26648;hsa79345;hsa26595;hsa283159;hsa26740;hsa26245;hsa26219;hsa283160;hsa6547;hsa8590;hsa23538;hsa81285;hsa8387;hsa26539;hsa8390;hsa26246;hsa26339;hsa5568;hsa282775;hsa79541;hsa57101;hsa401427;hsa138804;hsa26493;hsa8383
prerank,hsa04721,-0.5627922684058466,-2.1580415350924658,0.0,0.0,0.0,36/77,18.56%,hsa1759;hsa22999;hsa773;hsa57030;hsa1173;hsa10814;hsa10815;hsa6812;hsa8775;hsa9114;hsa533;hsa112755;hsa161;hsa774;hsa9296;hsa23025;hsa6511;hsa245973;hsa5864;hsa534;hsa527;hsa57084;hsa1175;hsa6616;hsa51606;hsa1212;hsa6844;hsa529;hsa535;hsa8218;hsa140679;hsa6804;hsa155066;hsa10312;hsa6505;hsa528
prerank,hsa04723,-0.4982152534489781,-2.1002022354256416,0.0,0.0,0.0,62/144,21.60%,hsa4723;hsa22999;hsa374291;hsa4728;hsa773;hsa54539;hsa57030;hsa4696;hsa2166;hsa4713;hsa115;hsa2563;hsa775;hsa2783;hsa5595;hsa221955;hsa2785;hsa10681;hsa4726;hsa2557;hsa4710;hsa5582;hsa774;hsa4731;hsa4701;hsa5600;hsa2890;hsa776;hsa2566;hsa4704;hsa2554;hsa57084;hsa2790;hsa4719;hsa56901;hsa4695;hsa94235;hsa2556;hsa4711;hsa2782;hsa140679;hsa2562;hsa4697;hsa3763;hsa51764;hsa51079;hsa4708;hsa2561;hsa2558;hsa5602;hsa2911;hsa4717;hsa126328;hsa2915;hsa2555;hsa2788;hsa4716;hsa3765;hsa4702;hsa4698;hsa2893;hsa54331
prerank,hsa03050,-0.6004044450758199,-2.094606434080384,0.0,0.0,0.0,22/45,23.47%,hsa5699;hsa11047;hsa5714;hsa5691;hsa10213;hsa5704;hsa9491;hsa5695;hsa5694;hsa10197;hsa5686;hsa5707;hsa5692;hsa5693;hsa5700;hsa5701;hsa5688;hsa5718;hsa5683;hsa5719;hsa5685;hsa9861
prerank,hsa04061,0.45660136646793686,2.0939301157036616,0.0,0.0008627045001803838,0.002,45/96,28.77%,hsa3570;hsa7852;hsa8795;hsa57007;hsa6347;hsa1234;hsa6355;hsa29949;hsa3572;hsa6387;hsa6364;hsa1233;hsa7132;hsa6375;hsa4283;hsa2829;hsa50604;hsa1230;hsa2920;hsa3587;hsa3627;hsa3560;hsa6351;hsa1236;hsa3576;hsa729230;hsa1237;hsa6360;hsa8797;hsa6348;hsa8793;hsa6356;hsa6846;hsa4049;hsa27178;hsa3561;hsa3569;hsa8740;hsa6354;hsa2919;hsa6357;hsa10563;hsa53832;hsa6370;hsa6367
prerank,hsa05016,-0.4637092449889301,-2.0915467257630205,0.0,0.0,0.0,135/292,27.63%,hsa4723;hsa374291;hsa5441;hsa513;hsa2902;hsa5438;hsa10382;hsa516;hsa4728;hsa54539;hsa3064;hsa1173;hsa4696;hsa4713;hsa11047;hsa5714;hsa10121;hsa5432;hsa10120;hsa1347;hsa10975;hsa4726;hsa161;hsa1337;hsa4710;hsa10383;hsa774;hsa4731;hsa581;hsa4701;hsa2876;hsa1639;hsa5691;hsa2890;hsa1770;hsa10213;hsa10381;hsa64837;hsa146754;hsa1339;hsa27089;hsa1537;hsa5704;hsa11258;hsa293;hsa7846;hsa5695;hsa23130;hsa4704;hsa506;hsa60673;hsa10488;hsa5694;hsa1351;hsa7280;hsa1329;hsa1175;hsa1346;hsa89953;hsa9519;hsa7277;hsa203068;hsa2878;hsa509;hsa4719;hsa56901;hsa4695;hsa5686;hsa3798;hsa1212;hsa10126;hsa4711;hsa5707;hsa8218;hsa29796;hsa4697;hsa26100;hsa1349;hsa7384;hsa1340;hsa5439;hsa5692;hsa498;hsa51079;hsa291;hsa5693;hsa6804;hsa4708;hsa5434;hsa5602;hsa4899;hsa522;hsa4717;hsa126328;hsa5700;hsa2915;hsa84699;hsa7416;hsa8632;hsa4716;hsa5701;hsa5688;hsa6390;hsa5718;hsa4702;hsa4698;hsa7385;hsa2893;hsa5683;hsa5440;hsa5719;hsa5609;hsa5685;hsa54205;hsa4724;hsa515;hsa9861;hsa3066;hsa5468;hsa2892;hsa518;hsa6389;hsa836;hsa10376;hsa23186;hsa4705;hsa5709;hsa4294;hsa7278;hsa4700;hsa5436;hsa4714;hsa1211;hsa163;hsa9377
prerank,hsa05012,-0.46807462779489467,-2.0789621068392106,0.0,0.00044518324882892685,0.003,120/239,26.88%,hsa4723;hsa374291;hsa513;hsa10382;hsa516;hsa10131;hsa4728;hsa54539;hsa4696;hsa4713;hsa11047;hsa5714;hsa1347;hsa10975;hsa4726;hsa1337;hsa4710;hsa10383;hsa4731;hsa581;hsa4701;hsa5691;hsa10213;hsa10381;hsa64837;hsa1339;hsa5413;hsa27089;hsa1537;hsa5704;hsa293;hsa7846;hsa5695;hsa4704;hsa65018;hsa506;hsa5694;hsa1351;hsa7280;hsa1329;hsa7314;hsa120892;hsa1346;hsa2778;hsa89953;hsa816;hsa7277;hsa203068;hsa509;hsa4719;hsa56901;hsa4695;hsa5686;hsa9246;hsa2774;hsa7316;hsa3798;hsa7311;hsa817;hsa7317;hsa51806;hsa4711;hsa4137;hsa5707;hsa1965;hsa29796;hsa4697;hsa1349;hsa7384;hsa1340;hsa5692;hsa498;hsa25828;hsa11315;hsa51079;hsa291;hsa5693;hsa808;hsa118424;hsa4708;hsa5602;hsa522;hsa163688;hsa598;hsa4717;hsa126328;hsa5700;hsa7332;hsa7326;hsa7416;hsa4716;hsa5701;hsa5688;hsa6390;hsa5718;hsa7295;hsa6622;hsa4702;hsa4698;hsa7385;hsa7345;hsa5683;hsa5719;hsa5685;hsa54205;hsa4724;hsa515;hsa9861;hsa5567;hsa7054;hsa518;hsa6389;hsa22926;hsa836;hsa10376;hsa4705;hsa5709;hsa7278;hsa2771;hsa4700
prerank,hsa00970,-0.5904383629440974,-2.062212916811486,0.0,0.00038158564185336585,0.003,26/44,22.29%,hsa7407;hsa54938;hsa5859;hsa57176;hsa4677;hsa57505;hsa16;hsa3035;hsa6301;hsa8565;hsa7453;hsa2193;hsa51067;hsa118672;hsa123283;hsa123263;hsa57038;hsa23395;hsa4141;hsa51520;hsa55699;hsa5188;hsa3735;hsa10667;hsa833;hsa3376
