Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes
prerank,hsa05012,-0.6359644794910525,-2.8207211639651053,0.0,0.0,0.0,131/239,14.78%,hsa4705;hsa51079;hsa5710;hsa5719;hsa11315;hsa1340;hsa4725;hsa5689;hsa5691;hsa5700;hsa29796;hsa203068;hsa7345;hsa4726;hsa10383;hsa10381;hsa4729;hsa4723;hsa5705;hsa84790;hsa10376;hsa7979;hsa374291;hsa6389;hsa7311;hsa5713;hsa293;hsa7316;hsa4694;hsa4695;hsa4700;hsa1327;hsa5682;hsa65018;hsa506;hsa5692;hsa4722;hsa5702;hsa539;hsa3831;hsa90550;hsa7278;hsa1329;hsa5717;hsa816;hsa1351;hsa126328;hsa5708;hsa4710;hsa5694;hsa509;hsa468;hsa7385;hsa291;hsa4702;hsa5718;hsa4704;hsa5693;hsa515;hsa7417;hsa54539;hsa7332;hsa7317;hsa4706;hsa7386;hsa7280;hsa517;hsa10213;hsa5709;hsa10131;hsa4697;hsa55669;hsa5714;hsa815;hsa1649;hsa27429;hsa7388;hsa5683;hsa7416;hsa498;hsa4716;hsa4712;hsa518;hsa292;hsa5707;hsa805;hsa7277;hsa6391;hsa4711;hsa1345;hsa801;hsa5715;hsa7384;hsa7419;hsa5684;hsa7314;hsa4696;hsa522;hsa6390;hsa513;hsa6233;hsa4731;hsa5695;hsa7295;hsa6622;hsa9927;hsa516;hsa143471;hsa7846;hsa1346;hsa9861;hsa4714;hsa10476;hsa118424;hsa4718;hsa10105;hsa2773;hsa5690;hsa808;hsa5688;hsa51807;hsa581;hsa27089;hsa5601;hsa4129;hsa1349;hsa4715;hsa5704;hsa5701;hsa55967;hsa2778
prerank,hsa03010,-0.6664372780867125,-2.751926413067358,0.0,0.0,0.0,92/129,19.82%,hsa65005;hsa2197;hsa51264;hsa54460;hsa51373;hsa6124;hsa79590;hsa64979;hsa6209;hsa6231;hsa51081;hsa7311;hsa6143;hsa6159;hsa55052;hsa6183;hsa6181;hsa64983;hsa6122;hsa6150;hsa63931;hsa64965;hsa64928;hsa6147;hsa6139;hsa6134;hsa6130;hsa6129;hsa54948;hsa6182;hsa6166;hsa6168;hsa6175;hsa6128;hsa6132;hsa6142;hsa6171;hsa6135;hsa6218;hsa6205;hsa63875;hsa10573;hsa11224;hsa6208;hsa6152;hsa4736;hsa28998;hsa29088;hsa29074;hsa6201;hsa6189;hsa6169;hsa9045;hsa51187;hsa23521;hsa6224;hsa6204;hsa51116;hsa29093;hsa6133;hsa6161;hsa6223;hsa6229;hsa64981;hsa6233;hsa9349;hsa6125;hsa6138;hsa64960;hsa6191;hsa6203;hsa6187;hsa6165;hsa55168;hsa64963;hsa3921;hsa6137;hsa6173;hsa6160;hsa25873;hsa11222;hsa6156;hsa6164;hsa6193;hsa51121;hsa6192;hsa51318;hsa6157;hsa65003;hsa51023;hsa6136;hsa65008
prerank,hsa03050,-0.7654561884361336,-2.7021288385827478,0.0,0.0,0.0,37/45,18.42%,hsa5710;hsa5719;hsa5689;hsa5691;hsa5700;hsa5705;hsa7979;hsa5713;hsa5682;hsa5721;hsa5692;hsa5702;hsa5717;hsa5708;hsa5694;hsa5718;hsa5693;hsa5699;hsa10213;hsa5709;hsa5714;hsa5683;hsa5707;hsa5715;hsa5684;hsa5695;hsa143471;hsa9861;hsa10197;hsa5690;hsa5688;hsa5704;hsa5701;hsa5687;hsa5720;hsa9491;hsa5686
prerank,hsa00190,-0.6360556283278583,-2.6509873124702508,0.0,0.0,0.0,71/126,14.68%,hsa4705;hsa51079;hsa1340;hsa4725;hsa29796;hsa4726;hsa4729;hsa4723;hsa374291;hsa529;hsa6389;hsa535;hsa4694;hsa4695;hsa4700;hsa1327;hsa9551;hsa506;hsa4722;hsa539;hsa1329;hsa9114;hsa1351;hsa126328;hsa4710;hsa526;hsa509;hsa533;hsa7385;hsa4702;hsa10632;hsa4704;hsa8992;hsa537;hsa515;hsa54539;hsa4706;hsa7386;hsa9296;hsa517;hsa4697;hsa534;hsa7388;hsa10063;hsa498;hsa4716;hsa4712;hsa518;hsa528;hsa6391;hsa4711;hsa1345;hsa5464;hsa7384;hsa4696;hsa522;hsa6390;hsa521;hsa513;hsa4731;hsa516;hsa1346;hsa4714;hsa10476;hsa4718;hsa523;hsa27089;hsa1349;hsa4715;hsa155066;hsa55967
prerank,hsa05014,-0.5761781511594608,-2.606803987377663,0.0,0.0,0.0,194/349,21.97%,hsa60;hsa4705;hsa51079;hsa4218;hsa5710;hsa5719;hsa1340;hsa4725;hsa5689;hsa5691;hsa5700;hsa29796;hsa203068;hsa4726;hsa10383;hsa71;hsa10381;hsa4729;hsa4723;hsa5705;hsa84790;hsa10121;hsa10376;hsa7979;hsa310;hsa53371;hsa374291;hsa55746;hsa6389;hsa5713;hsa4694;hsa4695;hsa4700;hsa1327;hsa100101267;hsa5682;hsa65018;hsa506;hsa6647;hsa5692;hsa4722;hsa10189;hsa5702;hsa539;hsa3831;hsa5216;hsa90550;hsa7278;hsa10762;hsa9896;hsa4927;hsa10120;hsa1329;hsa6396;hsa11345;hsa5717;hsa11337;hsa29982;hsa1351;hsa126328;hsa10133;hsa1432;hsa5708;hsa4710;hsa5694;hsa2475;hsa1639;hsa10671;hsa5861;hsa509;hsa468;hsa79902;hsa7385;hsa9217;hsa2521;hsa4702;hsa5718;hsa4704;hsa5693;hsa515;hsa54539;hsa8021;hsa4706;hsa7386;hsa7280;hsa517;hsa10213;hsa5709;hsa23435;hsa4697;hsa5714;hsa5217;hsa1649;hsa9706;hsa7388;hsa5683;hsa7416;hsa6428;hsa498;hsa4686;hsa4716;hsa4712;hsa518;hsa5707;hsa57122;hsa51164;hsa7277;hsa6391;hsa10718;hsa4711;hsa1345;hsa5715;hsa84516;hsa7384;hsa29110;hsa5684;hsa4696;hsa79139;hsa9688;hsa5868;hsa522;hsa6390;hsa513;hsa4731;hsa5695;hsa81929;hsa23064;hsa516;hsa143471;hsa7846;hsa1346;hsa55860;hsa3178;hsa9861;hsa4714;hsa10476;hsa203228;hsa4718;hsa10482;hsa9973;hsa5690;hsa3181;hsa5688;hsa51807;hsa581;hsa5532;hsa23710;hsa27089;hsa348995;hsa1349;hsa2890;hsa4715;hsa5704;hsa5701;hsa2876;hsa55967;hsa10540;hsa4843;hsa11258;hsa55102;hsa5687;hsa7415;hsa9377;hsa8480;hsa5534;hsa4708;hsa5879;hsa5686;hsa22863;hsa4698;hsa1537;hsa5289;hsa1965;hsa23165;hsa4720;hsa4713;hsa842;hsa2902;hsa29978;hsa57679;hsa4741;hsa4717;hsa23511;hsa29979;hsa5706;hsa8678;hsa79023;hsa9776;hsa400916;hsa7802;hsa1350;hsa3084;hsa56171;hsa3798
prerank,hsa05016,-0.5734192002235975,-2.5797665291274168,0.0,0.0,0.0,166/292,22.38%,hsa4705;hsa51079;hsa5710;hsa5719;hsa1340;hsa4725;hsa5689;hsa5691;hsa5700;hsa161;hsa29796;hsa1211;hsa203068;hsa4726;hsa10383;hsa10381;hsa4729;hsa4723;hsa5436;hsa5705;hsa84790;hsa10121;hsa10376;hsa7979;hsa374291;hsa6389;hsa5713;hsa293;hsa4694;hsa4695;hsa4700;hsa1327;hsa5682;hsa506;hsa6647;hsa5692;hsa4722;hsa5702;hsa539;hsa3831;hsa5437;hsa1173;hsa7278;hsa1213;hsa10120;hsa1329;hsa1175;hsa5717;hsa29982;hsa1351;hsa126328;hsa5708;hsa4710;hsa5694;hsa2475;hsa1639;hsa10671;hsa509;hsa7385;hsa291;hsa163;hsa6648;hsa4702;hsa5718;hsa4704;hsa5693;hsa515;hsa7417;hsa54539;hsa4706;hsa7386;hsa7280;hsa517;hsa10213;hsa5709;hsa5438;hsa4697;hsa5714;hsa6908;hsa9706;hsa7388;hsa5683;hsa7416;hsa498;hsa5433;hsa4716;hsa4712;hsa518;hsa292;hsa5707;hsa51164;hsa7277;hsa6391;hsa4711;hsa1345;hsa5715;hsa84516;hsa7384;hsa7419;hsa5684;hsa4696;hsa522;hsa6390;hsa513;hsa4731;hsa5695;hsa3064;hsa1212;hsa516;hsa143471;hsa7846;hsa1346;hsa55860;hsa9861;hsa4714;hsa10476;hsa4718;hsa10105;hsa5434;hsa5690;hsa5688;hsa51807;hsa581;hsa5432;hsa27089;hsa5601;hsa1349;hsa2890;hsa4715;hsa5704;hsa5701;hsa2876;hsa55967;hsa10540;hsa11258;hsa55102;hsa10488;hsa5687;hsa9519;hsa9377;hsa4708;hsa5440;hsa5686;hsa22863;hsa4698;hsa1537;hsa5289;hsa4720;hsa4713;hsa6804;hsa842;hsa2902;hsa4717;hsa5706;hsa8678;hsa5441;hsa9776;hsa5435;hsa5431;hsa7802;hsa1350;hsa56171;hsa3798;hsa10891;hsa5602;hsa1742
prerank,hsa05020,-0.5593928496618433,-2.4947128257973414,0.0,0.0,0.0,141/262,20.77%,hsa4705;hsa51079;hsa5710;hsa5719;hsa1340;hsa4725;hsa5689;hsa5691;hsa5700;hsa29796;hsa203068;hsa4726;hsa10383;hsa10381;hsa4729;hsa4723;hsa5705;hsa84790;hsa10376;hsa7979;hsa374291;hsa6389;hsa5713;hsa293;hsa4694;hsa4695;hsa4700;hsa1327;hsa1460;hsa5682;hsa506;hsa6647;hsa5692;hsa4722;hsa5702;hsa539;hsa3831;hsa90550;hsa7278;hsa1329;hsa5717;hsa3312;hsa1351;hsa126328;hsa1432;hsa5708;hsa4710;hsa5694;hsa509;hsa468;hsa7385;hsa291;hsa4702;hsa5718;hsa4704;hsa5693;hsa515;hsa7417;hsa54539;hsa4706;hsa7386;hsa7280;hsa517;hsa10213;hsa5709;hsa5594;hsa4697;hsa5714;hsa1649;hsa7388;hsa5683;hsa7416;hsa498;hsa4716;hsa4712;hsa518;hsa292;hsa5707;hsa7277;hsa6391;hsa4711;hsa1345;hsa3304;hsa5715;hsa7384;hsa7419;hsa5684;hsa4696;hsa1958;hsa522;hsa6390;hsa513;hsa4731;hsa5695;hsa516;hsa143471;hsa7846;hsa1346;hsa4688;hsa9861;hsa4714;hsa10476;hsa4718;hsa10105;hsa5690;hsa5688;hsa51807;hsa581;hsa5532;hsa27089;hsa5601;hsa1349;hsa4715;hsa5704;hsa5701;hsa55967;hsa1459;hsa10488;hsa5687;hsa9377;hsa735;hsa2932;hsa5534;hsa5621;hsa4708;hsa5879;hsa5686;hsa4684;hsa4698;hsa1537;hsa1965;hsa8503;hsa4720;hsa4713;hsa842;hsa2902;hsa727;hsa116443;hsa4685;hsa4717;hsa5706
prerank,hsa03008,-0.6459454832961516,-2.478046199080393,0.0,0.0,0.0,46/77,20.58%,hsa55226;hsa10528;hsa25996;hsa55813;hsa1460;hsa51367;hsa4809;hsa55651;hsa9790;hsa23160;hsa4931;hsa51068;hsa5901;hsa51096;hsa55505;hsa55127;hsa84135;hsa134430;hsa22803;hsa92856;hsa79631;hsa26354;hsa10775;hsa23560;hsa51119;hsa55272;hsa3692;hsa10482;hsa10248;hsa55781;hsa84128;hsa29102;hsa345630;hsa10436;hsa1459;hsa10885;hsa1736;hsa5822;hsa83732;hsa29889;hsa102157402;hsa23195;hsa54464;hsa84916;hsa10799;hsa10557
prerank,hsa03013,-0.5512076260135991,-2.3424749713463022,0.0,0.0,0.0,100/160,27.68%,hsa10209;hsa1967;hsa5905;hsa9775;hsa10921;hsa53371;hsa55746;hsa8890;hsa8666;hsa100101267;hsa10284;hsa8664;hsa10189;hsa5411;hsa8663;hsa9470;hsa51367;hsa10762;hsa4927;hsa11097;hsa6396;hsa8667;hsa51068;hsa9984;hsa8487;hsa1982;hsa5901;hsa22916;hsa79902;hsa2521;hsa25929;hsa8021;hsa8891;hsa84321;hsa1915;hsa23435;hsa26019;hsa6612;hsa1983;hsa4686;hsa22794;hsa10775;hsa57122;hsa1973;hsa6613;hsa7341;hsa9688;hsa8661;hsa8668;hsa81929;hsa8761;hsa8665;hsa10073;hsa4116;hsa8669;hsa1917;hsa10482;hsa57510;hsa10248;hsa9086;hsa348995;hsa26999;hsa1974;hsa8662;hsa1975;hsa79760;hsa54960;hsa1968;hsa8563;hsa65110;hsa8480;hsa11218;hsa8892;hsa8893;hsa79833;hsa1965;hsa23165;hsa65109;hsa10799;hsa140886;hsa10557;hsa23511;hsa79023;hsa11269;hsa55520;hsa9631;hsa55110;hsa2332;hsa138716;hsa8894;hsa10556;hsa10289;hsa9972;hsa10605;hsa4928;hsa55706;hsa29107;hsa11171;hsa3646;hsa11260
prerank,hsa03040,-0.5708611209576311,-2.341298758619309,0.0,0.0,0.0,74/129,18.60%,hsa6430;hsa8683;hsa83443;hsa6431;hsa10713;hsa9128;hsa3192;hsa9775;hsa10594;hsa6427;hsa6426;hsa10189;hsa11325;hsa27339;hsa4809;hsa9343;hsa23450;hsa22827;hsa3312;hsa8449;hsa5093;hsa9984;hsa1655;hsa8896;hsa7307;hsa25804;hsa27258;hsa10084;hsa51690;hsa10915;hsa22916;hsa56259;hsa2521;hsa1665;hsa84321;hsa3190;hsa6629;hsa6632;hsa6628;hsa9410;hsa6428;hsa4686;hsa6633;hsa5356;hsa26121;hsa10286;hsa6626;hsa3304;hsa4670;hsa10907;hsa6636;hsa153527;hsa9416;hsa3178;hsa4116;hsa6634;hsa10465;hsa51645;hsa10929;hsa51691;hsa10946;hsa6100;hsa6635;hsa6434;hsa9129;hsa6429;hsa10450;hsa3183;hsa25949;hsa8559;hsa27316;hsa51729;hsa6631;hsa51362
