Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes
prerank,hsa03013,-0.5313260850438193,-2.9990376776854477,0.0,0.0,0.0,98/160,25.43%,hsa9631;hsa55746;hsa7175;hsa8664;hsa1973;hsa1975;hsa55706;hsa51068;hsa10799;hsa11218;hsa25929;hsa57122;hsa9688;hsa4116;hsa54960;hsa5411;hsa53371;hsa8668;hsa5903;hsa11097;hsa7341;hsa8661;hsa5901;hsa80145;hsa1977;hsa1968;hsa8891;hsa10248;hsa8663;hsa1967;hsa8667;hsa1965;hsa10289;hsa10209;hsa26999;hsa81929;hsa22916;hsa1983;hsa8669;hsa1917;hsa8894;hsa55520;hsa10419;hsa84321;hsa79023;hsa51095;hsa9775;hsa8892;hsa1964;hsa79902;hsa65110;hsa8480;hsa55110;hsa1915;hsa9939;hsa8563;hsa10556;hsa8672;hsa3646;hsa8021;hsa4927;hsa6606;hsa65109;hsa129401;hsa8890;hsa51808;hsa3837;hsa10775;hsa11171;hsa8761;hsa8665;hsa9470;hsa8487;hsa26019;hsa9972;hsa2332;hsa645974;hsa10762;hsa6396;hsa8666;hsa79760;hsa57510;hsa23435;hsa11269;hsa10605;hsa11260;hsa1974;hsa8893;hsa1982;hsa59343;hsa23191;hsa51367;hsa6613;hsa26986;hsa6612;hsa11102;hsa10557;hsa84305
prerank,hsa03040,-0.5465276852508099,-2.989136381405811,0.0,0.0,0.0,79/129,24.98%,hsa10465;hsa10286;hsa6428;hsa27316;hsa51340;hsa51362;hsa6627;hsa3312;hsa51690;hsa4116;hsa9716;hsa9128;hsa8896;hsa10285;hsa51691;hsa153527;hsa220988;hsa5356;hsa10569;hsa6632;hsa51729;hsa23658;hsa6427;hsa6634;hsa9343;hsa10915;hsa10929;hsa22916;hsa27258;hsa83443;hsa51645;hsa84321;hsa9879;hsa6629;hsa55660;hsa9775;hsa10907;hsa3190;hsa3183;hsa6628;hsa10450;hsa55110;hsa6431;hsa9939;hsa3178;hsa6633;hsa5093;hsa1665;hsa4809;hsa6432;hsa8559;hsa10772;hsa23451;hsa11325;hsa23350;hsa6100;hsa23450;hsa22827;hsa9092;hsa6635;hsa24148;hsa11157;hsa6434;hsa11017;hsa58517;hsa10084;hsa55696;hsa10291;hsa1655;hsa151903;hsa6430;hsa10594;hsa57819;hsa84950;hsa8683;hsa8449;hsa6636;hsa10713;hsa55119
prerank,hsa03050,-0.6775276513250698,-2.953304720437846,0.0,0.0,0.0,34/45,24.41%,hsa5686;hsa5717;hsa5706;hsa5695;hsa51371;hsa7979;hsa5713;hsa5691;hsa5701;hsa5700;hsa5682;hsa5707;hsa5718;hsa5710;hsa5689;hsa5692;hsa5719;hsa10197;hsa9491;hsa5683;hsa5688;hsa10213;hsa5705;hsa5687;hsa5693;hsa5714;hsa9861;hsa5704;hsa5702;hsa5685;hsa5694;hsa5708;hsa5715;hsa5684
prerank,hsa05014,-0.4676428457299163,-2.909393181635273,0.0,0.0,0.0,177/349,22.55%,hsa9631;hsa25978;hsa71;hsa5686;hsa22926;hsa203228;hsa55746;hsa7175;hsa1770;hsa5717;hsa6428;hsa4711;hsa506;hsa310;hsa515;hsa5706;hsa5695;hsa4698;hsa7385;hsa55706;hsa5534;hsa7979;hsa203068;hsa4704;hsa10381;hsa9167;hsa522;hsa4706;hsa1349;hsa84134;hsa5713;hsa29982;hsa5691;hsa7280;hsa5701;hsa5700;hsa57122;hsa51164;hsa9688;hsa4716;hsa509;hsa4722;hsa23710;hsa5682;hsa11345;hsa9782;hsa27089;hsa5707;hsa53371;hsa5718;hsa5903;hsa60;hsa5217;hsa10383;hsa5710;hsa5689;hsa7386;hsa3309;hsa116442;hsa5532;hsa55860;hsa10376;hsa9377;hsa5692;hsa5719;hsa10121;hsa539;hsa220988;hsa4747;hsa2903;hsa498;hsa10671;hsa8678;hsa6389;hsa2891;hsa4725;hsa1537;hsa84790;hsa4700;hsa5683;hsa30849;hsa4712;hsa5688;hsa10213;hsa83544;hsa1965;hsa57679;hsa7277;hsa5705;hsa9896;hsa6390;hsa5861;hsa4717;hsa81929;hsa4720;hsa4719;hsa7388;hsa29978;hsa10010;hsa4694;hsa29979;hsa6391;hsa5687;hsa11337;hsa5693;hsa4723;hsa79023;hsa1327;hsa7384;hsa4718;hsa29796;hsa10120;hsa517;hsa4702;hsa4709;hsa79902;hsa5879;hsa5289;hsa8480;hsa4707;hsa60673;hsa5530;hsa3178;hsa11258;hsa6647;hsa518;hsa9973;hsa5714;hsa6392;hsa7415;hsa4697;hsa8021;hsa10126;hsa6432;hsa4927;hsa129401;hsa126328;hsa7278;hsa7381;hsa4701;hsa4729;hsa10718;hsa1345;hsa7846;hsa9821;hsa9861;hsa5704;hsa4724;hsa1340;hsa10133;hsa836;hsa54205;hsa51079;hsa5702;hsa9972;hsa55967;hsa10762;hsa6396;hsa3181;hsa29110;hsa4217;hsa23064;hsa54539;hsa637;hsa5685;hsa10476;hsa23435;hsa4741;hsa516;hsa2902;hsa4695;hsa4715;hsa9217;hsa1329;hsa7416;hsa4710;hsa5694
prerank,hsa05012,-0.4825384259484182,-2.8702959248927002,0.0,0.0,0.0,129/239,22.55%,hsa5686;hsa22926;hsa5717;hsa4711;hsa506;hsa515;hsa5706;hsa5695;hsa4698;hsa7385;hsa7417;hsa5567;hsa7979;hsa203068;hsa4704;hsa10381;hsa9167;hsa522;hsa4706;hsa7419;hsa55669;hsa1349;hsa5713;hsa5691;hsa7280;hsa5701;hsa5700;hsa805;hsa5599;hsa4716;hsa5601;hsa509;hsa6622;hsa291;hsa4722;hsa5682;hsa27089;hsa5707;hsa2770;hsa5718;hsa5602;hsa10383;hsa5710;hsa5689;hsa7386;hsa3309;hsa10376;hsa9377;hsa5692;hsa5719;hsa539;hsa498;hsa801;hsa6389;hsa4725;hsa1537;hsa292;hsa84790;hsa4700;hsa5683;hsa4712;hsa5688;hsa7295;hsa10213;hsa1965;hsa7277;hsa5705;hsa7316;hsa6390;hsa4717;hsa4720;hsa4719;hsa7388;hsa4694;hsa6391;hsa5687;hsa817;hsa5693;hsa4723;hsa1327;hsa7384;hsa4718;hsa7345;hsa29796;hsa517;hsa4702;hsa4709;hsa7314;hsa4707;hsa518;hsa5714;hsa6392;hsa4697;hsa120892;hsa126328;hsa7278;hsa7381;hsa4701;hsa4729;hsa7326;hsa10131;hsa1345;hsa7846;hsa9861;hsa5704;hsa4724;hsa1340;hsa7332;hsa293;hsa11315;hsa836;hsa54205;hsa51079;hsa808;hsa2778;hsa5702;hsa55967;hsa4217;hsa54539;hsa5685;hsa10476;hsa27429;hsa516;hsa4695;hsa4715;hsa1329;hsa7416;hsa4710;hsa5694
prerank,hsa05016,-0.4611552166291504,-2.8214688999604682,0.0,0.0,0.0,166/292,26.32%,hsa5686;hsa1770;hsa5717;hsa4711;hsa506;hsa515;hsa5706;hsa5695;hsa4698;hsa7385;hsa7417;hsa7979;hsa203068;hsa4704;hsa10381;hsa9167;hsa522;hsa4706;hsa7419;hsa1349;hsa5713;hsa29982;hsa5691;hsa7280;hsa5701;hsa5700;hsa5440;hsa51164;hsa5599;hsa4716;hsa5601;hsa509;hsa291;hsa4722;hsa5682;hsa55081;hsa27089;hsa5707;hsa5718;hsa2893;hsa5602;hsa10383;hsa5710;hsa5689;hsa7386;hsa55860;hsa10376;hsa9377;hsa5692;hsa5719;hsa10121;hsa539;hsa1213;hsa498;hsa10671;hsa8678;hsa6389;hsa2891;hsa4725;hsa1537;hsa292;hsa84790;hsa5436;hsa4700;hsa5683;hsa30849;hsa4712;hsa5688;hsa10213;hsa83544;hsa7277;hsa5705;hsa10891;hsa6390;hsa4717;hsa4720;hsa4719;hsa7388;hsa627;hsa4694;hsa1175;hsa6391;hsa5687;hsa5693;hsa4723;hsa23236;hsa1327;hsa7384;hsa4718;hsa2892;hsa29796;hsa10120;hsa517;hsa4702;hsa4709;hsa5431;hsa5289;hsa4707;hsa60673;hsa11258;hsa6647;hsa518;hsa9519;hsa5714;hsa6392;hsa5433;hsa4697;hsa5332;hsa163;hsa10126;hsa6908;hsa126328;hsa7278;hsa1211;hsa7381;hsa4701;hsa4729;hsa6648;hsa1345;hsa7846;hsa9821;hsa9861;hsa1385;hsa5704;hsa4724;hsa1340;hsa293;hsa836;hsa54205;hsa5432;hsa51079;hsa5702;hsa55967;hsa5434;hsa6804;hsa4217;hsa54539;hsa5685;hsa10476;hsa516;hsa3064;hsa2902;hsa4695;hsa4715;hsa161;hsa1329;hsa7416;hsa4710;hsa5694;hsa5708;hsa25942;hsa3708;hsa5715;hsa2776;hsa2882;hsa5684;hsa2915;hsa1173;hsa7802;hsa4708;hsa10488;hsa55102;hsa1347;hsa1350;hsa5437;hsa4714
prerank,hsa00190,-0.513700669203795,-2.79816946531451,0.0,0.0,0.0,75/126,22.50%,hsa4711;hsa506;hsa515;hsa1353;hsa4698;hsa7385;hsa4704;hsa9167;hsa522;hsa4706;hsa9550;hsa1349;hsa4716;hsa529;hsa509;hsa4722;hsa27089;hsa526;hsa7386;hsa9377;hsa539;hsa498;hsa6389;hsa4725;hsa1537;hsa10632;hsa4700;hsa4712;hsa534;hsa51382;hsa5464;hsa6390;hsa4717;hsa4720;hsa4719;hsa7388;hsa523;hsa4694;hsa1355;hsa6391;hsa4723;hsa1327;hsa7384;hsa10063;hsa4718;hsa29796;hsa517;hsa4702;hsa4709;hsa528;hsa4707;hsa518;hsa6392;hsa533;hsa4697;hsa537;hsa9296;hsa126328;hsa7381;hsa4701;hsa4729;hsa1345;hsa27068;hsa4724;hsa1340;hsa9114;hsa51079;hsa55967;hsa54539;hsa10476;hsa516;hsa4695;hsa4715;hsa1329;hsa4710
prerank,hsa03008,-0.5707291905018561,-2.7883010543158657,0.0,0.0,0.0,48/77,25.36%,hsa10528;hsa83732;hsa10436;hsa29102;hsa1460;hsa81691;hsa51068;hsa84916;hsa10799;hsa3692;hsa23560;hsa51096;hsa79631;hsa29889;hsa5901;hsa51119;hsa55127;hsa28987;hsa55505;hsa55272;hsa10248;hsa84128;hsa51602;hsa55226;hsa4931;hsa9790;hsa10556;hsa1736;hsa4809;hsa55781;hsa92856;hsa26354;hsa23160;hsa9724;hsa10775;hsa1457;hsa22803;hsa84135;hsa23195;hsa1459;hsa102157402;hsa10199;hsa134430;hsa10813;hsa51367;hsa55813;hsa10885;hsa10557
prerank,hsa05017,-0.493023261175942,-2.751635165283525,0.0,0.0,0.0,81/141,24.41%,hsa5686;hsa10528;hsa5717;hsa5706;hsa5695;hsa9698;hsa1600;hsa7417;hsa7979;hsa7419;hsa7436;hsa5713;hsa2959;hsa29982;hsa5691;hsa25814;hsa5701;hsa5700;hsa4976;hsa5599;hsa5601;hsa291;hsa5682;hsa5707;hsa6511;hsa5718;hsa5602;hsa5710;hsa5689;hsa5692;hsa5719;hsa5290;hsa7222;hsa2903;hsa8678;hsa2891;hsa292;hsa5683;hsa30849;hsa115209;hsa5688;hsa10213;hsa5705;hsa5687;hsa5693;hsa342371;hsa23236;hsa2892;hsa5579;hsa10000;hsa5289;hsa60673;hsa9519;hsa5714;hsa2259;hsa5332;hsa6908;hsa10939;hsa488;hsa9821;hsa9861;hsa5704;hsa3752;hsa293;hsa54205;hsa5702;hsa116443;hsa4217;hsa5295;hsa5685;hsa2902;hsa7416;hsa5694;hsa5649;hsa3516;hsa5708;hsa5291;hsa3708;hsa5715;hsa2776;hsa5684
prerank,hsa05020,-0.4559662425950827,-2.739038415897736,0.0,0.0,0.0,130/262,22.55%,hsa5686;hsa5717;hsa1958;hsa4711;hsa506;hsa515;hsa5706;hsa5695;hsa4698;hsa7385;hsa7417;hsa5567;hsa5534;hsa7979;hsa1460;hsa203068;hsa4704;hsa10381;hsa9167;hsa522;hsa4706;hsa7419;hsa1349;hsa5713;hsa5691;hsa7280;hsa5701;hsa5700;hsa5599;hsa3312;hsa4716;hsa5601;hsa509;hsa291;hsa4722;hsa5682;hsa27089;hsa5707;hsa5718;hsa5602;hsa10383;hsa5710;hsa5689;hsa7386;hsa3309;hsa5532;hsa10376;hsa9377;hsa5692;hsa5719;hsa5290;hsa539;hsa2903;hsa498;hsa6389;hsa4725;hsa5621;hsa1537;hsa292;hsa84790;hsa4700;hsa5683;hsa4712;hsa5688;hsa10213;hsa1965;hsa7277;hsa5705;hsa6390;hsa4717;hsa4720;hsa4719;hsa7388;hsa4694;hsa6391;hsa5687;hsa5693;hsa4723;hsa1327;hsa7384;hsa4718;hsa29796;hsa517;hsa4702;hsa4709;hsa2932;hsa5879;hsa4707;hsa5530;hsa6647;hsa518;hsa5714;hsa6392;hsa4697;hsa6262;hsa126328;hsa7278;hsa1386;hsa7381;hsa4701;hsa4729;hsa857;hsa1345;hsa7846;hsa9861;hsa1385;hsa5704;hsa4724;hsa1340;hsa293;hsa1457;hsa836;hsa54205;hsa51079;hsa5702;hsa55967;hsa116443;hsa54539;hsa5295;hsa5685;hsa10476;hsa516;hsa2902;hsa4695;hsa4715;hsa1329;hsa1459;hsa7416;hsa4710;hsa5694
