Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes
prerank,hsa04610,0.6854575585118212,2.6092819424220184,0.0,0.0,0.0,36/84,13.16%,hsa730;hsa3078;hsa3075;hsa7450;hsa5627;hsa718;hsa2157;hsa716;hsa710;hsa715;hsa725;hsa1191;hsa720;hsa11326;hsa719;hsa712;hsa728;hsa2266;hsa966;hsa717;hsa7035;hsa3684;hsa714;hsa1675;hsa629;hsa3689;hsa7448;hsa1378;hsa713;hsa2;hsa7056;hsa5345;hsa5054;hsa1604;hsa5327;hsa729
prerank,hsa04110,-0.6359742622516318,-2.453833002292363,0.0,0.0,0.0,64/123,16.19%,hsa983;hsa891;hsa7157;hsa9134;hsa4173;hsa7272;hsa5591;hsa9700;hsa890;hsa701;hsa4085;hsa4171;hsa993;hsa5111;hsa991;hsa1111;hsa29945;hsa699;hsa7531;hsa9133;hsa9232;hsa7465;hsa990;hsa5347;hsa10459;hsa4172;hsa7027;hsa3065;hsa4176;hsa8900;hsa995;hsa4175;hsa8318;hsa9978;hsa6502;hsa4998;hsa8556;hsa1022;hsa51433;hsa1017;hsa10971;hsa1875;hsa5925;hsa2810;hsa25;hsa51434;hsa23594;hsa9184;hsa898;hsa1869;hsa595;hsa5001;hsa1019;hsa64682;hsa4174;hsa1870;hsa9088;hsa51529;hsa8697;hsa1029;hsa894;hsa8379;hsa545;hsa10926
prerank,hsa03030,-0.7567150324127534,-2.3924619080201417,0.0,0.0,0.0,24/36,12.58%,hsa5983;hsa4173;hsa10535;hsa5427;hsa4171;hsa2237;hsa5111;hsa5985;hsa5984;hsa5425;hsa5982;hsa1763;hsa4172;hsa5426;hsa5558;hsa4176;hsa4175;hsa54107;hsa6119;hsa5424;hsa3978;hsa4174;hsa5557;hsa246243
prerank,hsa05150,0.6189746536303817,2.3362584821912518,0.0,0.0,0.0,32/83,9.04%,hsa3075;hsa718;hsa3383;hsa716;hsa715;hsa3127;hsa720;hsa2213;hsa719;hsa3123;hsa2209;hsa6403;hsa712;hsa728;hsa2212;hsa3113;hsa2266;hsa717;hsa3122;hsa3119;hsa3684;hsa3117;hsa9103;hsa714;hsa2359;hsa1675;hsa3126;hsa5724;hsa3115;hsa629;hsa3689;hsa713
prerank,hsa03460,-0.6616437777649524,-2.233510831784695,0.0,0.0,0.0,31/51,22.04%,hsa5980;hsa55215;hsa29089;hsa80010;hsa641;hsa672;hsa2189;hsa5888;hsa2176;hsa146956;hsa2177;hsa201254;hsa2188;hsa83990;hsa116028;hsa2175;hsa6119;hsa675;hsa4292;hsa84126;hsa55120;hsa79008;hsa2187;hsa5429;hsa545;hsa9894;hsa197342;hsa84464;hsa8940;hsa7156;hsa5889
prerank,hsa03050,-0.6684265865989846,-2.229316779754391,0.0,0.0,0.0,29/45,18.82%,hsa5709;hsa5685;hsa5691;hsa10197;hsa5693;hsa5719;hsa5687;hsa5713;hsa7979;hsa5720;hsa5690;hsa5694;hsa10213;hsa5692;hsa23198;hsa5683;hsa5686;hsa5702;hsa5721;hsa5704;hsa5682;hsa5714;hsa5696;hsa5684;hsa5688;hsa5705;hsa5695;hsa5689;hsa5708
prerank,hsa05310,0.7292488399365117,2.2125090348382694,0.0,0.0,0.0,15/28,12.68%,hsa3127;hsa958;hsa3123;hsa3113;hsa3122;hsa3119;hsa3117;hsa3126;hsa3115;hsa2206;hsa2207;hsa6356;hsa3586;hsa2205;hsa3111
prerank,hsa05144,0.6270231051288613,2.1485528659901374,0.0,0.0006194445895619854,0.002,22/49,13.79%,hsa7412;hsa3383;hsa4035;hsa6401;hsa6347;hsa7060;hsa958;hsa7058;hsa6403;hsa2995;hsa2532;hsa7057;hsa5175;hsa3689;hsa1378;hsa1311;hsa948;hsa3586;hsa7099;hsa7059;hsa3576;hsa3569
prerank,hsa03040,-0.5419501795920822,-2.1295961140427613,0.0,0.0,0.0,63/129,23.39%,hsa6636;hsa84321;hsa10189;hsa51690;hsa6628;hsa6427;hsa25804;hsa84844;hsa22827;hsa8683;hsa6634;hsa6635;hsa10465;hsa4116;hsa6627;hsa5093;hsa6637;hsa6632;hsa57819;hsa23658;hsa27339;hsa10907;hsa9343;hsa6631;hsa9410;hsa9128;hsa3190;hsa10772;hsa9939;hsa1665;hsa10262;hsa22916;hsa6434;hsa6626;hsa4670;hsa6429;hsa3306;hsa6633;hsa6426;hsa4686;hsa27258;hsa83443;hsa10915;hsa220988;hsa10523;hsa10713;hsa10285;hsa26121;hsa22938;hsa51729;hsa9416;hsa2521;hsa6431;hsa3312;hsa1659;hsa10992;hsa55110;hsa988;hsa7307;hsa6629;hsa8896;hsa51639;hsa3183
prerank,hsa00190,-0.5309684705940692,-2.0791364113171382,0.0,0.00013686462691819964,0.001,59/126,21.18%,hsa245973;hsa1345;hsa5464;hsa126328;hsa54539;hsa4704;hsa9377;hsa518;hsa4718;hsa1347;hsa1351;hsa9551;hsa7384;hsa498;hsa4722;hsa516;hsa1349;hsa506;hsa1340;hsa4726;hsa6389;hsa27089;hsa155066;hsa4702;hsa4700;hsa4706;hsa27068;hsa4708;hsa1337;hsa9114;hsa1352;hsa4725;hsa513;hsa1537;hsa55967;hsa4728;hsa4707;hsa4696;hsa10975;hsa7388;hsa4513;hsa51079;hsa522;hsa4716;hsa50617;hsa64077;hsa4729;hsa7386;hsa6390;hsa4512;hsa374291;hsa1329;hsa29796;hsa23545;hsa533;hsa4712;hsa4715;hsa4694;hsa4695
