Gene Set,ES,NES,P-value,FDR
hsa05034,0.4711908287444429,2.312321828355185,0.0,0.0
hsa05140,0.5489223097638875,2.2442732871158833,0.0,0.0
hsa05322,0.6705235171989142,3.1960141510753757,0.0,0.0
hsa05203,0.48986977546590094,2.436141425732613,0.0,0.0
hsa04613,0.46612388625638096,2.269644451076576,0.0,0.0
hsa04145,0.4728926685513241,2.3624485371189,0.0,0.0
hsa04142,0.46026600875392115,2.2714129647209282,0.0,0.0
hsa05132,0.38570435110020135,1.9937609563615475,0.0,0.003847158151275133
hsa04380,0.41279175720717065,2.0087227763331,0.0,0.004274620168083481
hsa05202,0.4096321590161223,2.0271129303258864,0.0,0.004808947689093916
hsa05152,0.3926080775164083,1.9489674253938727,0.0,0.01748708250579606
hsa04217,0.3883273648102703,1.94142955764815,0.0,0.019235790756375663
hsa04962,0.49036707976144084,1.9096563156854696,0.0,0.024731730972482997
hsa05130,0.37777115838688036,1.915095887157301,0.0,0.026634171816520148
hsa05133,0.4497307631854376,1.8770264021298584,0.0,0.030777265210201063
hsa03020,-0.5811373944963132,-1.9755223429540418,0.0,0.03413644922987784
hsa05131,0.35372468000285706,1.8348766418286628,0.0,0.04688723996866568
hsa05221,0.44929201212104997,1.7872900239440017,0.0,0.06305064747923134
hsa00920,0.7603555427285345,1.788885428792054,0.0,0.0656279919923405
hsa05210,0.3869205741095139,1.696488601905631,0.0,0.111365104379017
hsa05145,0.356323414057272,1.6911324670594798,0.0,0.11266677443020032
hsa00511,0.5679393633888307,1.6925132059181427,0.021739130434782608,0.11733832361389156
hsa04666,0.3823509509496724,1.6752601361468005,0.0,0.1180378069141234
hsa04640,0.37413890063971955,1.6664231249246662,0.0,0.12294179309509663
hsa05310,0.4981105064475352,1.6581193131973955,0.0,0.12984158760553574
hsa05321,0.40646473331077915,1.632254435837678,0.0,0.15542518931151536
hsa04662,0.37731453883767746,1.6193758221487458,0.0,0.16942292627730873
hsa04932,0.32646129782899286,1.6046439618434711,0.0,0.18523354061695085
hsa05030,0.4094948227316879,1.5474779299844708,0.05263157894736842,0.18576277930442783
hsa05110,0.4188429668679108,1.5521820203206216,0.02702702702702703,0.18726608059883365
hsa05135,0.32603148472246324,1.5884881231558314,0.0,0.18892294492868955
hsa04141,0.3164567459408528,1.5529798050593218,0.0,0.19119210206337026
hsa04010,0.2822467627208645,1.543136310719925,0.0,0.1934265626057775
hsa05418,0.2998942256539751,1.5304296615346265,0.0,0.19433080917979517
