Gene Set,ES,NES,P-value,FDR
hsa03050,-0.5500136348338741,-1.9873462701040987,0.0,0.0
hsa04145,-0.429861729300263,-2.080596145133443,0.0,0.0
hsa03010,-0.5412715612124855,-2.534484239956545,0.0,0.0
hsa04612,-0.52602354029909,-2.2344162446586244,0.0,0.0
hsa05012,-0.3855054407940224,-1.97106898939214,0.0,0.0
hsa04141,-0.42820267545547913,-2.065636764068704,0.0,0.0
hsa03020,-0.5812976642024217,-2.0693945039617496,0.0,0.0
hsa05320,-0.49198562626144116,-1.9046809725585707,0.0,0.006099281252099147
hsa05020,-0.370628392002887,-1.90630258994248,0.0,0.0067769791689990515
hsa00190,-0.40874245951286997,-1.9418802360639646,0.0,0.007624101565123933
hsa05330,-0.5633161582993996,-1.8660233566975555,0.0,0.02495160512222378
hsa04120,-0.3814872633107699,-1.8210189806766073,0.0,0.041052854581436565
hsa04142,-0.39462920161924037,-1.8416854118493577,0.0,0.044473925796556284
hsa05332,-0.4818789738597732,-1.689606891808298,0.0,0.06500549755526722
hsa05162,-0.35796345896574455,-1.7182859254578802,0.0,0.06534944198677657
hsa04659,-0.3738134726700209,-1.6714006309619966,0.0,0.067854503929603
hsa00900,-0.5419060973745111,-1.6922616454190262,0.0,0.0686169140861154
hsa05169,-0.333027051068682,-1.632869144628625,0.0,0.07037632213960553
hsa05132,-0.33148124666926315,-1.704741837832964,0.0,0.07052293947739638
hsa05152,-0.34300237164122815,-1.6368771838745562,0.0,0.07197151877476994
hsa04210,-0.3461207783625097,-1.6407328930775007,0.0,0.07242896486867736
hsa04217,-0.3493184889354634,-1.69701332846538,0.0,0.07265320315000454
hsa03013,-0.34613084446742615,-1.644374849936284,0.0,0.07277551493981936
hsa05310,-0.503664051040887,-1.7111911206191055,0.044444444444444446,0.07319137502518977
hsa04940,-0.47447237958497773,-1.6457612195263323,0.0,0.0733365960073826
hsa04136,-0.45621066016731776,-1.6425186095790678,0.0,0.0755780502977503
hsa04218,-0.33353271230017045,-1.5947471298361795,0.0,0.09431296010190347
hsa05416,-0.4220670300726324,-1.5864725367214119,0.0,0.09530126956404918
hsa05017,-0.3116065505972371,-1.530680271623843,0.0,0.09644488479881776
hsa04932,-0.3211036253501332,-1.5751117531430971,0.0,0.09727301996882261
hsa05321,-0.374413634987076,-1.540628215060947,0.0,0.09767092275320931
hsa04211,-0.35749603460686086,-1.5310285787946312,0.019230769230769232,0.09852685099544775
hsa03040,-0.3243078335182216,-1.5185595398826277,0.023809523809523808,0.09911332034661115
hsa05131,-0.3036997653342426,-1.5528008847372865,0.0,0.09911332034661115
hsa04658,-0.3574609380677375,-1.5352013080164109,0.0,0.0999158573534663
hsa04146,-0.34692972354728535,-1.541199552681397,0.0,0.10038400394079845
hsa05110,-0.3991016904236231,-1.545088627166287,0.0,0.10107380360621444
hsa04392,-0.44707076150069147,-1.5189162613201894,0.06666666666666667,0.10153071840384556
hsa05170,-0.32208607356911,-1.5539728555772312,0.0,0.10211675429650846
hsa04710,-0.43999746215658897,-1.56637190550777,0.02127659574468085,0.10267123441033564
hsa05415,-0.3239614014731099,-1.5606172031211996,0.0,0.10476991183041276
hsa04213,-0.3849210233444344,-1.5555353560307354,0.0,0.10530790286827432
hsa05203,-0.31731888343346226,-1.507739291576093,0.0,0.10709203128685711
hsa00512,0.5229253840638155,1.797263263430223,0.0,0.10974412291341766
hsa05216,-0.43014810291506717,-1.490116189650852,0.06976744186046512,0.11734486756755967
hsa05223,-0.35876402340716024,-1.4913034047702147,0.05263157894736842,0.11893598441593337
hsa05166,-0.30506616639712886,-1.4826562023765792,0.0,0.1197146160651375
hsa04140,-0.31097780648411666,-1.4919741357861065,0.04,0.11990632461513095
hsa04144,-0.2869753398654816,-1.467375373578229,0.0,0.13469246098385615
