Gene Set,ES,NES,P-value,FDR
hsa05310,-0.6305866769598225,-2.008359121084788,0.0,0.0
hsa04940,-0.5708143390640268,-1.957320513408848,0.0,0.0
hsa05330,-0.6189735463663343,-2.0335359408040565,0.0,0.0
hsa04068,-0.4451905989966801,-1.9743066397347901,0.0,0.0
hsa01040,0.6396699685566777,1.962004910675498,0.0,0.0
hsa04612,-0.5724700952078318,-2.2737272637816304,0.0,0.0
hsa05320,-0.5491019696487782,-2.0239689738434556,0.0,0.0
hsa04512,0.49810412052838554,1.930969121063947,0.0,0.0
hsa05332,-0.5824942627168717,-2.0033222769561845,0.0,0.0
hsa04662,-0.5082810145528127,-2.107576300303234,0.0,0.0
hsa00970,0.5169285562039663,1.85006896290624,0.0,0.014776975634910403
hsa00564,0.44786730382515166,1.8518129535373038,0.0,0.019702634179880538
hsa05416,-0.5015070209234356,-1.848572217146196,0.0,0.026709017539654
hsa00860,0.5317470091356578,1.7408556638300263,0.0,0.04221993038545829
hsa05215,-0.42262413583305153,-1.7534602445459704,0.0,0.05151024811218986
hsa00062,0.556083389794592,1.7056269563253628,0.0,0.05488590950109578
hsa05169,-0.3866497224455076,-1.7264077447692323,0.0,0.06555849759733255
hsa04140,-0.37769686476659087,-1.6627034666213178,0.0,0.07541369658255247
hsa05171,-0.3629984907260043,-1.6947352084210192,0.0,0.07631147868472572
hsa04211,-0.41831701843288416,-1.688818835635405,0.0,0.07660498437197466
hsa05167,-0.3741578633041544,-1.6657968256575406,0.0,0.0786962123936234
hsa05164,-0.3660421511429113,-1.64839275593103,0.0,0.08139891059704077
hsa04330,-0.4418426563693929,-1.670651232920215,0.0,0.08241639697950379
hsa05220,-0.38886088608697084,-1.569695601527408,0.03571428571428571,0.08818215314679416
hsa05223,-0.4275646900830025,-1.6726103724268004,0.0,0.08830328247803977
hsa05140,-0.41372717791539126,-1.6040236111204156,0.018518518518518517,0.08845194120275027
hsa05340,-0.4849212590364017,-1.6116962818413407,0.0,0.08884836446864494
hsa04012,-0.4030738318161011,-1.6374455172750706,0.0,0.08916393825267953
hsa05152,-0.3497470636710403,-1.5817952772086352,0.0,0.0902529988290506
hsa04640,-0.38610215848381624,-1.5918741335648179,0.0,0.09107609086503134
hsa05214,-0.3948412842389687,-1.583201449334065,0.03636363636363636,0.09203164329377922
hsa04380,-0.3620949315651497,-1.613650398842915,0.0,0.09329078269207719
hsa04141,-0.3527530255826497,-1.5838193665762028,0.0,0.09586629509768668
hsa05213,-0.40390438557362573,-1.527202840226277,0.0,0.10015881577370252
hsa05145,-0.3505166812164175,-1.51340911602216,0.0,0.10302049622437971
hsa04137,-0.38903277127940245,-1.5073903748232313,0.03636363636363636,0.10338974531478969
hsa05225,-0.3380025169014771,-1.515855882175678,0.0,0.1049940689489847
hsa05218,-0.38160835082209504,-1.4928316126053645,0.034482758620689655,0.10623988673139158
hsa04650,-0.33158072006153944,-1.4776659779885777,0.0,0.11238599588114151
hsa00220,0.5715897358075982,1.625241222946816,0.0,0.11700952135398442
hsa04514,-0.32800028374045115,-1.4689793175841166,0.0,0.11884390577518314
