Gene Set,ES,NES,P-value,FDR
hsa04110,0.4845930113563656,2.3648421110596205,0.0,0.0
hsa05219,0.5135825594613923,2.012901887092702,0.0,0.0
hsa00071,-0.5643245595087998,-2.004611199790712,0.0,0.0
hsa00830,-0.5446282327795929,-2.0731237411934584,0.0,0.0
hsa00982,-0.4902641148233987,-1.9420207034019188,0.0,0.0030178195056524237
hsa04710,-0.5741103310720872,-1.9483795564148174,0.0,0.004023759340869898
hsa04140,-0.4192717787723833,-1.9056465589790206,0.0,0.012071278022609697
hsa00740,0.7499438258056667,1.8657200519450663,0.01694915254237288,0.024118962703258175
hsa04512,0.394617741406201,1.7473579722991999,0.0,0.03014870337907272
hsa04330,0.4286593075480293,1.7579346913286953,0.0,0.031010094904189087
hsa04974,0.37616758766948505,1.8008739462500696,0.0,0.03416853049628242
hsa05340,0.4885620230831396,1.7690521931554477,0.0,0.036178444054887265
hsa00190,0.3461488077233883,1.7065322463451142,0.0,0.03930497625716147
hsa03460,0.45885611428543444,1.7799956911838217,0.0,0.04341413286586472
hsa00524,0.8144831007687298,1.6617729661282354,0.017241379310344827,0.04984585625340023
hsa00051,0.46523019100297985,1.6441381841395142,0.0,0.0518923136948888
hsa05204,-0.4379450427130865,-1.7360754244805372,0.0,0.06840390879478828
hsa00620,-0.45274687263353475,-1.6480214962135113,0.0,0.1038129909944434
hsa03060,-0.5804317690841773,-1.705058417277037,0.024390243902439025,0.10864150220348726
hsa04137,-0.4142365792017464,-1.6511455964324437,0.0,0.11132400843073387
hsa04610,-0.37940343445848673,-1.59034046634974,0.0,0.11347001341253116
hsa04350,-0.38773388426353217,-1.59979423681344,0.0,0.11381490707031999
hsa00980,-0.4187661724947565,-1.6596099644389388,0.0,0.12071278022609697
hsa04340,-0.42473202741755245,-1.6007712342859337,0.0,0.12256989992188307
hsa04146,-0.38110251566767417,-1.604098090632886,0.0,0.12876029890783675
hsa00350,-0.4668336849932406,-1.5815955737116485,0.02127659574468085,0.13052069361946733
hsa03420,-0.4467897828756126,-1.609212065943048,0.0,0.13827100280443833
hsa00600,-0.43141089817531375,-1.5703574709596653,0.02,0.14201503556011408
hsa04714,0.2959030544081988,1.5367931294984565,0.0,0.1467236897781539
hsa05418,-0.3275120003929392,-1.485803538499285,0.02,0.16899789231653575
hsa05132,-0.29871251103053625,-1.4882209587444963,0.0,0.17286070128377085
hsa00140,-0.39884308604525986,-1.4934821527866233,0.02127659574468085,0.17453056141023185
hsa04130,-0.44020003812179187,-1.501980993433669,0.04081632653061224,0.17634562676508078
hsa04964,-0.5005006847342167,-1.4702553354470762,0.024390243902439025,0.17762023376125696
hsa00280,-0.4123827325911357,-1.520538986551807,0.02040816326530612,0.18046560643801493
hsa04141,-0.309736717195759,-1.4749303675626695,0.0,0.18062208596793766
hsa05017,-0.3302571417625672,-1.5024802893561553,0.0,0.1821665592502918
hsa00640,-0.4199104954896301,-1.4497598068517763,0.041666666666666664,0.1867024334163633
hsa03022,-0.42868422596465133,-1.527187578126931,0.0,0.186787144139329
hsa05144,-0.3829257612707669,-1.4459302568580181,0.019230769230769232,0.18729950738307302
hsa04136,-0.43099041384434383,-1.4388233074316978,0.045454545454545456,0.19049985629430924
hsa00590,-0.38196258583118414,-1.4539380393354124,0.020833333333333332,0.19064294256397382
hsa05205,-0.3054765582740691,-1.5061027855750018,0.0,0.1908411573098295
hsa00920,-0.6269456742493125,-1.5289519629490562,0.0425531914893617,0.19716420770262505
hsa00260,0.39674264959321814,1.5027315205810476,0.05555555555555555,0.20408353056603074
hsa00120,-0.5304056316350564,-1.426908597408988,0.06666666666666667,0.20594331899179572
hsa00520,-0.38582587035261184,-1.4226184355616247,0.061224489795918366,0.20663187673996597
hsa05230,0.34507460174396376,1.4864920455220634,0.02,0.21362509822885814
hsa05145,-0.3145502360477629,-1.4131475312770863,0.018867924528301886,0.22038704732707415
hsa04950,0.4203261569105859,1.420977160114958,0.0847457627118644,0.23475790364504626
