Gene Set,ES,NES,P-value,FDR
hsa04640,0.6513162157116718,2.6513982613012352,0.0,0.0
hsa05164,0.43728458015384136,1.9327668996270524,0.0,0.0
hsa05169,0.42180501481868915,1.9356153797299747,0.0,0.0
hsa05310,0.7413462355045218,2.3677248702289284,0.0,0.0
hsa05323,0.5558525142414008,2.187475476617389,0.0,0.0
hsa05330,0.774805800405385,2.5617614365833448,0.0,0.0
hsa05332,0.7401292747768691,2.57475774464247,0.0,0.0
hsa03040,-0.44081706331370196,-2.0489192032728907,0.0,0.0
hsa05150,0.5663875953438622,2.222008576938621,0.0,0.0
hsa04137,-0.4871577334350315,-1.959926221176145,0.0,0.0
hsa04612,0.6134549438131881,2.386629662509477,0.0,0.0
hsa03010,-0.5870403510302838,-2.728565539819068,0.0,0.0
hsa05140,0.5732624702953054,2.15439241628369,0.0,0.0
hsa04060,0.4591486896862199,2.221042703562229,0.0,0.0
hsa04061,0.5077249568490536,2.0796080506321375,0.0,0.0
hsa04514,0.5360718901828984,2.3488572018293814,0.0,0.0
hsa04658,0.48664776990559433,1.9597591052714955,0.0,0.0
hsa04659,0.48874139826570184,2.0162713404282306,0.0,0.0
hsa05321,0.5651543977340591,2.1211743166399817,0.0,0.0
hsa04064,0.46989018307725233,1.9370974616400114,0.0,0.0
hsa04145,0.47251011651365976,2.109673828780049,0.0,0.0
hsa05320,0.6420994227137801,2.2597222005396063,0.0,0.0
hsa05340,0.5926004540994005,1.9725892771253375,0.0,0.0
hsa04940,0.7288762490008689,2.5885405329647577,0.0,0.0
hsa04650,0.4327588663878607,1.8749135005998785,0.0,0.0007604630772809419
hsa05416,0.5459077186014192,1.8954941862741648,0.0,0.0007935266893366351
hsa04672,0.5393751457775414,1.9260060216986215,0.0,0.000829596084306482
hsa04512,0.4538029198834353,1.785874369601698,0.0,0.004745289602233077
hsa03013,-0.40128004104940435,-1.9319045058824507,0.0,0.00840026527153489
hsa05152,0.3943994739782104,1.768915582679014,0.0,0.009476539886116353
hsa04670,0.4202670018972357,1.761103091987456,0.0,0.009801524107176586
