Gene Set,ES,NES,P-value,FDR
hsa00190,-0.5487040586407324,-2.363273478352571,0.0,0.0
hsa05033,-0.576761839226583,-1.9740415262862803,0.0,0.0
hsa00970,-0.5904383629442634,-2.0568490310872916,0.0,0.0
hsa00030,-0.6342490550531324,-2.0733276784481656,0.0,0.0
hsa03050,-0.600404445075841,-2.0885415408885915,0.0,0.0
hsa04721,-0.5627922684059454,-2.1825833435389677,0.0,0.0
hsa05020,-0.4517087078958973,-2.100637127205099,0.0,0.0
hsa04392,0.6381128542559881,2.213961073231341,0.0,0.0
hsa03020,-0.6169662291654614,-2.066103146391561,0.0,0.0
hsa05415,-0.44052535850928104,-1.9422966220754285,0.0,0.0028754462320895887
hsa04260,-0.5036211514567743,-1.9609003955794724,0.0,0.0031949402578773205
hsa05012,-0.41108138997074667,-1.9111181003094453,0.0,0.0043567367152872565
hsa03018,-0.4725608404488701,-1.8326538530705652,0.0,0.018370906482794595
hsa04930,-0.5102775104409597,-1.7750297931297565,0.0,0.02096679544231992
hsa04142,-0.4139441042381959,-1.7776882218934704,0.0,0.022364581805141247
hsa00051,-0.562920956833922,-1.8058071436098984,0.0,0.02285611107558391
hsa03008,-0.4587008428446821,-1.7789029371276852,0.0,0.02396205193407991
hsa00563,-0.5677331721908914,-1.7666727292520052,0.01694915254237288,0.027063023360843187
hsa04723,-0.403751231256471,-1.7562304552912085,0.0,0.030351932449834546
hsa04714,-0.37644347541366757,-1.7402886353563498,0.0,0.035312497587065124
hsa04136,-0.5195753310857738,-1.7311532649312094,0.0,0.035463836862438265
hsa04060,0.3410136594228469,1.7937441255518778,0.0,0.03931580291039061
hsa03060,-0.5447382155919418,-1.7009937930684291,0.016129032258064516,0.040621383278725935
hsa00020,-0.5146172035765197,-1.6822572828136264,0.017857142857142856,0.04095332512370021
hsa03010,-0.38388943579893287,-1.6468652751589072,0.0,0.04512853114251716
hsa00010,-0.43246737442688343,-1.664097155072291,0.0,0.04584044717823982
hsa00900,-0.5447463543717882,-1.6297999663101839,0.01694915254237288,0.047157318206269255
hsa00520,-0.46829356334985495,-1.6220352532131819,0.0,0.050504632537983804
hsa04261,-0.375152499842616,-1.6162254060300358,0.0,0.05324900429795535
hsa05017,-0.37114828549711915,-1.6113604735124898,0.0,0.056824294586532355
hsa04630,0.3630779138445212,1.8130118213495199,0.0,0.05897370436558591
hsa00590,-0.44466697427257884,-1.5910735645645437,0.0,0.06279710162034734
hsa00510,-0.4502603143906632,-1.5837358129719834,0.0,0.0648572872349096
hsa00480,-0.44550272445613687,-1.5609531212561991,0.017857142857142856,0.0763790405398797
hsa04961,-0.437004642991171,-1.5672942841143094,0.0,0.07822450502351246
hsa04146,-0.39264070294178627,-1.5438590525188762,0.0,0.08684428519139263
hsa00220,-0.5262926665306678,-1.5368027181904862,0.05263157894736842,0.09246532981621422
hsa00250,-0.4587556462980891,-1.5292662918427946,0.04918032786885246,0.0961220597584234
hsa00511,-0.5232717476395915,-1.512710610858102,0.11666666666666667,0.10995919387527779
hsa00230,-0.34778018681362965,-1.5035517697437546,0.0,0.11804463479104628
hsa04720,-0.3895754397795788,-1.5054915776279492,0.015151515151515152,0.11993978427544862
hsa04130,-0.46643790005123664,-1.4962969165339228,0.034482758620689655,0.12263655297544485
hsa04120,-0.3398817181781903,-1.4794385197060347,0.014084507042253521,0.13490635238886986
hsa04932,-0.3405099248649023,-1.4734317570586735,0.0,0.13956434150873856
hsa04145,-0.33792841256345074,-1.4699154427473529,0.0,0.14126200140186154
hsa00740,-0.6463174818161459,-1.4511659820013185,0.058823529411764705,0.1649480784299454
hsa03410,-0.44819359753238236,-1.4377705969525272,0.1206896551724138,0.17775485798372
hsa00630,-0.4271324327375856,-1.4303856864235818,0.08620689655172414,0.18083361859585634
hsa00430,-0.5727285221095028,-1.4118622564833796,0.08333333333333333,0.19357170649356722
hsa00130,-0.5718401743233017,-1.4096723451003248,0.08333333333333333,0.1953671978965834
hsa00564,-0.3493883557775257,-1.4040720177728014,0.014084507042253521,0.19888503105286323
hsa00120,-0.5065060153190352,-1.3934452345745534,0.09090909090909091,0.21419140300259182
hsa04350,0.3278933237743442,1.3651958630247507,0.0,0.21674751085014043
hsa05146,0.30396051665626994,1.3620542381709897,0.0,0.2170380217090842
hsa04622,0.3274249359751393,1.3700027880495815,0.05128205128205128,0.21802399795762065
hsa05205,0.2701455675767806,1.3440196194842287,0.0,0.21929224966440744
hsa04670,0.3128490676491644,1.3876647766120915,0.0,0.21936430942047486
hsa05340,0.3881453566321904,1.3916440456648522,0.044444444444444446,0.2223751540109445
hsa00232,0.6696370666272831,1.3812644784554111,0.22727272727272727,0.2230278274189431
hsa05150,0.3265882113168681,1.395445907799004,0.027777777777777776,0.2237101678000325
hsa05417,0.27364999603117574,1.3704643944431745,0.0,0.22558472928654189
hsa04640,0.3095662965141001,1.3450465768950635,0.0,0.22660199131988767
hsa04061,0.3469520221758744,1.5135978005871376,0.0,0.22874648966045447
hsa05206,0.26653670532001644,1.3379468193646142,0.0,0.22885818228235896
hsa05134,0.36211173009587055,1.3975800008697206,0.023809523809523808,0.23129946387541486
hsa04550,0.3204544594045905,1.5257289694455092,0.0,0.2345545059994894
hsa00910,0.4598571400428111,1.4011752978993859,0.08888888888888889,0.2380393158029104
hsa04520,0.34560606461915144,1.446075787370794,0.02564102564102564,0.2423283124840439
hsa05110,-0.3845664845776817,-1.3719592651766574,0.08064516129032258,0.24575480463592347
hsa04621,0.28881328555374114,1.4575853627216415,0.0,0.24585141690068932
hsa04920,0.3455558160667523,1.4161904690866314,0.0,0.24602161518168666
hsa05332,0.37718647610193673,1.4067826657881848,0.07317073170731707,0.24605296749660724
hsa04390,0.3072390539450013,1.536230041158681,0.0,0.24661730916517743
hsa05320,0.38301341024325336,1.433843059588666,0.02631578947368421,0.24795762062803164
hsa05144,0.4150165387811711,1.5716274130463728,0.0,0.2487618075057442
hsa00534,-0.4295617789453363,-1.36903657757289,0.19047619047619047,0.24882946478997486
hsa05161,0.29637623949136543,1.4799402697765343,0.0,0.24929793209088588
hsa05171,0.2796727304682787,1.4203287473978619,0.0,0.2567090660619622
hsa00280,-0.3917172728562428,-1.3567968376936046,0.10344827586206896,0.2579026774830971
hsa04923,0.3704642291689326,1.461442957617734,0.022727272727272728,0.2606390290842678
hsa03040,-0.3165216258678934,-1.35786095127581,0.04477611940298507,0.2611411546627274
hsa00471,-0.7208216242208871,-1.3588435191319503,0.09615384615384616,0.26561012951545493
hsa04064,0.3508036897048135,1.5452506643900326,0.0,0.268062292570845
hsa04620,0.3360963419493644,1.4804664572750892,0.0,0.2719613804627846
hsa04810,0.2552765959756875,1.3060301559959049,0.0,0.27228630445377955
hsa04122,-0.6302241524585024,-1.3431242362087379,0.09615384615384616,0.27499722146893163
hsa04141,-0.304377682108076,-1.3288064970713962,0.015873015873015872,0.2810464396336152
hsa04978,0.4104275469273029,1.5840562006642338,0.0,0.2814654071993873
hsa04727,-0.34562798340687506,-1.336955020728409,0.03076923076923077,0.2818964252530686
hsa03013,-0.3088497411560081,-1.3322291078301838,0.030303030303030304,0.28209119069982347
hsa00100,-0.4508915170351087,-1.3326518327409953,0.1935483870967742,0.2851904567031545
hsa04668,0.27864508181543585,1.2906100875493354,0.0,0.2917148477976843
hsa05162,0.31113464201754937,1.482836983232883,0.0,0.2970130201684963
hsa04370,-0.36330604939190064,-1.2999540880665754,0.10344827586206896,0.3284398585097886
hsa04925,-0.31888157765295183,-1.2945608932620538,0.07246376811594203,0.33405457319248444
hsa00500,-0.40107303612706885,-1.2866114593087528,0.1724137931034483,0.33471991295417874
hsa00062,-0.41399157902351535,-1.2882594652315005,0.2033898305084746,0.33486016702799914
hsa05031,-0.3353555943216009,-1.2895627946398303,0.109375,0.33871519862947785
hsa04650,0.26574088399457835,1.2548163060237123,0.037037037037037035,0.3455025104246447
hsa05167,0.2590265873543861,1.2576799162945218,0.0,0.34924687260658666
hsa00670,-0.43240782856263466,-1.2691580965053928,0.21311475409836064,0.3533697894043431
hsa01040,-0.4099678471833236,-1.2757384119267279,0.2033898305084746,0.35375361593758586
hsa00513,-0.38937286358543555,-1.2701125005743557,0.21052631578947367,0.3559258818626317
hsa04911,-0.32473566248588176,-1.2643914720130291,0.06153846153846154,0.3576943984362652
hsa03460,-0.3581645668271175,-1.2707434472268124,0.13114754098360656,0.36001167723990357
hsa00532,-0.4265635203931491,-1.2607481750163816,0.22580645161290322,0.36093696513276935
hsa05230,-0.3270854619102143,-1.257761163043246,0.125,0.36206322978705524
hsa04115,0.30384534731312796,1.2422251513494917,0.06060606060606061,0.36282593545805186
hsa05202,0.2494558999190183,1.2344199084104563,0.027777777777777776,0.369361622079196
hsa05142,0.2787755786358297,1.227974963619149,0.06666666666666667,0.38106085897763203
hsa04730,-0.3447316687619316,-1.244687524212748,0.15517241379310345,0.38155464613937645
hsa04140,-0.28913376437592464,-1.2467115019539103,0.07142857142857142,0.382727218391554
hsa05163,0.23599313390995785,1.2168371599034586,0.034482758620689655,0.38940951574437876
hsa05164,0.24149744595567077,1.2122560729979972,0.02702702702702703,0.3967321930048507
hsa05226,0.2573906796200448,1.218211059295553,0.034482758620689655,0.397804442175134
hsa05215,0.2723763824681747,1.2041139466875839,0.0967741935483871,0.4067066038912077
hsa05169,0.24373276717316575,1.2003467410406718,0.0,0.411353772599624
hsa05220,0.2904635333239311,1.198063605229039,0.16666666666666666,0.4124585141690069
hsa00240,-0.35117626909596006,-1.2304519439822577,0.17857142857142858,0.4131834901065671
hsa04975,-0.3545361142252912,-1.2242435978746022,0.2033898305084746,0.4272274112833554
hsa04062,0.2394959185473307,1.1799348184104788,0.11428571428571428,0.4319632371713046
hsa04144,-0.2619690190189965,-1.2196578019690894,0.11842105263157894,0.43245197937873686
hsa00730,-0.4556800422319808,-1.217695913655591,0.19642857142857142,0.4325617167320918
hsa04512,0.26863163731623574,1.1893315124144708,0.1388888888888889,0.4330954257362001
hsa02010,-0.3485590918689905,-1.214239242200251,0.2542372881355932,0.4361093452002543
hsa05143,0.33041471261858324,1.1812885647775369,0.22916666666666666,0.43694153689047743
hsa04744,0.34064553718456464,1.1818849190492202,0.1956521739130435,0.44372864600024986
hsa05225,0.2324471106883269,1.1598658023352755,0.06060606060606061,0.45591209913395264
hsa00620,-0.3563612203712465,-1.2028067727179577,0.22807017543859648,0.45691689915820216
hsa04218,0.2353999847214709,1.1618568247330783,0.1,0.46001591854510504
hsa04068,0.24330776967029738,1.1658513451067236,0.09090909090909091,0.46085269338779683
hsa04966,-0.37944712135045083,-1.1966816871984443,0.22807017543859648,0.46690058193554695
hsa04933,0.2603775273121255,1.1469336237878658,0.2,0.4871652834042225
hsa03015,-0.29303544274799725,-1.1816914015648579,0.136986301369863,0.4972417996467118
hsa04921,-0.27574320650950496,-1.1828885955810182,0.19696969696969696,0.49770069350488927
hsa05160,0.22566821443102789,1.1208574007696006,0.20588235294117646,0.4992876378400191
hsa04915,0.23822720429125144,1.1390868199534692,0.20689655172413793,0.500837839719637
hsa05145,0.25179785235771923,1.1168676741438008,0.2222222222222222,0.5020849289422177
hsa04971,0.2741669868333773,1.121168804072253,0.29411764705882354,0.5071211239782871
hsa05321,0.27926699215998646,1.1342873185485562,0.18421052631578946,0.5072121521572632
hsa00061,0.3739513391165493,1.1394220799479713,0.24444444444444444,0.5085240972399513
hsa05130,0.22768939396410337,1.1229651652657768,0.17142857142857143,0.5105693132499363
hsa00830,0.29214939759342484,1.127558489294471,0.16666666666666666,0.5154190839224249
hsa00983,-0.3039465122428078,-1.1687835849041561,0.234375,0.5174662167669161
hsa04216,0.2986369822659082,1.123520217249859,0.20512820512820512,0.5184960818336413
hsa03420,-0.3333042654116211,-1.1610975817197533,0.3050847457627119,0.5195633881430843
hsa04657,0.26669786044566984,1.1288730485216985,0.2222222222222222,0.5203230184217245
hsa00071,-0.33126815562693074,-1.1703880833594806,0.25,0.5209292350584793
hsa04114,-0.2683248956611481,-1.1613910432149734,0.22972972972972974,0.5234872462063875
hsa00980,-0.30049052350190575,-1.1634356278444538,0.24193548387096775,0.5245716028110105
hsa05217,0.2742375399268448,1.1068059316840606,0.1951219512195122,0.5289204110288487
hsa04964,-0.3696091409006001,-1.1541375958910702,0.3387096774193548,0.5371856369949186
