Gene Set,ES,NES,P-value,FDR
hsa03040,-0.5726411049896232,-2.5666777720626968,0.0,0.0
hsa04141,-0.4932275971918463,-2.2696918517586444,0.0,0.0
hsa00190,-0.6360556283277626,-2.801430696222521,0.0,0.0
hsa03020,-0.6157498546227694,-2.0762964933747794,0.0,0.0
hsa03050,-0.7654561884360614,-2.7182039731440772,0.0,0.0
hsa00970,-0.644506016118506,-2.2833351257603356,0.0,0.0
hsa04714,-0.5015629105512474,-2.328807629773144,0.0,0.0
hsa00510,-0.5638119398439219,-2.008513884508323,0.0,0.0
hsa04136,-0.586405316381498,-1.9811178317461897,0.0,0.0
hsa00620,-0.6200095803702937,-2.1378975681463115,0.0,0.0
hsa03060,-0.6566539372949602,-2.0434552544078124,0.0,0.0
hsa03010,-0.6669301358011073,-2.9892977297018826,0.0,0.0
hsa05415,-0.5339607909158823,-2.4137647179673345,0.0,0.0
hsa05017,-0.5118413149509811,-2.2785297949301784,0.0,0.0
hsa03013,-0.5504915485219861,-2.4417745933854738,0.0,0.0
hsa05012,-0.6016829697519713,-2.842172276781149,0.0,0.0
hsa03008,-0.6444234540928014,-2.5661916831709446,0.0,0.0
hsa00630,-0.6129167111619771,-2.0667431889140344,0.0,0.0
hsa00020,-0.7360579103119766,-2.444796036969462,0.0,0.0
hsa04721,-0.49555162386280055,-1.9733615337275483,0.0,0.0
hsa04142,-0.4603248867947657,-2.0447258036202243,0.0,0.0
hsa04120,-0.49220410672838005,-2.1833431067199554,0.0,0.0
hsa05110,-0.5654456215552768,-2.0087530306494363,0.0,0.0
hsa05020,-0.5593928496616745,-2.662841726383681,0.0,0.0
hsa04145,-0.4980839050830054,-2.218799153863985,0.0,0.0
hsa04932,-0.48275135201066904,-2.0996322099821754,0.0,0.0
hsa00280,-0.5780060590486016,-2.014447167701393,0.0,0.0
hsa03420,-0.5718692904967249,-2.0260000770803046,0.0,0.0
hsa00051,-0.5909234366976265,-1.9406265240606182,0.0,0.0006498050584824553
hsa00010,-0.5023718047611947,-1.9569052332847325,0.0,0.0006722121294646089
hsa00130,-0.7500552314292411,-1.8998143914751198,0.0,0.0016709272932405993
hsa04146,-0.4722485653020955,-1.917320841158432,0.0,0.0017200722136300288
hsa05132,-0.40167462604333026,-1.9272166780178088,0.0,0.0017721956140430597
hsa00250,-0.5466708000116873,-1.9286550731187984,0.0,0.0018275767269819055
hsa03018,-0.4850166221109398,-1.931409563006875,0.0,0.001886530814949064
hsa00640,-0.5604924293036494,-1.8765729156576099,0.0,0.00270752107701023
hsa04216,-0.5458852004581237,-1.8584630028580758,0.0,0.0038475299515408536
hsa04137,-0.482042696757511,-1.8602552482661883,0.0,0.003951517247528445
hsa04140,-0.41784049174295174,-1.831942867960707,0.0,0.005848245526342098
hsa00071,-0.5228735633104808,-1.829734724139072,0.0,0.005943338949534652
hsa03430,-0.5926501571933438,-1.8442805395048822,0.01694915254237288,0.005998200539838049
hsa04144,-0.3839088659811457,-1.8272058290411406,0.0,0.006265977349652246
hsa04130,-0.5544363602359343,-1.820800868197827,0.0,0.006645733552661475
hsa00520,-0.5189834936191886,-1.808743718925342,0.0,0.006780574523295185
hsa03015,-0.44261658169123574,-1.8217894465662945,0.0,0.006800285495746626
hsa05171,-0.39053833304161345,-1.8133092191896978,0.0,0.006931253957146189
hsa00900,-0.600604706265874,-1.7997277686394104,0.0,0.00974707587723683
hsa03030,-0.5241562627938126,-1.7755620819139821,0.0,0.011696491052684195
hsa00513,-0.5134134336235052,-1.7763391306632321,0.0,0.011935194951718566
hsa00270,-0.5000765810093674,-1.7814641466316108,0.0,0.012183844846546036
hsa00511,-0.5935208531990288,-1.7630123229688492,0.017543859649122806,0.012996101169649103
hsa00030,-0.518091388736551,-1.7208262505245917,0.017543859649122806,0.018556932920123965
hsa04962,-0.4850203326282071,-1.7183143904033265,0.0,0.01894243047840365
hsa01040,-0.5355735458189216,-1.6974546899651077,0.03333333333333333,0.020911908245708107
hsa04966,-0.5280084940721882,-1.700374852025139,0.03389830508474576,0.02093816299554578
hsa04964,-0.5343963544388406,-1.6629993005340191,0.03389830508474576,0.022059171722167557
hsa00330,-0.46817103687011685,-1.6678043890638345,0.0,0.022453085502920554
hsa00500,-0.5010071774458735,-1.6453363615593284,0.0,0.026384326081485898
hsa00072,-0.6957139879747389,-1.6435766011417894,0.01818181818181818,0.027093566845200676
hsa04217,-0.3705439044212534,-1.6270403002306968,0.0,0.030040168277385638
hsa00062,-0.5137011197268544,-1.6281319003300732,0.06666666666666667,0.03021593521943417
hsa04114,-0.3804351021416867,-1.6217037543244275,0.0,0.033328711064100125
hsa04723,-0.361094043321323,-1.6085546021671948,0.0,0.039916596449636535
hsa00400,-0.8182183743966891,-1.6047384009418924,0.03636363636363636,0.04020668799360192
