Gene Set,ES,NES,P-value,FDR
hsa03013,-0.5268698811308028,-2.971416817149506,0.0,0.0
hsa04061,0.37006246814921373,2.0473562062217687,0.0,0.0
hsa03050,-0.6775276513250682,-2.8906787608635676,0.0,0.0
hsa03018,-0.5161887439241646,-2.5090914358213845,0.0,0.0
hsa04216,-0.4998375456713582,-2.036349510853875,0.0,0.0
hsa03008,-0.5610156054461747,-2.7269859475935183,0.0,0.0
hsa05012,-0.4358546151341469,-2.689324330402903,0.0,0.0
hsa03020,-0.510811430742416,-2.006942621730876,0.0,0.0
hsa04392,0.5383872178105625,2.072801606993492,0.0,0.0
hsa04120,-0.4015600994198958,-2.21510432434035,0.0,0.0
hsa04141,-0.4312965212687692,-2.4323738560185855,0.0,0.0
hsa00563,-0.5777809069754465,-2.0714714216614247,0.0,0.0
hsa05150,0.3969528699164998,2.0700900913553006,0.0,0.0
hsa05415,-0.38779166689922473,-2.1962643473049535,0.0,0.0
hsa03430,-0.6001530784270634,-2.0166330069346077,0.0,0.0
hsa00190,-0.5137006692037239,-2.6950055681847918,0.0,0.0
hsa04640,0.42179218750095615,2.3265992625813485,0.0,0.0
hsa04932,-0.3890527320186482,-2.149057774486685,0.0,0.0
hsa03030,-0.49364155276372523,-1.9817235494011838,0.0,0.0
hsa03040,-0.5486752597364492,-2.9560675331764563,0.0,0.0
hsa00970,-0.5928166848982844,-2.5664526367501,0.0,0.0
hsa04060,0.3861505065983528,2.510270026576116,0.0,0.0
hsa00510,-0.4665813579301909,-2.11020172948583,0.0,0.0
hsa03420,-0.5724062459886872,-2.4780907095453175,0.0,0.0
hsa04512,0.4759525096312256,2.5548477854308387,0.0,0.0
hsa05020,-0.45596624259496527,-2.784633965337286,0.0,0.0
hsa05017,-0.47535715318791977,-2.656944270429299,0.0,0.0
hsa00020,-0.6275012923861514,-2.4762465428047262,0.0,0.0
hsa04136,-0.5405140033679192,-2.0962055332039773,0.0,0.0
hsa03060,-0.7106475889698749,-2.3879164095453596,0.0,0.0
hsa04610,0.4091089699670302,2.135763974398805,0.0,0.0
hsa04714,-0.3796477963936867,-2.29162603563789,0.0,0.0
hsa03010,-0.47963075938706595,-2.5840802744011295,0.0,0.0
hsa04146,-0.43570881844018994,-2.1087430698937406,0.0,0.0
hsa03022,-0.4637507991393245,-1.926159056410993,0.0,0.00030782761653474057
hsa04140,-0.35992080761781653,-1.9544535720922669,0.0,0.00031844236193249016
hsa00280,-0.45116572845335556,-1.968457659727469,0.0,0.00032981530343007914
hsa04950,0.5033947160254231,1.9058904983699765,0.0,0.0019419547588561672
hsa04142,-0.35116128524295054,-1.866131015881581,0.0,0.0020852838539450165
