Gene Set,ES,NES,P-value,FDR
hsa05110,0.5778821321555478,2.1164375193103897,0.0,0.0
hsa04141,0.5152953817309448,2.5416611431880978,0.0,0.0
hsa04260,-0.4748780837324648,-1.9842115207372826,0.0,0.0
hsa04610,-0.41869502822683796,-1.785978319172659,0.0,0.06521217933349316
hsa04950,-0.559294029756462,-1.793626875346146,0.0,0.08151522416686646
hsa04142,0.42379131226935607,1.974560170402755,0.0,0.08743940061701191
hsa04060,-0.3212598779705999,-1.6487215526064254,0.0,0.11303444417805482
hsa04020,-0.3373753190737886,-1.681795854219755,0.0,0.1173819228002877
hsa04061,-0.39045878613976603,-1.6878711106514737,0.0,0.13531527211699831
hsa05033,-0.4386419656883076,-1.5911252241708973,0.017241379310344827,0.138575881083673
hsa05143,-0.4391422244571395,-1.5982925625307973,0.01639344262295082,0.15091961502894133
hsa00533,-0.5503148122820659,-1.5418646243035798,0.038461538461538464,0.15846559578038838
hsa00601,-0.44115890391110657,-1.5442341641880946,0.047619047619047616,0.17534830443005942
hsa04150,0.3348823886121217,1.5950520032175466,0.0,0.17904943053976943
hsa00471,0.7994518310082485,1.612723393453605,0.020833333333333332,0.1807991773174673
hsa00280,0.43171426080348635,1.59993909628553,0.08333333333333333,0.1812299739139757
hsa00600,0.4500133449519004,1.6137259585428108,0.06818181818181818,0.18409116665617326
hsa05219,0.43336737943913883,1.5739078576981063,0.08108108108108109,0.184967962843679
hsa03013,0.3361846505524325,1.6183549982508982,0.0,0.1856479921188396
hsa05213,0.4313457760325784,1.6236416647693062,0.06451612903225806,0.1877959854160824
hsa04140,0.35248132691067086,1.6271895600251811,0.0,0.19059056853239312
hsa04910,0.34603649476910914,1.6312664731658741,0.0,0.19409431467606877
hsa05203,0.34856416841469423,1.8230268186808387,0.0,0.19673865138827673
hsa05210,0.37079878739059674,1.6325083130152502,0.03333333333333333,0.19947113265755842
hsa04723,-0.32187873477653123,-1.4881689884553118,0.0,0.1997864039580654
hsa04914,0.3754268052489771,1.645874477818386,0.030303030303030304,0.20142290499275955
hsa04145,0.34138521437212915,1.636681572160526,0.0,0.2023920609109284
hsa05216,0.42887852353997646,1.5479045049664937,0.06666666666666667,0.20411635081533716
hsa04931,0.3592674610486303,1.6487284185711946,0.03125,0.20523970422604182
hsa04940,0.42428403419538147,1.5409188762204586,0.08108108108108109,0.20713540938847025
hsa04110,0.3840273889328192,1.8034613662718693,0.0,0.2082150727192596
hsa04144,0.3172559358254996,1.652312411721525,0.0,0.20871953079974237
hsa05220,0.40697113891861086,1.8059332164555053,0.027777777777777776,0.21313353900396653
hsa05161,0.30521871389597544,1.52930806926758,0.0,0.21469495687212745
hsa05132,0.2801072639685681,1.485453503554743,0.0,0.21518289995592774
hsa05212,0.42992281625840073,1.8654587437658376,0.030303030303030304,0.21641251652710444
hsa05215,0.37621611091526275,1.6571927331947556,0.037037037037037035,0.21706831203173205
hsa00510,0.3997354676129914,1.4864083451040522,0.0975609756097561,0.2194124321333796
hsa04310,0.30696426273429267,1.4716593776712645,0.0,0.22245612215798619
hsa04137,0.36372004994828583,1.4889163676840897,0.07894736842105263,0.22275662521317569
hsa04216,0.44846988298094576,1.657388105109243,0.06976744186046512,0.22474658439841338
hsa05170,0.2784688362631898,1.4655281344294313,0.0,0.2247991321151304
hsa04612,0.4114623639817426,1.8258630142923713,0.027777777777777776,0.22484417301517343
hsa04530,0.30566658650667755,1.4926592398093788,0.0,0.2261749268800833
hsa00250,0.48828705585204807,1.4754741095144206,0.11764705882352941,0.2262494490965183
hsa04146,0.3422063650583415,1.4901095558243809,0.027777777777777776,0.22697811076832672
hsa03040,0.32744646329609495,1.4963120762161048,0.0,0.2302909795320139
hsa03015,0.3251476989527529,1.4764148432418278,0.05555555555555555,0.23053219524918828
hsa00220,0.565517708180586,1.6588177574393885,0.025,0.23451817502443137
hsa04721,0.39299146220365794,1.6602722154211171,0.02631578947368421,0.2421972034135983
hsa04218,0.3591451989173772,1.7314324942461239,0.0,0.24373732921992067
hsa05144,-0.37960062964800095,-1.4632826177433276,0.015625,0.24400223767282023
hsa05162,0.29907108788252784,1.4153102297337783,0.0,0.24761933709214146
hsa05130,0.32812395831676416,1.683871941279626,0.0,0.24764909187910275
hsa04068,0.3062361673986282,1.4248098503904651,0.038461538461538464,0.24855820688786753
hsa04966,0.5492718502308818,1.6667866178512636,0.02702702702702703,0.24904614997166782
