Gene Set,ES,NES,P-value,FDR
hsa05020,-0.41352109785485985,-2.071958333013939,0.0,0.0
hsa05161,0.4526968802766332,2.2143456089507945,0.0,0.0
hsa00190,-0.5298732498612009,-2.333622425237259,0.0,0.0
hsa05017,-0.4074341171204691,-1.86932225425715,0.0,0.0
hsa05012,-0.45504128593983945,-2.2263045803261514,0.0,0.0
hsa03050,-0.708287764150105,-2.5839670333135323,0.0,0.0
hsa05205,0.3975786005593843,2.008339950312089,0.0,0.01648488885188577
hsa04012,0.4393707839108917,1.9031126836068673,0.0,0.019232370327200064
hsa05206,0.4015960380714645,1.9654908595790386,0.0,0.020606111064857213
hsa05210,0.43995054125979083,1.9365534411319822,0.0,0.023078844392640078
hsa05220,0.4940640973661014,2.0310939079685952,0.0,0.024727333277828657
hsa04218,0.38968650582435077,1.84053584356248,0.0,0.04709968243395935
hsa04932,-0.3739109954124589,-1.7010155044805289,0.0,0.06449056416860667
hsa05212,0.4281424955448669,1.8146873708691325,0.0,0.0680001665140288
hsa05415,-0.344357308930187,-1.6368620017166071,0.0,0.08368418445688246
hsa04260,-0.4046781294390591,-1.6413504929144171,0.0,0.09388422266722332
hsa05310,-0.4600361142667879,-1.5955188256741384,0.0,0.1016835350383322
hsa03010,-0.34726615089103074,-1.567188889837459,0.0,0.10776345354581028
hsa04714,-0.32689905443385936,-1.5584953700796818,0.0,0.10850793336305249
hsa04723,-0.34607525953648954,-1.569657819362531,0.0,0.11424042795581753
hsa05135,0.37768561533929257,1.775485908076787,0.0,0.1153942219632004
hsa04722,0.3920021913781658,1.7792898581052197,0.0,0.1153942219632004
hsa05100,0.42387667060959816,1.7613004439318323,0.025,0.13337773707434852
hsa03020,-0.43507194625421436,-1.5054383780918943,0.03278688524590164,0.13748537855724938
hsa05223,0.4139437190070409,1.7200268535689156,0.025,0.14582786292052796
hsa05213,0.43684270738002856,1.658189654827367,0.0,0.14908073396488003
hsa05131,0.3187187504364428,1.658587183744583,0.0,0.15585713096328366
hsa04068,0.3555443961933741,1.6616003923531975,0.0,0.15699894144653115
hsa04390,0.36999498975924155,1.7243209932188768,0.0,0.15798018483057197
hsa04917,0.41339526245782443,1.6808117573245065,0.025,0.1587755084155314
hsa05219,0.46418850016554825,1.6780222781611107,0.0,0.15990342186329198
hsa04962,0.45455129541280076,1.6431841805595049,0.0,0.1600407959370577
hsa00603,-0.5100766331106489,-1.436911742960089,0.058823529411764705,0.1617382402958707
hsa05215,0.37974129513599164,1.6874759854207662,0.030303030303030304,0.16210140704354342
hsa04666,0.3896693263672381,1.6889566148774475,0.03125,0.1648488885188577
hsa05033,-0.4039034999062545,-1.456796163907531,0.03389830508474576,0.16813611372529597
hsa04964,-0.4514110988710465,-1.4693744001201905,0.03636363636363636,0.1684651472159521
hsa00130,-0.6096930570611203,-1.4411600812366718,0.08,0.1698070877268635
hsa04910,0.3422578755751865,1.6190387782117415,0.0,0.16992116201174562
hsa03030,0.4658001528524506,1.623662063897762,0.024390243902439025,0.17210223961368745
hsa05225,0.34898240281844295,1.6964569781123156,0.0,0.17254183664973774
hsa05110,0.4609792814735896,1.6899104278142991,0.0,0.17309133294480059
hsa00790,-0.43604155739959916,-1.4602312370932475,0.05,0.1744316211798504
hsa03008,-0.3510292349415874,-1.3990521146509676,0.015873015873015872,0.17535291495368766
hsa00601,-0.4066075981723991,-1.406945881899798,0.04918032786885246,0.17811679627519936
hsa04142,0.37496741090841146,1.6965266456790788,0.0,0.18486625355329045
hsa05226,0.33526372318159375,1.5672317638385205,0.0,0.22387542602077126
hsa05211,0.38758863571085544,1.575885345262356,0.025,0.22737777726738995
hsa05166,0.3079247648555676,1.5715087620681722,0.0,0.22749146615602361
hsa05224,0.34248844132015904,1.5828329406516095,0.0,0.22834623817056587
hsa04510,0.3060843751614909,1.5509262391381102,0.0,0.2292898176671385
hsa04392,0.4737707749070151,1.5540961286023252,0.06,0.23078844392640077
hsa04520,0.38040667564612834,1.577696266276705,0.025,0.23196593598724982
hsa05160,0.32878952262858835,1.5388084299847549,0.0,0.23951573802445797
hsa00533,-0.48200501130049295,-1.355115686746787,0.07692307692307693,0.24977297868476234
hsa05203,0.3016850042607901,1.522676001072308,0.0,0.2679971930492287
hsa04310,0.31961074897253644,1.5143128633446994,0.0,0.27841145616518187
hsa04914,0.33986694133018974,1.4971883199179998,0.07317073170731707,0.2967279993339439
hsa04640,-0.3106174596176797,-1.3282601091740527,0.045454545454545456,0.2981641668055061
hsa04110,0.3272939374057673,1.4899774387874334,0.0,0.29884144662264717
hsa00534,-0.41355704466444293,-1.3225660454236752,0.1111111111111111,0.29962075775228436
hsa04926,0.3297027872520808,1.4917284741431591,0.0,0.3032351923017935
hsa04512,0.327293220575134,1.4280835742395217,0.10526315789473684,0.3113466743535407
hsa00310,0.3718153390776905,1.4070475176254702,0.07894736842105263,0.31292367960948075
hsa04330,0.39717890431190395,1.4794389633885285,0.05405405405405406,0.314037132628424
hsa04071,0.3217444690875029,1.440523002362078,0.034482758620689655,0.31455859339822845
hsa04928,0.31738999375997046,1.4303462770540523,0.08823529411764706,0.31479797365235707
hsa04912,0.33800070749806704,1.444135796859847,0.12121212121212122,0.3149300641079011
hsa04010,0.2573238496412575,1.4175245239687655,0.03125,0.3153498182221852
hsa05231,0.3247167212503912,1.4074303959976113,0.125,0.3185116024596501
hsa04931,0.32203430324297844,1.4452666432579884,0.09090909090909091,0.31882476524179076
hsa04550,0.30212994523848136,1.4311572217658106,0.03333333333333333,0.31967755048068686
hsa05130,0.28008332618166076,1.4115584881803704,0.029411764705882353,0.31980684372658397
hsa03015,0.33575708120908077,1.4543150870710013,0.10810810810810811,0.3203313629173258
hsa04150,0.31300423426024104,1.4714211622758817,0.0,0.3212542973818715
hsa05162,0.3107249838569353,1.44809964354045,0.0,0.3218136997607266
hsa05222,0.32889546608515147,1.4487366396685295,0.08823529411764706,0.3245691449504621
hsa04919,0.3209334963762113,1.4567105179204547,0.034482758620689655,0.3247139734313313
hsa05163,0.2680597959772457,1.396177603076887,0.030303030303030304,0.32543444371395186
hsa04144,0.2713313012010146,1.431369945903669,0.0,0.32607110149030055
hsa04360,0.2988898825136478,1.460369808537113,0.03125,0.3261653008551684
hsa04340,0.3748536309654546,1.3844014191794007,0.1794871794871795,0.3355652798494036
hsa04350,0.31497609645164104,1.3804883454761783,0.11428571428571428,0.33656648072600115
hsa05152,0.2648650354105457,1.3240880178314105,0.06060606060606061,0.33927683407327064
hsa05164,0.26356669014516576,1.320170062644299,0.0625,0.3415668970110732
hsa05412,0.3212496311504327,1.3249732041854572,0.1282051282051282,0.34324700075159414
hsa04210,0.2788088506267418,1.3149667632346702,0.1,0.3442305079992463
hsa04625,0.29757778518317235,1.3268672843465013,0.1,0.3459537090999916
hsa04933,0.3079117512541522,1.3729453257187418,0.1,0.34807437444637496
hsa04611,0.29412000238665237,1.3284296329572858,0.10344827586206896,0.3494332073533533
hsa04115,0.33905913298391266,1.3350346990985846,0.10810810810810811,0.3504830716770496
hsa04710,0.42365769785472956,1.3304082217208402,0.15384615384615385,0.35159912936950655
hsa04370,0.3470450076093848,1.303234710884832,0.10810810810810811,0.35303352878908617
hsa04810,0.2546569319824893,1.2993693018809802,0.058823529411764705,0.3540024208578034
hsa04530,0.285669520914332,1.3369971873138327,0.03125,0.35442511031554413
hsa05216,0.37788038634725707,1.3378192719503224,0.11627906976744186,0.35873086486640976
hsa04660,0.29931202988407,1.343290725121584,0.09090909090909091,0.3593705769711098
hsa04141,0.2789173528993557,1.3398784757828277,0.06451612903225806,0.3596703022229623
hsa04211,0.3085043146459243,1.3461081743952952,0.10526315789473684,0.3603493672466905
hsa04915,0.27390961768845545,1.2877825036039454,0.10344827586206896,0.36225021578321137
hsa05410,0.2907874374228372,1.2825692327105864,0.10526315789473684,0.3643160436266756
hsa05132,0.2587018487906458,1.3462639716917404,0.06451612903225806,0.3660691984728285
hsa00565,0.37699513272343904,1.3489629517454538,0.13636363636363635,0.3711758844714925
hsa05170,0.24659895896005313,1.2592520714947866,0.06060606060606061,0.3897353352019908
hsa05217,0.3342631009523584,1.2552356788818249,0.13513513513513514,0.3898073107781282
hsa05120,0.31619043141964953,1.2501858033169695,0.18421052631578946,0.39126784383391533
hsa05214,0.29712033508707447,1.225453492348539,0.1794871794871795,0.4158070788052129
hsa04664,0.321045189997056,1.2269518073061934,0.20588235294117646,0.4182059302781973
hsa03420,0.3298638176485018,1.2182460020791577,0.1794871794871795,0.42343162178855426
hsa05202,0.24016605057052465,1.2143649501676037,0.08571428571428572,0.4234911101605138
hsa00670,0.41501654162703255,1.20703718109803,0.22916666666666666,0.4276704687369911
hsa04072,0.2533855290105283,1.1932427256485048,0.15151515151515152,0.4347662993903939
hsa05145,0.2673885884627545,1.1971593896924775,0.1724137931034483,0.43490470813739085
hsa04934,0.2482452876791793,1.1888511972969251,0.1388888888888889,0.4355952695536338
hsa04216,0.3403484255335378,1.1934941921770374,0.25,0.43923070518691204
hsa04974,0.2715414597821714,1.184821053606029,0.15789473684210525,0.44030606352778767
hsa00471,0.5872497075483893,1.181523410629831,0.2857142857142857,0.44140920468294137
hsa04120,0.2514367189223842,1.1750638043700379,0.17857142857142858,0.4428361721053946
hsa03450,0.408232451835501,1.1694821195614131,0.2857142857142857,0.45075867954375154
hsa05230,0.28607597726571965,1.163147983887155,0.225,0.4516523119113601
hsa00920,0.4444249816219293,1.165372609803685,0.23076923076923078,0.4534194170807344
hsa05142,0.259781454025598,1.1547840253361816,0.1935483870967742,0.45465323453500955
hsa04750,0.2697877389890387,1.1580188289243523,0.16666666666666666,0.45591541087336607
hsa05221,0.28797883012505804,1.1427415823243072,0.2702702702702703,0.4682031667050302
hsa04935,0.2536616916322969,1.1456946320414851,0.2413793103448276,0.4690848570328684
hsa00600,0.3186484573373009,1.1401870376246792,0.3181818181818182,0.46973930854645374
hsa00120,-0.4354637206571409,-1.2689505054403991,0.15384615384615385,0.47011573959416847
hsa00440,-0.6459738429226174,-1.25906584338837,0.27450980392156865,0.4965159245133489
hsa04152,0.2541706032269729,1.1143782897605448,0.18518518518518517,0.5022498846462393
hsa00232,0.5059982751539314,1.1155128522770303,0.34615384615384615,0.5044998059954476
hsa04014,0.21462377871365573,1.1165043598226283,0.15625,0.5064785851065094
