,GO:0000724,GO:0006909,GO:0006650,GO:0050810,GO:0009062,GO:0007264,GO:0051180,GO:0050852,GO:0016042,GO:0006665,GO:0030036,GO:0050909,GO:0034754,GO:0006790,GO:0006493,GO:0034976,GO:0050658,GO:0006284,GO:0048010,GO:0006163,GO:0051321,GO:0050900,GO:0006633,GO:0006289,GO:0030520,GO:0033209,GO:0007179,GO:0006487,GO:0019933,GO:0006915,GO:0006303,GO:0000165,GO:2000479,GO:0090398,GO:0007623,GO:0006914,GO:0042278,GO:0060048,GO:0050853,GO:0009267,GO:0006090,GO:0008203,GO:0016567,GO:0046486,GO:0016055,GO:0006897,GO:0030433,GO:0006401,GO:0019722,GO:0043648
hsa00600,-7.6801329150692474,-0.04796158284791278,0.9788777018404373,0.45922907460170576,0.5848271899163898,-3.8445589730671563,2.6236511801947957,-1.1724257810487084,5.323635236489558,18.82989332588145,-4.434849541574015,-0.8295422671509912,0.23244170363275013,-1.0224045767747172,1.5861850194999068,1.6958432280702334,-5.898098560901897,-4.590856277906866,-0.6348506092146083,-1.8103278738398736,-3.04720199092767,-1.2701842765302835,1.4820050911006848,-7.663674096597354,-2.5479488806348978,-3.1172876030852747,-1.7683954039563872,3.242321059914016,0.7669117148063301,-4.608428538369701,-5.415367069491632,-3.8641169816687495,1.3033304185584595,-3.5281493648208744,-3.336599867632279,0.3205178944445345,-0.2223262886817827,0.2568251361004503,-0.9157350441055155,-3.3756011809300355,-1.5048478890319026,3.1030632229354715,-7.491513625926754,1.0508488187571097,-1.5699268346128752,-1.768796658219199,3.055015516754522,-9.921675458913294,0.8937947523772389,-1.9289925179156915
hsa04979,-6.684402365934528,3.5137734184021165,2.277436973559236,3.69324429623246,0.21213568187035556,-3.4921872750299894,3.8710955517964365,-0.5111373714921285,3.0001452359874357,1.091081551295969,-6.416445775177755,-3.7176123824051013,-0.5460878063401661,-1.3391102319746753,1.471311131094596,-0.036175262281575284,-8.49960621147145,-4.725595114290072,0.4782264868778547,-2.959527467966226,-2.969213842373997,-3.3104859155926682,1.4401261175116564,-7.384409122365246,-1.2773664757461463,-0.8218568588931144,-0.8733355846114444,2.932137056172869,-5.187992223526912,-3.659669025664037,-4.895704558901685,-2.420409270638793,0.8739417929798389,-1.1163963869417737,-2.22381375187998,-2.4709634314935403,-1.5593564273638143,-1.086897550648369,-1.0118240266380267,-4.112799696117013,-1.5182687834462334,7.817240713190308,-8.81497511495249,3.436732304271019,-1.3840617734318776,2.351627283111928,2.172770850918729,-11.280148858299137,-1.4299999093260558,-0.9412913304842806
hsa04015,-9.08313392508497,3.0352118121717155,-1.1680713174761734,2.090202313577794,-6.361650675094177,6.305760491861831,-0.01459354643705333,1.53792111438125,-3.620072331673908,-5.170097539234658,5.970853603273594,-2.065310709821785,-5.009522437045656,-8.314291041649167,-7.232274540579919,-2.8811877518906224,-8.260505330204538,-5.868998680490956,5.253464592740474,-3.953622120622565,-4.301283056721455,4.32537460730503,-2.002672768472425,-11.462714735985115,-2.69641366886187,0.034668069583238065,2.079028864082907,-5.1002596086222445,-0.6482430625518782,-5.340268493101941,-6.278899674458763,5.7588497747612255,2.0576223002100416,0.25220156468728533,-4.958035401448417,-6.729410431994126,0.07624048849792335,-0.38141301329276467,3.5248547319470367,-2.2533397861225346,-2.214036029913391,-2.527157120827981,-19.85396344911875,-2.3523243813575294,-1.0575003885582461,1.552180774076628,-6.789361164755831,-13.113207362279518,5.021607537874731,-6.860414637967898
hsa00514,-8.917758550746774,-2.0753049216487085,-2.846916016355812,-2.435995399470943,-2.678348214100143,-5.876220560563418,-0.33827117967913334,-2.480578255577374,-4.224609104777451,2.112980170802368,-11.358266728294156,-2.1320084147746643,-4.286647094979653,-2.182107331427955,13.807964342954048,-3.024854412437572,-6.602615498133092,-4.223327417042221,-0.8126688307427361,-5.517392917558383,-2.6116980663487657,-2.056978347800322,-1.921889553352017,-8.54037791032438,-1.291804380667105,-4.2461585557625225,-2.3585588115807887,4.792949253547677,-4.615069078551808,-11.990871491685043,-7.40390213556539,-5.628525236008765,-0.7662188942636288,-4.0957221555163805,-5.501423867273296,-6.748006062438906,-1.8295171828471792,-1.1517070767943325,-3.1247997623670427,-7.506263834184311,-1.2587640771379378,-1.25857788906398,-14.56082838917163,-3.3826101521908174,-2.628012213340389,-7.9592891753081645,-0.14549836442698574,-8.205249663641204,-3.7889116609200046,-3.6586024021338073
hsa04136,-2.781181497548913,-2.555490633084099,-2.775121496159557,-1.2358775816793166,-0.36616280270845775,-2.2045134928454355,-2.32939650678908,1.228516314151843,-1.6817829833934954,-5.219864629000997,-3.950634434632486,-5.94426925579663,-2.3988698742311643,-2.169126725243679,-4.707951866366295,-2.163890109007035,-1.0205550628500961,-2.249653502988447,0.4458921685021507,-1.1968824520839623,-1.3974427656593873,-6.937059865932237,-2.5265849772434747,-2.8530189865114743,-0.9348993634795784,0.29541341176633423,-2.9800118833515095,-3.058952233054353,-6.2151446651493325,-0.36114587902929673,1.036514874977417,-1.0238782075669515,1.2241173732547368,-1.492666854028387,0.08794495858286716,9.688900796791266,1.0202838255485787,-2.404846761272444,-1.070477447531306,4.951183875875256,0.9256101842766699,-2.1757940124849684,-1.667136042218372,-3.328616929249467,-3.226449874911576,-3.861412817850247,-2.312908800054016,-2.982036468262862,-1.7502104114927914,-0.4453540424211366
hsa03410,4.410314607824784,-4.708046154252839,-8.067000942677947,-3.9526443144035577,-5.794492400325131,-4.457628768135776,-5.9196717939159615,-3.1758858438992363,-8.847766399441802,-10.136522681351138,-10.170069555672253,-8.506123990466607,-5.008698700223612,-5.939528609979605,-7.032365572364694,-9.399450407652337,-2.448569583572324,11.956956250694937,-3.161834998943818,-9.416552274651465,3.9436158330475,-11.449676836427283,-7.446408423264282,6.990978316466741,-0.26817258837339086,-1.1991991192623457,-4.382348984262416,-8.10950148512606,-13.976250198806207,-6.559943181131769,5.48866375799062,-3.125629477821027,-1.2601895699304813,1.170270824052177,0.6670814324477384,-6.962318527829003,-3.0687026030580364,-6.627163533186895,-2.9823490970584783,-2.053735757144783,-2.7927503576467894,-5.765550264335811,-0.8143858499959238,-9.356860658784747,-7.579205198336278,-11.002932638452583,-6.675943164377557,-1.607794413934766,-9.951314626708177,-4.37048641819456
hsa03013,-6.2892775032252715,-8.206452136632993,-9.327914629275385,-3.6868082134181823,-7.340664577108163,-6.967635719096663,-7.4771980051208935,-2.695083538703971,-11.829720966400368,-11.554110877539715,-14.049595058472512,-8.121571713546004,-10.862364119522077,-10.690001192287282,-7.375105639360002,-3.0437660331112175,7.068204253584587,-3.504644725868393,-4.289376666103076,-10.899459497419093,-1.7794768820595908,-10.231658668018717,-7.586155837930709,-4.663918707235593,-0.2580405527366141,-3.1924055393804336,-6.4164944545643054,-5.670882642149024,-16.851906449394953,-8.440524546568527,-2.3698929298991547,-6.4258039964531575,-3.9215360329522606,-5.024235980925422,-1.5469835197865742,-7.662292889767993,-3.183855287812644,-9.3272288037067,-5.884297044666213,-4.1428752654461665,-4.062835044393687,-6.642835580766194,-9.468042231568136,-11.788568297704073,-7.709029757635725,-14.302829550943265,-3.732881729189892,4.068102489834802,-8.516296930846773,-5.995476991206515
hsa00564,-7.63370672910343,0.46118789967652046,13.226061847364093,0.9455456092235616,0.2880148507078078,-2.448836474560618,1.4823304596527487,-0.02686738689682713,3.8970969504615147,3.3190537397337825,-4.007717147603202,-3.497095456155831,0.40632927174331634,-1.882974155600071,-0.35457813231244306,-0.765651282448145,-6.125163496978935,-4.670763739767025,0.09901708865815911,-1.39400649080452,-2.484181750916018,-2.70653945869438,2.3243409229888847,-8.95504063717508,-2.3410134757102807,-1.9834101520925425,-1.1785603636142048,1.2261250620604451,-1.5114609454800005,-6.939301147340267,-5.799948188005465,-4.421684717693988,2.1002506994213443,-1.9785408272037581,-2.836815143204271,0.19983696649563243,0.5695279304579144,-0.1648936781849109,-0.16712589721182827,-3.377974458293375,-0.8080179881351321,2.1072079538179955,-12.091596712637113,13.723683707108973,-3.3176491089052687,-2.234223255314634,0.46211207155387884,-11.123031116608985,-0.28980106888463725,-0.6220185142015588
hsa04120,1.0014169412567295,-4.459552015924583,-8.592825023330182,-0.7926605395763904,-4.058181986009617,-2.349205358664512,-4.0489738420297465,2.6648921237673293,-8.327457642920784,-6.2503968621827415,-7.288092240787441,-8.466609009090295,-4.196240377615746,-9.078120171280213,-5.03931880268975,0.5459517333865155,-3.450772989312173,0.2651988050904854,-1.4898459294910158,-9.275994623085344,-0.6513872956124211,-8.380849998060528,-4.630157254879014,1.2593468983112428,0.3649326910479824,2.6534022935954,-0.5148938007617011,-5.209944325637494,-10.994144179576692,-5.858042596968294,1.4290007408970467,-2.348459455911744,-0.29489054687892724,-0.12369754604544089,-0.32279570730551216,-0.04158866000818192,-2.2498191925846784,-4.727886969565782,-2.423615855351467,-3.7281071460297674,-1.5775892948434118,-4.710679329293579,17.96037567383906,-9.044524420370198,-4.226275843297238,-7.1759259409522205,0.4051514675829687,-5.488402393146849,-5.7210488626343245,-3.6403563461950577
hsa04114,-5.096411336422867,-3.5127177195867074,-5.696684666622987,-2.0527544204701167,-4.70992490794836,-0.8624146401263035,-2.634984487703838,-1.1286453581923024,-6.15947588307454,-6.922832932923121,-4.667992910160743,-3.2076855430508777,-3.99961789314437,-9.477316707983592,-7.524833574472948,-6.242496357721874,-3.3196855473425866,-3.490011042771576,0.05898434492904106,-5.250499240671589,1.4469523885821685,-6.659352609763256,-4.14580692203494,-4.068945145956172,-1.0290165687000452,-0.4411132100238195,-1.9569233390064142,-5.422060408781093,-2.6046194717439564,-4.8079642291842655,-1.601602761590779,0.7597417861188726,2.3903639191622275,1.1999728490766022,-1.404867708798807,-5.961974043096222,-0.9091426628440463,-1.9393531077900525,-1.6745057558556888,-0.641734196140336,-0.7809350962941335,-3.8384623329922185,-2.103156262434951,-7.1130423811769,-1.8972500305908768,-6.640930270840939,-5.728500736340506,-6.2245440314884375,-0.29909585840694697,-4.9726062682813765
