,GO:0050658,GO:0007264,GO:0034754,GO:0030520,GO:0006487,GO:0016042,GO:0051180,GO:0006163,GO:0090398,GO:0006303,GO:0006493,GO:0043648,GO:0000165,GO:0060048,GO:0048010,GO:0006909,GO:0007179,GO:0042278,GO:0033209,GO:0006090,GO:0051321,GO:0050853,GO:0007623,GO:0016567,GO:0009267,GO:0006289,GO:0006650,GO:0019722,GO:0034976,GO:0006915,GO:0030433,GO:0006284,GO:0046486,GO:0006401,GO:0050810,GO:0006897,GO:0006914,GO:0008203,GO:0050900,GO:0016055,GO:0006633,GO:0050852,GO:2000479,GO:0030036,GO:0000724,GO:0006665,GO:0006790,GO:0019933,GO:0009062,GO:0050909
hsa04660,-7.2898036272516595,3.2807183201567596,-4.9181344255049995,0.6066605067173013,-6.449148594195585,-7.329509818652651,-1.0401293342210178,-8.175001381732299,1.4522983797317792,-3.3048384069454713,-6.441391666464889,-5.279366750379565,1.982895823655052,-2.9479644515579144,3.752553144870292,0.6679725110683824,0.006525176370924356,-1.9871472697778667,3.9911626569063348,-0.7588442021367026,-2.6086480839758734,5.972410328958328,-3.31576437395709,-9.62066140807346,-3.861310343918694,-7.1883244794101016,-4.518191948442212,-0.22176714104250883,-7.039882965577771,-3.1311066777481957,-7.10825293152121,-3.155753516255119,-6.032643718431306,-9.288044516359351,0.16036459285471166,-4.126905647379107,-5.615063024890729,-3.9198002712802946,-3.377038065706342,-3.4257053124518424,-3.0287671542922134,2.3954339874388118,1.1414861074541705,-1.1822706264402372,-6.424063251707777,-9.320772418855615,-7.649784307218241,-9.40540311998463,-5.557194786467756,-7.521968330814361
hsa00561,-5.525803205185993,-2.98273178757779,0.7770055433581069,-2.1041506708407676,1.6927064462429584,2.2595620635107925,2.133996202008392,-0.15939822708885085,-2.4606283644578344,-5.225059748719063,-0.032513964366530486,1.1454186280441383,-3.7084482907368295,-1.2433712088388842,-0.5448806993196598,-0.22576757682671653,-0.9309365953841205,1.0815965602678579,-2.3603793579728585,0.14267150337127749,-2.6307011676016443,-0.8863793749534497,-2.117845776129199,-8.769915189033064,-2.3409213354369163,-7.650830284986994,4.069116287868643,-0.8028108324872316,0.9197307422693057,-3.608220673562157,0.8075001595620768,-4.661333602483217,4.351901890919451,-9.891352821688537,0.5682038967831878,-1.7895275074205972,2.1017706023358373,3.0161634523728593,-2.9158385690542326,-3.055433081514906,2.0216612968842105,-0.28246930606505144,1.1763728381925131,-4.332197846374286,-7.015100517317186,2.348807321434173,-0.028892502992267727,-4.353372910676418,1.9777155028020574,-3.3088167896451326
hsa04370,-6.938089627734465,3.0065484123183417,-3.31381572186978,-0.9004170794313301,-7.034054933768305,-5.244963072849967,-1.3600907562927214,-4.811545922880831,1.5602306934191372,-2.7384303375922103,-8.592277770112705,-3.3809070034996873,0.9193309212579328,-2.871832816658777,3.8315154480135143,-0.7833587928589335,-0.18313374112231554,-0.32837154851059597,1.9025999658207415,-1.079384659490681,-2.9224809771343105,4.348835442053979,-2.285484120149899,-7.4445356099398525,-3.9695351889750787,-5.9019604451314125,-2.3360281960458904,-0.8740543565567961,-6.478159483383604,-1.5154673174020894,-7.363718568714923,-3.204071761137501,-3.4273201406745484,-10.656621502931554,-0.7125608580011905,-3.3904773916900033,-3.6646467066071557,-2.8586836676260905,-4.6552810039797885,-3.363796441084546,-3.7061169099699005,1.127825658532767,1.9357435214145606,1.8856061129979698,-5.666731603040045,-7.895555371118435,-6.5408024340792235,-9.240141824784526,-5.2842857789519835,-7.6607122193431705
hsa04141,-3.0307357797703705,-4.108312315174894,-1.1036590629113112,-1.3873766491818524,2.430294355664074,-2.7721445448581186,0.13425050422688464,-3.9942202466590007,-3.404249967040974,-4.2630912980486615,1.7401174450017556,-2.525960202577303,-2.2087739322718614,-2.976212904914586,0.6252447743032152,-1.6922337503632943,-2.1561926672725242,-1.1586625255632286,-0.044960255738593226,-0.5642480077477919,-3.124197676091104,-2.6595150728761547,-2.333431172227082,-2.6179893843245328,-2.463814874458653,-6.796820794256192,-2.6784660272131324,-3.451777461523655,6.2890686089126,-3.73284101518476,6.724566584452677,-2.5218415080579994,-3.059509910325064,-4.487446726027222,1.5005220098434944,-5.3766459595187515,0.9744823831815295,0.5784140295641896,-3.7427781358098557,-4.635187647483663,0.20458842901620844,1.4526782253711727,0.8599169275540853,-9.695849895544333,-5.880363350916808,0.0949712382842209,-4.2315147532414,-7.388129828059796,-2.095562679293217,-5.7598474400268955
hsa04218,-5.3402308201918185,0.054594299576909325,-4.134853797371357,0.22006149737143216,-5.042556668041389,-6.856192267302772,-2.892928400556604,-4.6153209826279005,2.6297620546218807,-0.5151769164337885,-5.192713492314761,-4.156798672217681,1.1467145633192035,-2.781899704896427,0.0008038396340304077,-1.6942407883818016,1.0075214590284525,-2.051980680443077,1.0408263764084997,-0.25344392149429656,0.2968369597833564,-0.8828883946737562,0.018810628246915612,-7.735198540962158,-0.9314276407219574,-2.7812946737928415,-5.287291508320366,-1.4959770629316314,-4.61169287090505,-2.51129300813265,-5.559819061389727,0.21717494608505009,-6.690384346349667,-7.095502399681581,0.4568530459117998,-5.42407705416401,-4.083600042718204,-3.8280321628339533,-3.346095896187392,-2.938368505172173,-3.4678499123612583,0.21565696412610433,1.1288649655070306,-5.335851406900114,-3.0804641393888197,-7.587568835477062,-6.14829206649162,-3.5351763880792486,-5.0399446109112045,-3.2273008760597897
hsa04979,-8.498113972305356,-3.448393490835406,-0.4620955717475022,-1.170651947023715,2.9818146397878817,-0.5873609565698368,2.441403449785461,-2.8244065748799496,-0.9813862458878093,-4.850962540240766,1.5466412981703406,-0.8303801564711335,-2.4282506714731658,-1.058705156835815,0.5213862577554077,2.4702789466078303,-0.8064071912519404,-1.4036086819605584,-0.7403627312616732,-1.4483173064014534,-2.9183764982832847,-0.870399694874959,-2.2135422943523486,-9.44664616436648,-4.200682493168805,-7.2567470666634,0.19412718881849245,-1.3116200082356548,-0.09523533505631253,-4.563250159507485,2.1607616514530505,-4.846563341397918,0.09292017491316958,-11.673655598635614,1.0780386852440673,-0.3586169890692762,-2.758216748751173,1.7550915138562797,-3.4947315596417945,-1.2884852885094358,-1.1811342155110096,-0.5368273549861083,0.8786407965827311,-6.405397522852704,-6.699054718539881,1.3086522259449913,-1.280951047403432,-5.5887803809405865,0.24384167218461722,-3.5811084431673628
hsa04662,-6.972912272612799,2.2006612285951603,-3.71273199073018,-0.1595613476003681,-5.025426150239996,-5.855279248677956,0.1195941723835442,-7.363432379927438,1.1949077538029094,-2.7260735029221816,-5.314656801276014,-5.629011749051632,1.676835245639194,-1.911068169686208,3.8698463627563164,1.1471335591917378,-0.4753058522753352,-0.9186967625295213,3.2376934678913902,-0.9227304272883806,-2.6021880559798714,5.27421012669074,-2.968000548364001,-7.61432851864539,-2.2960615890827683,-6.561638296675471,-2.7525822363956993,1.5101343632952782,-3.4673221718943354,-3.08722529349868,-5.588268160453916,-3.460616907359965,-3.6732797039086007,-9.073983939334768,1.4341129627032374,-2.7592651093959573,-3.895774891605407,-2.9170833173715254,-3.0231197176783726,-2.959041133041928,-2.9267256474465366,2.9670332853283816,0.9162267123677531,-1.1396358865641572,-6.243913773621517,-5.146962486182202,-6.739157258382842,-8.110758176682335,-5.265762227793373,-6.016674278648245
hsa04913,-6.791398332884715,-2.5201547491857634,0.31878137478510044,-3.655803772135164,-0.47859653993717516,0.8178699611817488,-0.5336556657448831,0.029734706045629035,-3.0145907028777557,-5.161273798183845,-4.1725891450172155,-1.4370370283869234,-0.7713071404872498,-0.14983154190568385,-0.5638387120280841,-0.40699565277383504,-1.3773632985685424,0.7326375123568132,-3.002850921700599,-1.2750289103749044,-4.476011809338551,-1.4941725374667467,-3.86147089152556,-11.368909663071522,-1.931150012104225,-8.76121289598343,0.0031893582261030735,3.615296495935014,-2.8325078020472088,-4.054324564273352,-1.7485003004798225,-5.390798754894772,0.09248156264426698,-9.731039844025887,-0.624136398134469,-1.0579621562077295,-2.4890169307732397,0.5574777591144257,1.0384844439538972,-1.4943949445599365,1.517530998012597,-1.4797344407269353,2.1044647071415237,-5.344829148671268,-7.011855983877853,0.007185550514257806,-2.093064960392352,6.953678566588727,0.5108522318714194,0.43078230261498973
hsa04015,-8.402500365509344,2.4481118666868493,-5.052006686773214,-2.790092918051263,-5.1266482446109025,-7.0354492942244065,0.029380055206658234,-8.912425660577712,-1.2644338901670682,-6.265612896583578,-7.26874940991578,-6.890530054835824,2.9766393801606315,-0.2849341803754961,0.0,2.7814590738557055,1.7397924115558387,-0.0005062519312553845,0.11402215987918413,-2.2528356393773232,-4.322973887962088,3.2105329084265275,-5.08642555214449,-21.51376934554376,-4.666316989042722,-11.52779854661633,-3.8729998982793696,3.8000520490945684,-6.166786707564871,-6.2109028443240675,-6.648580868919493,-5.943111625081466,-5.508908605921331,-14.034080662962788,-2.3334764446454113,1.4427547671100807,-6.733029468605245,-2.4450127063015277,1.8423136844601185,-1.8468917404970935,-2.0870390764787206,1.505767001480185,2.019060394231488,4.57947051310905,-9.28012420903805,-5.280270663581548,-12.832780542546724,-1.7376725497745942,-6.363905584109864,-2.039709182482965
hsa00513,-4.850574677596782,-4.3900018398412834,-0.6147198466537159,-1.0644999044603574,5.429746383101897,-1.58578516834363,1.6278318796145557,-2.5959370918790206,-3.5407890173096392,-6.83878053229275,6.027147971387458,-1.5893367857787297,-3.5549034336384584,-1.2909048859882242,0.2650152292519959,-0.19520432736255905,-2.113891529841137,-1.1464453092722988,-2.3410214995004166,-0.7045635815426773,-2.4699040460751522,-2.0887496156064786,-4.540478160593882,-9.093639776236465,-3.303853286384962,-8.218010555226492,-0.1218183612538983,-1.5230341783843075,2.90351429175014,-6.868850335209073,3.6223129084908465,-3.2554238399304163,-0.3821287532156636,-4.158580803565819,-0.39469762625492044,-3.4720979707399726,-1.61112958766991,0.870196552203883,-1.8389036897240625,-1.5695293324946635,-0.5824387595593891,-0.7767365618987848,-0.48017459019490805,-8.515694763330561,-7.462520095878423,2.8835166730587733,1.2368938598925692,-2.930694086537159,-0.8135254508811808,-2.3407084803399965
