,GO:0030433,GO:0006650,GO:0016567,GO:0006914,GO:0033209,GO:0009267,GO:0043648,GO:0050853,GO:0006915,GO:0006401,GO:0042278,GO:0006303,GO:0000724,GO:0048010,GO:0008203,GO:0009062,GO:0090398,GO:0030036,GO:0007264,GO:0006897,GO:0050900,GO:0006909,GO:0006090,GO:0007623,GO:0050909,GO:0034754,GO:0050852,GO:0006163,GO:0051321,GO:0046486,GO:0050810,GO:0019933,GO:0006790,GO:0006633,GO:0051180,GO:0007179,GO:0006487,GO:0050658,GO:0006289,GO:0016042,GO:0060048,GO:0000165,GO:0030520,GO:0006493,GO:0006665,GO:0006284,GO:0034976,GO:0019722,GO:0016055,GO:2000479
hsa04913,-0.5036311604802267,-0.20699457584054567,-3.701841310659256,-0.8626221223756233,-0.8943558592323664,0.16782666969607227,-0.47739138352904387,-0.7593151801373058,-0.3968792838000965,-0.9159963296329553,0.25785297258620987,-2.048944501159186,-2.3963334884390464,-0.4427712215619964,-0.4260710072279483,0.746189041158369,-1.310244064480512,-1.6142435729834634,-0.828090560443466,1.122538917721082,0.3933044912790186,-1.5333127402261646,-1.079562773926649,-1.0488887143316201,-1.4451192549586003,0.29235176468699087,-0.7064493663331538,0.2610474240108922,-1.7548563745134154,-0.5830541332604352,0.4613138384799644,10.575756888939688,-1.1282197415601232,-0.09727472537408682,-1.1227562318996258,-0.745324848920736,-0.49622345727287814,-1.344704326558459,-2.3576312621741677,0.7968730443721932,-1.2363919498733913,-0.44818918225025856,-1.4373795420570445,-1.7729667478739004,-1.2819078625531204,-0.8791205339644562,-0.735686600739196,0.37601772231505287,-1.6381805249521257,0.5996333729898091
hsa04666,-1.4239048627550424,-1.093810644278357,-4.097976098730127,-1.5492150919645822,1.5868056714564933,-1.8049289118930587,-2.1283343728482143,2.768396930191744,-1.2866232375499547,-1.7493331950559399,0.6213559578150931,-1.0799249420791805,-2.1617411563746867,1.970600991366455,-1.2770736218868743,-1.983897630471153,0.16412782583644606,2.635560658342814,3.0308239174611304,0.11194470846511878,-1.110118278595599,-0.2512491081005045,-0.25166156210044477,-0.7580849385989054,-3.7530823825825,-1.959668028529055,2.1173600728445305,-1.5248440615494296,-1.072516660557198,-1.5444814219985084,-0.2755071092679622,-2.8826149502659613,-3.084010894163576,-1.6231244897504036,-1.2818131266896955,0.6691940282010548,-1.8088500535031058,-0.9512751799745904,-1.778587795499602,-2.1406475893542862,-1.1644491868085445,0.222766513592053,0.9455722329664131,-2.7564127644739673,-2.8137331443343543,-1.0752396620607776,-1.3937138667081872,-0.5294172633531024,-0.6269577008686694,0.2505263321045235
hsa04120,1.0785183353492138,-2.7648211139640044,1.0641668462111393,0.08580019667262466,2.204940111231801,-0.19546355617367983,-1.581295789265732,-0.37591132297553165,-1.3635990461167673,-0.09610783625073185,1.2535448615898763,1.8762777503169987,-0.3009441995831935,0.938255224978033,-2.0545358805085665,-2.330632454368617,1.2600913544033285,-1.076683612822407,1.1360117877914606,-2.1156726540152277,-1.3991750498042177,-1.0741626779869216,0.6807846932839634,1.0232352086174485,-3.823485777345854,-3.0366144640354764,1.3613358226865633,-1.7172670061300859,1.4235818343466797,-3.29262143738574,0.3038568989360621,-3.7928511805281957,-3.332754310607065,-2.130173067477915,-2.978603700080696,1.095590138292767,-0.7721875368053414,0.8012176157680431,1.7370911232400854,-3.488150313348784,-1.9348611499013642,0.01825159825640594,3.7832260386618337,-1.3991023582096076,-3.2602731744237485,0.9815253093033415,0.7513151238045862,-0.813935221560049,-0.3228152027504078,1.49698558931514
hsa04810,-1.553138470742055,-1.67598359419806,-4.979616283739689,-2.1377714803809154,0.2456472331651307,-2.153628993246043,-2.509198418704958,2.0376952550172267,-1.5678870659167397,-2.7041785372514364,1.6313767471822527,-1.2134091860320964,-2.3249368045712697,2.334958978603607,-1.8351793507833571,-2.5079257624189215,-0.3222090993022749,4.688997309895641,3.0680121405870904,1.5434406526566473,4.635171106595912,0.7446082597238878,-0.08762956222769955,-0.6424090956470571,2.1212536365711214,-3.1532127975642514,0.5692924177017628,-1.5943091791495685,-0.4403112862822254,-2.294020608652192,-1.6095064441025995,1.7753400245866522,-2.772614514776124,-1.2833795034774544,-1.3899769768935308,-0.24535808759307856,-1.7659926010914737,-1.4102429906028495,-2.1557666158205118,-3.695557537588599,-0.19950747799703206,2.2333870065797106,0.8504612576463639,-2.08147383229676,-3.2970474238180962,-1.1789987368431343,-1.1403048705893235,6.421887352905516,-1.2164178058156592,0.050565057667863615
hsa00510,2.3110637285382007,0.003283229042944635,-2.8649737847572254,-0.3693261303502041,-1.5240036490486382,-0.9756709174388388,-1.1638331310623966,-1.3880664971190397,-2.0049139903998445,0.5802399260943957,-1.1912391864532739,-1.4026395517868948,-2.3899675693935785,-0.7373521841298579,-0.3873547591804319,-0.6746669636102819,-1.110585920382021,-2.0609305303112833,-1.295373504910878,-1.9669848352614392,-0.7034428599788003,-1.013830025367932,-0.818896162883963,-1.0718901076102512,-2.8560741028951133,-1.145254617968242,-0.2937328275333589,-0.4173568970293952,-1.141479529579394,-0.11217931856427328,-0.40004147070331764,-2.117964215189255,-0.19840188102210396,0.7228424461087761,0.006711881567513304,-1.1030199139089094,2.943527650403371,-0.05026808886619083,-1.9537041836812956,-0.8246434095764144,-1.430083220227198,-1.755829802834997,-0.16433536290520356,3.9030798771730537,1.1189317166106225,-0.9013025557050345,2.5710880288582865,-1.273509339266888,-1.127982995548848,-0.7145520157875528
hsa04024,-1.4018250845573828,-2.860441716382588,-5.639726998431076,-2.6486411159505097,-0.7040650966949963,-0.7992306145408234,-2.6868682510128363,-0.4756769557025059,-2.1028856405126946,-3.5623700987335902,1.8092607703057975,-2.110206254528833,-3.304751470242422,-0.34062644559267846,-2.0187915860704484,-2.5277620046105853,-1.2334221943959043,3.887502705481299,0.68506349375105,7.227485168227724,8.526559571370653,-0.3264279831384643,-1.6279360781852117,-1.621926477917952,9.605657988707604,-2.8512315729841187,-0.6987591235492143,-2.5104946417804506,-1.704220280773055,-3.4985913578630585,-1.7230380524218767,17.48971417223229,-4.149536807672623,-1.9992992574429052,-1.8863802754931276,-1.804452157397756,-1.7415431131947103,-2.364580147447686,-2.5046310243519128,-3.5529535300195927,0.23420725024966624,5.2781628900953566,-0.03605574346375233,-2.8462450086396838,-3.2856604338373763,-2.214950925406879,-0.0699767840728672,10.099707283015091,-2.072354692919465,-0.19142710691605
hsa04915,-0.17547204398134214,-2.0554793873333006,-3.2419464853848865,-0.8873164346312344,0.8745994301732158,-0.9348939818931967,-2.219440240149033,0.593334300598707,-0.8784182602874763,-2.050526166650632,1.4834487204222004,-0.6940739130548674,-1.981923756484306,1.2256237075421297,-1.7103231598249973,-2.168382014509933,0.5456094306186244,0.4108203260429812,0.23258267486607692,0.8916092035560029,3.405467084065923,-0.6099285434754607,-0.14662996703742542,0.060250741165050956,7.337234541006075,-2.5916106951325775,0.5476600688796905,-1.8568541420885247,-1.3045720820058067,-2.6360465154539265,-0.32369615185125594,1.976291596995225,-3.1072100052589393,-0.7279965847396336,-1.5813925602015986,-0.3583423181461278,-1.377296558520255,-0.9305381820313537,-1.2817366273978041,-2.970529779734349,-0.9479545287355493,2.2175953899524727,2.474550860416285,-2.124936939647069,-3.1045023771767895,-0.8134014439595371,0.900374312352154,4.295863212635068,-1.010745268384633,1.2560410113427831
hsa00920,-1.24737606212435,-1.6001251780603345,-2.250189197946509,-1.7780620083354468,-1.0957954755650927,-1.544465618617574,-0.5994158263381695,-1.3093038292362162,-1.9289796538282613,-1.3657128235744005,-0.4196509382346019,-0.7877961726527918,-1.1731896838197804,-1.280706965114471,-1.1552996406075757,-0.6631659729177752,-0.9638273708773439,-1.7381095926076602,-1.5420682705882998,-1.9874698930716166,-2.0657592525313406,-1.3080491810797732,-0.45776779130369866,-0.9551649093428517,-1.745730580207363,-1.377937996757502,-1.171622734973107,-0.6495228876822948,-0.7945163608228658,-1.7297841074630484,-1.307826579452714,-2.18849739527504,-0.5646821544271682,-0.5436318234458072,-1.0790519914808245,-1.4135177541027335,-0.19067974318897743,-0.9533063390168058,-1.2467443804447398,-1.258774048140661,-1.6073858528520766,-1.6831346014695203,-0.7351689681769106,-0.5372897122471051,-1.2483271507607514,-0.6135727639654613,-1.7182117679773141,-2.358082966980325,-1.9242465634269608,-1.1775763624959905
hsa04260,-0.6369320650702909,-2.656523969797128,-4.769074554095481,-1.959063701290247,-1.589498036655253,-2.5406716013506534,-0.7499466769056786,-1.870342499279857,-2.772806142656327,-2.635839921811745,-0.5126374826833591,-1.6112293473697838,-2.1768986623223276,-1.148765197994461,-1.7375219921365912,-0.7362462874703551,-1.70802654968532,-1.5175313235785017,-2.155998016006466,-2.879942400681601,-2.7722073717520606,-2.1096154795577244,-0.09139988967441519,0.25385571137776713,-3.3085520804991675,-2.267766481124839,-0.1875120543104054,-0.7302097084792611,-1.1049450938859375,-3.1915551784584415,-1.7864233125495987,-2.2468306566733744,-2.267494275496867,-0.7960607378095184,-2.2857303481749534,-2.0734439619845197,-0.5014307327370097,-1.7452837251625803,-2.481698970109422,-2.290375577367774,0.475532748180201,-3.2183868154897035,-1.078948511410015,-1.3227076130040976,-2.2837258311078172,-1.2118278435717385,-1.4067345385284387,-1.6807785005881826,-2.6394178601924763,-0.8745295356077868
hsa04668,-1.3110447454004097,-3.048849005418139,-1.921516759296615,-1.573137533508335,2.20625077054667,-1.6124474259992527,-2.3188108193297894,0.21934237674490878,-1.5643282533369225,-1.4204853846668053,3.5194720765951613,-0.9188005163575168,-1.684425152013328,1.0046465957888426,-2.1983098156207137,-2.6041516964877354,0.8703573821610682,-0.8148023592050705,-0.5401516651333799,0.7866851085906656,6.051096308176648,0.9721233529647783,-0.6866859471614702,-0.16206669947875302,-2.504132471781323,-3.4460168589438664,1.6497903933754643,-1.6920492294721339,-1.3196523828304538,-3.640717371969046,-0.25748889413793197,2.2934951527921985,-3.6926675821957318,-1.253761363354464,-2.6338526478956474,-0.5040708308145134,-2.087903780062287,-1.272930318602944,-1.1498183680722567,-4.012182341495745,-1.5842538234339216,1.6138376611810035,2.2171830363087675,-2.2968787486014834,-3.558973592810368,-0.7004532387658834,1.3998429542345083,0.9476646366483719,-1.4304585323438843,1.0355370178798164
