,GO:0006163,GO:0050900,GO:0006289,GO:0006401,GO:0006633,GO:0006090,GO:0000165,GO:0006665,GO:0030036,GO:0008203,GO:0051180,GO:0034754,GO:0050853,GO:0016567,GO:0006790,GO:0019933,GO:0019722,GO:0006303,GO:0007623,GO:0048010,GO:0033209,GO:0090398,GO:0050909,GO:0007179,GO:0009267,GO:0046486,GO:2000479,GO:0006914,GO:0030520,GO:0000724,GO:0050658,GO:0006487,GO:0016042,GO:0051321,GO:0009062,GO:0050852,GO:0043648,GO:0030433,GO:0034976,GO:0006493,GO:0006897,GO:0006909,GO:0006915,GO:0050810,GO:0060048,GO:0007264,GO:0016055,GO:0042278,GO:0006650,GO:0006284
hsa04215,-2.5715625288968407,-5.327672310300683,-3.6017567618781166,-3.7179608164940605,-3.813077901091695,0.49994189044634796,0.6982788515724557,-6.4746429446724365,-4.882927910902344,-4.17553265280065,-4.021136949588382,-5.473218921347126,-2.6371762954909403,0.47254405325187543,-4.376633506421016,-6.180023121172607,-1.4760488700684296,-0.8919403641921583,-0.7565400232021703,0.9800876267885442,2.7075699254702212,1.3070081959676323,-5.86175342608635,-3.2840652364812506,-0.1317027140658619,-7.246181050551239,-0.14180624942327016,1.9088946335255912,-1.042219780039814,-3.5848768517237857,-2.254773290682942,-5.426763218194987,-4.794479320811794,-0.5333261178473407,-3.0249936800269928,2.110555839960672,-2.605024416563485,-2.425788819056333,-1.0587646350688111,-7.067014478668093,-5.685742930992503,-2.788225712230779,1.1884845544402345,-1.6842073985021495,-6.273473582385905,-3.2275298516155133,-5.822870853159189,-0.5969948904691698,-6.208149573821705,-3.10853778679716
hsa04210,-4.756050755904631,-4.073877140694891,-5.66310235193187,-4.938481775723589,-3.757022092887911,-0.5691968365098234,1.0057217175765618,-5.087367955986189,-3.85516135460494,-3.9901736498220264,-2.7968270589420716,-5.146367787721726,0.889982472432837,-5.176366016173083,-5.952475263776697,-11.217250680936074,-0.5034362500087524,-2.596240790450649,-1.633029602753494,2.6208849943796726,4.057584815275696,2.1797618455969126,-9.941152093082062,-2.811806389015879,-3.286770841290632,-6.064856832618993,0.4908163199936537,-0.6391908660692753,-0.09167118556055091,-4.5467645331738815,-4.326878516967864,-5.770539002951724,-4.479696361862479,-1.509791572583476,-5.045932750195252,2.980099129568403,-5.412076448452513,-2.665445312529651,-1.2262646126850678,-4.901145074073649,-6.790489002695441,-1.4151016211254495,0.759817671546947,0.21964330212870534,-5.199122212417635,-0.7575831857319265,-6.192789088701607,-1.2523702834448815,-5.097358170505154,-2.569807735526018
hsa04666,-5.972114145683801,-1.2104705892000236,-9.188914233248457,-9.117970612672469,-4.2185836650474835,-2.637776892648006,-0.4928931920137052,-8.208478474392054,3.601078855395976,-1.8712275194678465,1.6014596121410773,-5.800705818208845,8.169717747857538,-13.900619686241704,-7.991274905626215,-8.73325912441222,-0.42077729139192677,-7.295597331074605,-4.730162201395089,5.389151508883728,2.26543687554903,-0.2868743933003814,-9.438763770055848,0.8678474617234442,-6.838935833530301,-2.5628271731881287,-1.0944166437872256,-4.257476955724377,-1.5797179360048068,-7.293362106845625,-7.439149227835405,-8.048415147723066,-6.3058495686465745,-3.9193230616305756,-7.3113294805615245,2.9990941653115146,-4.88515539554549,-7.56432404947601,-3.3447027960490057,-7.8167566871826,0.40041552085699744,0.3227945606539553,-4.744615818314516,-0.5472148617025321,-4.93235543492355,5.795865192744617,-2.6605677668763734,0.7812442290932149,-1.3045879971800534,-6.140078052147885
hsa00561,0.011155629118208167,-3.4865105492241453,-6.985525333957822,-6.206061975959215,2.564616007910296,0.09009086844702198,-4.1884296450565754,1.070886073256952,-4.021391073859009,3.313511712251623,1.3851081067384514,-0.4581100304776107,-1.3118237772075712,-7.13354099258183,-0.5578498928629305,-4.4298091795290055,-1.647762721877312,-6.604087658645881,-2.47202497431587,-1.5129102748374013,-3.4456637731742394,-2.3657873776582465,-4.8548720855570675,-1.55224941307888,-1.678976851413556,4.13898377131039,-0.38671489762276745,1.7424476761609513,-3.1489948045753002,-5.929732914643697,-3.8921045042904083,0.9038567137250667,2.581716395435874,-3.097063159672433,1.360094115810024,-1.3867451859974014,2.1433477282931976,1.4009300874774495,1.2766424950847213,-1.5664844424687623,-1.8460745689079145,-1.2037079780827264,-3.316596550428468,-0.11662625507189636,-3.2155085680712263,-3.4705173541751435,-2.8894298115638426,0.2604742199916791,4.000032768331716,-4.6346525087413335
hsa04068,-5.815020087541681,-2.0587429219034563,-3.7764310835901402,-5.539651087967429,-4.7399397465629916,-1.9072776522334434,1.6450101355886109,-8.538393094707626,-1.7758886971632728,-4.317340324941146,-2.1428458524199874,-5.036562981302363,3.002740613816223,-6.521695579447795,-5.917347277616101,-6.402557885565107,1.5667793010131121,-1.9657214869614708,-0.7884350872398916,2.428248955703741,3.7990902815839496,2.6693242311619327,-5.554305076403844,1.2759460220655312,-2.4371385431784827,-4.8104800931354,0.7077067889517281,-2.921320942249231,1.6422558163167333,-4.208633288506722,-4.650732026661564,-7.365709150996706,-6.461541876476018,-2.2841022373645283,-6.417920833193186,-0.47414417481800386,-4.900559468799578,-6.879661226851782,-3.9460321592120513,-6.914139473186495,-5.35030247778947,-0.939715252476206,-0.47709204739956335,1.7153668024284197,-5.086941771098459,2.0373510787974016,-3.5551223145298576,-1.5571412798527353,-3.82064057437852,-1.6602914687918058
hsa04979,-3.94663082816076,-2.998543765729587,-7.399009350571734,-9.138287557948997,-2.61470583555551,-2.9714786477524635,-3.745850060628283,-0.04937524495978924,-6.325726666571812,-0.561940538206471,0.01973358478231605,-2.3671319943681213,-2.1003492854971024,-7.853343481286799,-3.1114590993821554,-5.872332573946962,-2.489037903806909,-6.066702215073848,-2.925893946112282,-0.30314906180902373,-2.373598024216966,-1.7119820859557167,-4.317503943262914,-2.1507986952555203,-4.636733855584977,-1.2308881446598654,-0.731604493648287,-4.254462008038587,-1.362038968592868,-7.654375748654775,-6.843356640929692,1.9703682246091332,-2.3893925807678666,-3.9425263615820265,-2.1014422642323987,-1.6845075530228322,-2.2035751473685803,1.2871159303029582,-0.7575593157363661,0.9334306283408611,-1.6841885700276775,0.943680137763952,-4.359185189790055,0.5871959942249132,-3.564888208758618,-4.702376785125573,-1.6596709699179275,-2.31064282069796,-0.9248250976049739,-5.142614362519525
hsa04120,-9.084558800189727,-7.660879389055144,1.2628015299429067,-4.5706158461887325,-5.381292634451024,-1.6780769994716656,-2.0126089840622274,-5.99848059908241,-6.721182214491966,-5.084106669890797,-5.159850161524278,-5.445734118411935,-3.2386082815687627,4.541362064844234,-8.857517719899496,-10.846353234011156,-5.405907273492899,0.5433780878389862,-1.5315638864262286,-2.022330920322405,4.426380024262231,-0.8125825385756065,-10.817690126101596,-0.6809110648540871,-3.1734363315567813,-8.180092253546675,-2.6534367420931884,-0.8385638827531,0.12760941285086186,0.4150437958930797,-2.9262460324526316,-5.8835629159197955,-8.932598949196434,-1.4498857378437846,-5.576217089037418,2.8885115051456567,-3.3412670096491683,1.5014746938271617,0.2653669779116684,-5.910963784958645,-7.8868238091390985,-5.493354117164164,-5.324140077583542,-1.226246250845425,-6.9022537825861185,-2.9447630608866313,-6.091400989524077,-3.2729859483166472,-7.613343388087701,-1.1352995168309599
hsa03420,-9.264844699246106,-11.520500596717618,8.944019844329052,-2.270613588120175,-7.47276732365248,-1.904337763163021,-5.148294648352446,-8.203975873459246,-11.372530317403962,-6.408271813202973,-7.292160030792666,-7.894006714301916,-2.394876340637369,-0.45913158449174174,-8.760530091900925,-8.908753325059196,-9.800658430411579,7.148323877672141,-0.19219276077818118,-5.416840101597871,-3.0223440907281462,-1.3919199620971492,-8.843962288683281,-6.484277262850312,-3.804634686688361,-11.08044657025515,-2.435673130516424,-6.793401548516949,-0.31453768096877066,7.276582753321598,-3.143365394115357,-9.283695906847166,-9.670262002318252,8.098073944940943,-6.94545576630539,-3.3880940189075948,-3.4549564770469057,-7.197848763712163,-9.643981620144617,-7.520834556754859,-12.584908337816854,-7.861032277487843,-10.037285978800027,-5.595330102550757,-8.662983841749181,-5.6666271296213235,-9.049140842903533,-3.993048154344289,-9.76139098687178,10.150855747237907
hsa04218,-4.739304969937695,-3.612465531472611,-2.4010408522333977,-5.351267717906241,-5.2006484618272895,-0.801503884069452,0.7109649164161628,-8.510178577389167,-4.978280904329499,-3.647212977527043,-3.477373918938583,-4.671742103550203,-0.2892087654483872,-7.971391376797918,-6.037694172091295,-7.038109577795542,-2.5867875748175626,0.12697388109969196,0.5548613105972082,-0.2394602347216715,0.997019408447933,4.053340937038728,-5.780596690423328,1.1231467869884204,-1.3986368737292028,-7.254916631119197,-0.7678871243454022,-4.831017074809695,1.2953136555372569,-3.3249930151701115,-5.504066968854984,-6.252054371395646,-7.0829364808962865,0.6437467721948652,-5.45456142906385,-0.1560929800278745,-4.866101787570842,-6.501068645304246,-4.79503828301657,-6.607397812977519,-6.56702933907119,-2.1485694353280675,-2.5772706358382953,0.833091389351521,-3.672836465285351,-0.14255662607885755,-4.450564440257058,-2.2901976118931295,-5.795962058151176,1.1047394360823886
hsa04977,-1.666070115725615,-2.1624764197254724,-5.730682015461639,-7.341160054873504,1.973755993005276,-1.3863924535863463,-3.3234756926609608,2.8474878436475373,-3.050986749316909,3.0992826517946166,2.4064299324404015,-0.41916421663372955,-0.43109094427514555,-6.615566724441986,-1.5847098326822149,-2.2423955873337595,-1.5577738030136803,-4.605856479195633,-2.9829422435552972,-2.0344490794362375,-3.505227965868081,-3.299400159977838,-3.218106921842754,-2.5757012919297684,-3.9535295544731985,2.2229179370150574,-0.09977515817645373,-2.3427052170941693,-1.1053316394789061,-4.424220904134827,-3.7234198694522234,2.1471580394071412,0.9041683525268587,-2.5256231652296774,-0.47737676806286183,-1.6291998624652488,-1.7397318405923845,1.479887252459833,-0.05238160835197882,0.7551995030320826,0.5856301090894934,-1.0568166469787397,-4.337814079097745,-0.35200449068276524,-2.5263259658818265,-3.2603120263241823,-1.398595156257128,-0.6364828047900983,1.1607989645728627,-4.704302093976172
