,GO:0034754,GO:0006914,GO:0000165,GO:0050810,GO:0009062,GO:0006650,GO:0033209,GO:2000479,GO:0007623,GO:0016567,GO:0006633,GO:0060048,GO:0000724,GO:0006897,GO:0051321,GO:0006665,GO:0006289,GO:0006790,GO:0006303,GO:0008203,GO:0050852,GO:0048010,GO:0006284,GO:0046486,GO:0007264,GO:0006090,GO:0050900,GO:0030433,GO:0006163,GO:0090398,GO:0043648,GO:0006401,GO:0006493,GO:0019722,GO:0050853,GO:0009267,GO:0050658,GO:0016042,GO:0050909,GO:0042278,GO:0030520,GO:0030036,GO:0007179,GO:0006487,GO:0051180,GO:0006909,GO:0019933,GO:0034976,GO:0016055,GO:0006915
hsa04010,-4.877604842103337,-6.426795903135993,7.707803474282297,3.2823527713348013,-7.050678873534181,-2.6879880623579884,4.412533510242562,0.9162639440796806,-3.457591275693291,-11.68459353219953,-5.455538653873126,-3.0204683335755513,-8.675880416506809,-4.525008235430729,-4.686719872840713,-8.472488294646068,-8.450021588967264,-6.678073217908171,-6.443210005584536,-5.166472285109725,3.0722475401008884,7.088499642813841,-4.488964966836565,-4.420127487357636,3.8803572255541194,-1.934350225187623,-1.9495520413941998,-6.166680614928543,-5.30687134328194,3.3020216669577547,-6.69186903192018,-8.284213167795873,-7.118662103612724,3.0401698735706684,4.030950965060904,-0.012259447362939485,-7.3774375352969255,-3.7417295718087797,-9.619380675686914,-1.598309448846434,-0.3111181176347183,0.5612069679683325,1.5776816124881785,-7.460958948157734,-0.9293236856857253,1.1010639076870778,-10.2026964130799,-0.9091625481788649,-5.637924288098107,0.12755634498271223
hsa03018,-9.137998720493298,-6.595949862929391,-0.30942493880689637,-4.446564760243044,-3.9374580492479394,-7.188290319636591,-3.2291074899951453,-4.17819774627745,0.7287046706042873,-5.999952183699005,-6.0592396623922244,-8.108803207969222,-4.166042730982538,-9.190425981415029,-1.5532553636108148,-8.37916860899294,-3.0076111422347127,-6.242991216039751,-0.7836949063095371,-5.671316216242604,-4.16894398457901,-2.2992740134342027,-1.3638809186060366,-8.102555010502346,-8.32120157707473,-0.024372702019765026,-9.231782456387766,-7.1562293992098525,-4.364621749080679,-5.117579393181404,-1.944466765300371,13.331226898121747,-4.679798352991708,-8.361814468202612,-3.3673637256168054,-4.83367426238675,6.609257061663375,-5.802013055778815,-4.786599056006863,-3.0095385166607844,2.572362755774938,-8.359723663534353,-4.763256229721763,-4.742503339319389,-5.517338776926864,-5.95798707749825,-11.571788516520632,-4.426427440781377,-6.565620382646793,-8.057377295885926
hsa04114,-6.9016931164627735,-6.436671640229821,-0.7204915793693101,-3.890862680854331,-5.848064778134436,-5.9697929802193785,-1.4224213471990526,1.595391339150976,-1.8597754608477157,-3.1676114574710095,-5.232130178213053,-4.210374372296492,-6.6197347857831454,-8.681354773956349,1.510107196434899,-8.161696252572213,-4.719202763154752,-11.25810565295202,-3.1794581826496984,-5.987864463657078,-2.7185512742391325,-0.3000091650942436,-4.267347325982469,-7.477296109411178,-1.5253117859402716,-2.52913353495817,-8.81726308674512,-6.777824102401651,-5.576343757594856,1.048625964949668,-4.724214889473449,-5.391052116416735,-8.660083776251767,-2.775987095999258,-2.574460818558133,-2.802231404907882,-3.2681323874937096,-7.163495066759317,-5.5086019504401085,-1.8456237943215188,-2.182129910796327,-5.614855990088743,-3.6365114958132927,-6.676358946448699,-4.984024287031134,-5.879629589412458,-5.940245079749491,-5.452829390965464,-3.88353194868461,-5.56989340617785
hsa04260,-5.406453781302156,-4.736157082084756,-9.987237852939556,-5.371344563785865,0.012011961466752269,-3.8700878766028874,-3.622709710766956,0.3367768599279248,-0.7164036157494438,-16.829944296161443,-1.0377041737722708,3.2867229417097263,-8.568763984475098,-8.308471615859752,-2.4872689763875844,-1.1877054681078743,-8.164087570626512,-6.514816764446657,-6.370951559505513,-2.2832365383262205,0.3577670030867208,-0.22223838831608694,-5.167646793695732,-4.690839364016153,-7.261211544337005,-0.5709157875790961,-7.544650261328112,-3.023735450331838,-2.214298972506293,-1.845005708813368,-2.1227254996893614,-9.19128629233585,-2.346264383323805,0.2662762948040837,-3.614814827305582,-6.791423907001767,-6.816263358772597,-2.1685955000928967,-4.544416108468639,0.012641086831044313,-4.970442091768765,-6.964538858091141,-7.12117659280816,-2.069590566015261,-3.0825956380897894,-6.179012710091462,-6.612431018076389,-4.909827376303073,-7.911462237940267,-7.3811359154656335
hsa04977,-0.017879873454918847,-2.447894095190042,-3.296713553550718,-0.36626243700477334,-0.5486314563690383,1.5786090533064858,-3.526969094187647,-0.1285669572918364,-2.923792865606977,-6.886595138325072,1.929163557952349,-2.5124842845985036,-4.408364997999165,0.8764710204247455,-2.6278573897564304,2.907273704001122,-5.582337183491585,-1.274279979788865,-4.610184546057128,3.923611106413906,-1.5968624608771917,-2.0550569079492793,-4.886600821069813,2.877250090379151,-3.1097753469052045,-1.4763831832069008,-2.2954656452715057,1.5535118642909003,-1.7446309791465615,-3.3244344324123993,-1.806196787749253,-7.497138841709152,0.6396079658094062,-1.56440774567475,-0.4196023359525831,-3.8695758918014156,-3.76363251556514,1.0356879408254196,-3.1187919730719686,-0.7154183686976195,-1.099338943404117,-3.1798168589670808,-2.547977229780668,2.102337406072071,7.902876534036511,-0.5425107633072312,-2.1397148408916404,-0.17194211297258,-1.4460442292826101,-4.6026312181391456
hsa00230,-1.81856709498237,-3.216190332363546,-4.671012087655926,-0.9244235435951752,-0.6527197192624976,-2.1139243063709356,-2.632928709649569,-0.9434470061965256,-0.2118846781826136,-9.10925403393052,-0.1016414496012205,-2.779104928607581,-5.584216251724513,-6.177239845544939,-2.68699466242954,-3.852576842230642,-5.611282931517324,-0.9318469079520533,-4.345974075650408,0.12037324200569684,-1.1533161718339953,-0.3610462273040372,-1.96014353514293,-3.0805177374895525,-5.349626998249793,2.4785143827712175,-4.937448806509731,-2.2553365395814637,6.972139942286252,-3.7812607238628386,1.767428410218013,-5.8620367543312675,-2.0652256672041505,-3.247322710920345,-3.8067303356082594,-1.8109512746220362,-3.711533911663225,-1.7980221208672111,-5.9318017001453605,5.019455597339612,-1.5437592257805,-5.942887741331621,-2.1662532767257368,-1.2093210966460393,-1.0936253741771984,-2.8903161588815296,-3.9756997497275814,-2.8459204379838314,-6.168118052101843,-6.421827019850004
hsa04742,-1.1878818653950385,-9.220031584650597,-0.6911470644258938,-3.232278034922785,-5.66474643007855,-4.618513095298161,-5.935863382144971,0.2505662599178498,-7.717101593936691,-17.287258529244653,-1.1078298100702688,4.2142845370266295,-13.333212489446877,-0.3471581164159558,-7.2074967728975565,-2.9184019727800248,-10.764155355751296,-9.791779407830955,-8.667901341568427,-4.210653260842086,-4.06610430799789,-3.097266069317538,-9.410372343087932,-4.911299497273836,-3.178312483942105,-6.527190991437928,0.8621390397957134,-2.755167823810075,-3.940382401702411,-7.272369115569723,-7.991305960466237,-11.169255026407896,-4.729749932608378,6.203902810857863,-5.360182116607141,-9.60394202213743,-8.881513346666301,-8.493493553133197,9.84579007435362,5.020964864996591,-7.1571034433511755,-4.3687261876735715,-5.506242312881687,-1.819279076287734,-1.6004535142342726,2.438365713617074,5.633308906109153,-2.1088260188179673,-4.289198415102493,-9.611490426395369
hsa04068,-5.247262088717176,-3.1045272326265696,4.23798563610604,1.5421987168588018,-6.037452493252512,-3.6844379484551393,4.419136333005148,2.6207853353106945,-0.5120204930898885,-5.534090974078182,-4.913710976075208,-4.925287828139664,-4.323851358571556,-5.20361413110627,-2.2590510578606007,-8.194839635981493,-3.0718700794982943,-6.042188059482928,-1.970464983506672,-4.375076171062866,-0.5729421607725048,4.891785504875914,-1.775201473551671,-4.676468430858296,2.706801027126169,-1.861295397704555,-2.1827579400453927,-7.0546650160814135,-5.260288672001491,4.4110708908073715,-4.383348410717851,-5.3635229690477075,-6.704069218980489,2.495129114967151,3.0207631498788983,0.5361849844393014,-4.743281909468319,-6.728591583192984,-5.434542010985758,-1.545174078480053,1.6776765797881728,-1.3442298947024816,2.4907940218983913,-7.175500951863867,-2.3590274029469245,-1.000546975201084,-6.4694939080918665,-3.0483188377463164,-3.069840411508068,1.9637589949397043
hsa04024,-2.5924943613965765,-7.8275652767498825,4.0179268642494,1.9806448668597998,-5.3865093660211,-5.955215099407256,-2.049591035778352,1.9530609360260784,-5.814196331638407,-16.724259618870807,-0.9309110608519968,0.8820041230517781,-13.01817113193837,0.5809551880118052,-6.807875423090659,-4.620437460389669,-11.233614394307413,-10.295347345638461,-9.068225007765548,-4.098544515319229,-2.125758311264724,-0.12789915512238673,-7.906166203032828,-6.764517181231627,0.7808099677762381,-4.972830940864428,2.5815834274955063,-4.651116535731027,-2.3285845268841356,-3.9350938733428045,-5.149243635060745,-11.994478491425953,-6.8728428791048,6.7291967344910155,-1.3396902589984343,-3.359541623615293,-9.171858350781289,-7.16132689746087,-0.053300191771361236,3.629391135606662,-4.373712331112655,1.998162606610876,-0.28514150835356245,-4.205425138640932,-1.7321891353675039,2.2165367818859423,5.510323357208542,1.7090582387488809,-5.000202154380262,-2.483576424633366
hsa00600,-0.8550517549827217,-0.2971401492186904,-4.3087511702554,-1.1143559231742977,-0.25735158895985355,-0.26722984467023825,-4.183150455906565,-0.36912176903962907,-4.08191898763061,-6.363216643226601,0.8360515054440493,-1.3794286614096172,-6.058996162455308,-3.262828977965024,-2.318977705194383,15.407310124672225,-5.166668048488501,-2.2214790458108817,-4.915646818541637,2.4374871341804076,-1.894056859955829,-1.9837595525529947,-3.8547474773938464,-0.02960798146709331,-4.546302510716277,-2.8938235354537065,-2.475093378672504,2.702793494639614,-2.968633091422993,-4.095862112985782,-2.5587490422143,-6.645323698694927,0.7211279567608962,-0.4782035503185376,-1.6147994470226803,-3.0335807841493163,-3.4292187394149973,3.7055775724518534,-2.5806570155269855,-1.457313125857991,-2.689198010893905,-4.264200202296739,-2.130543341345613,3.159514021966521,1.0932464926339334,-1.6627977868163788,-1.5916130297683657,1.3927617703603796,-2.9996556008093718,-5.277891353746466
