,GO:0009267,GO:0019933,GO:0050658,GO:0006090,GO:0006790,GO:0006633,GO:0007179,GO:0046486,GO:0007264,GO:0030433,GO:0051321,GO:0050909,GO:0050852,GO:0000165,GO:0034976,GO:0009062,GO:0016055,GO:0042278,GO:0006665,GO:0007623,GO:0050810,GO:0006487,GO:2000479,GO:0043648,GO:0006897,GO:0006289,GO:0033209,GO:0060048,GO:0006284,GO:0006650,GO:0006401,GO:0050900,GO:0006915,GO:0006914,GO:0000724,GO:0006493,GO:0030036,GO:0006909,GO:0019722,GO:0006303,GO:0034754,GO:0030520,GO:0048010,GO:0016042,GO:0051180,GO:0050853,GO:0090398,GO:0006163,GO:0008203,GO:0016567
hsa04979,-3.165346043812891,-2.074767526875825,-4.824786967902443,-2.1599474555215625,-2.562973299276083,-1.4379110831324546,-0.7461317422180485,-1.048056481786551,-3.424371964690114,1.8550001880088811,-3.7157395442238,-1.7450211176961008,-0.560406728492503,-2.2128091823529523,0.261673689411758,-1.1158260783086338,-0.12967857222669488,-2.403812913801032,0.17236984336961644,-1.642950869018845,-0.03353567271250509,2.4019572454634686,-0.4926486795570749,-1.5704110562731217,0.8819367985530568,-5.768185207603079,-2.3516456492041526,-1.0282014911906536,-4.446391499414226,-1.0712546015838302,-6.800621467507899,-0.3864729634945626,-4.236827496242781,-2.901206439628498,-5.737561312049274,1.9685314284028614,-3.3203810423658733,2.6249057484378837,-1.149091261850532,-4.78032206820982,-1.4624029339685773,-0.35512708839408325,0.36149258897941466,-2.216782496578853,1.0858138907093264,-0.28731833388081135,-1.7103043711096204,-3.334437708418588,-0.1170641520382184,-7.7806729757826565
hsa04662,-3.58885175672847,-3.7310134127803596,-5.590116425609183,-1.4460302506540887,-4.720733479467901,-2.613367799049508,0.17247998133162332,-2.668269126219789,2.35961727063096,-4.154209853500014,-4.001027312294409,-4.631093063581809,4.979091476507131,2.7736326684898365,-1.1655378604565996,-4.060636601983567,-2.986178157401797,-0.691819757514056,-5.311252353412399,-3.145519509601236,0.8122857221706951,-4.136580325701721,-0.08323508688730667,-4.504884353920865,-1.8681471526382636,-5.273333736022251,3.196462630676547,-3.0356914339195713,-3.3221273189474765,-2.0295418488284236,-8.146710817111266,0.5621876844340742,-1.9625824967998282,-4.088762166302352,-5.695988745208474,-4.03480206090682,1.331799308387429,1.4224918368447705,2.0311617560437423,-4.644382495559297,-2.848797806592286,-0.26653278540311465,3.4643466646235077,-3.6687401819690515,-1.487404517729691,6.610100932375842,0.3226779778368351,-5.428407654739172,-3.635087220867424,-7.389766838058081
hsa00061,-1.6017477334520047,-1.5735430535836237,-1.4311472350993504,-0.025534522690716564,0.10633776846544364,0.7984970372407073,-3.1513304840204013,0.1986399550414204,-2.7272421418374377,0.722916019704893,-2.4490625957711343,-1.4142357327655586,-0.9264220018123301,-2.8464671304361313,0.869489425144524,2.8897631232115595,-2.596111472163991,1.5367992799045151,0.17798400321064783,0.15086852996270628,-1.5389778960285478,0.9544145161707193,-1.2284852893151155,1.556560453411764,-2.3687734696766056,-4.095788613986867,-2.450754366682295,-2.1798120454880197,-1.6429734191237564,-0.01789985636273118,-2.821249706001556,-2.8895944413234886,-2.0660207705460336,-0.929614674056298,-3.7890347727276037,-0.2632927196470089,-3.357668562877001,-2.3700422565310206,-0.7099165548913666,-2.2728966914147777,-0.5453427677419445,-0.4284112368034774,-0.8865554768936867,1.3025211642740515,-0.7956619470276779,-1.3279008229027622,-2.59688991028497,1.712102486757625,0.8458830742346015,-4.457125298857241
hsa04310,-5.037380992277723,-3.2102136362678557,-4.861703682998828,-2.0459030861519203,-8.105741258766892,-5.270366101146881,-0.7240288068367293,-4.675602294157636,-0.9092353915154225,-4.55886385911623,-2.924166472353314,-4.663347583847667,-2.536210426964312,-2.1110181629395806,-4.874168467275208,-6.089599165019458,-0.551768350173314,-2.4942302503225138,-5.898668058412418,-1.5617113742268753,-0.7810214091063392,-4.386355970026186,0.3342783428397595,-4.950896549400143,-5.404380239549662,-4.407564923649192,-2.1540755124292623,-2.5290989145239537,-4.032960262567148,-4.636606336817627,-9.248005855113474,-3.913800820319353,-5.711109374205808,-7.408051646702487,-6.070392551645418,-2.933063228857046,-4.211024804831218,-1.4066287080955684,-4.463594639345362,-4.165882212329407,-4.0452011834023125,1.7119763754839072,-1.2409918347234015,-7.149500797115596,0.5569194915259561,-3.1548169363710445,-0.7770798620613748,-7.339470308042638,-3.701704910058295,-7.731681471600099
hsa04742,-4.4925886500425625,11.41204056839274,-3.3600653839673624,-3.0140468840465515,-5.575099940714703,2.4357555324615694,-0.9654348752252212,-0.5106336823683693,-2.361228914203755,-0.3931311450766096,-3.4248042317313723,3.1565463952321617,-0.5236134418068072,3.203244271171435,3.6490085474103826,-2.5005453244529057,-0.07974100343307884,7.708439144548251,0.8715122067053124,-3.331583983354684,0.5289172842429054,0.9910498623853526,2.8416375781262695,-4.564562595930862,4.153399250217715,-6.435562458486177,-3.128023050860228,4.309164879862306,-5.681457261080956,-0.46792499409105065,-7.785983447985565,7.891794038956523,-3.0480392772926375,-4.696223807615177,-8.372216693238498,-0.3383043793534858,-1.0073415535739803,4.048060578174929,10.561714243332254,-5.566396549604719,-0.4102560600320647,-1.808449507671708,-0.5111312133040485,-4.446966334416005,0.22604226022180787,-1.9538526336025683,-2.413772953602218,0.8409208667913233,-0.9785377112927207,-11.31582720650542
hsa04350,-3.86968191491147,-4.24275990874996,-5.2458589959708695,-2.100681999071633,-6.285146932212191,-6.29566901592801,5.477703573236043,-6.1801443320710625,-1.272811165463173,-3.8399623986130993,-3.8651824688406533,-4.4056594628065,-3.8457293931286376,-0.682150464512769,-4.351284374921528,-5.531017256166112,-0.5226711922039069,-3.604059147852433,-3.4847053289931464,-1.4733488012663951,-0.20282735171914648,-1.1530950700178977,-0.5200222914680158,-4.71759358217619,-4.810871381097039,-4.651033133833342,-1.0073160754358166,-3.5164626862532407,-3.0621808638038814,-5.456045763789412,-8.288368503898884,-2.699935362290607,-4.79084626474284,-6.405395414277397,-6.749612018865691,-0.9712474963289945,-3.0490715112962605,-0.09647082737379835,-3.8307887290020246,-3.840153017850338,-2.7197769207205513,2.300016616949691,0.8511038467855748,-6.383424766124136,-1.3023988638788988,-2.2760100643800922,0.31585353816225403,-8.60964922583352,-2.481471464987221,-6.894290691856368
hsa04140,1.1879617977124777,-5.16275620926743,-5.031487460116149,-1.8438483349351622,-6.620653088170508,-2.588536084263026,-2.0959408704510376,-3.821932488938632,-1.794763419358857,-1.558731585146509,-3.491013120289064,-4.498728243642676,0.37803515231503654,-0.2164725437817909,-0.3735096793704208,-4.49889330434009,-3.660948361162718,-1.4192679554068153,-4.185914008667056,-2.3186272830541936,-1.2413021146395284,-3.1361721772991937,1.4485699492762425,-5.00512878860264,-3.727577060108463,-5.06565982542999,0.5655268824950709,-3.706627891458698,-3.8712415913350497,-3.008875449446287,-6.88890331236525,-3.1889436859477076,-2.77339611212841,2.074302011257795,-5.715083937838411,-4.148202971497612,-2.803899219401559,-0.8647615800137035,0.7320157911277744,-5.409118707941643,-2.5406428949899533,-1.5738343956203493,1.019298833012672,-4.629304644133428,-2.458358389243947,1.079716088516871,-1.8994395239234114,-4.601255097668106,-3.046191936501165,-8.548613045538996
hsa04068,-2.055869772915147,-3.627788822301085,-3.692429925177586,-2.1251000289667656,-6.0372127297841995,-3.705336410998449,0.9723187082059183,-4.146721591061285,1.2781393905126648,-5.331777070309397,-2.8392704631859886,-2.1438774058275674,-0.05423860233140463,1.8031402447772118,-3.486646142208303,-4.990492233162203,-2.4703028389966875,-2.28754040210217,-6.420584208169234,-1.76566461945569,0.38622107676370926,-5.2181530648252314,-0.5820552024382546,-5.083926017108738,-4.290731843149349,-4.057717146546833,1.731989907647134,-3.886643022245063,-2.872958487969956,-2.821076064265714,-7.740073293302956,-0.8864799308357975,-0.67239584431136,-2.96899549008706,-4.6819773547592325,-4.953336847733608,-2.265756135208877,-1.0717493449295976,0.7332425715735884,-3.3943982089486973,-2.9878247365082387,0.08247923196079122,0.692060468476054,-4.681408495139437,-2.2676686292505557,1.3228422139629947,0.7183740504790782,-5.892899145213286,-4.1470761328015575,-6.330493325477426
hsa04977,-1.5480995716020647,1.0813224913326798,-3.610339398090537,-1.811578924066947,-0.30095049849738936,2.0865666051586027,-0.7666196628009311,3.4260007938137576,-2.1010813932238097,1.444391101030322,-3.1239494211426106,0.3305625803050023,0.2658578623388641,-1.5121595604980975,0.9230662193847651,0.7045910274072377,0.33436762851770946,-1.0856881333738693,3.5510894483447246,-1.670783810036823,-0.2249248907279145,2.41074162971093,0.02906519110699467,-1.5163847136540693,1.8484242809401696,-4.047437736130462,-2.678624052081658,-0.8276470769551502,-3.279102864085359,2.28508309432611,-5.912600719972947,0.6995920934159234,-2.8270007086061684,-1.513075652760927,-3.45188202592568,1.9927626271534433,-2.5019753561623403,0.20530356810683412,1.5899167433295578,-3.232764046813113,-0.4303391135965765,0.23214631743511363,-1.5036581856332858,2.205082596928974,2.6502334714621174,0.3926257550201952,-2.496310811712594,-0.6650489259718434,2.7496627759764745,-4.926196436653625
hsa04215,-0.18581621850559035,-3.254620723971426,-3.031719599666857,-0.9751400664991845,-4.340112416569841,-3.5020357133482443,-2.655331478289628,-6.148392113410101,-2.253909333722675,-1.700491922750526,-1.7835271787506184,-3.227889542358802,1.0947976939948645,0.46505882335529536,-0.25853021903102424,-2.974652398710598,-5.005325701031221,-1.0398259930993983,-4.6501099245736865,-1.344696533522634,-1.8169479321648145,-3.5745873868320723,-0.002271339839629143,-2.9643366606271906,-4.46041191529523,-3.937102757871075,2.1158195464470237,-4.45405668640896,-3.4032019641112625,-5.848841582306498,-6.68823720490852,-3.3350714685711105,1.2008076538771,1.9107670718010386,-3.644532637027955,-5.098002076971063,-4.4706520874389435,-1.482000947054953,-1.5765445699411507,-3.083403171367171,-3.988663725805344,-1.369547274661102,-0.0069396255059728145,-3.9744513577226606,-3.678565005050559,-1.6620052149612252,1.1322119645016229,-3.381437241831584,-3.164325762689291,-0.8825453469254811
