,GO:0006633,GO:0050852,GO:0030520,GO:0050900,GO:0006303,GO:0042278,GO:0016042,GO:0006289,GO:0006163,GO:0009267,GO:0048010,GO:0060048,GO:0006284,GO:0006090,GO:0034754,GO:0050810,GO:0090398,GO:0034976,GO:0051180,GO:0019722,GO:0000724,GO:0006487,GO:0006401,GO:0019933,GO:0016055,GO:0006650,GO:0006493,GO:0006665,GO:0043648,GO:0006914,GO:0000165,GO:0006897,GO:0006909,GO:0051321,GO:0046486,GO:0007179,GO:0009062,GO:0008203,GO:0050909,GO:0050658,GO:0007264,GO:0006915,GO:0006790,GO:0007623,GO:0050853,GO:0030433,GO:0033209,GO:0016567,GO:0030036,GO:2000479
hsa04370,-0.844112599697972,2.693182023163038,3.520433515225332,0.623043011752596,1.3043255477798041,1.7536959954146958,-2.358069426453905,0.8952651082266209,-0.34018885921794834,0.4034998909479192,2.3659919845912127,-1.7029096676354145,1.3447748415978413,1.095435570040872,-3.2122243975790172,0.9968451189042653,2.721668713231815,1.9333180436800235,-1.520696743001019,1.7560441267196125,-0.2656981702448237,-0.7795008251310737,0.21536032922861767,-3.1764669045133256,0.10429500865788652,-1.0893962350491673,-1.7029165113368714,-2.294829119504652,-0.32998973226910977,1.2811286245533537,3.1606935734814954,0.924670398826049,0.3969343559746681,-0.4326838208659513,-1.6463070182707513,2.308345563770371,-1.4216048300909077,-0.8346009936873792,-3.4296651907885014,1.3506711009022347,3.4449942869071446,1.2760692675724206,-2.4905091822456,1.4797692919704233,3.116210588185745,1.419435040493751,2.4592647855442555,-0.027783220891886142,4.075313346417322,1.9700845213730305
hsa04141,2.6608858736748715,3.6396133542310745,4.983948588303799,2.2338735468314472,2.631293267848142,1.3979572174537023,-0.15549678081080467,2.080292810237073,1.0654325308976011,2.389797061058563,2.563645114625162,-0.6483679706773601,3.7161199223637182,2.60681301282586,0.32882990508397203,3.511613835021649,2.4987106845757086,7.935654811502307,0.33297967895433894,0.8236131759190937,1.7112353610311903,1.1197756864623867,3.414464215860316,-2.2356106842835914,1.602053330644395,-0.16256811148850014,2.593798855928786,0.3676725831020437,2.0511761600058103,4.2838952781497595,2.7192402672281513,2.30444580966318,1.350651259373522,0.9935043260677867,-0.5845020961243007,3.547680778882401,0.31090728698171527,2.6018544551729272,-3.154458206354107,4.096627605312429,2.5890930614458822,2.9536102760523613,0.8373456957302668,4.041675976003888,0.6938651195741983,5.594429867552124,3.2018786458095554,4.436513874790626,1.2382962485935376,2.2514921179767446
hsa03013,0.29480179391037026,2.6976855860777134,5.922982387597405,2.484071304142997,4.161014817405954,1.2811314062793513,-2.1808663446508847,2.2865450508004797,0.2674384637005411,4.262528549768029,1.6882500330317622,-1.6642644432063496,4.2816752925468045,2.523518265005068,-2.609563766945179,2.9096547888548607,2.7648961398282337,6.520156376667443,-1.7934583586641046,2.032378786616259,2.7574215693997006,1.8995977297478865,7.302503993053504,-4.0234196310737245,2.0228861818082544,-0.7094103247813804,0.7302712176555357,-2.252544469944876,2.372354749734684,4.046529516949005,3.009975956773509,0.16089315910348448,0.9986996674676515,2.1533337118107596,-1.6746811918840225,4.066118253051773,0.07769289435347734,-0.05414211551706069,-3.3264719928796467,7.884528368274851,4.009199016083608,3.107081029198465,-0.7472415088035089,4.662790766020534,0.824694298788507,4.620677235953042,2.6622406028235357,3.7168163940371635,0.10532122982575344,2.14675889908156
hsa00512,-4.253886271283225,-2.9562386013965485,-0.9609955587308665,-3.969114292020096,-3.5579292911069396,-3.743110072272622,-6.15055233855245,-3.9828286868701595,-5.541466441012949,-5.0211469049862645,-2.474759396933104,-3.235521364388092,-2.981767160417503,-2.6859810769949557,-6.16509959674636,-3.6840341309893287,-3.1398874933834975,-3.5573667333719703,-2.9465558907724865,-3.91947798466346,-4.547399884060917,-0.29331790511136313,-4.508371775570525,-4.456756642012108,-3.5484948402176024,-5.021784067169362,2.006862707813621,-3.3292249378037893,-4.411490015305565,-4.409006241027691,-3.5375734576476963,-4.381093097014412,-3.604449231586588,-2.7454329689508206,-5.555471396329558,-2.5992932664363506,-4.467976635489144,-4.101345215895963,-3.980777322026192,-3.520140751685613,-4.651368594569511,-5.51105009361702,-4.995783576774516,-2.6707782778966225,-3.257000147611633,-2.190931709613715,-3.4207152690797265,-5.858880979865034,-5.077169026274843,-2.169904435266686
hsa04020,2.302125767823899,0.3083425765328764,1.9137607105869687,5.224855023237883,-0.5491390740199612,-0.1054950289781504,-5.018210914504032,-1.5002878012395582,-1.5345124783162392,-0.4508468425290098,0.6182768102498647,-0.9746982965082929,-0.48183174758866903,-0.49847693451621017,-4.100245387598336,0.3058532048128098,0.5404255549150037,2.3910155861931384,-2.256714927895216,5.950986542559402,-2.627153684413494,-0.5062080545023498,-1.4393677268211436,4.135574851044162,-1.495520828877398,-3.1593281879045314,-2.2435622425397916,-3.0490326206038794,-2.234542584078785,-0.22528963131526747,2.9832137143561948,1.6032664298459236,0.2262239878096809,-1.5677251778205055,-3.465823217493403,1.7737460351560272,-2.5351006634369653,-1.7585438381649707,0.0160165701506826,-0.4053424743421176,-0.41173721495325766,-0.6842544945092041,-4.267450003276091,0.19991727564115486,-0.3448798971255549,0.6470214772094848,-0.17352757442049072,-2.804556364654455,2.9281585155788172,0.4600455289818756
hsa04977,-0.8149924159992885,-0.4000941387905193,0.6791774115479661,-1.1809394541669878,-1.5234515367937471,-1.6537918115635684,-1.7159004747119055,-1.5459088890957589,-1.1636203901128983,-0.9656992090922316,-1.249584784617973,-2.626785847652234,-1.0142007638208226,-1.0751040520778272,-3.4135449172558037,-1.5361992863972422,-1.095259452290937,1.3150377188830276,-2.0634966069035414,-0.9367435863376847,-2.198930832571185,0.12731165284331872,-1.3865553725638182,-2.203758014662402,-1.4956475421614404,-1.5915311232138045,-0.7601585221767245,-1.0145578047818462,-1.7740748727423505,-0.23539752392314597,-1.031882059611605,-0.2853055160299623,-1.6265591387309892,-2.151108405101609,-1.3408303106536226,-0.6916796022179353,-1.2420743696147154,-0.6221636974229185,-2.9929358097713346,-0.1094925259695323,-1.1626974651550468,-1.1308717460699935,-2.4322577635448432,-0.9234859554873314,-1.5136571903203186,1.1849809179393664,-1.3651587034446793,-1.2200207713524003,-0.688934444573547,-0.6284437729920749
hsa00230,-3.1951731700410697,-1.4844226563024239,0.5265733903217952,-4.3065816962335655,-1.5094296584599423,-1.1775149119327109,-5.256274774992292,-2.8977540037589313,-1.6990983876875607,-3.1822830515626443,-1.1539345229197724,-4.269232429016707,-1.1129657314833257,-0.5119192192996571,-5.101457041024787,-2.4236995114251303,-1.9029926519022136,-1.9518302182701044,-4.036046562974769,-3.229896163839519,-3.1896382675515054,-2.4158842060410612,-2.71728255992318,-5.957003651681884,-3.953128539954573,-5.575157240156947,-3.0590390473377598,-5.394177223462889,-1.3075933013797365,-2.3887053940035465,-2.434361367200163,-4.270800725879147,-3.374044906508008,-2.394795529601529,-6.276995457974411,-2.0138563016719733,-2.865694920848916,-3.352852798246381,-5.585748526854186,-1.2444043603182358,-2.9924246943330863,-4.122537232029552,-4.2882243027688745,-0.5573848879939751,-2.6527974012489057,-1.2409796378446973,-2.192265519640995,-5.099927718332173,-3.956359795138436,-0.820587224917796
hsa04140,-0.23200151258087603,2.257639806012248,4.1565455844615835,0.6678654841224262,1.6505882087267905,1.1851254549646264,-1.9889760753066006,1.4191495525986157,-0.5034509557134805,3.2789518069786534,2.5046130697920606,-1.685989595750004,2.43371017246995,1.8683003684692596,-2.859178574933218,2.062873807364425,2.458213982100923,3.9548811801409167,-1.2739150669542674,2.067021522361792,0.5383712868847571,0.9466314457537887,1.7776864778461585,-3.5035892354892186,1.235852467886552,-1.465070234562103,-0.4805625355230202,-2.147072595247916,0.17096105894985922,5.02760148623326,3.1094044139472925,1.2488303535272556,-0.20269302876699913,0.14305901936310725,-2.249562160273621,2.738645890448095,-0.6357759969531357,-0.42193682171225166,-4.009540638148033,3.0882305092712556,2.12252471433794,1.9674492469009528,-2.412140878743768,2.8949606929011766,1.4777236931484543,3.2321429781250863,3.43868158654446,1.1673071587353971,2.264944431812693,2.7979133938943708
hsa04979,-1.678496132302541,-0.3698068240374804,1.0115161134531205,-1.8198124460726044,-1.1294102792339895,-1.711937602255482,-3.106293373322701,-1.872770823425842,-1.479853598188471,-1.3980552340959114,-0.5221420333803088,-2.6390137960291646,-1.1381430110787576,-0.4388742353904937,-3.8019107615948884,-0.9479671392298281,-0.753081478050913,1.8164487511608478,-2.78317871272548,-1.2263599770011713,-2.48187221902238,0.2690212970609002,-1.4159445919340299,-3.7031120965118625,-1.476061183938696,-2.8929639916276564,-0.7845343661946775,-2.358447014218592,-1.4161106736266353,-0.07529627294840555,-1.3936028372915445,-0.12197635688580509,-0.7081211208592755,-1.7419678734061328,-3.233517694502394,-0.506575351037757,-1.5390188384098091,-0.9812601172288505,-3.5160087544883876,-0.29460018078408773,-1.4362075596721922,-1.524489858787158,-2.9927236197802194,-0.1199538898362179,-1.2660247601553134,1.9031277271744933,-1.1318237223147245,-1.7856588441994785,-1.3261430642529364,-0.38509585926953493
hsa00513,-0.5027263759154386,0.12503775139173987,1.590179005182856,-0.7711239519308497,-0.8320902212831397,-1.5184971999025285,-2.4232020772847584,-0.9664485124257761,-1.0230175198159186,-0.4876282151901991,-0.3926046373676515,-1.2725913848585961,-0.17484126078069506,-0.5008489308288657,-2.714529768502576,-0.6628056845013437,-0.5259175500425927,4.223696883081748,-0.8146309183215494,0.26142180037754936,-2.000072269729489,1.6795440170591118,1.0137059694140014,-2.3678715891607074,-1.3387457639054376,-1.4803015564508293,2.5421779859273324,-0.4386870718232094,-1.6317920879739982,1.151827274266347,-0.4975763882299649,-0.8028073338723601,-0.8105894815123593,-1.0543178350405709,-1.7685068854270842,0.05255050896640418,-1.3942837834453963,-0.1868492773006552,-2.683322796992197,1.4218216295987922,-0.8718569789801275,-0.8480308005882711,-1.5081258937495063,0.06923196028537314,-1.1876631480989004,4.525796939758484,-0.7550248487048634,-0.5569231700569769,-0.7978569630377746,-0.5240263352096415
