,GO:0030433,GO:0006650,GO:0016567,GO:0006914,GO:0033209,GO:0009267,GO:0043648,GO:0050853,GO:0006915,GO:0006401,GO:0042278,GO:0006303,GO:0000724,GO:0048010,GO:0008203,GO:0009062,GO:0090398,GO:0030036,GO:0007264,GO:0006897,GO:0050900,GO:0006909,GO:0006090,GO:0007623,GO:0050909,GO:0034754,GO:0050852,GO:0006163,GO:0051321,GO:0046486,GO:0050810,GO:0019933,GO:0006790,GO:0006633,GO:0051180,GO:0007179,GO:0006487,GO:0050658,GO:0006289,GO:0016042,GO:0060048,GO:0000165,GO:0030520,GO:0006493,GO:0006665,GO:0006284,GO:0034976,GO:0019722,GO:0016055,GO:2000479
hsa04913,-0.22963400650946544,-0.03536433161813517,-7.802951501635629,-2.290129601754876,-2.2668683306115964,-2.035035655213156,-0.6390701389192016,-0.8887169096132199,-1.3109805365364338,-5.5966408970065356,1.520637702009458,-4.408931094916365,-4.530429881510041,0.19635691943048517,1.504582356478229,-0.12186540625888126,-1.1846421654729067,-3.667952566013138,-3.0759668567236864,0.1904257561282238,1.2844510461272562,-0.6085665834399486,-1.4387764498043953,-2.3622770634367276,1.3340656842446454,1.131974252955497,-1.0641779954286592,0.0939160993121872,-3.715199443791513,0.42341978335575886,-0.3419002918892726,8.656395943438561,-2.163811875764599,1.615528999942249,-1.3192782318265368,0.35290005608397423,0.23929656733132276,-3.1579435555435214,-5.084183875266406,0.2639875512531719,-1.1046970683655888,-0.4556276869653641,-2.0099019559513907,-1.6236054419675345,-0.11290571777702293,-2.774745675475212,-0.9296352546861796,3.1318978880553576,-0.5577101494794969,2.055937695481255
hsa04666,-4.892520178693498,-0.6162812702474479,-11.232879987956824,-3.9165973126366427,1.4352338703310585,-4.916508650703873,-4.041622375117916,6.7566077968611795,-3.7798817142610193,-8.448057323942754,0.7377601294067039,-5.577288267473223,-6.453553890511715,3.2993441298630084,-1.9001477038400176,-4.799882945840396,-0.7664075107294264,4.552560739464758,4.759569227729367,0.9358834805814766,-0.351313556052062,1.3822215097164217,-1.9363028756621319,-3.718226498392794,-4.221196062156333,-2.8137135896377106,2.799729888307756,-4.6832776702385495,-3.535921075600689,-1.1994875697608667,-0.9560217173069263,-4.1941742615564275,-6.323776817087526,-2.5687069808329497,-1.1040207789119219,0.7491006901708875,-5.102691652512243,-5.523954316257115,-6.230003282336481,-4.528252101726807,-3.0749897995070543,0.21461645843769728,-1.541681118584248,-5.110442250031037,-5.593409392217182,-4.129602134883276,-2.38204385968684,1.0810284035716762,-2.6727193052937213,-0.09114328910544278
hsa04120,0.7220396213558254,-5.999818007548192,3.741300535991013,-1.6406277154167899,1.0612524677795012,-3.038069879529223,-4.373368591178848,-2.240856647442278,-4.044395060127816,-6.33673001524596,-3.0301686376906116,-1.1394099673083151,-2.5317659082409687,-2.0519891544777815,-3.985740033872193,-5.520507650336697,-1.6763865173054049,-4.499442144936397,-1.9794091622049963,-4.801515585132791,-5.654236804190053,-2.7886571488501364,-2.702402066694542,-2.6655559460411853,-5.603424917478426,-2.0750856055641598,0.27626295320941896,-7.434921770522827,-1.4875655323259604,-6.501445002169497,-0.7157841073448906,-6.583260793242023,-7.826580814571468,-5.322719082371697,-3.684729522770512,-1.021871329136843,-4.52438749020001,-4.473960246647588,-0.33322960425772896,-7.12623702309967,-4.418308399513608,-1.9953614961164823,-0.5273761025217986,-4.175108018849442,-5.60169818605347,-2.3791775904898405,0.5424142006087341,-4.554499165618445,-4.765123116591702,-2.086287144933896
hsa04810,-5.181230565044909,-1.7287966915513502,-14.052002233208798,-7.060649416058357,-0.7913815190793908,-6.490219792090853,-4.719649686697471,2.4608872936939474,-4.665944629519478,-9.901057293065119,1.6886930782503446,-5.93249478873627,-7.4159230668625575,3.867531270381593,-2.8277186452640803,-5.907144358111289,-1.809826755091941,7.372954723012966,4.407618498720619,2.255829479334292,3.068962555116836,2.95011433639648,-1.7168138348003092,-4.1898184366254885,-1.199987460772283,-3.225613712141611,0.5486990331636022,-4.214048984042735,-3.436277883369234,-2.8222908946362866,-3.661811159552582,-1.480148169140512,-6.407754196933525,-2.789281681862779,-1.5018139750145922,0.3584162852389622,-4.311046156165079,-6.202951402973443,-7.452289271946542,-6.373697103689621,-0.8854173968981919,1.1307627319490754,-0.805490880513347,-3.849526640158972,-4.706807614818977,-4.739781834901859,-3.6994871671729803,4.3164070721398335,-2.341814672646993,-1.1292589972255591
hsa00510,4.4435214003411065,1.21760300591626,-7.467386944988176,-1.4908223841387516,-2.937352562708713,-2.386542361227405,-1.49407863685835,-0.6201112714010517,-4.0276545800145565,-1.3846104737341394,-1.1110094994806328,-5.072981029256208,-6.6145935694464635,-0.6912961499151351,1.1787975676610147,0.07551845049636874,-2.6520171781970134,-4.822493728732564,-2.9573458659056824,-2.4083827565760414,0.38982872627086024,0.3533608478515791,-0.7449390065855962,-2.4639108087985013,0.15034402480651796,-1.0863921744469547,0.2995424959716731,-1.4168219515533826,-2.032202418274449,1.037862001321347,0.6180256448018309,0.9127275922817163,0.7118917935573089,0.904345827053336,2.6677883408693277,-0.6177830103398261,6.647433822561899,-0.8945002865937338,-5.936775969425913,-0.9653891388791742,0.882596037258851,-2.522206412930518,-0.08884056901582378,7.2179797180663146,4.685324053398423,-2.5152930596762504,3.7979055894046505,1.3378867601506548,-0.14308207582443147,-0.16789442994101278
hsa04024,-1.9413107372915297,-2.1853543086920024,-12.69312523631973,-5.073957707590783,-0.9666688748032887,-1.67418250021544,-2.4635827604680514,0.4008468498952924,-2.1371532145001657,-9.34798361060497,4.192444564645836,-6.013994160516814,-8.687579202037602,0.6981059260636503,-1.2288448410835358,-2.256153846144753,-1.5864936609505467,4.301110074968892,0.936443623476541,4.242188851706817,6.035298714861732,3.146780291673668,-2.529510127293183,-3.24690593506861,5.627846831965489,-1.859674953296756,-0.46198532015015753,-4.512157418565422,-3.973313737879596,-2.844061964473579,-1.2019596922785072,8.623516976303181,-6.0747792979613715,-1.1811762198534936,-1.2660143414864533,-0.43340148356744645,-1.4158469961443134,-4.9256360435795425,-7.288974942134173,-3.4905658188129767,1.6955068682106302,4.464933989854788,-1.3145783376663278,-2.9997957448170913,-1.1544063216516416,-5.235713142014329,2.9524111452411406,8.412712513018823,-2.407757729524671,0.9784402257601349
hsa04915,-2.1907731408603714,-1.7017006579304306,-8.224457663070602,-3.189662684900624,-0.25735375221415885,-3.0021646563651716,-3.8930193058287546,1.951208301917103,-0.37042450774566665,-6.965036458277131,0.9894044030337865,-4.6942048294821275,-5.33846554564422,1.1216265333717845,-2.594293201695231,-3.216396263145267,-1.5147786787007675,0.21361690893210175,-0.7430537447857484,0.4416079555509826,2.965556301326159,0.8340255906432371,-2.295417481332437,-2.6334049492760685,2.2084428115939416,-0.8735874338405458,-0.6875129414942822,-5.554623492298595,-3.9705391764691043,-1.5179825214389164,1.592234184985382,2.5820285322868366,-5.471218335449754,0.7538675276378158,0.5718062441791617,-0.24220911434707607,-3.831373991383531,-4.398652769946086,-5.781788030817243,-1.891096530259049,-0.8086341944271691,2.732166241274715,1.0443847002010735,-3.6880081442157233,-3.671769212187857,-3.72410423028207,1.4302425215690433,3.5194558673288143,-2.2292130982759124,1.0154265488602376
hsa00920,-1.0503236139400558,-0.9641466317462664,-4.637553224501986,-2.070553640560679,-2.1113602202605564,-2.3479159265136027,2.2041952852723923,-2.665912562954321,-2.90108647088319,-3.242774349469953,0.11639002179737855,-2.491173370616631,-1.4148212993111875,-2.1902358960454147,-1.5302538510021808,0.8343092154849565,-1.2744136865345446,-4.005621534868588,-3.500534972296115,-2.849149478514508,-2.6459989685318086,-1.8854996303228695,0.08019048433020276,-0.971731232793124,-1.6536960555260607,-0.9317145405538682,-1.0944914541059159,0.2714319890512632,-1.2993748317693137,-0.7721464764016821,-1.6760306356595764,-1.676046108354726,2.784374662517115,-0.2698638152401046,-1.588960472862101,-1.310797595055339,1.8072948422062505,-2.618405321415696,-2.3727527692082195,-0.026291964366709303,-2.4902152401045035,-3.0349188877854374,-0.5186440308112429,4.450958204289073,0.6979960223969883,-0.5614568656970989,-0.9829133360021943,-2.329874507246933,-2.990951741796942,-1.4772688884898315
hsa04260,-1.0288876745003366,-3.140722285918824,-12.694280913260977,-3.586203876361878,-2.9212598023302894,-5.461973148215663,-1.0290786511001404,-1.5370411266552133,-6.148041764457705,-7.381033406547667,-0.7897465006232024,-4.889535356877769,-6.072269372882227,-0.5619396881249988,-1.2209205010239064,0.28205468178959864,-2.4019969898686298,-2.887707097509795,-5.628137589450604,-5.405811956875283,-4.60372804900341,-3.7924081554520805,-0.22232159163407733,0.9585998218275558,-1.188906536180817,-3.7711585068257807,1.0620470375889923,-1.7521896591760844,-2.937774702158057,-3.2304165661464195,-3.4001738509641015,-1.9314631318744344,-2.88079050012821,-0.445078679226337,-1.6651346386431944,-3.608044090825813,0.3060216441145746,-4.413280664520567,-6.3523148717972004,-1.067920439752555,1.8258714455728522,-6.501044326671356,-1.8518078965007125,-0.2868450308548724,0.05300451992581551,-2.939362873379511,-1.951804008715168,-0.2828881371205295,-3.704638668664464,1.219038300927033
hsa04668,-2.672473678748027,-4.054260361720823,-5.390008524833692,-3.880057543370052,4.0251159679899295,-5.101933618757155,-4.771431537209726,2.064437143300178,0.6470678931347879,-7.434102301358081,-0.8024649677651451,-4.695434438311858,-5.906585367439272,2.0814904648577235,-3.73643744240767,-4.924171072460314,1.012677713905845,-3.413252871628402,-0.053836886914671186,-1.0912271912483842,5.438767092127098,2.7159545638995715,-1.6449258107702358,-2.6968580129525987,1.1332206364229025,-2.7560584539703363,2.6025181335398786,-6.379224658463807,-4.074199826209704,-4.495600956516714,0.579808586910894,0.9600950767898273,-6.480097232073951,-1.1471752293771011,-1.9301506739862833,-0.28699367805451903,-4.497256425558669,-5.554592189545209,-5.535460459714279,-4.624414687741304,-4.229081469964168,5.077965183647666,0.20364411148584272,-4.036732318113955,-3.7173989562244873,-4.29545015571377,0.18103835973970378,3.710498764391163,-3.226872124914321,0.5915370380280209
