,GO:0030433,GO:0006790,GO:0050900,GO:0043648,GO:0007179,GO:0006289,GO:0051321,GO:0006665,GO:0048010,GO:0006163,GO:0006915,GO:0046486,GO:0060048,GO:0006909,GO:0006284,GO:0016567,GO:0000165,GO:0006487,GO:0050909,GO:0030520,GO:0090398,GO:0007264,GO:0006090,GO:0000724,GO:0034976,GO:0006493,GO:0016055,GO:0006650,GO:0050852,GO:0006914,GO:0033209,GO:0016042,GO:2000479,GO:0019722,GO:0050658,GO:0008203,GO:0007623,GO:0009062,GO:0006401,GO:0034754,GO:0050810,GO:0019933,GO:0050853,GO:0009267,GO:0042278,GO:0006897,GO:0006303,GO:0051180,GO:0006633,GO:0030036
hsa04024,-1.9728350643140715,-6.367948107327369,6.456397057785122,-2.6444838769542054,3.4857379218472837,-7.461039593348054,-3.843863772865924,-1.3525360379795495,0.5946602966732467,0.8161808284546783,1.6871377123391456,-2.8042755901479772,2.290148969504143,2.9646524480363987,-5.189120797760179,-13.120933003263936,5.820876621445008,-1.5000769661094713,5.220020739515611,-1.3311550286788094,-1.405158406901209,2.518770139561946,-2.445531208163037,-8.363694058457845,4.857448728191678,-3.1746938651708936,-1.6157036055700496,-2.4477021627646582,0.4452906637800066,-4.993681318847747,-0.7569654930042661,-3.7225089828968767,3.4306155517811843,9.454540287095073,-4.831858075846198,-1.343317029422129,-3.292357035534548,-2.179737547689624,-9.062813776228122,-1.9674485763184084,4.3455320208080535,11.643096187061731,0.6359136549195565,-0.7118515102969587,4.423157895859702,3.4458831540473227,-5.824221122501736,-1.3410217655011885,1.918426572933125,4.91488444786629
hsa03450,-3.073497723560134,-3.8449297730303376,-3.068422806067392,-2.3052776353339146,-3.388745684941714,6.300080111142679,1.8791523020134482,-5.1871913429579255,-2.6995875442274424,-3.1513689616468046,-2.32622705673988,-4.419394298570008,-2.98464110863772,-3.1350961547648364,6.4248930634227275,-0.09530486695060333,-2.6351731809304435,-3.7474130280665436,-2.253074030101784,0.4660455757962837,1.428553690816781,-2.5683272692840315,0.15318590225950388,5.062372063566204,-3.741519869954429,-3.599751429836719,-3.4864446445811295,-4.191111514072535,-0.9093456705702596,-4.095208204993594,-0.6915818542976611,-4.922420642786185,-0.42384016160281274,-2.451774079348701,-1.2856392295219568,-2.3225410689692847,0.23503216062744298,-2.6345838802205144,-1.0636696132934695,-2.4244419141585185,-2.847267871815022,-4.534140735152271,-1.7743938201740064,-1.1374968515121022,-1.097727776193474,-4.627400140834091,13.66487029805996,-2.050691199044328,-3.523367873177345,-4.373469396600084
hsa04020,-1.8606505864408531,-5.476921401419156,7.0358397006470605,-3.285296093098863,1.1968097626730492,-7.956329910011253,-4.286126625862044,-0.5478869149447523,2.97566760820359,-2.0895876653100345,-1.4191176205780114,0.6877338589630788,2.5401748669780684,1.8311068919076756,-4.585472538819687,-13.569314498004587,4.44974862565827,-1.0918086561051885,3.125437604133311,-1.796086789573793,-1.0080905157548343,1.47936329320979,-3.3243468165254035,-8.100612629823246,0.5363007288914088,-3.034014427532979,-2.6005874582518786,0.9727474717529522,1.0245232577044858,-5.126330247917673,-1.8597581069582252,-1.555480355586403,2.568332717146741,13.413903026439767,-5.682233054066931,-1.806802666221654,-3.89451015743858,-3.724688537968735,-8.793016349330184,-2.2031358215289645,4.989687953450824,7.913308790350066,1.3349977264452362,-2.4585298913169096,1.2748375109737737,1.4933905470089606,-6.259746921600289,-0.7476073171093546,2.958719203423801,2.1290728387307585
hsa04979,1.6877469919232457,-2.6924238317394655,-0.4730236040488647,-1.7084577655350524,-0.7516235959884707,-5.833124070430853,-3.472951370892603,-0.11541223040191156,0.23895417651234632,-3.3555123265247238,-3.371441399658285,4.230164636537313,-1.2225376835785837,4.074985627357978,-4.233668636513959,-6.83488547293146,-2.380384421895044,2.3552488518718926,-1.7375814668467728,-0.5136568893226207,-1.7858532555837372,-3.3438891013190046,-2.305512672538691,-5.858727232885174,0.6348940252917916,1.7888679705227168,-0.3135132365124688,2.5730327727738262,-0.6074904522385591,-2.3612442744636213,-2.4617723521300676,2.658822681061016,-0.5646139753649068,-1.2142290394283286,-4.743260653388158,10.063769406259826,-1.8232448223462423,-1.2642970128521946,-6.4783431466596015,-1.6142442095852003,3.785137183801815,-1.329358177055884,-0.2732247904427188,-3.111767864265813,-2.2882053839060426,4.478727429000902,-4.922822719663402,4.236426253718833,1.212269367627776,-3.298852253392591
hsa00513,5.563205442900875,1.2542607761497373,-0.11918308330228523,-2.2306817092119218,-0.47115600426217974,-5.602593869764196,-2.0710837120818804,4.633646581472489,0.1425773963244414,-2.1874119286022706,-4.692389906692666,-0.2445172245766438,0.15463228149158456,0.3973342302020877,-2.7609622185625904,-6.987958324371821,-2.316086922546864,14.34916464877147,-0.0533410364409079,0.026466954272270297,-2.70596231667194,-3.025001843400593,-1.1414934475381593,-6.064656039684377,3.85255648323542,7.550868131870766,-0.007747910705242833,-0.038823244649015154,-0.39877295244619165,-1.732787443481957,-2.856722262397308,-1.5144556656938692,-1.3859945002181664,-0.08068181669450634,-1.7281974672778253,0.02032414832215766,-3.0249558046391876,-1.8791530959455696,-1.404780356599398,-1.619853266421781,0.30450091393885365,0.12776845975294848,-1.472330345231822,-2.75742538135585,-1.6821001609757396,-2.248806247610106,-5.372329990848494,1.0882502245995058,-0.46612324035185493,-5.385396394663296
hsa04923,-0.3973361691970338,-4.888583671538979,5.798913755274474,-3.1120627689108016,1.0446461860109868,-5.363329601045491,-3.529254388511765,-1.0890608938713062,1.0964082238104549,1.550543218231311,-1.464159452790296,0.5276309634970507,0.013900713036682137,1.0083872344009612,-4.582522834988836,-8.210521412800597,2.649765710571368,-0.8719590031394697,6.124928646704027,-1.490937748655726,-0.6205971834050794,-0.9387099722649032,-2.422141512971071,-6.471944226265565,1.5862093531033967,-2.9994598753851234,-1.2102469389191683,0.2964218008808213,0.6961542550630937,-2.8368203315681617,-1.0809904860390847,-1.0375040971660348,2.730966953430155,6.620297775157372,-5.017645567351224,-0.6418054957704005,-2.841186618094026,-1.4606702159313938,-7.375224722422931,-0.5231170293734809,3.318296748044732,13.778156568007033,1.8964647497471934,-1.93391838973526,3.4496008442303627,2.080738518961679,-5.3070100195670875,-0.8120458541718744,2.085313109589406,-0.8582865411270704
hsa04370,-4.3542712328178705,-4.439587577060655,-0.596846885169377,-2.7756668372393882,1.7089530809339166,-4.369152676370037,-4.1526684168848025,-3.3287630528997987,8.232024137355099,-3.3053711424291876,-0.3724499991788977,1.0442202431955412,-2.802224673950361,0.8411682991708119,-2.8785466137905726,-7.6175858374788366,5.430858482061933,-4.854824279206491,-3.706308679258897,-0.8392938427271962,4.607818965780289,4.1143795892935575,-1.3510585566795088,-4.423533960386779,-1.3478241066824173,-5.707663807700015,-1.981915778064335,1.8316191199676775,1.2388503393221812,-3.780417796317994,0.9287390680389781,-0.6519089041981299,-0.20603201634240376,5.498133976736613,-5.004392753428952,-2.550504275207419,-3.0693692248010453,-4.2014973996791385,-6.94784006651003,-1.7324774007693904,0.10464248406025776,-3.541969105574293,6.221225203545995,-1.7714697913494548,0.045918236031070474,-1.4671686113002678,-3.849199783175066,-1.9907349553812073,-0.44414262186005404,3.716608986291948
hsa04742,-0.1682804531265581,-5.2156807260751945,7.052761527890921,-4.584783414700981,-0.7775939581905614,-5.995502157785557,-3.3007931125009167,0.7602109262479764,-0.6616414227886125,0.9760877327372481,-3.2812018026345884,-0.649326886838572,4.642639244516562,3.629889459288596,-5.6178877217895185,-11.13747316659339,2.7240171632647363,0.8155338368194834,16.71336303010227,-1.7903049937316151,-2.336223960122903,-2.1616803977541186,-3.3570790638410575,-8.304399480530497,3.26034044513015,-0.2552237272121046,-0.39513994775634137,-0.5577027388970552,-0.30962939817797847,-4.429300328398692,-3.0468142100097095,-4.423928937939434,2.876880629823274,10.233424767066063,-3.223608963485516,-0.9417582616951887,-3.4411033048153246,-2.241079413806631,-7.177398047627376,-0.37040021152177754,0.6613001242198228,11.019119256272292,-2.0704999695698496,-4.289967344356009,7.428653769140499,3.597398241855415,-5.3565781852562315,0.14271070513384065,2.2359857425417156,-1.1833942741175416
hsa04136,-2.538992229354812,-4.9972957701828005,-4.0498384023904945,-3.7250945186163267,-3.4403847211761427,-3.604291036729222,-2.238054295841522,-4.1780610188683545,-1.7795848071143463,-3.7403163415277736,-2.3961355043999726,-4.952186053769262,-4.315898108224086,-3.030323270062894,-2.5357026115036647,-4.534637513198001,-3.0065170681813194,-3.3987404522141693,-3.4131415058340737,-1.2322245558665184,-3.2594065358276083,-3.176398336757089,-1.829134926490332,-4.38008040738292,-1.5263912843455907,-2.7024200326781256,-4.112770036418465,-4.614545767456835,-1.3617036069179853,12.385703470282847,-2.4068853780519763,-5.2429989465078775,0.07839858594920165,-0.6201445396834842,-2.2812697027416546,-4.016703775035852,-1.8857088127402646,-3.493493029840659,-4.1438167741077345,-3.4594726004002423,-3.2744627838841045,-3.0412846578684434,-1.5089966267165975,5.310037163561139,-1.6331076368965738,-4.146639917267328,-0.9940464803097787,-3.412829041959758,-3.275709136241809,-5.3592059377953385
hsa04140,-1.5312125613339682,-6.7802779638909465,-3.276632305224875,-4.90059098874863,-2.407285766114307,-5.507698416716796,-3.487718250874235,-4.352507348989292,0.9381034777028164,-4.657127831388974,1.7149150782402778,-3.1571546406629296,-3.8999130393309573,-0.19673155034269588,-3.8449288912241064,-6.789454370712088,2.1085158090569647,-2.9884053774253463,-4.752744606264983,-1.5466714239244426,0.7894654169376154,-0.46907715948973516,-1.9439076289473738,-5.830725250700819,3.047362678143878,-4.00976459793833,-3.4344187050113195,-2.2463701633724233,0.7594687955146427,12.008147620410798,0.5026361174869685,-4.608941782921913,1.369466581042811,2.121166708270793,-4.01966518761462,-2.9330659414552596,-2.3101491572495108,-4.920410439883751,-6.606071560420557,-2.640642735257503,-1.361206881822491,-5.021735183225138,1.8227476003605279,7.612616484487377,-1.4715551265277755,-2.522707475738924,-2.700163381412035,-2.4084839443709454,-2.765848423907599,-3.0501659627017204
