,GO:0046486,GO:0000724,GO:0050853,GO:0043648,GO:2000479,GO:0006284,GO:0006915,GO:0016042,GO:0016055,GO:0007179,GO:0042278,GO:0019933,GO:0006493,GO:0034754,GO:0006487,GO:0048010,GO:0030520,GO:0060048,GO:0006289,GO:0009267,GO:0050909,GO:0007264,GO:0006633,GO:0090398,GO:0016567,GO:0006090,GO:0006650,GO:0000165,GO:0030036,GO:0006909,GO:0008203,GO:0006401,GO:0051180,GO:0006897,GO:0050852,GO:0006790,GO:0006163,GO:0030433,GO:0033209,GO:0019722,GO:0050658,GO:0050900,GO:0050810,GO:0006914,GO:0007623,GO:0034976,GO:0051321,GO:0009062,GO:0006665,GO:0006303
hsa00061,1.4474718887051954,-0.5631302105254602,-0.3376781879025135,2.471348734991903,-0.25072357350639757,-0.1823326676359514,-0.8173230523895427,2.4037379357657906,-0.4264320879876531,-0.43439109363949463,-0.24659198202477925,-0.4622147453184899,-0.3019880299118345,-0.500902598148363,1.0898892148569277,0.9206511905599994,-0.1433528837503292,0.0027990345300637326,-0.56848160737003,-0.40444463966508915,-0.3532724028931555,-0.5890672969350613,-0.31182139890054644,-0.379135819460731,-0.16947490187217562,-0.21820087687010364,1.8906839510250653,-0.520321966560892,-0.9099161437506783,-0.06252347282691066,0.8713187037300635,-0.597802833939756,-0.42014556720307417,-0.4835644209034927,0.4960199803068738,-0.44171409753956536,-0.3800914159132892,-0.5456804033966604,-0.4262328572578108,-0.17028693745295959,-0.045654779014712,-0.5907463314015473,-0.2547802116755698,-0.5379105932987512,0.27763704212557505,-0.26103538382119934,-0.29080832289489067,5.671619854337928,-0.3333231547609549,-0.37537015472285384
hsa04977,7.375166723635077,-0.15829698980006646,-0.11312798793180111,-0.11386790142795672,-0.3625555993006103,-0.4162846687734481,1.3462942399009266,7.487423988169063,-0.3099018064356366,-0.07340670387971034,-0.35890505179130194,2.4033078457686683,0.9895867599995981,7.982724882668036,0.4690236431578295,-0.2856887960896036,0.525487094177261,-0.09914886634794391,-0.49179696830828756,3.7152167267692215,-0.3667735788753254,-0.2782444160040012,1.1549617478500378,-0.4171484283800202,-0.5905347072497519,-0.2136521218012234,7.339206778407937,6.149530313091303,-0.735949593917806,0.17455327280493402,2.209880926718935,-0.8177698580022291,22.043037446089883,9.097103484675074,0.14096635510460423,1.375544185619338,-0.6439499114996255,-0.2712770199451862,-0.41452072624725317,-0.17715560720290568,-0.6480814542613954,0.22894801052590716,4.639429412137055,-0.662371767096347,-0.3716920715785291,2.0114516652744023,-0.34587063851228544,0.8660579522582362,0.3941244175674916,-0.5722121952537962
hsa00071,0.9167051638732185,-0.6378104284101958,-0.5331174744189722,5.579496006744993,-0.13416817592102012,-0.5654271338899649,-0.16410083709460013,1.5603162905526429,-0.7175917811160728,-0.6140581244685579,-0.5492033248803403,-0.8384946474103381,-0.5639117731871102,-0.10469526387638148,-0.2770674081770887,0.17606937535891592,-0.4385161520186278,-0.4457526918425921,-0.6241627487051752,-0.7640905765597866,-0.43563499574424025,-0.6763703204084467,-0.24233741939465572,-0.24148127248149057,-0.3744519282668479,-0.46840442795693826,0.8506256906768267,-0.6084369253263642,-1.005487290133212,-0.47821777005910954,1.6055013984240862,-0.8210515239326315,-0.416199530323011,-0.7947643196233148,-0.04104731146723078,0.28558119333881604,-0.4474270450228835,-0.3606868421300999,-0.5728086087085523,-0.7447363531700164,-0.7678411880117382,-0.8543444925236374,-0.3977868407789061,-0.8421086490040225,-0.44132588465539563,-0.7069946089401122,-0.30774784173116293,3.784307771154802,-0.12978240990624715,0.5212845831262694
hsa04141,-0.622053943671823,-1.341681105037451,-0.743601117556846,-1.2249132291822267,-0.7807921668008548,-1.0609892175901086,-1.0463503303243742,0.04018296336586598,-0.9964697987174767,-1.0212340472375832,-0.39613522069803736,-1.2237562172426317,-0.45926936630064985,-0.09791369043068558,1.191906797856507,-0.6802848218512061,-0.7059529833726719,-1.0047782823715103,-1.009029641869369,-1.3506178237023108,0.6429908430646709,-1.218133318873448,-0.049319625268914744,-0.8968529430430715,-1.9342768491554372,-0.8985447799154921,-0.7648975971821216,-1.0369941116796204,-2.3079132314032598,-0.9966079903450934,-0.6929852750391872,-1.636427195946611,0.04298918785828345,-1.7374823022514532,-0.8883950840415481,-1.2936333981952146,-1.0146414765611855,0.6450333818716225,-0.9078738985477819,-1.2679901763060213,-1.357944215638064,-1.252449354625589,-0.9075008349138721,-1.320014810805466,-0.8877232288699813,-0.6108472920444477,-0.7589679962530264,-0.8113119418334054,0.7388760367981366,-0.8431671497759624
hsa03420,-1.301091359995382,-0.20241237035463785,-0.2496405165972114,-0.6546235462057094,-0.28403648221573563,0.519981928260922,-1.5152055717969501,0.038182772679933426,-0.9534267163081387,-0.7140342483704271,-0.5996043642313422,-0.8634559610499772,-0.7054387401620883,-0.7078964010323974,-0.7665510762795085,-0.4936302746140378,-0.4427679183424813,-0.6893391627530874,1.412639193119312,-0.7722189865333698,-0.7255982204748299,-0.7668525203893003,-0.8116052746486472,-0.44207653862346347,-1.2601408980908033,-0.4693783093255452,-1.147037337900478,-0.8515507349519471,-1.149672830371859,-0.8197970559458324,-0.6753933727466486,-0.8393314981509019,-0.6410558030170074,-1.1204372098864357,-0.5315483761291779,-1.0006168582864492,-0.9421853776277982,-0.8629779190225445,-0.682112363435421,-0.9644959504526762,-0.7054129755078441,-1.1425042028676629,-0.5542280137811532,-1.1009685241678557,-0.3108154462611431,-1.3585954267805926,0.7392379529244099,-0.6419879786318531,0.5743392387307228,0.20588306258135414
hsa04120,-0.09490801694118639,-1.103960691498156,-0.5304277975266292,-0.5864241451725776,-0.7087350587105716,-0.8632680533743103,-1.9766233217530815,-0.7541500788755607,-1.2179330913176722,-1.1407452765307495,-0.7066669625948006,-1.1407323723808922,-1.0430522650538223,0.21439973135118842,0.5111078309847642,-0.7080832953519354,-0.5161993579555189,-0.4910840541858121,-0.8687725566452822,-1.0501677563024792,-1.0937056742064935,-1.1635868324331498,-0.45202531913924276,-0.7379675723467637,-0.10701414771039928,-0.5874449002859368,-0.9487435639579959,-1.152826215828391,-2.082050332534085,-1.0691588438354218,-0.8426014987597019,-1.6612746575797706,-0.48081786348241207,-1.643308765317361,-0.7348520832009695,-0.6711940201458712,-1.2247625802111997,-0.35267433609368004,-0.45559420880499113,-1.270481947283798,-1.301917099800253,-1.3959394077311513,-0.6617658569419602,-1.6282008644308614,-0.7506685657458638,-1.0819024654942202,-0.15268031477094232,-0.7672846881254359,-0.9744877867792708,-0.6042551349246541
hsa03013,-2.009026571038602,-1.3987942536615945,-0.5479453856253611,-0.7524713424727631,-0.702611484830727,-1.1388077918737267,-2.6473631007955203,-1.1833593629627308,-1.4479361457374127,-1.4072552232139448,-1.041053066460759,-1.6005695704330958,-1.2639798191014013,-0.9524165532835401,-1.1491216414061336,-0.8195829269062885,-0.9094782177415641,-1.282395559919182,-1.0836869138253593,-1.5283206671710123,-0.024761101156125887,-1.0457138565635364,-1.2928152722859505,-0.9825535433305975,-2.355328860188741,-1.0055197730343843,-1.7785946824640437,-1.706211577098052,-2.33084924790066,-1.2217909982575297,-0.7574634157988388,1.295855637626537,-1.09487874615435,-1.9118602274909153,-1.0569539204917824,-0.3441789006627333,-1.673037886235348,-1.340577236363706,2.814568175130991,-1.460129413447336,-1.02507566438052,-1.3587966523411827,-1.0669755676856187,-1.9687196514773726,-0.9113668824971585,-2.1827693366509444,-0.7297392201633746,-1.1669137284606435,-0.857656229948051,-1.0221757357110512
hsa00230,0.0006814821052620178,0.17736544520636105,-0.7063602833576305,0.5385536307638863,0.3373097671404893,-0.8657940800929816,-1.343966144390236,1.633950064048074,-0.19029530682793233,-0.621324115121839,0.24498312040572523,0.10361949522658401,-0.3590964929428237,1.1790850065847018,2.6251570785066347,-0.49022977849481036,-0.6582912986033486,-0.22636643393588415,-0.6686442155397564,0.6611190503971205,-0.7334793263420708,-0.4552688317011581,-0.6056267071394995,-0.8184090363992049,-1.418648697001549,-0.4461325048116281,0.08124329148976585,-0.5212061695439735,-1.0619302188827795,0.025370766721016885,-0.20744976511977217,-1.3015479649384463,1.442503103272525,-0.8715993798665713,-0.23919781797938444,-0.34182591811740176,3.679037097738199,-0.6766363578934503,-0.844864091000087,-0.771293884371116,-0.8776421785408169,-0.5699465259869421,-0.4858865877039166,-0.6360248288886345,0.8942446823606865,0.5625851968764847,-0.5178467436811338,-0.06234088939389647,-0.6926147804382463,-0.7279918130052757
hsa04915,0.05678190241188101,-1.101348461572487,-0.30309296845791434,-0.6772824935483602,-0.22594036641758763,-0.9385651673261026,-1.3637841489438987,-0.6652756889166355,-0.3711754896803164,-0.8691621311330282,-0.5207888359502224,0.07570575614776286,-0.9623611970785936,-0.7397288831121562,-0.4299467964093357,-0.5611178320678463,-0.4738685334680001,-0.3863779252249487,-1.162558143404033,-0.25554050005686324,0.5324155842338765,-1.0167265337427702,-0.2470537400791153,-0.9364567020185636,-2.410952328651174,-0.7451897694275955,-0.15394571281917815,-0.8620544047020081,-0.8245043789570728,-0.25519308847283734,-0.17254451974460844,-1.3279118515313144,-0.04568463438960246,-0.9088139569896084,0.38179653314904466,-1.3350092279560497,-1.4339674676680263,-1.2692996525245366,-0.8404379191255495,-0.49945935344541664,-1.1468421174475854,-0.6557529635381146,0.11363378210386067,-1.304822765029486,-0.6833915944436887,-1.205082934673904,-0.6920990538257983,-0.7837734822313414,-0.9212686894814536,-0.8714241453835595
hsa04010,-0.6322056331734115,-0.3592737393980548,-0.5077339560924585,-1.1977524342002253,-0.3918054913035039,-1.058371215799402,-1.9072959766905817,-1.1351076983885817,-1.0870789313036864,-0.2171378779470789,-1.033748312685044,-1.2594033197772128,-1.3298965029826284,-0.032691087034234435,-0.803481649164127,0.0,-0.7782152090141397,0.5254767300353496,-1.4719791091552836,-1.2398647010817538,-1.2964111240224638,-1.032768785546388,-0.8161604381948147,-1.0463916629185288,-2.7108516310794015,-0.863224682355396,-0.4406845797486697,-0.02971821573081179,-2.1429214007653123,-0.45458758865650745,-0.4769142091198684,-1.273948749976286,-0.8886798621777119,-1.7620759918839088,-0.3659619856410942,-0.773440268969605,-1.493085770873931,-1.3679092738208527,-0.0653599625063084,-0.608514602396971,-1.7062568563206855,-1.7050139209519337,-0.6093803847535286,-1.9421525889986895,-1.1781866768596903,-2.130094195593168,-0.8724642934832999,-1.366877688872711,-0.8317136273364486,-1.1222224240411436
hsa04662,-0.685180223784105,-0.8505056575138907,0.8951929054445816,-0.9437048729647496,-0.3711753806877933,-0.7923895114679117,-1.4352454894051083,-0.719759502747808,-0.5277362735019124,-0.7187178982516317,-0.7053532127192753,-0.9658476942028141,-0.39519629460254535,-0.6427857563647532,-0.2706172363887564,-0.4660720295539303,-0.5137764745067054,1.5899562067403872,-0.8851009524495455,-1.1491370670230974,-0.6802002537079483,-0.14237501760069177,-0.2473774371877868,-0.5991450737471539,-1.8406143973301408,-0.5903700320645656,-0.5686710504658267,-0.6279896281917209,-1.4283123559549138,-0.08412423631347458,-0.6280944004885705,-1.2978119236646062,-0.3768224035768947,-1.1034327272551245,-0.03351609158413703,0.7159610229248486,-1.032366398168046,-0.8130689291234316,0.23370929686690098,-0.1333983294666052,-0.9754722778194617,-0.9678276471047926,-0.38414939483099636,-1.1381805317565423,-0.26411485025048476,-1.073607226655325,-0.6305105927739454,-0.7332758459263129,-0.9274844146915179,-0.6147317795959336
