,GO:0000724,GO:0006909,GO:0006650,GO:0050810,GO:0009062,GO:0007264,GO:0051180,GO:0050852,GO:0016042,GO:0006665,GO:0030036,GO:0050909,GO:0034754,GO:0006790,GO:0006493,GO:0034976,GO:0050658,GO:0006284,GO:0048010,GO:0006163,GO:0051321,GO:0050900,GO:0006633,GO:0006289,GO:0030520,GO:0033209,GO:0007179,GO:0006487,GO:0019933,GO:0006915,GO:0006303,GO:0000165,GO:2000479,GO:0090398,GO:0007623,GO:0006914,GO:0042278,GO:0060048,GO:0050853,GO:0009267,GO:0006090,GO:0008203,GO:0016567,GO:0046486,GO:0016055,GO:0006897,GO:0030433,GO:0006401,GO:0019722,GO:0043648
hsa00600,0.7460224032402039,0.9294789433479309,0.9701498746871948,0.9249368906021118,0.8969141244888306,0.8528152108192444,0.9658616185188293,0.8838090896606445,0.961891233921051,0.9924085140228271,0.8489390015602112,0.7388694286346436,0.9358507394790649,0.9290544986724854,0.9097450375556946,0.9463146328926086,0.6969687342643738,0.6358379125595093,0.8357053995132446,0.9127468466758728,0.7330164313316345,0.8995625376701355,0.9644163846969604,0.6219722032546997,0.6937173008918762,0.8192974328994751,0.8799605965614319,0.9417826533317566,0.7099971771240234,0.9001546502113342,0.6701177954673767,0.8641634583473206,0.8453944325447083,0.7803964614868164,0.7651565670967102,0.8994088172912598,0.8976795673370361,0.8723669052124023,0.8408148288726807,0.8678057193756104,0.8356262445449829,0.9658686518669128,0.7846152782440186,0.9733754992485046,0.8830704092979431,0.9220638275146484,0.9201495051383972,0.6803334355354309,0.8992202877998352,0.8503056168556213
hsa04979,0.7442461252212524,0.9390071630477905,0.9505131244659424,0.9329577684402466,0.8533172011375427,0.8366925120353699,0.9507891535758972,0.8776921629905701,0.9420003294944763,0.935459554195404,0.8396744132041931,0.6882876753807068,0.9218409061431885,0.908805251121521,0.8848345279693604,0.9182344079017639,0.6817357540130615,0.634077250957489,0.8545879125595093,0.8780416250228882,0.7289232611656189,0.8784241080284119,0.9239015579223633,0.6283417344093323,0.7060651779174805,0.8329371213912964,0.889833390712738,0.8926904201507568,0.6434343457221985,0.8889653086662292,0.6730836629867554,0.8671736717224121,0.8428779244422913,0.8021911382675171,0.7599182724952698,0.8685957789421082,0.8776438236236572,0.8615851998329163,0.8198191523551941,0.8445400595664978,0.819137692451477,0.9726117849349976,0.7785629630088806,0.9570460915565491,0.873239278793335,0.9247468709945679,0.8859317898750305,0.6678365468978882,0.8609325289726257,0.8240596652030945
hsa04015,0.723412811756134,0.9299329519271851,0.9024351239204407,0.8877643942832947,0.7325732707977295,0.9441510438919067,0.8606833219528198,0.8966900110244751,0.8483642935752869,0.829603374004364,0.9253808856010437,0.7041087746620178,0.8532766103744507,0.8292617201805115,0.7533116936683655,0.8255138397216797,0.6584246754646301,0.6286346316337585,0.9519705176353455,0.8119540810585022,0.7305379509925842,0.8944598436355591,0.8546818494796753,0.6221281886100769,0.7175281047821045,0.8813859820365906,0.9151613712310791,0.7439606785774231,0.67940753698349,0.8875122666358948,0.6705561280250549,0.9333422183990479,0.8764739632606506,0.8320657014846802,0.7602553963661194,0.8415917754173279,0.8529655337333679,0.8805007338523865,0.9284575581550598,0.8615076541900635,0.7862036228179932,0.8480435013771057,0.7765278220176697,0.893887460231781,0.8696880340576172,0.9270674586296082,0.7447935342788696,0.6384915709495544,0.893485963344574,0.750391960144043
hsa00514,0.6252416372299194,0.8227554559707642,0.847819983959198,0.8139675259590149,0.7763693332672119,0.6910153031349182,0.8582600355148315,0.763929545879364,0.8364593982696533,0.8928714990615845,0.6902197003364563,0.6963231563568115,0.7981348633766174,0.8296778202056885,0.977679431438446,0.8177107572555542,0.5840609073638916,0.5249724984169006,0.7144160270690918,0.7771706581115723,0.5996982455253601,0.8280699849128723,0.8339807391166687,0.5049201846122742,0.5759357213973999,0.6752109527587891,0.7671490907669067,0.9012840986251831,0.6351019740104675,0.7417889833450317,0.5304415822029114,0.7154583930969238,0.6924182176589966,0.6147032380104065,0.6075455546379089,0.7254796624183655,0.7563570737838745,0.7517982721328735,0.6979544758796692,0.7045358419418335,0.7152454853057861,0.8421280980110168,0.617201030254364,0.852195680141449,0.7780593633651733,0.7857034802436829,0.8128178119659424,0.5695536732673645,0.793132483959198,0.7258500456809998
hsa04136,0.8069690465927124,0.8256160616874695,0.8476405739784241,0.8480398058891296,0.8139867782592773,0.8714035749435425,0.7825009226799011,0.8707026243209839,0.8571444153785706,0.7639725804328918,0.8592591881752014,0.5351026058197021,0.839232325553894,0.868171751499176,0.665212094783783,0.8398018479347229,0.7954435348510742,0.7069591283798218,0.8226085305213928,0.8686469197273254,0.7999964952468872,0.7278745770454407,0.8258370161056519,0.7205613255500793,0.7619971036911011,0.8912414908409119,0.8132020235061646,0.6695565581321716,0.5022739768028259,0.9181886911392212,0.7848831415176392,0.888629674911499,0.8515901565551758,0.8485927581787109,0.8445835709571838,0.9525853991508484,0.8908998370170593,0.8080905675888062,0.7762763500213623,0.942395031452179,0.8790534734725952,0.8231250643730164,0.8716946244239807,0.8386997580528259,0.7635942697525024,0.831038236618042,0.7417653799057007,0.769481360912323,0.7445181608200073,0.8403767943382263
hsa03410,0.9478314518928528,0.732128918170929,0.7417964935302734,0.7758910655975342,0.7077791094779968,0.7852573394775391,0.686103343963623,0.7640148401260376,0.7640413641929626,0.6578365564346313,0.7625446319580078,0.4576467275619507,0.7640251517295837,0.7891581654548645,0.6136131882667542,0.7201809287071228,0.7946088910102844,0.9730209708213806,0.7079563736915588,0.7580565810203552,0.8940880298614502,0.6416630744934082,0.706990659236908,0.9390210509300232,0.7934242486953735,0.7989296913146973,0.7446765899658203,0.5881261229515076,0.4085133373737335,0.8244417309761047,0.9536551237106323,0.8068302869796753,0.7355064153671265,0.8599851727485657,0.8467725515365601,0.7413297295570374,0.7910504341125488,0.7012490034103394,0.6724854707717896,0.8196138739585876,0.7757397294044495,0.7281886339187622,0.8459810614585876,0.7396623492240906,0.6754481792449951,0.7154685854911804,0.6256375908851624,0.7810789346694946,0.6164571046829224,0.7547361254692078
hsa03013,0.811559796333313,0.7080671191215515,0.7451573610305786,0.7678443193435669,0.7315934896469116,0.7748246788978577,0.6949986815452576,0.8022076487541199,0.7584195733070374,0.6789935231208801,0.7874729633331299,0.5194205045700073,0.7395365238189697,0.7747512459754944,0.626659095287323,0.7681989073753357,0.9666855335235596,0.7719894647598267,0.7040219902992249,0.7928825616836548,0.8328186869621277,0.6757132411003113,0.7389957904815674,0.7821056246757507,0.861138641834259,0.7815757393836975,0.7252768278121948,0.6400184035301208,0.4543936848640442,0.8366144299507141,0.8140577673912048,0.7891538739204407,0.7386003136634827,0.7965641021728516,0.8320345282554626,0.7951889634132385,0.8310978412628174,0.712174117565155,0.6591739058494568,0.8243629932403564,0.7863962650299072,0.7421408295631409,0.820330798625946,0.7375779747962952,0.6681844592094421,0.7412119507789612,0.6609517335891724,0.9454411864280701,0.6651914119720459,0.7676027417182922
hsa00564,0.769730269908905,0.9483097195625305,0.9901556372642517,0.9263564944267273,0.8803846836090088,0.89549320936203,0.9485393762588501,0.9026194214820862,0.9589717984199524,0.9593474268913269,0.8830611109733582,0.7438387274742126,0.9430147409439087,0.9337714314460754,0.8777684569358826,0.9296044707298279,0.7041213512420654,0.6553954482078552,0.8770073652267456,0.9152656197547913,0.7554869651794434,0.9106704592704773,0.9654834866523743,0.646306037902832,0.7146156430244446,0.8492807149887085,0.8920062184333801,0.8967723250389099,0.7144216895103455,0.9168676137924194,0.69715416431427,0.8950313329696655,0.8794355988502502,0.8188502192497253,0.7832157015800476,0.9067797660827637,0.9172890186309814,0.8907875418663025,0.8718269467353821,0.8948343992233276,0.853308916091919,0.9509422183036804,0.801689088344574,0.9890338182449341,0.8766012191772461,0.9382269382476807,0.8842197060585022,0.6878861784934998,0.9221799373626709,0.8585651516914368
hsa04120,0.8747032284736633,0.7976376414299011,0.8072635531425476,0.858230471611023,0.7711992263793945,0.8608041405677795,0.760837197303772,0.8682916164398193,0.8281175494194031,0.7325521111488342,0.8437057733535767,0.5278686285018921,0.8333280682563782,0.8314672112464905,0.6437323689460754,0.8271024823188782,0.8010939359664917,0.8001919388771057,0.7822476625442505,0.8173905611038208,0.8497451543807983,0.716483473777771,0.7805992960929871,0.833408772945404,0.8217202425003052,0.8993955850601196,0.8362382650375366,0.6338707208633423,0.46466928720474243,0.9023042321205139,0.8723980188369751,0.8831793665885925,0.8213290572166443,0.8907876014709473,0.8784141540527344,0.8684459924697876,0.8468113541603088,0.7949262261390686,0.736278235912323,0.8857415914535522,0.8329275250434875,0.7960431575775146,0.9912835955619812,0.8017457723617554,0.758882462978363,0.7975912690162659,0.7402060031890869,0.783596396446228,0.7041645050048828,0.8059397339820862
hsa04114,0.8571698069572449,0.8550463914871216,0.8652063608169556,0.8803834915161133,0.7676029801368713,0.9274343848228455,0.816546618938446,0.8741098046302795,0.8560664057731628,0.7759697437286377,0.9043199419975281,0.5995005369186401,0.8738476634025574,0.8579836487770081,0.6841431856155396,0.8262713551521301,0.8026692867279053,0.7762635350227356,0.842690646648407,0.840130090713501,0.8859561681747437,0.779906153678894,0.8239519000053406,0.7909468412399292,0.8234269022941589,0.9050724506378174,0.87378990650177,0.6852951049804688,0.5487856268882751,0.9339197278022766,0.8389337658882141,0.9340148568153381,0.9162461757659912,0.924659252166748,0.8902692794799805,0.8732158541679382,0.8741430044174194,0.8607231974601746,0.806360125541687,0.9230433106422424,0.8498208522796631,0.8269773721694946,0.9019930958747864,0.8566983938217163,0.8394914269447327,0.8606958389282227,0.7182866930961609,0.7675957083702087,0.7957075834274292,0.8030446171760559
