,GO:0050658,GO:0007264,GO:0034754,GO:0030520,GO:0006487,GO:0016042,GO:0051180,GO:0006163,GO:0090398,GO:0006303,GO:0006493,GO:0043648,GO:0000165,GO:0060048,GO:0048010,GO:0006909,GO:0007179,GO:0042278,GO:0033209,GO:0006090,GO:0051321,GO:0050853,GO:0007623,GO:0016567,GO:0009267,GO:0006289,GO:0006650,GO:0019722,GO:0034976,GO:0006915,GO:0030433,GO:0006284,GO:0046486,GO:0006401,GO:0050810,GO:0006897,GO:0006914,GO:0008203,GO:0050900,GO:0016055,GO:0006633,GO:0050852,GO:2000479,GO:0030036,GO:0000724,GO:0006665,GO:0006790,GO:0019933,GO:0009062,GO:0050909
hsa04660,0.6731064319610596,0.9370434284210205,0.8392093181610107,0.7545192241668701,0.6882202625274658,0.8317379355430603,0.8239758610725403,0.802868127822876,0.8454897403717041,0.7191519737243652,0.706764280796051,0.7625975608825684,0.9359279870986938,0.8544679880142212,0.9182684421539307,0.9034076929092407,0.8931435346603394,0.8378466963768005,0.9217671155929565,0.8052697777748108,0.7605381608009338,0.9319367408752441,0.7928867936134338,0.807965874671936,0.8689190745353699,0.6720981001853943,0.8678429126739502,0.777838408946991,0.801119863986969,0.9086685180664062,0.7085180282592773,0.6709566712379456,0.8584790229797363,0.6659694910049438,0.8776686191558838,0.8867567181587219,0.8454569578170776,0.8199874758720398,0.8237214684486389,0.8312017917633057,0.8153667449951172,0.8628851771354675,0.8691990375518799,0.9157320261001587,0.7544422149658203,0.7787873148918152,0.8284527063369751,0.5623942017555237,0.7311152219772339,0.5985310077667236
hsa00561,0.7260838747024536,0.8771224021911621,0.945387601852417,0.7153332829475403,0.8928245306015015,0.9664177298545837,0.9521373510360718,0.9312431216239929,0.8134987950325012,0.7040694952011108,0.8837823867797852,0.8849114775657654,0.8836692571640015,0.8856385946273804,0.8562707304954529,0.9361467361450195,0.8816725015640259,0.926379382610321,0.8420630097389221,0.8779215812683105,0.7557406425476074,0.8588594198226929,0.7930486798286438,0.8078036308288574,0.8997247219085693,0.6526337265968323,0.981784999370575,0.9055525660514832,0.9386922717094421,0.9204421639442444,0.8939246535301208,0.6621749401092529,0.9811229109764099,0.7141345143318176,0.9261818528175354,0.9289185404777527,0.9154804348945618,0.961711049079895,0.8908594846725464,0.8643977642059326,0.9658752083778381,0.9042753577232361,0.8669167160987854,0.8716015219688416,0.7749261260032654,0.9571903944015503,0.944080650806427,0.6837599277496338,0.9073730707168579,0.7252600193023682
hsa04370,0.6698930859565735,0.9508236050605774,0.8514487147331238,0.7523635625839233,0.6668207049369812,0.8246549367904663,0.8153703212738037,0.8033834099769592,0.8601109385490417,0.718396008014679,0.6768659353256226,0.7656418681144714,0.9325013160705566,0.8633198142051697,0.9094953536987305,0.8955904841423035,0.8872769474983215,0.8420004844665527,0.9076841473579407,0.8067700862884521,0.7638801336288452,0.9025259613990784,0.798231840133667,0.8097225427627563,0.871093213558197,0.6724130511283875,0.8616744875907898,0.7733973264694214,0.7952682375907898,0.9060660600662231,0.6898290514945984,0.6696205735206604,0.8529567718505859,0.6528002619743347,0.873406708240509,0.8853660821914673,0.8422346711158752,0.8181219100952148,0.8162339925765991,0.8251615762710571,0.8028038740158081,0.8843757510185242,0.8881834745407104,0.9258172512054443,0.7556936144828796,0.7611720561981201,0.825103223323822,0.5542212724685669,0.7238710522651672,0.5942670702934265
hsa04141,0.7595738172531128,0.8576771020889282,0.9089686274528503,0.7496153116226196,0.8829295039176941,0.9298864603042603,0.9067179560661316,0.9132742881774902,0.798377275466919,0.7381012439727783,0.8631269931793213,0.8660827875137329,0.8886690139770508,0.850814938545227,0.8356080651283264,0.898745059967041,0.867628276348114,0.9158586263656616,0.8688730001449585,0.8727386593818665,0.7765286564826965,0.7724422216415405,0.8012347221374512,0.8432621359825134,0.8860116004943848,0.6722402572631836,0.924689531326294,0.8291375041007996,0.9790911674499512,0.9216191172599792,0.9490538239479065,0.6942904591560364,0.9233757257461548,0.7451375126838684,0.9130089282989502,0.89492267370224,0.934602677822113,0.9372463822364807,0.842544674873352,0.8403043150901794,0.9141799807548523,0.9101347923278809,0.8560178875923157,0.8557239770889282,0.7884920835494995,0.9154587388038635,0.9169219732284546,0.6193687319755554,0.8720663189888,0.6498372554779053
hsa04218,0.7722848057746887,0.9175969362258911,0.8764293789863586,0.8466079235076904,0.7003883719444275,0.8630529046058655,0.8248354196548462,0.8475169539451599,0.9240172505378723,0.861545979976654,0.7088229656219482,0.8148883581161499,0.9532856941223145,0.8576604723930359,0.8482502102851868,0.8836759924888611,0.9133012890815735,0.8790675401687622,0.9221637845039368,0.8629066348075867,0.8679912090301514,0.8151830434799194,0.8992306590080261,0.8912532329559326,0.9127726554870605,0.8057028651237488,0.8684152960777283,0.7614030838012695,0.837397575378418,0.9459453821182251,0.733475387096405,0.815895140171051,0.8611656427383423,0.7534428238868713,0.9031195640563965,0.8710629343986511,0.8737878203392029,0.8461018204689026,0.8073232769966125,0.8286904096603394,0.8299027681350708,0.8922380208969116,0.885465681552887,0.9079007506370544,0.8740504384040833,0.7833613157272339,0.8682121634483337,0.5401896834373474,0.7742142677307129,0.5945566892623901
hsa04979,0.6817357540130615,0.8366925120353699,0.9218408465385437,0.7060651779174805,0.8926903605461121,0.9292809963226318,0.9394783973693848,0.8780416250228882,0.8021911382675171,0.6730836629867554,0.8848345279693604,0.8240596652030945,0.8671736717224121,0.8615851998329163,0.8545879125595093,0.9325855374336243,0.889833390712738,0.877643883228302,0.8329370617866516,0.8191376328468323,0.7289232611656189,0.8198191523551941,0.7599182724952698,0.7775549292564392,0.8445400595664978,0.6283417344093323,0.940875232219696,0.8609323501586914,0.9183673858642578,0.8876204490661621,0.8859317898750305,0.634077250957489,0.9430620670318604,0.6678364872932434,0.9228911399841309,0.9110814929008484,0.8666869401931763,0.9340153932571411,0.8784241080284119,0.873239278793335,0.9142191410064697,0.8776921629905701,0.8428779244422913,0.8396744132041931,0.7442461252212524,0.9354596138000488,0.908805251121521,0.6354321837425232,0.8533172607421875,0.6882876753807068
hsa04662,0.6784719228744507,0.9437829256057739,0.8600278496742249,0.7461730241775513,0.7049926519393921,0.8469991087913513,0.8410937786102295,0.8136622905731201,0.847898006439209,0.721120297908783,0.722608745098114,0.7684155106544495,0.9406494498252869,0.8676855564117432,0.9341074824333191,0.9204906821250916,0.8988939523696899,0.8490457534790039,0.9247905611991882,0.8118801116943359,0.7676502466201782,0.9349841475486755,0.7900772094726562,0.8160305619239807,0.8818363547325134,0.6738941073417664,0.8844536542892456,0.8158041834831238,0.8167443871498108,0.9133720397949219,0.7236434817314148,0.6691551208496094,0.8750819563865662,0.663366436958313,0.8984712362289429,0.8916789293289185,0.8552066087722778,0.8370727300643921,0.8381497859954834,0.8361327648162842,0.8337933421134949,0.9010631442070007,0.8770073652267456,0.9190047383308411,0.7615742087364197,0.7975451946258545,0.842095136642456,0.5790327191352844,0.7417798638343811,0.6189237236976624
hsa04913,0.6864549517631531,0.8705109357833862,0.9132295846939087,0.7148453593254089,0.866154670715332,0.9145419597625732,0.9070078134536743,0.8834784626960754,0.7869135737419128,0.6658446192741394,0.8439729809761047,0.8246241211891174,0.8829280734062195,0.8773607015609741,0.8567205667495728,0.9219291806221008,0.8598952293395996,0.9024760127067566,0.8276015520095825,0.8314732313156128,0.7284432053565979,0.8445046544075012,0.7653175592422485,0.7615417242050171,0.8609000444412231,0.6139132976531982,0.9418054223060608,0.9545176029205322,0.8927178382873535,0.8854594230651855,0.847797155380249,0.628653347492218,0.9429899454116821,0.6705581545829773,0.8858989477157593,0.9229563474655151,0.8641301989555359,0.9036269187927246,0.9380490183830261,0.8817270398139954,0.9368401765823364,0.8575387597084045,0.8816636800765991,0.8534570336341858,0.73067706823349,0.9173068404197693,0.8915621638298035,0.8368151783943176,0.8386644721031189,0.82682204246521
hsa04015,0.6584246754646301,0.9163274168968201,0.8532766103744507,0.7175281047821045,0.7439606785774231,0.8442476391792297,0.8606833219528198,0.7962479591369629,0.8044442534446716,0.6705560684204102,0.7533116936683655,0.750391960144043,0.9136719107627869,0.8805007338523865,0.0,0.9254603385925293,0.9097756147384644,0.8466528654098511,0.8813859820365906,0.7862036228179932,0.7305379509925842,0.9251224398612976,0.7602553963661194,0.775804877281189,0.8514519333839417,0.6221281886100769,0.8969306945800781,0.8775895237922668,0.8213472366333008,0.8829541206359863,0.7447934746742249,0.6286346316337585,0.8873047232627869,0.6384914517402649,0.8614030480384827,0.9256163835525513,0.8415917754173279,0.8480435013771057,0.8771112561225891,0.8637521862983704,0.8546818494796753,0.8808209896087646,0.8697836995124817,0.9195936322212219,0.7234128713607788,0.8296034336090088,0.8256440162658691,0.6752229928970337,0.7325733304023743,0.7041087746620178
hsa00513,0.6338173151016235,0.7555961608886719,0.85358065366745,0.6215275526046753,0.9665983319282532,0.8907920122146606,0.9163734316825867,0.8483568429946899,0.6738595962524414,0.5822204947471619,0.9667935967445374,0.7836224436759949,0.778063952922821,0.791391134262085,0.7655884623527527,0.8719141483306885,0.8078612089157104,0.8265347480773926,0.7334081530570984,0.767905592918396,0.6563135981559753,0.758457601070404,0.6585904359817505,0.6785266399383545,0.7677028775215149,0.545531690120697,0.910497784614563,0.8587287664413452,0.9078882932662964,0.8090358972549438,0.905163586139679,0.5737214088439941,0.9135435223579407,0.6279184222221375,0.8582159876823425,0.8551135063171387,0.8166017532348633,0.9050433039665222,0.8721938133239746,0.8264331817626953,0.902024507522583,0.822697639465332,0.7408704161643982,0.7559316158294678,0.6689803600311279,0.9510374665260315,0.8674674034118652,0.7033004760742188,0.833821177482605,0.7250646948814392
