,GO:0006163,GO:0050900,GO:0006289,GO:0006401,GO:0006633,GO:0006090,GO:0000165,GO:0006665,GO:0030036,GO:0008203,GO:0051180,GO:0034754,GO:0050853,GO:0016567,GO:0006790,GO:0019933,GO:0019722,GO:0006303,GO:0007623,GO:0048010,GO:0033209,GO:0090398,GO:0050909,GO:0007179,GO:0009267,GO:0046486,GO:2000479,GO:0006914,GO:0030520,GO:0000724,GO:0050658,GO:0006487,GO:0016042,GO:0051321,GO:0009062,GO:0050852,GO:0043648,GO:0030433,GO:0034976,GO:0006493,GO:0006897,GO:0006909,GO:0006915,GO:0050810,GO:0060048,GO:0007264,GO:0016055,GO:0042278,GO:0006650,GO:0006284
hsa04215,0.3368302148877918,0.19556650806788253,0.12229316338849279,0.11490857706924011,0.26099865116859966,0.3534682590221222,0.5581352783997912,0.17826611571076756,0.24843255192793642,0.2145235669660652,0.23135899326058296,0.2614941199467995,0.11747616421144297,0.3977643328026854,0.33962848564282555,0.08089450486094676,0.27995416726840633,0.1762673310096085,0.27143427759450817,0.25299877032808477,0.6095306796236603,0.4587716436923849,0.09488213381895781,0.23907114312713382,0.34670026755079403,0.26998600658422983,0.3805974554949848,0.4918913082809909,0.1760923574753698,0.1805240555290983,0.15128703723020742,0.115565267387068,0.3338664491971851,0.1671551883719403,0.24742849151723453,0.4209552702030773,0.2799841851245659,0.22395678723087253,0.3340778640808552,0.08011050076585757,0.21841220127480596,0.30169031092006915,0.6948167778700728,0.33561214686188834,0.15466482048620775,0.3282343781731338,0.09713250452455117,0.33940768946848415,0.28188321639940556,0.11833246566599631
hsa04210,0.4165043481551674,0.37018742182080844,0.20787063154439944,0.20460191705575492,0.39660186802892194,0.42065998556040507,0.7477155777263029,0.34046770058033976,0.42857345078529446,0.3574055898291999,0.38152495423065746,0.3936160054260372,0.40096896644264335,0.4381712603082417,0.43585689896576985,0.11374911771312979,0.4004874850580667,0.2682812896604215,0.34456037100742737,0.49424938704058036,0.724226571907814,0.5324832872618949,0.14496207331692795,0.3975628600483525,0.3743870777318087,0.45024967356182016,0.4712519114058364,0.5662252237593739,0.32806561136565254,0.3004221733587074,0.2170396741548321,0.23421014436232182,0.4837118336691412,0.2581573568199102,0.2954151163828918,0.6048126448197845,0.34262177685400824,0.31836741929732665,0.4310925723328674,0.20365540018726902,0.4049795605741638,0.5129817342627284,0.7913227915765404,0.5177022136218535,0.28525456498528406,0.5374507738389278,0.21346148830004846,0.44357195668350485,0.46799271274695525,0.23975017487589695
hsa04666,0.27984478394708956,0.37594666864097087,0.07647812401714929,0.12544027316439657,0.31989330102252544,0.2702848523212471,0.5037982681552037,0.23235461190264498,0.7415120915163185,0.3245283113676814,0.3370184668359161,0.35198587587788954,0.7979699454164171,0.18923318472714232,0.29336023265309813,0.10626859704459864,0.3553673376472125,0.10437772375891917,0.13648632290056117,0.6570490279831057,0.4745017526525813,0.2742792515480583,0.10451193067583635,0.37853044872364827,0.24165076343390768,0.44367467287485146,0.29363896464972655,0.2713216052228213,0.2583540506647288,0.15873326266592178,0.14255406457033948,0.1242362170088841,0.35271819154040207,0.1675893754998154,0.1853949999586368,0.5078526922673323,0.2325167116823998,0.12021632223283643,0.2433929741297188,0.12232503001901576,0.5388433441468108,0.5123215375486644,0.4472973423738631,0.4004593111005916,0.23807266085257037,0.7132653248623253,0.24895445746806755,0.3723043333164346,0.46387056488881595,0.13351309517278204
hsa00561,0.5701367148113095,0.4034381324447614,0.10637940535228448,0.2489873732722236,0.7092584717210977,0.44229297363623954,0.4200050121522756,0.7176386577638073,0.382109356549165,0.6617932312670729,0.6680932469872408,0.6158134950638879,0.3450037620655696,0.3047522975082148,0.5702022732218752,0.2584818638937969,0.49025728110170513,0.15959562366623745,0.2735574308155539,0.3042362521482266,0.3167259287926525,0.33790887616118953,0.23172236781743413,0.37830261618738975,0.3686507837460507,0.8476021106499277,0.37143306757792377,0.5394248052688992,0.2622775181871829,0.23444813470187348,0.2606041132530146,0.569675368696856,0.7700218704771233,0.17656304442849563,0.5911654321313841,0.41373659199823104,0.5314011727656757,0.5541886652603654,0.6200903524768406,0.3918683881337313,0.5405660106171539,0.5401032320197733,0.5326316943015674,0.5092235370451486,0.33971133867502384,0.3998122819643021,0.41043984280705237,0.58126946985445,0.8487071614347563,0.1548629032583358
hsa04068,0.3887723341824285,0.39371979165892834,0.2484053897933445,0.24189924198697665,0.37397064107684747,0.42060518977020417,0.7439521871443516,0.2642371831023548,0.4749228726537977,0.33293828408326703,0.33684402140352804,0.42454774196799633,0.5297825066632287,0.4244776580941109,0.4013355365104486,0.149016587518564,0.445472461907241,0.3403548275481549,0.4081379106365894,0.5960804607986987,0.6342846885033334,0.498872137814924,0.2314986115572034,0.5079090090447648,0.38857996706359826,0.42014254337897683,0.45899477797625426,0.4389566198164833,0.4802750195409627,0.3018467956042085,0.2638285464443564,0.17103521277208447,0.44009162756011444,0.27089017486237693,0.23307338555394128,0.47796642331766936,0.2989301659456196,0.16723031166388422,0.33629027730847316,0.1571282005441677,0.40447687679666716,0.48262827971982825,0.7260544398837208,0.5452695418363182,0.29713360768113595,0.6561931498036215,0.2797156378673763,0.39618818833124564,0.44430956952114026,0.30373761692342716
hsa04979,0.38871446075211097,0.4337080059719596,0.0992766018923571,0.160818744387176,0.4189689046807219,0.2764451460798699,0.44822543819123556,0.5351994898322143,0.3223853628402285,0.5006568379770459,0.5865718811343628,0.4642877764450525,0.2685262189087189,0.22797769556910213,0.4705235308566565,0.15526528833131592,0.34397796198350866,0.1285298774475138,0.2224672414848726,0.39242285757784795,0.3212026850450429,0.28779336545514694,0.2053947694604918,0.41889920024983707,0.2607468656371621,0.5634552845169883,0.3315199333603156,0.3462570433534136,0.3441372422612758,0.14361346202064598,0.17799582255877405,0.47494832158691913,0.5339175041972456,0.13359132800289045,0.3734408516905895,0.3219314539324002,0.3498654250147969,0.433822808208081,0.4694787418859924,0.4210032997016654,0.5164960885320725,0.5400209406855379,0.47699600757087707,0.5126198426304313,0.2813008607282171,0.3043306750622857,0.36772329011072835,0.3947027837368807,0.5460927374232653,0.11186088278068634
hsa04120,0.2844495794104568,0.16250214460977902,0.35043001488801223,0.21754657175548542,0.2599575599059545,0.31229005722886943,0.43132492679543183,0.2235163593313701,0.26051800288021343,0.27872870963162344,0.23202457395086298,0.39858714361931163,0.17168485931183866,0.924875653786494,0.29700600568747965,0.07343617944264752,0.18735219629835856,0.408248466082427,0.2567589477387425,0.18942351716738726,0.54080074197353,0.38320211405317317,0.11360500895706245,0.28558940300477215,0.2936063043098084,0.2934428137124823,0.19922213348126522,0.4241589693682529,0.28018742216251563,0.34220169220165897,0.2480477727112582,0.15228313878599647,0.3476540589002195,0.25436926071240906,0.24626346770552413,0.37096776642127177,0.28362030549128076,0.37283977290891174,0.43174403736063993,0.10552590073534414,0.2366266676373868,0.2327098023986643,0.4792659058648781,0.33822553932946275,0.19604635760474148,0.36106176000003753,0.17012509925131095,0.31302721128432626,0.29298110628467255,0.31618237474151034
hsa03420,0.1806006678699179,0.06432247303184839,0.8519233001608516,0.26905546855053136,0.13476963821279683,0.18835286776822618,0.24672761909329333,0.10063715974217967,0.13814688439781125,0.11976976521764547,0.09041484669698625,0.13743615502293235,0.07341949496142568,0.3177055971321245,0.18933981723057455,0.023817308960136462,0.07615162884029383,0.6828594448076523,0.24052305009721742,0.04716258664666713,0.161646780535735,0.3020747045821522,0.044347647352957514,0.09913587293729821,0.15489651520724843,0.10809194218160022,0.11290260036583187,0.1327812226981098,0.19996205159256258,0.6682290518485173,0.27108504144700674,0.03815333371084983,0.15498283777767563,0.5102723448888284,0.0829398177880289,0.1582552425409744,0.1680070125140009,0.07355237138980535,0.10585018966314652,0.03916105920137874,0.07784448240997875,0.06834480329475771,0.21897001386862508,0.17833892388278047,0.07866390034024288,0.19113876717842604,0.06936978005441038,0.20734009190926778,0.11111290059981598,0.8070420412469717
hsa04218,0.3684140458674507,0.34749803798727363,0.4283247798219006,0.2667805826073784,0.36408223784488414,0.39881072812700724,0.7078876856125611,0.28519399768488335,0.4123465993740913,0.33383154534895726,0.3253406124586296,0.46548909144152767,0.3903457152596226,0.40858146859572214,0.38029190943046104,0.11294588296128014,0.3160896361267674,0.5251237140715103,0.4627105824094418,0.4270922003545553,0.48851079780008794,0.5290463407181399,0.19682968068837386,0.5036479034217155,0.3594282459922265,0.40835279114091544,0.41697827169912294,0.38352298832723003,0.4820700804260158,0.44134049421799393,0.2751659164098694,0.23490694811641627,0.4212911271693349,0.3475823531625335,0.2318719065396836,0.42787422005241676,0.284421018936092,0.21107031257478387,0.36625520147920115,0.18962139304296194,0.3588379198473565,0.43393344615921947,0.6753622007511376,0.4973453730250708,0.31805784229933554,0.5074418830101031,0.28258877346217226,0.3906667216872044,0.4308287763957581,0.5238357029412168
hsa04977,0.4569920897312254,0.4238597631286115,0.10916421147483292,0.17706190773201871,0.6763694997353885,0.36911096365237545,0.4528138468034554,0.6806238118984789,0.34456196173930925,0.7195585077914783,0.7657064872119126,0.5453915336432602,0.3588957468219522,0.31062304669255775,0.5367806864172859,0.25275064359138155,0.4640070163370114,0.1448892477161486,0.27708311108309824,0.2819504075815345,0.2905637255728438,0.26100047050437153,0.24729026218722933,0.33073399090988514,0.305998165661927,0.732846286250529,0.35180943091060607,0.4356121096146217,0.35594133796788785,0.25240167736878044,0.17699587645059583,0.5915537536667467,0.6920712134534994,0.22656930463974237,0.46918057298522803,0.3700039893098713,0.40284163439643594,0.5008357696941684,0.5300747972963287,0.47212351746979364,0.574550445001743,0.49631822969574535,0.48538180718747304,0.5285466446076387,0.31902858807545886,0.3603786836114587,0.37402565274941196,0.45541073545676286,0.6786077401634749,0.1132272378516374
