,GO:0034754,GO:0006914,GO:0000165,GO:0050810,GO:0009062,GO:0006650,GO:0033209,GO:2000479,GO:0007623,GO:0016567,GO:0006633,GO:0060048,GO:0000724,GO:0006897,GO:0051321,GO:0006665,GO:0006289,GO:0006790,GO:0006303,GO:0008203,GO:0050852,GO:0048010,GO:0006284,GO:0046486,GO:0007264,GO:0006090,GO:0050900,GO:0030433,GO:0006163,GO:0090398,GO:0043648,GO:0006401,GO:0006493,GO:0019722,GO:0050853,GO:0009267,GO:0050658,GO:0016042,GO:0050909,GO:0042278,GO:0030520,GO:0030036,GO:0007179,GO:0006487,GO:0051180,GO:0006909,GO:0019933,GO:0034976,GO:0016055,GO:0006915
hsa04010,0.41767592824584443,0.3958598269636769,0.8316982792077494,0.5450599617414823,0.22209387871233305,0.5127150919035296,0.6828772901732715,0.4906481452658397,0.3106885834230243,0.31655149501108626,0.3958559194093301,0.3910419834087394,0.21113237783556446,0.5045482059834356,0.1887760763895992,0.34165177693092297,0.1310508953589876,0.39693638399735987,0.18194980863245985,0.37478069352984994,0.5991939934391759,0.7758274888747598,0.1804389315525753,0.48984889986514374,0.7023672617991614,0.3636140726599015,0.4588870536336153,0.19879466897772594,0.3688724638340404,0.5446472486869854,0.27795006327125005,0.21279625926627166,0.20771405366209708,0.4970980690464891,0.685161471663885,0.3915534699226655,0.19893964237611542,0.4728981455274996,0.17127711055861936,0.3999289805774079,0.3792041166664778,0.5515050432433553,0.5346920231670136,0.22396824145487104,0.3961288874077025,0.6290273731045345,0.13660176898025922,0.36760697640949597,0.2925321382452747,0.6997672262829367
hsa03018,0.1970687205691357,0.15765395152898157,0.2808668156799351,0.20984056379374563,0.20106877037442544,0.17758521840724242,0.18204188494254614,0.13648499824189259,0.2102235352839615,0.23420475493728402,0.1952337090478735,0.11751912717767178,0.25290067359902824,0.18919194434825842,0.21064768890716196,0.15147490474270822,0.22865187213650787,0.2709559198103624,0.2840166577575479,0.20022639773724263,0.1481976455802831,0.135211262033487,0.28853168573756216,0.18075909166267026,0.19632565252764195,0.24424375994680014,0.13848832137236594,0.08588832562804467,0.27589813364396576,0.22106922863048867,0.2902768018870078,0.9052735933577197,0.11355207421561746,0.11143296252519486,0.09221028651905182,0.20269146666020368,0.6063776439756433,0.2780387586868145,0.13144649559559604,0.2581973822394457,0.2721677389893929,0.19243413889599537,0.1452819938220572,0.14332466389954412,0.1613285020553129,0.16074614995889103,0.04731378379556092,0.1783248432386794,0.12118098337406234,0.27975687706622415
hsa04114,0.44047543616989865,0.36133780186868664,0.5520849963967114,0.37793188558623064,0.24320771734749935,0.4313681751388149,0.3805867425167113,0.5473856358384707,0.3890695866947675,0.48422746932490834,0.3526854631707855,0.31596911940045436,0.33780064802323145,0.3546594526908477,0.3712766730788711,0.277427174998318,0.32453649826887637,0.34927000688941934,0.41680897670154154,0.27763012264048087,0.32955605831771223,0.28106971235632705,0.3638815370369678,0.41875085904379816,0.5402827761822429,0.3240908715714429,0.27285512519460103,0.2076800716211723,0.37492924794731175,0.5225701903928761,0.28972909651042283,0.2787343836345699,0.12819891052847995,0.40363177890186264,0.22444786644415748,0.3647487578662574,0.34260239535720627,0.41740596596393276,0.2589627381522098,0.414071311650338,0.33066367975514627,0.3928704218702244,0.32639650485062716,0.20593882348312856,0.31304871449512706,0.3172891143872034,0.17862793343251201,0.33154356378678346,0.3332651618864422,0.5681386567897511
hsa04260,0.4379746960641323,0.3300478432013928,0.28854875116782835,0.3219467073076143,0.49360752364414334,0.4976976624701832,0.2743650418236477,0.3927463127664193,0.2519145428067738,0.20256698503388684,0.46127000748681285,0.5674696245048922,0.18076589218158595,0.34790103837602654,0.16729957317588148,0.4848249265622222,0.08587308747457513,0.43966061552760366,0.14229868536493948,0.41610818342214495,0.31827264216139683,0.26388455248264425,0.11474893152616072,0.4862685804734742,0.29895034002490123,0.3654801905193858,0.29890837904853784,0.2988409383672193,0.5963691515545853,0.2747734147378237,0.39725594163748623,0.17271660684838286,0.3025108142258205,0.38767326532315854,0.2216854224571251,0.22146240598670286,0.19431871242280271,0.5363190858958655,0.20731575831002594,0.41087237751154504,0.16872024930684806,0.36101604768923523,0.2477945162105086,0.40297226659555563,0.36064034700297215,0.354079674671616,0.15952985100057246,0.3601853902902379,0.18678575193002042,0.4670403790690026
hsa04977,0.565694357618096,0.4356121096146216,0.4528138468034553,0.5285466446076387,0.4691805729852279,0.697490808020041,0.2905637255728439,0.3518094309106061,0.27708311108309824,0.310623046692558,0.6763694997353885,0.31902858807545886,0.2524016773687805,0.5813711377602538,0.22656930463974237,0.6806238118984789,0.10916421147483292,0.5424899727908216,0.14488924771614858,0.7563840212161781,0.3700039893098713,0.28195040758153456,0.11322723785163728,0.7503754649395242,0.36037868361145864,0.36911096365237545,0.42385976312861157,0.5008357696941683,0.4569920897312257,0.26100047050437153,0.40284163439643594,0.17706190773201858,0.47212351746979364,0.4640070163370114,0.35889574682195224,0.30599816566192684,0.17699587645059586,0.702517507055155,0.24729026218722933,0.4554107354567629,0.35594133796788785,0.34456196173930925,0.33073399090988514,0.5915537536667466,0.8617706837667833,0.5134362443349397,0.2527506435913816,0.5300747972963288,0.37402565274941196,0.48538180718747304
hsa00230,0.6713406750234135,0.5959472917617988,0.5513570531900559,0.5550388087728239,0.5849637779005719,0.7071076456365655,0.41857124849034216,0.48170112111367447,0.4182975084821158,0.3867784004756197,0.6237629935926083,0.4468101687178865,0.35459758427782706,0.5821004549876568,0.29069191152580187,0.5393383742192437,0.23728378482167722,0.7381568550997408,0.3650452254741111,0.6016344249691951,0.4459369017064558,0.3426178429991429,0.3035652419634188,0.7072709652244918,0.506490971705985,0.7023703563325778,0.4683728603955807,0.40408897530768983,0.7720816774681901,0.41064541316588776,0.7595666121401442,0.4018619666043783,0.39938901479504796,0.5190928353929118,0.2842900788906148,0.4789253814885796,0.39207947137690036,0.7722914212129821,0.3433076363098901,0.7772229494780579,0.3493695994024211,0.49503336157949607,0.4056891581667827,0.4800951547691399,0.557162493824229,0.5828393491749871,0.31870482509654174,0.5420888274287227,0.3918192349350166,0.6380983977372968
hsa04742,0.3521481135159587,0.24279442729246842,0.41443957954343746,0.32967770878945735,0.23720191930234655,0.44897321391532347,0.21756108125357085,0.3431675355381288,0.1389774186034185,0.16479726606191636,0.403448203417533,0.3475772310940184,0.09483135808443575,0.5066522905901627,0.09634859887232779,0.38516390445547133,0.04298536985395486,0.2938198478234124,0.0889871898124748,0.2792456296552811,0.26307978267069165,0.22709612971609347,0.06298151855052989,0.43881579603732546,0.2746857438369121,0.16659110766037763,0.7379965134412672,0.24725461931401022,0.32292013306673323,0.18416901942150604,0.19720370542031956,0.1327254510798795,0.30554696767100387,0.7978198762470461,0.14861075121505218,0.17459757029533113,0.1250445292940717,0.36121738612209664,0.8790262002674101,0.49621354994404143,0.10626793583025966,0.28007073781989,0.23375216339208338,0.3631716298579752,0.3468955365599262,0.37202041701922356,0.5859257210223857,0.3067059475838278,0.2781296649826141,0.29894072199406674
hsa04068,0.4245477419679963,0.4389566198164832,0.8233637415432385,0.5452695418363182,0.2330733855539412,0.4471832047677976,0.6728333779154568,0.5189477589608021,0.4224286712081202,0.43038514319361143,0.37397064107684747,0.29713360768113595,0.3018467956042085,0.4097657692324586,0.27089017486237693,0.2642371831023549,0.2641816074165794,0.4013355365104486,0.3403548275481548,0.33293828408326703,0.47796642331766925,0.6307362125130993,0.3037376169234271,0.4223963319073519,0.6763250935203123,0.4206051897702042,0.3937197916589283,0.1672303116638842,0.3932568623635515,0.651579218035024,0.30686145056100494,0.2499502385131304,0.1571282005441677,0.4685377313182109,0.5297825066632287,0.4646481103191944,0.26382854644435644,0.4400916275601146,0.2314986115572034,0.39618818833124564,0.4802750195409626,0.4859117496264751,0.5390231817775849,0.17103521277208447,0.3368440214035279,0.48262827971982825,0.14901658751856403,0.3543533785937968,0.28853791534544493,0.7508000016012429
hsa04024,0.4499235457447099,0.34389473809586135,0.5575681355672311,0.5045929571225537,0.29418777351196046,0.5660864346445114,0.35144658968992876,0.5129372473205924,0.24508439167302487,0.21804796870626267,0.5452467275161071,0.4396201156860899,0.14631759435983713,0.6371269633648374,0.13982041463838688,0.4551689992110399,0.07986982198509161,0.35908158697418757,0.13707546691789393,0.37893516023527823,0.3722807473438689,0.3639802532263146,0.11777839241256617,0.5571300494171532,0.5016732137502706,0.27864738100014536,0.6838461467359938,0.315851065317314,0.4411756532938941,0.3076396024496636,0.30050754947839003,0.15988201775408964,0.2375500175504649,0.8474906688513351,0.33770710528442177,0.30651132374867834,0.15796436951247908,0.4866395171767575,0.6543983916191097,0.5619739893583453,0.2293920548728467,0.47620696150586816,0.38363912676747436,0.35374574028551664,0.40900645895558485,0.5045620156368159,0.7841488727652651,0.42584282905763565,0.3146041144112262,0.5010519702335043
hsa00600,0.6219631230504118,0.5301410830729176,0.4467597941305072,0.5638536629844592,0.5719376295694486,0.7167729011905036,0.31465174263572815,0.3747944591278276,0.2667505958774253,0.29448554212826966,0.7160998151133121,0.40290720183297923,0.2426729702866067,0.536101287263542,0.2159678129094387,0.9482614447662574,0.15416516209900039,0.5688829815305702,0.19793791038319744,0.6674692408642403,0.40117480923176807,0.29113983464717696,0.19548069634766235,0.7423241566376464,0.3816040146964914,0.3668286989194914,0.493217505563373,0.6666147592838296,0.5675370697000583,0.29750206323090794,0.4316152558759232,0.22883464081772245,0.5338984122096985,0.5332799608949901,0.30609496629012956,0.34809595708051805,0.2677334561173306,0.7685896443932391,0.3092621181415751,0.5452981034450768,0.2851812975722515,0.38084091745626486,0.42721699750850445,0.7586735429098738,0.6724390689736306,0.5357621893095236,0.3210706950253853,0.7100211914914423,0.36290040812362495,0.5614860132626056
hsa04120,0.39858714361931163,0.4379611040174988,0.4313249267954318,0.33822553932946275,0.24626346770552404,0.29298110628467267,0.5408007419735301,0.19922213348126522,0.2698138063848428,0.9657085214989264,0.2599575599059545,0.19604635760474148,0.36899856446121426,0.24342402500053184,0.25436926071240906,0.22351635933137015,0.35715056983137056,0.29700600568747965,0.4277898310779757,0.27872870963162344,0.45495696873302494,0.18942351716738728,0.3251024570605394,0.2934428137124823,0.36106176000003753,0.31229005722886943,0.1625021446097791,0.4113773331867681,0.2844495794104569,0.39360017320177554,0.28362030549128076,0.21754657175548542,0.10552590073534414,0.18735219629835856,0.17168485931183866,0.2936063043098082,0.2480477727112582,0.34765405890021966,0.11360500895706245,0.31302721128432626,0.28018742216251563,0.2628512433461245,0.28558940300477215,0.15757101596731654,0.23202457395086287,0.2327098023986643,0.07343617944264758,0.45416720903726854,0.17012509925131095,0.4862699447359381
