,GO:0009062,GO:0006914,GO:0030036,GO:0016055,GO:0050810,GO:0006163,GO:0006284,GO:0007264,GO:0006633,GO:0006650,GO:0051321,GO:0006487,GO:0019722,GO:2000479,GO:0006897,GO:0006303,GO:0050853,GO:0007623,GO:0016567,GO:0060048,GO:0008203,GO:0048010,GO:0007179,GO:0000165,GO:0006665,GO:0006289,GO:0006401,GO:0050658,GO:0006493,GO:0046486,GO:0006790,GO:0006090,GO:0090398,GO:0050852,GO:0006909,GO:0030520,GO:0030433,GO:0019933,GO:0034976,GO:0006915,GO:0042278,GO:0009267,GO:0050900,GO:0034754,GO:0033209,GO:0051180,GO:0043648,GO:0000724,GO:0016042,GO:0050909
hsa00061,0.777915198833197,0.6441111291016188,0.606879156742094,0.4721116367733634,0.6509091384397574,0.7944249214576634,0.45860833509410565,0.6033125125150198,0.6791104083642974,0.7253581457591727,0.43459103605875443,0.5670103017625453,0.61199420441026,0.5223287528021763,0.6299121886300372,0.4456809857242133,0.43701424017326373,0.5949352053882271,0.5622589843015233,0.5022346901472592,0.7100059404526776,0.47242452419727804,0.5630330881177222,0.6265956267923696,0.6410839615417996,0.41117729189179353,0.5716995848152017,0.5842121794163214,0.5569522558657918,0.7370722606861866,0.7462339061235865,0.6537048487668276,0.5619306362692221,0.5765970036088087,0.5950470479688277,0.586859970124771,0.5561620771462488,0.48849711059000334,0.6374824338919884,0.6930165872555921,0.7339618196102066,0.6654561675284525,0.5695490414893845,0.7327992092584241,0.5120277494137709,0.644124179700206,0.7467688258647011,0.5020484783009301,0.7907352083915872,0.5300301871702736
hsa03450,0.47896811475781753,0.4644688903805231,0.4793792164184711,0.3409253077813226,0.47889430883406087,0.5373388142763678,0.7689219315668752,0.4790208222148761,0.47923502008720775,0.4711418697704454,0.6296395254301737,0.31531195043879534,0.4404557300082141,0.4768793362961884,0.457864177647761,0.769706754506398,0.3529781313584517,0.5550342655760822,0.5834862032956807,0.4407076035613994,0.46430604896071687,0.3740231160757812,0.410412733193254,0.5463461160449394,0.3982145833046402,0.725412221078387,0.5007869836292143,0.5226604164574948,0.36085246741554455,0.4693368030689871,0.5330769626805546,0.5744755943035429,0.5986620266866303,0.49952773280002466,0.450879466896697,0.5089854918248488,0.36324757495147264,0.3010844726607867,0.4497465213723997,0.5875991556527447,0.5684948165492882,0.5324204926219042,0.4299201639335909,0.5502194950071533,0.5417117877583645,0.4152497908872971,0.5116311216109597,0.7091931809671288,0.5137717473344403,0.3859118782909391
hsa04670,0.6279116424320513,0.6494366942849996,0.8785205732663984,0.584863071486889,0.7227830517355256,0.6976730309190672,0.45708213790292085,0.8459450930058388,0.7595344358058416,0.8015164343443677,0.4466701791779802,0.5707612881779656,0.7999190264832442,0.6528209302643528,0.8033474074340046,0.44784068917815445,0.7815823288577199,0.5591908798285015,0.6107192874317071,0.6891914066792714,0.7183936862475789,0.7190417446589084,0.7322243156487711,0.7801575418720805,0.7156998204792984,0.4311402781434802,0.5593841784369247,0.584780630658695,0.5762352004166109,0.794419155233502,0.7057416947556523,0.656550428732879,0.6498652180026832,0.7651450230690784,0.8273537474853496,0.6027621475241214,0.5489907912260857,0.6154028954536622,0.6810375125041709,0.8154713635070248,0.7136614618540145,0.662212553007978,0.8037851615904578,0.7258949050466685,0.7029397390253183,0.7101633076364289,0.6406564121776996,0.517241845724256,0.7602381223181156,0.6805666183992638
hsa04923,0.5946507386209843,0.6221426162420529,0.7074185913551223,0.5919700411860742,0.7159370306068864,0.6364492909585484,0.4250172874112302,0.7221761294840248,0.7275751260903578,0.7800961831376092,0.44090272694886473,0.5846105584037845,0.8324014375550876,0.6757941640432086,0.7635044511613697,0.38953024280704107,0.6282345050962372,0.5559908824772226,0.5776543395565841,0.6602947473347416,0.6929710671870493,0.6487341032012479,0.6722016087214155,0.7228336629678105,0.6999859788238859,0.41710656473622665,0.5049315063586051,0.532410637125516,0.5195070605120515,0.7770487087952294,0.6303943196931449,0.5730487429064673,0.5809311235603949,0.6739614277601856,0.7097897990642102,0.5518606299005361,0.6038179854435652,0.7757473269476303,0.6875441245206536,0.7433049031337442,0.6661937256396591,0.6567564243552717,0.7636849381249149,0.7151282466495127,0.6077972652613712,0.689983564800934,0.5905830859208622,0.45989233815235486,0.7361825093892033,0.7676944947894502
hsa04310,0.5216352365381467,0.5943900939027161,0.7150497348922746,0.7257424275165836,0.7742807680514525,0.6586086484833815,0.5290903756852874,0.7192862327094109,0.6369698060994289,0.7331697352757012,0.5637387422834648,0.5809046680255505,0.658163275662504,0.6403180977000307,0.7206218229434911,0.5160743521804747,0.5149041522226594,0.668046035494494,0.6739754313029016,0.6089324186439797,0.6385575365051885,0.572383566591284,0.740692408566381,0.7399174166229795,0.6638236555518784,0.5007402759529086,0.5588466829317665,0.5751645519244937,0.5987698215186692,0.7340433963282387,0.6857709895380423,0.6294768720175017,0.6522111796403831,0.6318156376163966,0.7242146116665871,0.6826304180851954,0.5545312422774566,0.5696396041083887,0.6552408173909346,0.7773150198144196,0.6691026270337203,0.6270787180896598,0.6841111222736447,0.6783179512952895,0.6530995975625878,0.694595971192352,0.6117084767545029,0.5864858607434718,0.6915091411219991,0.5706344459005347
hsa04010,0.5547178658250045,0.6587770800666681,0.7937594466404849,0.5939047011552259,0.7087558355619892,0.6926837829020324,0.5044672297013209,0.8199213390547909,0.6967259462795831,0.766051645384727,0.5042401262702543,0.5485291045506642,0.7472890043423693,0.6841616743081802,0.7670272853853353,0.5048427249380324,0.7641526267833965,0.6029968266679044,0.6724546774525576,0.6342677029018197,0.6809140111277477,0.0,0.7647168717912538,0.8426589752461353,0.681662253764821,0.4752716842778797,0.5897368795721474,0.5806944798339185,0.5883456080165181,0.7586129091416547,0.7114574215952656,0.6611008343506177,0.679022809200997,0.7578244966758676,0.8058252606717204,0.6745154032371763,0.5476049522651321,0.5579801605395419,0.6719627736407798,0.8439810185343305,0.7064663584055267,0.678773213049226,0.7358768589858395,0.7226393793001207,0.8051988154436138,0.6738288463899207,0.6141302792971502,0.5519555506924771,0.7152328971030856,0.5884421102818949
hsa04915,0.6120592026087877,0.7042049041281638,0.7944957808127174,0.5891538917494455,0.7702814556104998,0.7165169673384015,0.5069012726956231,0.7940599744856521,0.7676690458931317,0.8089747159778863,0.5141917670144893,0.555877965817489,0.8300764893818977,0.6868339123783471,0.7946666491181318,0.5079773846855965,0.6904529900237785,0.6394942943949935,0.6665971671040622,0.6895353853995152,0.6926855309440594,0.7147712151970607,0.6940596346826242,0.8181394939426813,0.6912552185993939,0.4963339796363976,0.5814939177435349,0.6354948135356715,0.543349877207552,0.7993084119701668,0.7064166982925508,0.6644691110498708,0.6601540057910338,0.7178003574437488,0.784775439606774,0.6331220221145926,0.5770585376040819,0.6573000541345342,0.6927364063836464,0.8216261207398299,0.7119844455093334,0.7154291097573275,0.7829744553944602,0.7617887832369279,0.7504442525979153,0.7100073193233352,0.6261550445558989,0.5769485001311069,0.7649626363883802,0.717079305999869
hsa03013,0.6084504937566801,0.6035010967477301,0.6678364007054995,0.4916528081675676,0.6480044183813313,0.7112533328626462,0.5528038218580147,0.6465601774113243,0.6469361842593859,0.6599946219884769,0.5939436004165951,0.555858608541471,0.5631377550659034,0.5487868837237093,0.6242666631461815,0.5693883487189009,0.4410583334325775,0.655928580150458,0.6397669796336333,0.4962699850613006,0.6226489051123927,0.5043895830241246,0.5992291893214707,0.6684777527461874,0.62009139987039,0.548112341179637,0.8235270384970665,0.8123151424049853,0.5181750094326489,0.6559373990404791,0.6825628242826052,0.6574565566966387,0.6207137022500192,0.6002903545890421,0.6072233476183253,0.6467754185063881,0.5066273359280873,0.47569189219266483,0.6242453813414479,0.7378787532648398,0.7044369480686163,0.6807191733751269,0.5751690773503344,0.6849650654321557,0.6100190257831724,0.5891727448032398,0.6380911325862748,0.577764877832236,0.6956268036928,0.5081902450766873
hsa04152,0.6347020292621346,0.7464841556877825,0.7568798010702072,0.6140777620405242,0.748207485635223,0.740532620411555,0.5198631601996675,0.7947274146354614,0.7310147248002539,0.7814106113069985,0.5341951563788104,0.565420250697124,0.7253328572480733,0.6343722394426478,0.7347604165576899,0.5151747543912282,0.6582735150235317,0.6930278592345483,0.7007186415365856,0.6326786638029501,0.7253549018688803,0.6801442466997953,0.7138267023435114,0.84736647487342,0.6870321820697743,0.46987200266434426,0.6165779618748264,0.621141951913088,0.5730740018208684,0.7793680327288954,0.7164783009981819,0.6410142240455159,0.7030571778306762,0.7198768556202078,0.7358650588140251,0.669757807498506,0.6023196323721973,0.5523377846498622,0.7182645558276937,0.8342896535151385,0.7275007018880104,0.8045114420337341,0.6925559966645858,0.7784622501325127,0.7120959253561286,0.6935627205449648,0.6611490083926562,0.5936562701854872,0.7730431771242715,0.593488973542874
hsa04977,0.6991949559538251,0.6971582416905806,0.6721607203399151,0.6704107559485124,0.7723641644402495,0.7599958364813072,0.4554302313209263,0.6583027195939517,0.8541270899233706,0.8473036450553033,0.4707519683976475,0.7591913392346907,0.7415879723457233,0.5627488862178006,0.7876215412054626,0.4537099611572268,0.6098761376250915,0.6329667736806881,0.6393459128487665,0.6130682970928437,0.8464597561403351,0.5957978072859209,0.6714449815622348,0.6987643208056424,0.8484470671182079,0.4244105018101026,0.5241002834401015,0.5250899056198424,0.7358673060015006,0.8718505035457266,0.7756797408988958,0.6598396009131424,0.5531119737345747,0.6989578267155714,0.7422896761611264,0.6260703087100146,0.7326228913611712,0.6090707471552639,0.7861491781637806,0.7544467055329345,0.7191436829749831,0.6963312410199852,0.7447786384780981,0.7838378115526845,0.6109400692469324,0.8415708423944737,0.7026656682374224,0.555140357716696,0.8405197519571679,0.644386847716541
