,GO:0006493,GO:0090398,GO:0050852,GO:0006909,GO:0030433,GO:0050658,GO:0050900,GO:0034976,GO:0009062,GO:0008203,GO:0006915,GO:0042278,GO:0050810,GO:2000479,GO:0048010,GO:0006303,GO:0007623,GO:0033209,GO:0051321,GO:0046486,GO:0006487,GO:0006401,GO:0006914,GO:0060048,GO:0007264,GO:0016055,GO:0019722,GO:0006633,GO:0000724,GO:0009267,GO:0034754,GO:0006090,GO:0030520,GO:0043648,GO:0016042,GO:0006897,GO:0051180,GO:0019933,GO:0006790,GO:0007179,GO:0006163,GO:0006665,GO:0050853,GO:0006650,GO:0050909,GO:0030036,GO:0016567,GO:0000165,GO:0006289,GO:0006284
hsa04666,-1.4621224019859151,-1.1262125085580577,-0.9081500952094874,-0.868230627649301,-1.4159098365574752,-1.202033176113221,-1.035734104230002,-1.1050175162352158,-1.28241570512373,-1.0784989187105931,-0.854987452012319,-0.989349321881377,-1.0284866336600917,-1.1552124218519875,-0.945175877215669,-1.3916528528562435,-1.2628421942454484,-0.9618942052755692,-1.4171534686055642,-0.9543714258271221,-1.491021231212778,-1.2121552173534298,-1.1090591246762942,-1.2633089573262841,-0.7408675359834049,-1.477551625352969,-1.0431331117652947,-1.0512866179893885,-1.301266882095349,-1.0304994849401852,-1.0403012843938253,-1.1343433291347376,-1.1403274807070833,-1.1451386779575943,-1.0226646758268563,-0.855223061549122,-1.1579692213936887,-1.6591441063137262,-1.0658093090184921,-1.0161854851034628,-1.0261306574651181,-1.2001315072957406,-0.8176705190354877,-0.9389295345784476,-1.5787283470655293,-0.6509530900043948,-1.1393624412102457,-0.8745766045760661,-1.4816241102167973,-1.3719160070925227
hsa04979,-1.2236090519062444,-1.284021839169565,-1.122926782224488,-0.9642003945982923,-1.1700737926721696,-1.3032302107296414,-1.0604955684914896,-0.9947798607393042,-1.1988380975525723,-1.0735687764487283,-1.0152339007166673,-1.0859441774316032,-1.0458597760786488,-1.3132590073277297,-1.2160194750623299,-1.5106569093587066,-1.3411483610806088,-1.2604148705388987,-1.5305665019112713,-0.939060463892261,-1.2154913359612678,-1.3297857184399708,-1.1269139563970754,-1.3146266846977714,-1.1929758313447485,-1.3998764803056658,-1.1188764729030987,-1.0333630098582665,-1.4170503928332467,-1.153464979521943,-1.0763889725373617,-1.2075760656969157,-1.216237107152156,-1.195698876699983,-0.9646788081015069,-0.9603428357730046,-1.0489849055698608,-1.6944589941651054,-1.0261972780244668,-1.0934047421876358,-1.0754713472628943,-0.9983885806643314,-1.3884216180531828,-0.9537903997208351,-1.5489419023569746,-1.1055911491756423,-1.2363187209843938,-1.0757986183977757,-1.559982524062543,-1.5178367490624456
hsa04370,-1.4911713710753145,-1.0382914950332593,-0.9213455498635806,-0.9335769775759875,-1.4313279309171916,-1.1992934151541996,-1.04605207468676,-1.105806724560251,-1.296999168856011,-1.1138004769328815,-0.7812400111635281,-1.0294095062498596,-0.9721384069826893,-1.079140629894049,-1.0641962951884352,-1.378099042801256,-1.2168562786900534,-0.922206104245091,-1.4186603103541653,-0.9575535675598541,-1.5102714652770142,-1.211608740545121,-1.1074229416260024,-1.2457264314955148,-0.7271817523324111,-1.4676269044451786,-1.0624106951715384,-1.080249900178477,-1.2981919446365255,-1.0432568682060221,-1.044431042720502,-1.1176032040675266,-1.1133851723368247,-1.1440665801948142,-1.0197468703326924,-0.944997204681336,-1.2032972385383178,-1.6489754175761686,-1.0428589117743372,-1.0405157967340268,-1.0281000235147875,-1.2250437244492962,-0.9915168054140393,-0.9312716143910031,-1.5798553491347427,-0.7912966558674962,-1.09319669331654,-0.7318959630057412,-1.450169930961016,-1.3584729440032788
hsa04144,-1.3107954563217705,-1.0480897435955965,-0.8187372740362457,-0.7843302949005112,-1.168235328045632,-1.0070683122138522,-0.9452756873306948,-0.8727575936789946,-1.1080589807688543,-0.9045822313617266,-0.7233107567011371,-0.8093907285740103,-0.8682270172552949,-1.0374974717430276,-0.9631384888635312,-1.244659391604484,-1.0800833899454874,-0.9266891652718691,-1.261407174549426,-0.7930138144369653,-1.2848614875176065,-1.044637913328366,-0.8147034421002183,-1.1531634002938334,-0.6641636528627645,-1.3526512241693598,-0.8797510829805386,-0.8919104340233054,-1.1323126055715018,-0.8447335630111493,-0.8562637032037308,-0.9170695033391119,-1.0469706402494086,-0.9985670032141649,-0.8402100103665987,-0.6149717544629572,-1.0266597311178203,-1.5246363718145401,-0.8780518603244143,-0.8992067071184652,-0.8307905697382496,-0.9514000332728687,-1.1051502153396577,-0.7762760557439812,-1.457700980817707,-0.5909398656147143,-0.9288048084892561,-0.7825801243143439,-1.3274875568612694,-1.2574040053645859
hsa00230,-1.1901838629828454,-0.918398187047237,-0.8812735772881721,-0.7690768093719182,-1.0680912015149573,-0.8440547279677497,-0.9156572617577101,-0.7536445447111425,-0.8728019822506202,-0.7578366826342428,-0.5745773797791571,-0.7449318100882587,-0.7792463441278072,-0.9450594313954667,-1.049704044941594,-1.1284522665688155,-0.9862502386668446,-0.922825802985371,-1.1808776777942835,-0.6273629641873646,-1.1515892966452725,-0.8376129261584181,-0.7919289377977173,-1.0444323040493886,-0.7474865514770699,-1.2889393164903753,-0.8278218792442338,-0.719075854992661,-1.0074599556500425,-0.7252781678928791,-0.6813263789026083,-0.6850442681293535,-0.9418564270839647,-0.6424930586781026,-0.5644086992766583,-0.73140008735227,-0.9027080806711655,-1.5349859274704545,-0.6078348475908982,-0.9050828301446306,-0.6354793391998954,-0.8423910625575345,-1.190910110351793,-0.6211380580512035,-1.3719967897173109,-0.7097147873431896,-0.8589775233178106,-0.7143447217031301,-1.210042715449331,-1.127878189139555
hsa04260,-1.3188149764083545,-1.215347776623228,-1.1238774403454215,-1.064649769854559,-1.2937553695642243,-1.2240593237610837,-1.2053674667856544,-1.068485156520947,-1.0732029343266112,-1.0390950832990655,-0.9513848586475516,-1.015095888409379,-1.0810021959252125,-1.1314679834229138,-1.313591131241325,-1.4284126352369249,-1.237408346982247,-1.217347355134537,-1.4222164750506943,-0.9573884632261891,-1.1964506379988085,-1.258738610037091,-1.1328441370318438,-1.1447339831451286,-1.1243660464766427,-1.4712997394712946,-1.1124216283988402,-1.0095400318911343,-1.3486466413985612,-1.156639913302271,-1.0696735442487997,-1.0705474218943793,-1.28020234500976,-1.0995621613394293,-0.9194207106064123,-1.0620149636978824,-1.1515999589080446,-1.666974890412434,-1.029253823112783,-1.1792733273536555,-0.897522747351341,-0.9978867037518334,-1.3930591264393817,-0.9555096290803293,-1.5476471483734164,-1.023123263857163,-1.2310729561511706,-1.1517635484573567,-1.491633566158258,-1.4224069030077742
hsa04218,-1.3222312660351727,-0.9036120321979142,-0.8781467460934382,-0.8569472928179132,-1.2337449059676657,-0.9600179634418884,-0.9564679704280976,-0.8925441394691237,-1.1064638196080392,-0.970983783702058,-0.5428070285544002,-0.8416134543921093,-0.8145360420748032,-1.052784350068078,-1.14895408673938,-1.0804605873363986,-0.9114465309835721,-0.8755029094494845,-1.1306439315716894,-0.8250407112187886,-1.294624257831038,-0.9925943176188761,-0.9355554879207767,-1.1314729921794604,-0.7512930390366731,-1.3664325687371202,-1.0091200543171883,-0.9368587715287187,-1.0056288953396417,-0.8356568020220642,-0.8407670897418958,-0.9163633814809077,-0.882169991373015,-1.0013681937927723,-0.817072208672864,-0.8791559793954173,-1.0766551361771979,-1.584624880502112,-0.8770874018920292,-0.7847278637766782,-0.8317233410349569,-1.041366679679786,-1.2071013550615826,-0.806873839016846,-1.4751735424320291,-0.778012339684869,-0.8522201321191092,-0.5950080793582515,-1.1737648370410858,-1.0644566504594108
hsa04310,-1.3273029609856384,-1.0533024421525927,-1.0697109092009736,-0.9471341623745714,-1.3037534661652377,-1.1262428252144732,-1.0715832404727126,-1.0478384590669874,-1.2856926474489145,-1.0935517352356452,-0.8175480766838281,-1.0157765667164127,-0.8482688797064827,-1.1181541756512976,-1.2480023357284167,-1.3078700642844328,-1.041085704918444,-1.0663873696739823,-1.279273423173956,-0.9206359417443369,-1.3242366833890897,-1.152671049412928,-1.131567384454745,-1.2346277860844044,-0.9320672441163101,-0.9355944958671408,-1.1337335416055463,-1.0878118663061074,-1.1809108537150432,-1.0713031245460356,-1.0587084613681426,-1.0867988132234596,-1.0093042204623113,-1.1161297444494098,-0.9789659372903012,-0.9448663418700604,-1.0716504011313122,-1.583384615084902,-0.9938875052510169,-0.9372852368319244,-1.0144944668890312,-1.0882987772952755,-1.419665043924721,-0.9191296401367363,-1.5413436305324348,-0.9322994571135937,-0.9988146229779546,-0.8944203869365255,-1.376918804974323,-1.295501355944652
hsa00510,-0.7559248761201884,-1.315285093075786,-1.1056335530818626,-1.0105017492282975,-0.9859650296025582,-1.2636156767677873,-1.0768706494566445,-0.8266775504274165,-1.1477904231591867,-0.9524303737433885,-1.0198210043003735,-1.0848240624417504,-1.042377690770376,-1.3813802841761151,-1.382309149824834,-1.542864715801004,-1.3648283218241464,-1.2970632521507075,-1.548869277906664,-0.8433229847565316,-0.8323216070772081,-1.2646784405649059,-1.0576400960372991,-1.3177741934234861,-1.164001090248638,-1.3308544052916123,-1.1097923717277494,-0.8989342400808324,-1.4245977732927795,-1.1462915099367714,-1.0549664008920456,-1.2203887999684242,-1.3052139960916973,-1.162048769730538,-0.924992597977024,-1.0334849961503703,-0.8865893395151486,-1.5850390547456394,-0.9152016955616041,-1.1536907452912895,-1.0224983468645203,-0.6621520665547529,-1.409759930061812,-0.8631974985367856,-1.4852995833828646,-1.1672148667706364,-1.2680064774535058,-1.14495790359987,-1.5626400615019558,-1.5043210887386
hsa03450,-1.7427944272534588,-1.2299548558504918,-1.3592642054254245,-1.447760267977985,-1.6472436531417558,-1.314275656666181,-1.5312317272084306,-1.4250827893292344,-1.4445763705189107,-1.438893472305186,-1.219392519972443,-1.265776180132856,-1.3962725189309302,-1.4487289734271496,-1.6117538003367833,-0.9750503670693187,-1.3177640405633928,-1.3281531499885921,-1.255432571541108,-1.4101102828352228,-1.7733335822007543,-1.343342287637926,-1.408950066874868,-1.5655495087933733,-1.3802388602653828,-1.8026399420657058,-1.5162180445670002,-1.411728495442347,-1.0795845715909813,-1.3125542578240046,-1.3404393346592938,-1.2780796574200426,-1.3662302859719193,-1.3623105400725666,-1.3411023953066379,-1.422410924675133,-1.5784271348857177,-2.017316915812501,-1.3234435730166245,-1.5054518175491471,-1.2975611835186607,-1.5544785019084175,-1.6984150821197794,-1.4047076544729988,-1.874676753048368,-1.3754479047036503,-1.2405276392846085,-1.2913673375535435,-1.0916067297809835,-0.9788481803850464
