,GO:0030433,GO:0006650,GO:0016567,GO:0006914,GO:0033209,GO:0009267,GO:0043648,GO:0050853,GO:0006915,GO:0006401,GO:0042278,GO:0006303,GO:0000724,GO:0048010,GO:0008203,GO:0009062,GO:0090398,GO:0030036,GO:0007264,GO:0006897,GO:0050900,GO:0006909,GO:0006090,GO:0007623,GO:0050909,GO:0034754,GO:0050852,GO:0006163,GO:0051321,GO:0046486,GO:0050810,GO:0019933,GO:0006790,GO:0006633,GO:0051180,GO:0007179,GO:0006487,GO:0050658,GO:0006289,GO:0016042,GO:0060048,GO:0000165,GO:0030520,GO:0006493,GO:0006665,GO:0006284,GO:0034976,GO:0019722,GO:0016055,GO:2000479
hsa04913,0.680465461922589,0.8372537312443903,0.6316742429479668,0.6889738176659651,0.6418960855473252,0.7210318323164976,0.7043406749629386,0.5988513973049256,0.8036054646147135,0.6065777444100128,0.7655592766036636,0.4994543986848765,0.5476768149768164,0.6494705968918023,0.7700679442961847,0.7056259833355342,0.6653891430239777,0.7298923634191217,0.7347171517967627,0.8053886679078223,0.788447073459904,0.7669966889962929,0.6425206046121392,0.5965894935929437,0.7633681126701958,0.8105135201114321,0.6949567161695335,0.7454846152440552,0.499219303267115,0.8390225298432427,0.7674091680605389,0.7844036613075347,0.7309628331200617,0.8000409875216047,0.7466931547549653,0.7175251453594167,0.6856389310705565,0.6275787308448573,0.4900624566409354,0.8234158718596641,0.6908321573852035,0.7634042461898899,0.6200776089832342,0.6248692573642232,0.7760219253442676,0.508666276295281,0.7682960955031798,0.8540290871534411,0.6502452545301068,0.7136430751258179
hsa04666,0.4792105243007902,0.7274388234312342,0.5837296347853326,0.6168980660764085,0.720183406714562,0.6634200378449072,0.600246191045702,0.8371335709392024,0.7628465347710234,0.5213998612585903,0.6919380552653379,0.4620065370656615,0.5074998821076959,0.7597642278177739,0.6555375937944699,0.5333328875125475,0.6092009894960959,0.8696279109242502,0.828654884505781,0.7759530800004278,0.7086167470303135,0.7738827612508178,0.6024138069488701,0.5133714910325967,0.5506933566621002,0.6926404877557409,0.7411220422400432,0.6597789569883233,0.4728709347235221,0.7202123001392459,0.6736675625635645,0.5190692837654773,0.6467015501681064,0.6687151382898386,0.6479692018291207,0.693478115710496,0.4717046018812352,0.5269663199297743,0.420658581281817,0.6716311081725787,0.5963228145982816,0.7573664452916655,0.6034484003841868,0.5142086666508311,0.6023174850435592,0.4813242635494418,0.6191910289793406,0.7086913305241652,0.5270881052466445,0.6230975516143221
hsa04120,0.6250574874150578,0.6617242486967795,0.9453159335650163,0.6563495549055436,0.7074375923621384,0.6751656578659639,0.6170043196609072,0.5160664633959775,0.7705203484807243,0.6122551650922426,0.6397706142304814,0.6059625295191099,0.6122053721444418,0.5381765654210252,0.6426145006054818,0.5517738090910069,0.6665466426598423,0.6468332503445884,0.6953669730909857,0.6280078921252872,0.5750131376090029,0.6294290035123586,0.6028818424290974,0.6070602018436643,0.509661783269523,0.7323935776583161,0.6476605458447504,0.6394487633563527,0.5852569548389539,0.6609546666004612,0.6962627013963786,0.47126431657710527,0.6286965235069659,0.6390971882745909,0.5838516167148924,0.6564930732928214,0.4900668523419822,0.6043870758649224,0.6020747773566741,0.6791329725394651,0.5536960612965666,0.7176632637807094,0.613654867506554,0.4963836086666893,0.5978080247834329,0.5493449365895512,0.7095362138060167,0.5954263907399956,0.5117827286824161,0.5686437385233952
hsa04810,0.5377621110835483,0.7819360403648804,0.6293736333044795,0.6371382952358328,0.7049266017307444,0.6595254693043271,0.6268754881306147,0.7311567816213569,0.8062653879551681,0.5829488194339364,0.7407190874164489,0.47826486229627935,0.5464821661064152,0.8036528566220502,0.7062487371419051,0.576497457423356,0.6516998821472338,0.9125065508820198,0.8689534189356894,0.8245196063250785,0.7928202422090518,0.826123654748651,0.6593777161271553,0.5590182646554285,0.6310002018896099,0.7207598411185653,0.7490771362655795,0.7057604562655654,0.5014594201036843,0.7739082194780115,0.6901146737235,0.6036583074385528,0.7054343274357178,0.727424547785373,0.6919868578701649,0.757348775562141,0.5532942418521153,0.5962851457629209,0.45078040732329505,0.7336642153947354,0.6686858233996452,0.794097132224973,0.6376055695467125,0.5893930571820198,0.6760138922935728,0.4821892781717278,0.6612860682994248,0.7909917617343555,0.5951979778663002,0.6450221692866633
hsa00510,0.7708519601660107,0.8076974972840868,0.553187715793904,0.7015397113133691,0.5516387272597792,0.6406093228924868,0.641107184803973,0.549173567866895,0.7170772102498042,0.5514249292179159,0.682496032295686,0.40583087271877516,0.4745453860222909,0.5343929884247709,0.7665958264431382,0.667100753801643,0.5284999120198819,0.6247785349008113,0.6285038538907237,0.7171181404465978,0.7158741037175114,0.7336506816103534,0.598798519829622,0.49958361698730597,0.622875369206214,0.7192243949700659,0.6699574081163809,0.7176171256988957,0.4287875138645506,0.8173510213031184,0.7118447645366737,0.5831983598846312,0.7812952880602861,0.7918945982545986,0.8124774847594264,0.6526873703154594,0.8541982297230925,0.5504959814103844,0.4161922461901552,0.775481542853558,0.5979006511384649,0.6405986817947091,0.5434205996878494,0.8892223973012222,0.8921724309359256,0.4389705422859944,0.8250391148765841,0.6978649182399146,0.6388255030905375,0.5177584983217874
hsa04024,0.6543218475128851,0.8394940012488581,0.6447501821296596,0.6927428902873137,0.7058270665498898,0.708501075688759,0.6663231638375859,0.6592510578319324,0.8200992813612438,0.58372581526047,0.7619357608603626,0.4897153128819495,0.5375642603824797,0.6793203688935618,0.747467373085663,0.6661844917759859,0.6493059504426942,0.7926071075791311,0.795689927120008,0.8432510367631569,0.8415629721542863,0.799698808792607,0.6518034593021478,0.6125301849424252,0.8300955026162881,0.778612620511399,0.709513629025637,0.7277198899964838,0.5148654188577737,0.835428941044691,0.7437496093412062,0.8659777890902172,0.7246155819322744,0.7817611052367675,0.7363505653284264,0.7104247753001933,0.6432922688401974,0.6162560825709387,0.47027042585698775,0.7990122425280181,0.7537837903096577,0.7997063241986028,0.6131256597075648,0.6125300367026232,0.7741393083473649,0.49658475324282153,0.747787423269766,0.9245409735132718,0.6291257201588333,0.6974294189039104
hsa04915,0.5871535024522285,0.8116639779267663,0.6715271066152635,0.7103901417210073,0.7482426168895173,0.7171757152961101,0.6298082394678869,0.6935208599815129,0.8225274062252761,0.5909099202017687,0.7179852983649448,0.5114170001160993,0.5784358921844368,0.7191004730782756,0.6972926828101095,0.6159431549250068,0.6658494393269004,0.7971028448103077,0.7958279362533812,0.7987186148791816,0.7872753533796393,0.7874179107875438,0.6578043173737755,0.6267516669720766,0.719254757526413,0.7667206337023951,0.7229210739764526,0.719031703670685,0.5202914505627515,0.8023926087548902,0.7740789666755491,0.6646982185134541,0.7084668916632432,0.7708969777191887,0.7097373920393205,0.6994009594637296,0.5642911545273863,0.640166412952815,0.49594891423849896,0.7680663305736412,0.6904760586286814,0.8199853560519877,0.6357591139412841,0.5521308445217533,0.6976829108973176,0.5105600561174245,0.6994559667475388,0.8334336729113822,0.5890633241518564,0.6911320328844743
hsa00920,0.5118821368479239,0.6169707445070954,0.5194687481302058,0.5690468410892219,0.4992343872332712,0.5879955531614783,0.7745674630968792,0.35076075767146214,0.6479614874564489,0.5318312011855886,0.6862225266420394,0.4763658740148991,0.5734368506730769,0.4111059091376482,0.6092563954041581,0.6941889102296694,0.5672519418602526,0.5569191285378046,0.5155528296819681,0.5510792421998285,0.5184250277143166,0.5609233105063322,0.6672340958111562,0.4950995838732031,0.45630044845346274,0.674704750347806,0.5392320245031955,0.7329127527053592,0.5075974089689027,0.6306046787242967,0.6434305476983315,0.4582614152945375,0.7475769600356796,0.6317564186848565,0.5436420592186507,0.5440840323794796,0.5612097657514624,0.5199190917627886,0.4670031422123447,0.721296033807848,0.4622274288835473,0.5485488455191316,0.5423135016345118,0.5497314063584695,0.6047813198992562,0.4999834320678275,0.5804762484062735,0.5247187513097633,0.3883780507546136,0.4452429673821179
hsa04260,0.5862022098162669,0.7397759988305465,0.548557363572575,0.6288573778242781,0.5802390720947119,0.6046995606208042,0.656968625359956,0.5407848416189732,0.7320897708165214,0.5217813449513836,0.7011968342525904,0.4638736976001966,0.5021107830793452,0.5580823460485379,0.7010805500877676,0.6918995595992017,0.5716160469141347,0.692849771845521,0.6272047335943253,0.6772673983793851,0.6248494197257696,0.6817685215502611,0.6717984063309526,0.5636374889121294,0.5792508763715378,0.6936828927282104,0.6316246915522368,0.7669465002428164,0.4951022506100479,0.739739948075152,0.6651313082359339,0.5247716732816249,0.6956273527930791,0.715029183879622,0.6680581718599911,0.6130617561057831,0.676041667639913,0.5468351974041701,0.4420887984647944,0.7575534946229376,0.6875301178446812,0.6068273070432764,0.5322906622961454,0.6213318144401854,0.7363339668955207,0.4721698978248012,0.6699484545472602,0.6877472268714665,0.5418225667511116,0.6587872077189669
hsa04668,0.5662105493576044,0.7385558395360341,0.7071618232346185,0.6658220628570806,0.826622701269203,0.6735727832207092,0.6028743416571285,0.6975671811058457,0.8577164747233873,0.5722700271335175,0.6832889621214813,0.4836977462416545,0.5437259754394566,0.7003513923698557,0.668800486724036,0.5409709319959772,0.7271105826665415,0.7218615035622975,0.7579894774815592,0.7366564550877086,0.8059843218203255,0.7892604826424773,0.6259442830353031,0.6141439395080392,0.6508085889385922,0.7124144420487515,0.7609999980247494,0.6806472601481312,0.4691358507253861,0.7297445649319262,0.7708330381070592,0.5753891443634753,0.6939289370708278,0.7046537942817378,0.636992753389034,0.7195058643812572,0.5139237461431336,0.5647488789223543,0.45075856972065237,0.7032938749816751,0.5700596717530626,0.8844880385391831,0.6586329549224789,0.5638878016106182,0.6626953817333587,0.47544774041749643,0.6908003581345984,0.7761939893857341,0.5528813202850622,0.6547398737002714
