,GO:0030433,GO:0006790,GO:0050900,GO:0043648,GO:0007179,GO:0006289,GO:0051321,GO:0006665,GO:0048010,GO:0006163,GO:0006915,GO:0046486,GO:0060048,GO:0006909,GO:0006284,GO:0016567,GO:0000165,GO:0006487,GO:0050909,GO:0030520,GO:0090398,GO:0007264,GO:0006090,GO:0000724,GO:0034976,GO:0006493,GO:0016055,GO:0006650,GO:0050852,GO:0006914,GO:0033209,GO:0016042,GO:2000479,GO:0019722,GO:0050658,GO:0008203,GO:0007623,GO:0009062,GO:0006401,GO:0034754,GO:0050810,GO:0019933,GO:0050853,GO:0009267,GO:0042278,GO:0006897,GO:0006303,GO:0051180,GO:0006633,GO:0030036
hsa04024,0.6543218475128851,0.7246155819322744,0.8488039239847273,0.6663231638375859,0.7395890536540387,0.47027042585698775,0.5148654188577737,0.7741393083473649,0.6793203688935618,0.7696773818666247,0.8274218220973809,0.8360666588046197,0.753361798994381,0.799698808792607,0.49658475324282153,0.6447501821296596,0.7969646044231803,0.6432922688401974,0.8300955026162881,0.6131256597075648,0.6563612334541025,0.7973532536742778,0.6518034593021478,0.5375642603824797,0.7593662450386822,0.6125300367026232,0.6349092432788043,0.8394940012488581,0.7426097583513706,0.6927428902873137,0.7059883242872429,0.7964707665288396,0.7435998262230348,0.9317441398273869,0.6162560825709387,0.747467373085663,0.6125301849424252,0.6603874073126079,0.58372581526047,0.778612620511399,0.7890959949187661,0.8692663934991359,0.6523030571291599,0.7201379659424735,0.783983540065027,0.846833453424196,0.4897153128819495,0.7363505653284264,0.803924511543913,0.7988452024998538
hsa03450,0.3727940754614865,0.536434852221549,0.43709131184562533,0.5155223045689328,0.41729153245406175,0.7518651600881137,0.6329784264240953,0.4061591627046384,0.38058822419158206,0.5414202509416898,0.5907118534797762,0.47493427095920654,0.44396621698097677,0.4557774873464423,0.7819007080266643,0.5876854619136551,0.5503579289914089,0.3238106992189419,0.3905549550618757,0.512471600852598,0.6028772575533888,0.48329944217639514,0.5715958886978239,0.7288944371199342,0.4571221738513258,0.36879442921647654,0.343089553653907,0.4765004323395847,0.5052649237883576,0.47129307377052804,0.5425360578934472,0.5184988884415549,0.4820020988859516,0.4475767702926101,0.5271120513008402,0.46983183745006185,0.5477936317270783,0.48315154568145935,0.5176926181854039,0.555524422014527,0.4845889635424784,0.31294783407535554,0.3583403915057619,0.5358522024723338,0.573472038493339,0.46459557352741726,0.8945141510249602,0.41779889220851646,0.48443433297676214,0.48443737641179574
hsa04020,0.6447493491082793,0.7204257820073332,0.8346373335547517,0.6455354113583707,0.7382101989417683,0.45913402893930483,0.49721139356662153,0.7689303091659141,0.7433045582010619,0.7455913547908012,0.8076098742033928,0.8568620298088201,0.7479004802073632,0.7961249351671731,0.48527600560414214,0.6307884767147185,0.8011809520650169,0.6617823180177254,0.7664044334974496,0.5934290925467101,0.6491474319637227,0.7845803423145483,0.6287817374570726,0.5266035321791726,0.7325001681417529,0.6270804458752868,0.6454156399414593,0.8628497270298516,0.7520074419721626,0.6889153593915908,0.6962448942153525,0.7897952339492621,0.7153614038696195,0.9352128971878874,0.5855422618806241,0.7295561642317323,0.5710754373073169,0.6315127971707952,0.5660344040827296,0.7631552089482101,0.7821967262785671,0.7954657830190898,0.6937778066053227,0.6852254600933831,0.7463211954092596,0.8359847899165541,0.4780546252299111,0.74298221050475,0.7949962420627551,0.7823489953347863
hsa04979,0.6762157510123781,0.7193201482624808,0.7239006773509131,0.6181902616859519,0.6881751307083755,0.4170905457295885,0.4411762819395454,0.7504345240444599,0.6391715876228494,0.683124317613504,0.7216741443168796,0.8244742498437517,0.599117731180035,0.7777634240162097,0.42766724558978597,0.5778722274965259,0.6848651367642109,0.6767725748352781,0.586992561315024,0.6043662785092869,0.5503367377076165,0.6073051822052546,0.6064658555389001,0.4790165356783445,0.7373113896057839,0.6850071975419044,0.5991392672153166,0.7988673796598974,0.6578357790400288,0.661569628794897,0.576260032456191,0.8027244834630576,0.563562372011807,0.6922261955527487,0.5183423597537112,0.8735022061011909,0.5160864783483251,0.6356358855813562,0.49930911037464204,0.70683758404679,0.7423773634747507,0.5336010463941672,0.5619966882002494,0.634661367528277,0.6807959179334875,0.7979351235870311,0.4293281550295439,0.7737474543747918,0.7549901215137585,0.6651713621607289
hsa00513,0.7564448453781375,0.7723425525759599,0.7161911854054189,0.6186759552499379,0.6715483309098573,0.4007244756968841,0.431691771497188,0.8720403263727494,0.552280752134518,0.6873184003132918,0.6931103346698722,0.7898477393099583,0.5766510802022393,0.7358258867433737,0.42619092887153776,0.535321090129686,0.639292642197197,0.9201719108427366,0.5863713419111628,0.5678172412960963,0.5301384247617059,0.6041587502439405,0.5833168353447125,0.46609166615656633,0.797742770040531,0.9167247359744867,0.6351748960338126,0.7815913345513182,0.6513629506523807,0.6633773468676577,0.5356958433923883,0.742334568679522,0.5007400903355468,0.6682470479070088,0.5279987402627964,0.7438833437486304,0.47077771002597235,0.6067745167748285,0.5258226823937515,0.6935794289499209,0.7163770026613492,0.5697904704216469,0.5323785364356984,0.6070793072587934,0.6618437195958766,0.7166936927785367,0.383749340508738,0.7708429084057429,0.7447187722944933,0.6098963357324698
hsa04923,0.6173811384486562,0.632655291158963,0.7697430178634872,0.5945157718259113,0.6792694434857202,0.4162234916474394,0.4492025942902447,0.7083342315348964,0.6547278333012923,0.69123860792403,0.7444386281835208,0.7838079963974928,0.6603758876300315,0.7126042543473048,0.4298117825373089,0.5848971495566384,0.72530504787436,0.5944815090216994,0.7678316872134242,0.5554259029077908,0.5889860288451203,0.7239156922731006,0.5635595153465193,0.4620607144367816,0.7017372393133277,0.5312324348762943,0.589888025500618,0.7863820867316237,0.6811029595889477,0.632803097404074,0.6048022142617046,0.7406763592498593,0.6803948795013767,0.8368593354688072,0.5393238941843043,0.6978820256676683,0.5389202190661834,0.598582836022815,0.5203953138864879,0.7235392116829306,0.7348958240810094,0.8057698625296216,0.6318549252716154,0.6587077818266663,0.7059633278579728,0.7732602898685117,0.3946420048151749,0.687830430673826,0.7347904018294029,0.7112643887175096
hsa04370,0.4658544909161313,0.6601166049594865,0.7014236173111339,0.5990539669561397,0.7091220745194162,0.44313003419192076,0.4698683969052497,0.5923501940639493,0.7870006350212732,0.6563300140354642,0.8076813093921126,0.7343776115440599,0.6064631098477711,0.7455428143002444,0.48949356880175193,0.6152584623769484,0.856705535603745,0.45598526734531875,0.5493010566421412,0.6202023789446713,0.7289400223408975,0.8389023601963731,0.6121918243697867,0.5077231139504779,0.6231966727506275,0.49256462133970125,0.5430592892610264,0.7507295497837365,0.732807359759793,0.6160444314993007,0.7416094055132325,0.6909121242381797,0.6698209109817292,0.7630526457628678,0.5265004888128338,0.630919709252193,0.5461436403262436,0.5207121978739461,0.5191738549145141,0.6889514356892802,0.7072197673852237,0.5250776495077102,0.7882085834736822,0.6709720753767304,0.6641093516370786,0.7275606087817723,0.4703737543807824,0.6183402395944095,0.6644866790365027,0.8061379732132059
hsa04742,0.62913707722801,0.6707453343155135,0.851115658574713,0.5679437969443908,0.6435898485173855,0.4071929891806931,0.437355716862176,0.7439446759897556,0.5821874065269226,0.6834160260535923,0.7084110900535217,0.7755946765610601,0.6564266276072405,0.7202262710677976,0.41108173789722396,0.5729602540065927,0.6945057258883727,0.636846286428385,0.9378449696321136,0.5157413994255318,0.5539366955682854,0.6724269887211781,0.5468593508072475,0.48352690459500386,0.6965222232782998,0.6108663947610238,0.6042139872642497,0.7773038257166477,0.6438647923946633,0.6250978144917464,0.5888036871802782,0.7227540598741692,0.6113740183012705,0.9062505759731388,0.5550432267551284,0.6862633483345368,0.5181334418307809,0.5961767804656658,0.5210233871578601,0.7201715346110669,0.6807208520248826,0.8034825513163569,0.5388328813738592,0.6055093398894033,0.7112678709633917,0.760169755695035,0.41078424456346274,0.6860329394075463,0.7466901997772435,0.6719691810164471
hsa04136,0.45038610387417616,0.56397632355104,0.4722911119117057,0.49660172045251294,0.47978594192401064,0.40860644104366967,0.45702066388998935,0.4979021026289829,0.4718060417299613,0.6030268890313812,0.635753708319777,0.5555626824048079,0.42603336213790255,0.5321461992989948,0.43450307299971275,0.5438727793133314,0.5783422747587053,0.43534948612411906,0.3988664607396036,0.410899691423748,0.4624966869569672,0.5715791587641749,0.5343031729849193,0.4662432499137462,0.5560329895284687,0.46186019635096404,0.36492487766765236,0.5596622391776486,0.542660429380802,0.8702404819292183,0.5490142512901893,0.5412863562419109,0.5385559473132986,0.5432056190193648,0.5325085574090339,0.5095531681033793,0.475931985282264,0.4833085272207055,0.5053069827168424,0.5476484673304272,0.5223519750093653,0.41419782722952525,0.43778672163058513,0.740558744437933,0.5517134238692736,0.56908671935923,0.4387655927633109,0.45823313123107945,0.5599349283130493,0.5207753792397852
hsa04140,0.6037474116261118,0.715947488879085,0.6770461645177224,0.6176686977380207,0.6850474945029507,0.48502309433317015,0.5192948740212512,0.6802603653523328,0.6889055180077152,0.7480767544181267,0.8479244379786057,0.7618090707062658,0.6088716198414964,0.7464236160306281,0.5110315013905607,0.6826668016291964,0.8186357610314258,0.5989966162457155,0.5564250416398447,0.5866653406129324,0.6672189034398567,0.8064610631251633,0.6684842511324073,0.5611392583210918,0.7390916822442258,0.5816633927831691,0.5324773967520359,0.7688972182897459,0.7510663429885447,0.9043822509226352,0.7460459942006192,0.7376083349292042,0.7132486489159549,0.7485033354900326,0.6040941578563457,0.6981119031757491,0.6077692439622421,0.6150299687473095,0.5817340243482321,0.7392964586126131,0.7222362756168014,0.5457467918702616,0.6762965787557106,0.8740987180304701,0.7201425029666496,0.7656105224661546,0.5124188249881253,0.6648005253834506,0.7299937879269056,0.7529269792778337
hsa04670,0.5555447227507272,0.7079425730071688,0.8496496021959014,0.6437793264354414,0.7779849586093781,0.43197471486009426,0.4522598624575775,0.7191316337253209,0.7621928663266826,0.7042972915001258,0.8168796100799178,0.7990322463561735,0.690847910949505,0.8412639520871101,0.46079226522673533,0.6161944559180702,0.7803368371607023,0.5765431749182869,0.6831372558840344,0.6057755219411917,0.657900025674,0.8565923371012903,0.6525877773346874,0.519512387573251,0.6895151256766128,0.5819790315695476,0.5897311651317708,0.8061319983439293,0.7679824024498189,0.6540778514747095,0.7316833784622249,0.7628653049512918,0.6566525300790628,0.8102643347356163,0.5891308998076986,0.7216532632355014,0.550847888373511,0.6311794200169559,0.5657950814517796,0.7289665424876337,0.7261409404026129,0.6191933561416625,0.7960721194539555,0.6648484289169524,0.7304006945851624,0.8080891641451423,0.45147349305944784,0.710880306511317,0.762232992105558,0.8894258491466442
