,GO:0046486,GO:0000724,GO:0050853,GO:0043648,GO:2000479,GO:0006284,GO:0006915,GO:0016042,GO:0016055,GO:0007179,GO:0042278,GO:0019933,GO:0006493,GO:0034754,GO:0006487,GO:0048010,GO:0030520,GO:0060048,GO:0006289,GO:0009267,GO:0050909,GO:0007264,GO:0006633,GO:0090398,GO:0016567,GO:0006090,GO:0006650,GO:0000165,GO:0030036,GO:0006909,GO:0008203,GO:0006401,GO:0051180,GO:0006897,GO:0050852,GO:0006790,GO:0006163,GO:0030433,GO:0033209,GO:0019722,GO:0050658,GO:0050900,GO:0050810,GO:0006914,GO:0007623,GO:0034976,GO:0051321,GO:0009062,GO:0006665,GO:0006303
hsa00061,1253276862.0448828,4340733536.770082,2394060914.000232,2455557566.8563833,4992899455.146414,6087455101.702383,4598176209.064152,1315999657.872388,3018611828.6921067,4852736105.314343,3032637953.792772,775149400.2476095,1391589943.6451418,773186991.8730866,2680188154.9384246,4895358271.586898,10502720798.97959,1499587159.6032844,6114520303.413188,5086888903.3815155,513828559.1743742,5045422346.2555485,1850855266.8112502,6077350787.231337,5397231866.489229,4308850199.257942,1357465447.0064373,4438804961.904029,3907398719.365045,2178980304.4223676,1591318347.9159803,6195337772.260067,625634674.2049264,3597755719.204954,4393263452.003766,1757625524.8263757,3100365081.531308,5362802956.518619,5921144356.280315,2462963166.770541,7974847820.077275,2644038899.3388414,2740943169.4496384,5498563035.600129,5444588120.61781,5956010461.776706,2453526415.202921,1827305772.7182105,847346048.2480276,5311471716.519645
hsa04977,390872922.73091155,1345943202.720048,742333092.3112638,752393104.2206855,1548162135.2676673,1887553949.9384952,1436693693.4382117,410505921.1944622,935989312.0262325,1504701290.9235654,940338420.8882369,240352734.59029433,431494140.8666832,243122118.58244583,831053344.5793997,1517917268.2881935,3256607528.4623294,464981140.13636434,1895946151.0491421,1607964733.4074411,159324253.5280537,1564448044.1551747,545225480.3605636,1884420931.025061,1673534552.2088737,1336057064.1187265,421032830.3252497,1376352508.7604446,1211577930.6874342,676086481.1579573,487222421.63980335,1921005345.8322976,144637534.68648857,1119747031.6932318,1362231338.4183939,546654806.7353269,952835724.2765809,1662859166.0572233,1835985573.635566,763697808.3744507,2472782969.0435224,819844444.4417863,849891803.5272201,1704954625.4786687,1688218421.9335065,1846796620.6739092,760771703.8265909,566597745.3374645,262738942.90142247,1646942653.6796513
hsa00071,1081828435.4058998,3986343113.036447,2198602649.859683,2228397959.956718,4585264266.459062,5590457125.795819,4261192309.328287,1118156678.2842343,2772163363.024073,4456544267.965894,2785044363.547194,711863901.793411,1277976396.8891425,715901135.1039687,2461369614.2886124,4495686637.367431,9645247363.689568,1377156396.0101442,5615312632.446302,4762384566.254793,471878067.56519413,4633499031.527774,1614819826.5683572,5581177753.562722,4956585768.033051,3957062857.8718467,1161918562.8194563,4076407694.960946,3588387046.4430614,2001081861.600187,1461398382.6884897,5689531928.49143,574555997.4917488,3304024226.7540016,4034584341.934117,1571955135.4288762,2790923234.0206714,4924967757.023803,5437724480.92028,2261879522.663008,7323757485.733963,2428171686.1440725,2517164401.408311,5049643973.606724,5000075727.00465,5469744029.836447,2253213200.1063085,1493275002.217163,778166196.8066676,4877827326.2531595
hsa04141,3095096945.9594445,10719890805.31156,5595846617.653629,5992505293.926039,12330482065.65691,15033600518.390766,11515434121.145788,3249997368.0000377,7454774400.552944,11984334164.861616,7489413347.534635,1914311680.8836775,3436675419.9620647,1901692237.9811728,1942339669.7702544,12089594013.364796,25937556224.957012,3703385728.480348,15179504112.213608,12063339166.815628,1268952817.4185667,12460192782.244854,4342499273.503712,14741821162.425087,12756348650.53724,10641151565.299984,3352401442.0591693,11147484292.089102,9351892635.72885,5381217429.974112,3929925391.173078,14845791556.841703,1545069594.3469741,8885030188.397316,10849618870.55623,4331314772.388896,7588949273.484943,14158814013.078642,14279678837.97596,5803373865.024603,19694712196.577744,6529727774.417945,6769042895.729163,12020572561.32248,13445973954.537237,15888851654.573895,6059237472.627777,4512720716.762256,2092608781.8144672,13117229234.372051
hsa03420,3067905075.342515,8703466558.173416,5860438248.512854,5939858410.710392,12222153136.005455,11050283002.176516,11343679954.356747,3221444624.420918,7389280794.181368,11879046332.322384,7423615457.207903,1897493498.9094598,3406482644.68359,1884984974.1171331,6560851105.753595,11983381399.280586,25709683473.691803,3670849769.711989,15531502372.693205,12694272546.617146,1257804437.8475163,12350724316.059229,4304348394.70304,14876789171.974194,12841354984.455334,10547664249.934135,3322949034.1208067,10865781451.836262,9564948332.62228,5333940933.232418,3895399133.2343717,15165610771.888456,1531495409.1020334,8887305621.612877,10754299999.528708,4293262192.486926,7522276892.915229,13127642316.175571,14494410354.176535,6029104517.2342615,19521685646.01561,6472361129.663134,6709573825.574584,13459970526.55753,13327845174.657465,14579759212.614046,5880111042.392615,4473074382.286725,2074224200.7662082,13627228213.425396
hsa04120,3915209005.100463,11753816440.725182,7478992999.264072,7580347662.777578,15597706808.987375,17289668129.589657,14137821402.965181,4111153603.177246,9430076196.975576,15159839649.79448,9473893505.116852,2421549402.626986,4347296011.014763,2405586212.656535,8362279149.575663,15292990324.458487,32810266564.98325,4684676906.249329,19347436158.324745,16200217616.70883,1605188942.3569083,15761787179.96058,5493137231.114646,18618416969.155094,12942765187.290476,13460752157.963058,4240691827.0491858,13866727997.48082,11645968250.922,6807085958.038778,4971243053.84182,19354097866.00083,1954468765.987933,11073015002.626495,11708982279.669825,5478989193.627871,9599803586.866735,17038946809.691916,18497523320.68907,7694242074.831173,24913247559.48626,8259918703.990187,8562645542.065427,16328459315.834469,14576358568.44378,18287685575.58426,7664761997.102532,5708462503.10795,2647090150.677899,15571497483.557262
hsa03013,3563783954.6731515,12343192093.285004,6807686428.692738,6899943685.175185,14197673047.668173,17310122269.43352,13135007909.060791,3742140770.465794,8583642493.467043,13799108417.823444,7524037751.228953,2204193607.9263663,3957087296.7431808,2189663303.517053,7621310174.3599415,13920307608.160322,29865252142.628593,4264185218.307888,17387084028.665226,14738224344.092152,1461108826.5174906,13842930787.298294,5000079005.5018215,17281389552.58789,15347422071.029264,12252529303.674997,3860051783.3581247,12622065141.186382,11110972630.539621,6196089054.150158,4525029468.244416,13309956382.838003,1779037672.933515,10230480153.881847,13338601119.692747,4987200912.29081,8488380035.417515,15249520373.515013,16837205178.232088,7003614964.347625,20795042698.16096,7518517131.485149,7794071579.768193,15635564341.810143,15482083095.299107,16613476018.96246,6976781073.414689,5196076933.72199,2409490083.1112547,15103556927.986122
hsa00230,717788948.0690949,2486067243.2247353,1371149919.0421307,1389731617.781615,2859582077.2370973,3486466646.712927,2663198249.512089,753712158.2557257,1728848809.0189624,2779306354.825555,2175986430.350555,433014098.8926569,797004965.2239587,441024528.93238944,1535023495.0441272,2803717338.088485,6015220671.642259,858858185.7429496,3501967700.534886,2970042447.7934074,294284906.3131874,2889663496.99781,1007076043.5305905,3480679617.4299808,3091155269.458934,2467806705.102412,777460850.5077635,2542235671.4773636,2237883508.5260477,1247966854.627849,911395366.0821977,3587723217.1502156,358319594.0206329,2060541749.8918848,2627129983.1518135,1009681882.4276376,2066754465.984158,3071436817.604364,3391215547.2773266,1410612288.6712034,4567432598.749719,1514319745.3760896,1613366618.906789,3149190648.102993,2983531893.642642,3411184399.7832336,1405207579.4880407,1046552378.9050949,485300294.55204296,3042037880.0472436
hsa04915,2861606854.1390443,9911196143.319435,5297787699.061317,5540438462.587182,11400286536.928312,13899485157.317818,10450141583.428255,3004821789.7444367,6799544798.606785,8322016161.665562,6705672926.37573,1539484855.9202738,3177417091.040775,1758231051.8905847,6119673145.180172,11177570760.82224,15709333410.638725,3500323979.5641046,13961283180.865248,11647068061.99195,1173224682.6615088,9800743365.392231,4014906768.270705,13218790305.859842,12337006933.121246,9838396894.739584,3099500632.5045714,9431226334.087494,8368726659.7951,4801620481.3222,3633456931.7257004,13725844124.00713,1428511559.1938503,7824767276.790742,10031137722.657724,4004566005.464046,7144402971.666764,11805634867.771305,13519747949.722975,5623683408.530416,18208968547.963173,6037133584.027931,6258395070.986162,11970048560.20553,12431627093.170921,13205140024.114647,5602136471.245164,4172286918.370857,1934745102.224908,12127682463.532362
hsa04010,2214837703.823201,7634577158.415847,4210726754.5577173,4267790110.199516,8211515950.152897,10706749259.06056,7778260603.243187,2371071063.777773,5347944464.976358,6432037477.42328,5333870010.742111,1321874606.5469112,2447558855.6307735,1367929132.5837872,4713973576.291691,0.0,18472415205.894558,2796152923.1347747,8957411522.069937,8155041434.634586,903732924.1247685,6678879515.89511,3099454922.2211146,7568853737.538276,9316144458.865719,7578500016.411225,2412176671.569392,6139548821.097564,6288064367.461374,3380383377.2393994,2798845546.6975822,10572993905.826843,1100379964.5398068,5588727591.740361,6851237006.841058,3102668088.712794,5283440101.903945,9432215243.044985,6262330106.648766,4344815657.515111,14026336836.25459,4574991228.010418,3930518359.8570766,8551581241.064045,9576060741.339434,9641978679.499222,4315315980.839785,3213905352.633055,1490330780.652549,9341932721.637257
