,GO:0000724,GO:0006909,GO:0006650,GO:0050810,GO:0009062,GO:0007264,GO:0051180,GO:0050852,GO:0016042,GO:0006665,GO:0030036,GO:0050909,GO:0034754,GO:0006790,GO:0006493,GO:0034976,GO:0050658,GO:0006284,GO:0048010,GO:0006163,GO:0051321,GO:0050900,GO:0006633,GO:0006289,GO:0030520,GO:0033209,GO:0007179,GO:0006487,GO:0019933,GO:0006915,GO:0006303,GO:0000165,GO:2000479,GO:0090398,GO:0007623,GO:0006914,GO:0042278,GO:0060048,GO:0050853,GO:0009267,GO:0006090,GO:0008203,GO:0016567,GO:0046486,GO:0016055,GO:0006897,GO:0030433,GO:0006401,GO:0019722,GO:0043648
hsa00600,0.36214759945869446,0.43480589985847473,0.44698113203048706,0.4302218556404114,0.4308054447174072,0.4012018144130707,0.46938303112983704,0.4179934561252594,0.4425817131996155,0.47466912865638733,0.3939504027366638,0.3755452334880829,0.4483346939086914,0.43217262625694275,0.446269690990448,0.4449407160282135,0.314125120639801,0.3192942440509796,0.4149142801761627,0.4125143885612488,0.35605040192604065,0.4054747521877289,0.4405183494091034,0.32489508390426636,0.3207557201385498,0.3949998617172241,0.4168846607208252,0.484920471906662,0.3857773244380951,0.4015461504459381,0.3343624770641327,0.3951916992664337,0.43005284667015076,0.3765260875225067,0.35507887601852417,0.43777042627334595,0.4010891020298004,0.4283551275730133,0.41190460324287415,0.4005890190601349,0.3954833745956421,0.4650452435016632,0.37925055623054504,0.44944852590560913,0.4356665313243866,0.42975080013275146,0.47610315680503845,0.31384575366973877,0.4110138416290283,0.40083032846450806
hsa04979,0.38311684131622314,0.46376293897628784,0.4618881642818451,0.458932101726532,0.43141165375709534,0.416296124458313,0.4863037168979645,0.4385323226451874,0.4574565291404724,0.4715783894062042,0.4120263457298279,0.36941468715667725,0.46608754992485046,0.4466536343097687,0.4586806893348694,0.4552887976169586,0.32463982701301575,0.33825913071632385,0.44872257113456726,0.41900160908699036,0.3743606209754944,0.418232262134552,0.4443587362766266,0.34878912568092346,0.345700204372406,0.42509809136390686,0.44686269760131836,0.4841562509536743,0.36834999918937683,0.4189728796482086,0.3570592701435089,0.4198196828365326,0.4521005153656006,0.41061827540397644,0.37385526299476624,0.44630637764930725,0.41431835293769836,0.446563720703125,0.42374351620674133,0.41250625252723694,0.4104892611503601,0.4936147928237915,0.39888131618499756,0.4661193788051605,0.4558093547821045,0.455242395401001,0.48386678099632263,0.3255741596221924,0.41533273458480835,0.4107041358947754
hsa04015,0.3600129187107086,0.4409473240375519,0.419489324092865,0.4205368459224701,0.35572075843811035,0.4542674124240875,0.4216148257255554,0.4326608180999756,0.39551040530204773,0.3986130952835083,0.43922334909439087,0.355927437543869,0.4158262014389038,0.3922443389892578,0.3712756931781769,0.39242446422576904,0.3034127354621887,0.3243649899959564,0.4853011965751648,0.3743794858455658,0.3634885847568512,0.4064269959926605,0.3929029107093811,0.33493688702583313,0.3402179479598999,0.4360462725162506,0.44143977761268616,0.38383644819259644,0.36736321449279785,0.4038648307323456,0.3447430431842804,0.4367403984069824,0.45242658257484436,0.4142162501811981,0.36150622367858887,0.4171741008758545,0.3879501521587372,0.43752822279930115,0.46473854780197144,0.40728646516799927,0.3808530271053314,0.41334301233291626,0.38488951325416565,0.4163077771663666,0.43507736921310425,0.4381299912929535,0.3888401985168457,0.3009270429611206,0.41200459003448486,0.3607012927532196
hsa00514,0.3308444917201996,0.42151498794555664,0.4268873929977417,0.4130959212779999,0.4069320261478424,0.3546895384788513,0.45534053444862366,0.3938579857349396,0.42010781168937683,0.46713316440582275,0.34901952743530273,0.38498127460479736,0.4170553684234619,0.4228583872318268,0.5234988927841187,0.41994479298591614,0.28469932079315186,0.28814780712127686,0.3878682851791382,0.38231804966926575,0.31726378202438354,0.4071574807167053,0.4152655005455017,0.2879621088504791,0.29043006896972656,0.3541835844516754,0.3987450897693634,0.506696343421936,0.37442314624786377,0.3608529269695282,0.2889024019241333,0.3575390577316284,0.38503497838974,0.32376620173454285,0.30709022283554077,0.3846719264984131,0.3675357401371002,0.4058144688606262,0.37310555577278137,0.3546050488948822,0.36853787302970886,0.44165366888046265,0.3254700303077698,0.4299379289150238,0.420097678899765,0.39962443709373474,0.45955690741539,0.2852138578891754,0.39409399032592773,0.3733813464641571
hsa04136,0.4461371600627899,0.43017640709877014,0.43482884764671326,0.44546011090278625,0.434804767370224,0.46384021639823914,0.4214521646499634,0.46322596073150635,0.44074735045433044,0.4026147127151489,0.4515358805656433,0.30426278710365295,0.4508878290653229,0.45226195454597473,0.35840553045272827,0.4400283992290497,0.4079528748989105,0.4047684073448181,0.46022120118141174,0.444385290145874,0.4431350529193878,0.3671530485153198,0.4190521240234375,0.43060562014579773,0.4006018340587616,0.4883466958999634,0.4321010112762451,0.37736082077026367,0.3033249080181122,0.4623425006866455,0.4484030306339264,0.46005091071128845,0.48576804995536804,0.46760961413383484,0.4476836919784546,0.521479070186615,0.4511329233646393,0.44110924005508423,0.426719605922699,0.4934515953063965,0.47447842359542847,0.4430578052997589,0.4798460900783539,0.4309142827987671,0.4222492277622223,0.4340904951095581,0.4258924424648285,0.4043535590171814,0.3825754225254059,0.44852593541145325
hsa03410,0.5129638314247131,0.3695718050003052,0.3686995804309845,0.3955504596233368,0.3661285638809204,0.4063737690448761,0.3574708104133606,0.39325031638145447,0.3798695206642151,0.33507251739501953,0.38794711232185364,0.2539171874523163,0.3967595398426056,0.39773693680763245,0.32040321826934814,0.3661571443080902,0.39816609025001526,0.5469475388526917,0.3835892081260681,0.3760925531387329,0.47992900013923645,0.31463131308555603,0.3474594056606293,0.5483984351158142,0.4062463939189911,0.4259167015552521,0.38352832198143005,0.3215729594230652,0.24032363295555115,0.4040642976760864,0.5381790399551392,0.4055037200450897,0.4072086215019226,0.4636138379573822,0.4407235085964203,0.3941565155982971,0.38846153020858765,0.36966538429260254,0.36022403836250305,0.4186226427555084,0.4053291082382202,0.378265380859375,0.45253729820251465,0.36819031834602356,0.3621835708618164,0.36223793029785156,0.3480941653251648,0.40008246898651123,0.30798786878585815,0.39020228385925293
hsa03013,0.3965443968772888,0.3238741457462311,0.3356884717941284,0.35474997758865356,0.3431878089904785,0.3622453808784485,0.3279145359992981,0.3732573986053467,0.34211745858192444,0.3133716285228729,0.36331790685653687,0.2578541934490204,0.34893304109573364,0.35391688346862793,0.29431408643722534,0.35293200612068176,0.4344733953475952,0.39035993814468384,0.3443661034107208,0.3561514616012573,0.4041661024093628,0.29842233657836914,0.32856494188308716,0.4118350148200989,0.3965863585472107,0.37580588459968567,0.33814382553100586,0.31441530585289,0.24004848301410675,0.3711027204990387,0.41253331303596497,0.3587668538093567,0.3696412742137909,0.3864067792892456,0.39178764820098877,0.3821089267730713,0.3686552941799164,0.33994561433792114,0.3190031945705414,0.3796483278274536,0.37383994460105896,0.34965670108795166,0.39751702547073364,0.3327636122703552,0.3240910768508911,0.33913278579711914,0.3318411409854889,0.4373789131641388,0.29859188199043274,0.36036720871925354
hsa00564,0.37489503622055054,0.4430949091911316,0.4550381898880005,0.43142056465148926,0.42403897643089294,0.42131778597831726,0.46084830164909363,0.42725658416748047,0.44192710518836975,0.45891720056533813,0.4101705551147461,0.37656837701797485,0.45278874039649963,0.4354763329029083,0.4304676651954651,0.43730106949806213,0.31866690516471863,0.33071666955947876,0.4358313977718353,0.41578006744384766,0.3683512210845947,0.40978091955184937,0.4407440423965454,0.3392776548862457,0.3317437171936035,0.4107535481452942,0.42296457290649414,0.4614173471927643,0.38638836145401,0.40964579582214355,0.34969213604927063,0.40998148918151855,0.4464741349220276,0.3968145251274109,0.364990234375,0.44221964478492737,0.41076764464378357,0.43751397728919983,0.42673879861831665,0.4143202006816864,0.4063175916671753,0.45863980054855347,0.38886404037475586,0.45558613538742065,0.4319148361682892,0.43678683042526245,0.458038330078125,0.3188193142414093,0.420698881149292,0.4071125090122223
hsa04120,0.45090997219085693,0.3883259892463684,0.3865247368812561,0.42115452885627747,0.3841831386089325,0.4274832010269165,0.3825034201145172,0.43011385202407837,0.3969475328922272,0.3603275716304779,0.4129388630390167,0.28117087483406067,0.4169653654098511,0.4037448465824127,0.32467371225357056,0.40432727336883545,0.3824672996997833,0.4270075559616089,0.4085000455379486,0.3901897966861725,0.43544870615005493,0.33789750933647156,0.3697010576725006,0.4629943072795868,0.4018119275569916,0.4597139358520508,0.41417673230171204,0.334764301776886,0.2637128233909607,0.4242274761199951,0.4655623733997345,0.4260104298591614,0.43718966841697693,0.4584428071975708,0.43566954135894775,0.44388383626937866,0.39895007014274597,0.40398237109184265,0.3787330389022827,0.4332457482814789,0.41866621375083923,0.39941370487213135,0.5063997507095337,0.3846109211444855,0.3919314742088318,0.38902151584625244,0.3961493670940399,0.3829217553138733,0.33837199211120605,0.4006006121635437
hsa04114,0.43015554547309875,0.40648728609085083,0.4042874574661255,0.4211849868297577,0.3729814887046814,0.4492846429347992,0.4012356996536255,0.42294856905937195,0.40032145380973816,0.3732374310493469,0.4317510724067688,0.31190237402915955,0.42701026797294617,0.4064229428768158,0.3368189334869385,0.39447543025016785,0.3718215525150299,0.4032462239265442,0.42994335293769836,0.39093124866485596,0.4421418011188507,0.3590332865715027,0.38083240389823914,0.42827287316322327,0.39276790618896484,0.4515725374221802,0.42246147990226746,0.35349321365356445,0.30428168177604675,0.427987277507782,0.4360041618347168,0.4400090277194977,0.47527340054512024,0.46447286009788513,0.42896944284439087,0.4355238378047943,0.40113481879234314,0.4274560511112213,0.4046366512775421,0.4401979446411133,0.4156803786754608,0.4048040807247162,0.44976192712783813,0.40106716752052307,0.4230286777019501,0.4092957675457001,0.37640663981437683,0.364750474691391,0.3726072311401367,0.3886270821094513
