,GO:0030433,GO:0006650,GO:0016567,GO:0006914,GO:0033209,GO:0009267,GO:0043648,GO:0050853,GO:0006915,GO:0006401,GO:0042278,GO:0006303,GO:0000724,GO:0048010,GO:0008203,GO:0009062,GO:0090398,GO:0030036,GO:0007264,GO:0006897,GO:0050900,GO:0006909,GO:0006090,GO:0007623,GO:0050909,GO:0034754,GO:0050852,GO:0006163,GO:0051321,GO:0046486,GO:0050810,GO:0019933,GO:0006790,GO:0006633,GO:0051180,GO:0007179,GO:0006487,GO:0050658,GO:0006289,GO:0016042,GO:0060048,GO:0000165,GO:0030520,GO:0006493,GO:0006665,GO:0006284,GO:0034976,GO:0019722,GO:0016055,GO:2000479
hsa04913,0.008539961531490697,0.0034743561556467763,0.0071167407076353235,0.0076278836652016865,0.008063947884733252,0.006864353602125422,0.004103888787591202,0.004879837987128536,0.006716519631759338,0.006019839917108185,0.004980549226751784,0.006176337029518486,0.005767550298597174,0.0076016262511290735,0.003772288613717573,0.0037138862372717825,0.008319193833444715,0.006073009301712398,0.007398381897015452,0.006160508644938734,0.005301685412859885,0.00454637081889692,0.005297088386479235,0.0061809125968430795,0.0031802640186480904,0.0029266685180133613,0.0065241289522389835,0.004662009244868319,0.0043866038705041,0.0033723660024747868,0.0047983335902268874,0.0038062868073423153,0.0036800448902892012,0.003729523805396827,0.0026557303011569035,0.007550282839604934,0.004335738813745713,0.008466472533419615,0.00765272833051914,0.0034264951887781852,0.003832350148585119,0.006754993777168626,0.011392624566240933,0.003671064866732113,0.0030383875384944275,0.007276265284622836,0.008249619790292439,0.005386365330927578,0.005278757887803512,0.007767848399474785
hsa04666,0.011191809889928465,0.006107095500021047,0.00976858906607309,0.010279732023639453,0.01071579624317102,0.009276470877124054,0.006707430731040887,0.0075646424712700125,0.009299782087372092,0.008671688275545951,0.007632397585189551,0.008828185387956253,0.00841939865703494,0.01025347460956684,0.006351661528891173,0.006365734595709549,0.010931207641685493,0.00842678918802381,0.01017426317523787,0.008637398484624558,0.007907277977902293,0.006913920538257539,0.007948936744917003,0.008832760955280844,0.005832112377085857,0.005538355305998464,0.00925692875617981,0.007239975465808006,0.007038452228941866,0.006007470147473585,0.007181985233932488,0.006521031823985856,0.006329340152909754,0.0063678052254199,0.005372814556526864,0.010106687020484782,0.006987587172183479,0.011118320891857382,0.010304576688956906,0.006073347866577903,0.006484198507022886,0.009112558035380507,0.014044472924678702,0.0063229132251698805,0.005703002336808248,0.009928113643060602,0.010831610352617621,0.007922087805067892,0.007977701811497609,0.010419696757912551
hsa04120,0.01411739187375176,0.00887502383332274,0.011471902802347864,0.012858078660799415,0.013503946789707283,0.012249858570329989,0.009495581277577152,0.010319836892102568,0.012064679768446142,0.011459838822082218,0.010420548131725814,0.011502811025205681,0.010647691209591567,0.013041625156103104,0.009139812075427437,0.009153885142245815,0.013697069309239036,0.011358466728143555,0.012838380801989485,0.011477883426857004,0.01072493653057008,0.009980723134861492,0.010737087291453269,0.01107963713920889,0.008620262923622122,0.00832650585253473,0.011233055911602481,0.010028126012344271,0.009826602775478132,0.008783994395322217,0.009970135780468754,0.00930918237052212,0.009117490699446019,0.009150775033517973,0.008160965103063128,0.012894837567021046,0.009732963544182101,0.013906471438393646,0.013173952257784888,0.008823938731712016,0.009272349053559151,0.012147452537640142,0.016832623471214964,0.009111063771706146,0.008478386443468457,0.0123558888353604,0.013603333239788401,0.01082636423590161,0.010718756792777544,0.013207847304448817
hsa04810,0.01121884786434272,0.006084242844051595,0.009795627040487346,0.0103239758979974,0.010885306553866901,0.009303508851538307,0.006734468705455142,0.006762930814017435,0.009361157068194424,0.008698726249960204,0.007659435559603804,0.008855223362370506,0.008446436631449197,0.00939978704948874,0.006378699503305427,0.006392772570123804,0.010375788097191977,0.008124711161162678,0.009733924349542943,0.00872202398000661,0.007850772923124647,0.006834170446438064,0.007975974719331256,0.0088597989296951,0.005859150351500112,0.005565393280412719,0.009203015285091005,0.007267013440222259,0.007065490203356121,0.005997686901252278,0.007223719329761261,0.006459669837688982,0.0063563781273240074,0.006389662461395963,0.005399852530941118,0.009661233726424814,0.007014625146597733,0.011145358866271635,0.010331614663371163,0.006069675169750105,0.00651123648143714,0.009222675311626585,0.014071510899092953,0.006349951199584134,0.005717273871346448,0.009955151617474857,0.010858648327031876,0.008001016741744445,0.00795168226981044,0.010446734732326806
hsa00510,0.00892523109495902,0.00363700639121555,0.007317884321941866,0.00782902727950823,0.008265091499039794,0.007011003279662499,0.004256725986909662,0.005080981601435077,0.00691766324606588,0.006220983531414727,0.005181692841058326,0.006377480643825028,0.005968693912903714,0.007802769865435616,0.0039009567847599477,0.003915029851578325,0.008520337447751257,0.00627415291601894,0.0075995255113219945,0.006328994744671005,0.00548608123990259,0.0047418678441940015,0.005498232000785776,0.006382056211149621,0.0033814076329546318,0.00308765056186724,0.0067252725665455275,0.004789270721676781,0.004587747484810642,0.0035439175915921812,0.004731280489801263,0.004070327079854631,0.003878635408778528,0.003911919742850485,0.002922109812395639,0.007655982276353557,0.0033827718298791868,0.008667616147726155,0.007853871944825683,0.003597413599562209,0.004033493762891661,0.006908597246972652,0.011593768180547475,0.003821263698485975,0.0032254088325256516,0.007477408898929378,0.008512900374194816,0.00558750894523412,0.005479901502110054,0.007968992013781328
hsa04024,0.010538530087682452,0.005433593484540463,0.009115309263827078,0.009626452221393439,0.009807552739853103,0.008601499048653963,0.006054150928794874,0.006911362669023999,0.008561194800275352,0.008018408473299937,0.006744196076653595,0.00817490558571024,0.007766118854788927,0.009600194807320826,0.005698381726645159,0.0057081409815669705,0.010321750042185166,0.007999751074184708,0.009000522559221943,0.008079313665086183,0.0072788188549164886,0.0065392927860792125,0.007295656942670988,0.008179481153034832,0.005178832574839844,0.00488507550375245,0.008774914980875145,0.006629432887784068,0.006385172426695853,0.005349899131653152,0.006243526265503479,0.005814370402952929,0.0056760603506637395,0.005684838270835296,0.0047195347542808505,0.00866123755267749,0.006334307369937465,0.010465041089611368,0.009651296886710894,0.005378175850440363,0.0059291408833447926,0.008422308205605524,0.013391193122432688,0.0056696334229238655,0.00503695609468618,0.00927483384081459,0.009888355173076712,0.00751542906721671,0.007271364493150173,0.009929648364600727
hsa04915,0.013586511674915905,0.008565270635357058,0.01225117331037569,0.0124897542879675,0.013194193591741602,0.01178104397003847,0.00918582807961147,0.009951638625895447,0.011787404322345261,0.010953391718762787,0.00987587322747019,0.011306582736526835,0.010897796005605523,0.012731871958137422,0.008830058877461754,0.008844131944280131,0.012755404355085988,0.010906717596903344,0.011524689698963947,0.011030842411120251,0.010415183332604397,0.009598038783050933,0.010427334093487584,0.011311158303851427,0.00831050972565644,0.008016752654569049,0.011654374659247334,0.00970417330378127,0.009516849577512448,0.008474241197356536,0.009660382582503072,0.008946371656455017,0.008807737501480334,0.008841021835552292,0.007851211905097445,0.0113286979785957,0.00946598452075406,0.013596718240427966,0.012782974037527492,0.008514185533746336,0.008990614361659316,0.011491628064912487,0.01214458518211673,0.008801310573740463,0.008168633245502776,0.012406510991631188,0.013219172507842925,0.010516611037935927,0.010376293639981755,0.012898094106483135
hsa00920,0.008113465424748226,0.003008528821606238,0.006690244600892854,0.007201387558459215,0.007637451777990781,0.006383363558613486,0.003629086265860649,0.004453341880386065,0.006290023525016867,0.005593343810365714,0.004554053120009313,0.0057498409227760144,0.005341054191854703,0.007175130144386604,0.0032733170637109345,0.0032873901305293116,0.007892697726702244,0.005646513194969927,0.006971885790272982,0.0057013550236219915,0.004858441518853577,0.004114228123144989,0.004870592279736765,0.005754416490100608,0.0027537679119056194,0.002460010840818227,0.006097632845496513,0.004170306918460083,0.0039601077637616295,0.002917499383605716,0.004103640768752251,0.003442687358805618,0.0032624780725074498,0.003284280021801472,0.0022944700913466263,0.007028342555304543,0.003909242707003242,0.00816436779996352,0.007226232223776669,0.0029574437199955147,0.0034058540418426477,0.006280957525923639,0.01096612845949846,0.003244568759989642,0.002611891431751956,0.006849769177880365,0.007823123683549968,0.004959869224185107,0.004852261781061041,0.007341352292732314
hsa04260,0.00914537607723238,0.004040439474090392,0.007722155253377008,0.00823329821094337,0.008669362430474937,0.007415274211097641,0.0046609969183448036,0.005485252532870218,0.007311731374592417,0.006625254462849868,0.005585963772493468,0.006781751575260169,0.006372964844338858,0.008207040796870757,0.004305227716195089,0.004319300783013466,0.0089246083791864,0.006667352966819405,0.008003796442757135,0.006733265676106146,0.005890352171337732,0.005146138775629143,0.005902502932220918,0.006786327142584762,0.003785678564389774,0.003491921493302382,0.007129543497980668,0.0051935416531119225,0.0049920184162457835,0.00394941003608987,0.0051355514212364055,0.004474598011289773,0.004282906340213669,0.004316190674285627,0.0033263807438307807,0.008060253207788698,0.004941153359487396,0.0090718870791613,0.008258142876260824,0.003989354372479669,0.004586462159103238,0.007312868178407794,0.011998039111982618,0.004276479412473797,0.0036438020842361114,0.00788167983036452,0.008830632813625559,0.006126430610475284,0.0058841724335451945,0.008373262945216469
hsa04668,0.011821045721379207,0.0067161091182372165,0.010357309484052927,0.010908967855090193,0.01047977627666509,0.00992859829196801,0.007336666562491627,0.008160922177017044,0.009999684401755537,0.009300924106996693,0.008261633416640293,0.009457421219406993,0.009048634488485682,0.01088972631091529,0.006980897360341914,0.006994970427160291,0.01141703909242707,0.009316427395774892,0.010159472915234261,0.00940893532025297,0.008317600469955347,0.007821808419775969,0.008578172576367744,0.009461996786731586,0.006461348208536598,0.006167591137449207,0.009805213142127494,0.007869211297258746,0.007667688060392608,0.006625079680236697,0.007328853434651,0.00711097878400943,0.006958575984360495,0.006992911716302275,0.006002050387977606,0.009864511927141986,0.0076168230036342205,0.011747556723308123,0.010933812520407649,0.006665024016626494,0.007113434338473626,0.009784986649059432,0.014673708756129441,0.006952149056620622,0.006319471728382935,0.010557349474511346,0.011431399852328036,0.008422522855189005,0.008559842077692021,0.011048932589363295
