,GO:0050658,GO:0007264,GO:0034754,GO:0030520,GO:0006487,GO:0016042,GO:0051180,GO:0006163,GO:0090398,GO:0006303,GO:0006493,GO:0043648,GO:0000165,GO:0060048,GO:0048010,GO:0006909,GO:0007179,GO:0042278,GO:0033209,GO:0006090,GO:0051321,GO:0050853,GO:0007623,GO:0016567,GO:0009267,GO:0006289,GO:0006650,GO:0019722,GO:0034976,GO:0006915,GO:0030433,GO:0006284,GO:0046486,GO:0006401,GO:0050810,GO:0006897,GO:0006914,GO:0008203,GO:0050900,GO:0016055,GO:0006633,GO:0050852,GO:2000479,GO:0030036,GO:0000724,GO:0006665,GO:0006790,GO:0019933,GO:0009062,GO:0050909
hsa04660,0.3274229168891907,0.47712889313697815,0.4288851022720337,0.37683382630348206,0.37101101875305176,0.4065958559513092,0.422849178314209,0.3894307017326355,0.44385433197021484,0.3906426429748535,0.3643045127391815,0.38515493273735046,0.44828012585639954,0.4447936415672302,0.4929540455341339,0.449871689081192,0.45699232816696167,0.4017272889614105,0.47339341044425964,0.410439670085907,0.3987455666065216,0.4961949288845062,0.3981291949748993,0.4217444062232971,0.43201926350593567,0.38138943910598755,0.42356234788894653,0.3842950761318207,0.4019608795642853,0.43406105041503906,0.38780882954597473,0.36500242352485657,0.4196844696998596,0.33087143301963806,0.4370533525943756,0.4408974051475525,0.44038283824920654,0.4191734492778778,0.39540722966194153,0.43698543310165405,0.39348289370536804,0.4378437399864197,0.4716484248638153,0.4566228687763214,0.39571061730384827,0.39156368374824524,0.4104747772216797,0.3224037289619446,0.3716261088848114,0.32228517532348633
hsa00561,0.32448849081993103,0.40710023045539856,0.44759559631347656,0.3263142704963684,0.458992600440979,0.43763303756713867,0.4559921324253082,0.41753706336021423,0.3893231451511383,0.3488820195198059,0.4264901876449585,0.4143328070640564,0.3996095359325409,0.4290531277656555,0.41935965418815613,0.4313400983810425,0.41245609521865845,0.4095916748046875,0.40223613381385803,0.4131317138671875,0.36406850814819336,0.41423916816711426,0.36554399132728577,0.3871287703514099,0.41095149517059326,0.3383142054080963,0.44307762384414673,0.4070846438407898,0.4354047179222107,0.4059794843196869,0.4562219977378845,0.32985377311706543,0.44397082924842834,0.32671427726745605,0.4257529377937317,0.4263249635696411,0.4403848946094513,0.45675477385520935,0.3953118920326233,0.42066824436187744,0.43381157517433167,0.4220210909843445,0.4349895119667053,0.39942657947540283,0.3725237250328064,0.44940248131752014,0.4349008798599243,0.3665313422679901,0.43054765462875366,0.3620559275150299
hsa04370,0.3274083435535431,0.4821966588497162,0.4375167787075043,0.3772324323654175,0.361859530210495,0.4062526524066925,0.4207991361618042,0.3919498026371002,0.45304957032203674,0.39150142669677734,0.35094818472862244,0.38887161016464233,0.45562979578971863,0.4507111608982086,0.49470019340515137,0.448055624961853,0.4504343867301941,0.4056932032108307,0.4750387370586395,0.41352465748786926,0.4018995463848114,0.4869922697544098,0.4020809829235077,0.4241616129875183,0.4353629946708679,0.3830258846282959,0.4227171242237091,0.3842146694660187,0.39925169944763184,0.4342367947101593,0.3799852132797241,0.36567631363868713,0.4192095398902893,0.32587432861328125,0.43783625960350037,0.44226160645484924,0.44099727272987366,0.42087504267692566,0.39396384358406067,0.43880993127822876,0.3884589374065399,0.4503757357597351,0.48295876383781433,0.4638262391090393,0.3979056179523468,0.3868454396724701,0.41092658042907715,0.3194326162338257,0.3700660765171051,0.32202333211898804
hsa04141,0.34422221779823303,0.40717124938964844,0.4380571246147156,0.3496953547000885,0.4517481029033661,0.4299721419811249,0.44006654620170593,0.4163913428783417,0.39283648133277893,0.3740716576576233,0.4235851764678955,0.41252225637435913,0.4047577977180481,0.419560968875885,0.417648047208786,0.4218202531337738,0.4141656756401062,0.4130702316761017,0.42191174626350403,0.4189625084400177,0.3811076581478119,0.38426265120506287,0.3772341012954712,0.41258004307746887,0.4165092408657074,0.35839247703552246,0.427512526512146,0.38196203112602234,0.4490832984447479,0.4126940965652466,0.4908626973628998,0.35350072383880615,0.42775946855545044,0.34730690717697144,0.4285297095775604,0.41873741149902344,0.457548588514328,0.45267194509506226,0.38179320096969604,0.41704654693603516,0.41818973422050476,0.4325242042541504,0.4377484619617462,0.401226282119751,0.3876265287399292,0.437779039144516,0.42893117666244507,0.33764004707336426,0.4197339415550232,0.33204999566078186
hsa04218,0.35452577471733093,0.4373481273651123,0.4204367697238922,0.39880669116973877,0.3530268669128418,0.395948201417923,0.39681798219680786,0.3867146968841553,0.4505380392074585,0.44284647703170776,0.3420851528644562,0.3872230350971222,0.43581658601760864,0.41625648736953735,0.4335860311985016,0.412077933549881,0.42665189504623413,0.39586126804351807,0.4520539939403534,0.4147803783416748,0.4296005666255951,0.4093531370162964,0.4254909157752991,0.4380878508090973,0.4274623990058899,0.4337373673915863,0.39896151423454285,0.35357415676116943,0.3941347897052765,0.4247894585132599,0.37589600682258606,0.42059019207954407,0.3961779475212097,0.35413190722465515,0.42496445775032043,0.4072777330875397,0.42704927921295166,0.4059511721134186,0.3631505072116852,0.41161036491394043,0.3754021227359772,0.4254904091358185,0.4551515579223633,0.4267151951789856,0.4333621561527252,0.36891213059425354,0.40369758009910583,0.29067060351371765,0.36895570158958435,0.3012824058532715
hsa04979,0.32463982701301575,0.4162960946559906,0.4660875201225281,0.345700204372406,0.4841562509536743,0.4500103294849396,0.48205748200416565,0.41900160908699036,0.41061827540397644,0.3570592701435089,0.4586806893348694,0.4107041358947754,0.4198196828365326,0.446563720703125,0.44872257113456726,0.4597207009792328,0.44686269760131836,0.41431835293769836,0.42509809136390686,0.4104892611503601,0.3743606209754944,0.42374351620674133,0.37385526299476624,0.39847469329833984,0.41250625252723694,0.34878912568092346,0.455966979265213,0.41533273458480835,0.45524007081985474,0.418102890253067,0.483866810798645,0.33825913071632385,0.45683008432388306,0.3255741596221924,0.45014655590057373,0.4473418593406677,0.4455065429210663,0.47191503643989563,0.418232262134552,0.4558093547821045,0.4384477734565735,0.4385323226451874,0.4521004557609558,0.4120263457298279,0.38311687111854553,0.47157835960388184,0.4466536343097687,0.36671629548072815,0.43141165375709534,0.36941468715667725
hsa04662,0.32736167311668396,0.47558799386024475,0.43708866834640503,0.36955878138542175,0.3790634274482727,0.4119935929775238,0.4296245872974396,0.39235880970954895,0.44327062368392944,0.38832059502601624,0.37121450901031494,0.38579946756362915,0.4553007185459137,0.44896233081817627,0.49582403898239136,0.4536195993423462,0.4567527174949646,0.40443041920661926,0.47175133228302,0.41074562072753906,0.39886268973350525,0.49225297570228577,0.39337942004203796,0.42232194542884827,0.4354587495326996,0.379004567861557,0.428923100233078,0.4001011848449707,0.4069291353225708,0.4336245059967041,0.39434200525283813,0.360892653465271,0.4252675175666809,0.3271297216415405,0.44560250639915466,0.4403020739555359,0.4423961043357849,0.42575761675834656,0.39992398023605347,0.43995827436447144,0.400672048330307,0.452735036611557,0.4723103940486908,0.4549850523471832,0.3961576223373413,0.3996153175830841,0.4150558412075043,0.3306250274181366,0.37558436393737793,0.33194074034690857
hsa04913,0.3001382052898407,0.3983621597290039,0.42453640699386597,0.32200726866722107,0.4288060665130615,0.40798118710517883,0.4259883761405945,0.391629695892334,0.3715391159057617,0.3243618905544281,0.39830100536346436,0.3765949308872223,0.3916895091533661,0.4187156558036804,0.4137791693210602,0.41794896125793457,0.3999391198158264,0.3902706801891327,0.3893137574195862,0.38290470838546753,0.34446507692337036,0.4006006121635437,0.3457840085029602,0.3590731918811798,0.38613709807395935,0.3131079077720642,0.4199940264225006,0.41801804304122925,0.40566056966781616,0.3834947645664215,0.4237339496612549,0.3078036308288574,0.4212643504142761,0.3002361059188843,0.4049568474292755,0.4159991443157196,0.40831953287124634,0.4210912883281708,0.40561968088150024,0.4210525155067444,0.4111654758453369,0.39366281032562256,0.4343833923339844,0.3848746716976166,0.3453224301338196,0.4231736958026886,0.40385210514068604,0.43166303634643555,0.3894873559474945,0.3982287347316742
hsa04015,0.3034127354621887,0.4346610903739929,0.4158262014389038,0.3402179479598999,0.38383644819259644,0.39405524730682373,0.4216148257255554,0.3725326657295227,0.3996650278568268,0.3447430431842804,0.3712756931781769,0.3607012927532196,0.41892725229263306,0.43752822279930115,0.0,0.4380742311477661,0.43850794434547424,0.3907398283481598,0.4360462725162506,0.3808530271053314,0.3634885847568512,0.4607003629207611,0.36150622367858887,0.384521484375,0.401348739862442,0.33493688702583313,0.4172476530075073,0.4054635167121887,0.39096584916114807,0.4010276198387146,0.3888401389122009,0.3243649899959564,0.4136944115161896,0.300927072763443,0.40859362483024597,0.4377440810203552,0.4171741008758545,0.41334301233291626,0.39880672097206116,0.4357299506664276,0.3929029107093811,0.4264514148235321,0.4502953886985779,0.4352720081806183,0.3600129187107086,0.3986130952835083,0.39092087745666504,0.3655797243118286,0.35572075843811035,0.355927437543869
hsa00513,0.2933735251426697,0.37015286087989807,0.4268132150173187,0.2976035177707672,0.5174393057823181,0.4277198910713196,0.46615272760391235,0.3985731303691864,0.33764123916625977,0.30043813586235046,0.5008707642555237,0.3848080337047577,0.37075191736221313,0.409206360578537,0.39681944251060486,0.42780813574790955,0.40159478783607483,0.3838021159172058,0.3674151301383972,0.37787023186683655,0.32963499426841736,0.38768601417541504,0.316518634557724,0.340310662984848,0.36801138520240784,0.2947217524051666,0.4392925500869751,0.40955016016960144,0.44467735290527344,0.3753993809223175,0.4885522723197937,0.29876771569252014,0.44171372056007385,0.2981170117855072,0.41665345430374146,0.4158654510974884,0.41248294711112976,0.4545722007751465,0.41154569387435913,0.4274207055568695,0.4301013648509979,0.4057818651199341,0.3933340907096863,0.3650133013725281,0.33688104152679443,0.47722116112709045,0.4229162633419037,0.39928191900253296,0.41851311922073364,0.3854093551635742
