,GO:0030433,GO:0006650,GO:0016567,GO:0006914,GO:0033209,GO:0009267,GO:0043648,GO:0050853,GO:0006915,GO:0006401,GO:0042278,GO:0006303,GO:0000724,GO:0048010,GO:0008203,GO:0009062,GO:0090398,GO:0030036,GO:0007264,GO:0006897,GO:0050900,GO:0006909,GO:0006090,GO:0007623,GO:0050909,GO:0034754,GO:0050852,GO:0006163,GO:0051321,GO:0046486,GO:0050810,GO:0019933,GO:0006790,GO:0006633,GO:0051180,GO:0007179,GO:0006487,GO:0050658,GO:0006289,GO:0016042,GO:0060048,GO:0000165,GO:0030520,GO:0006493,GO:0006665,GO:0006284,GO:0034976,GO:0019722,GO:0016055,GO:2000479
hsa04913,0.007712961973818562,0.005495404902990751,0.005321774316736809,0.006555454076637712,0.006421103395839116,0.006356959001889785,0.005636472060594317,0.006309011954675191,0.006237601327964741,0.0054559116345985845,0.006101436107020777,0.004548129817850401,0.004381953587604341,0.007950964063586278,0.00524580042577535,0.00631673248504887,0.006576591444338153,0.006786712380239808,0.007104727601696195,0.008004287300224004,0.006528439554180473,0.005652971448489677,0.005747404586681251,0.005448559797759315,0.00905188300544105,0.004360669066961222,0.006959697920823111,0.005979781476897489,0.0032027040510451904,0.005228795335545664,0.006056756009617877,0.018020011783451455,0.004382061839756234,0.005325308847228881,0.0033749600319368657,0.00704358781133806,0.005672866515457565,0.006018056017955879,0.00471282061087579,0.005244164784650372,0.0051032437573737275,0.0070166488435185045,0.005840693157769976,0.004273232957499015,0.004388130292257265,0.005556333625544951,0.007344882733327971,0.007962542924949278,0.005429278514267249,0.009024564866011395
hsa04666,0.011808176548949268,0.00815908949518355,0.01196204068873131,0.012492072359244431,0.017692528119258106,0.011972491977627153,0.008397199367304313,0.021493248682388114,0.012750837462468818,0.0113518630842528,0.010947942136760098,0.011003389979086035,0.009821415735513445,0.022100843660209715,0.0077046863101258465,0.007730228114321671,0.014372325575786027,0.01805310567491589,0.01848994101176354,0.015014909895396101,0.010498660784166456,0.01179137334620988,0.012767482427548438,0.012164562610525075,0.003428339961241358,0.004351905496806437,0.017857105667746644,0.010212745627216479,0.007019524626670752,0.007603219984632361,0.009617699594961867,0.004786063514246144,0.0069371316821987,0.007738885733866532,0.005717846017288619,0.015906016838871148,0.0068787240818132915,0.014544151416598499,0.011695769259400295,0.006389388666142753,0.008542195382858253,0.01522214855735325,0.015925212194188878,0.005328371305388148,0.0050258218382511185,0.012541260225415685,0.01320132384686953,0.010428114361534263,0.009451552650276461,0.015169593738525618
hsa04120,0.018446521378058463,0.0070184104023072015,0.021239429876279435,0.016501676138374062,0.021148731515798585,0.016913558330159166,0.01074311574707337,0.011174352117953897,0.01621036998654103,0.018757649214532705,0.011858911076243992,0.019127539717433983,0.01534972257401196,0.01694265157997371,0.00801376454719596,0.008585201460320891,0.01976578602782613,0.0144421840160041,0.01684087885066369,0.012856478387970773,0.009504979257802075,0.01025775343059315,0.016328936716611293,0.017632804567679485,0.0028671093375806827,0.004666819735909258,0.017059494117157094,0.012119351437108081,0.011829258007589969,0.0066304359427574976,0.011704956188103617,0.003935041901703412,0.007880622229203013,0.008545260967782322,0.004231764302635072,0.01754752124313119,0.009121356658714398,0.021887073637526178,0.02219603267207954,0.006640904545545893,0.007852167065372841,0.017035992670970616,0.02323407717786961,0.006493477546421907,0.005137777155338144,0.01895759148915137,0.018676954848961272,0.009235301848035535,0.010472713087793883,0.017559611156947926
hsa04810,0.011875664467522938,0.007495577114803746,0.011689843509478189,0.01183720662187656,0.01463702171786577,0.011438320742417645,0.008224409832532645,0.016546573378384694,0.012052442365084223,0.011259630941380796,0.010832805286296437,0.011038978537850859,0.009659701620221214,0.01999048802689493,0.007599417555270025,0.007391143956923454,0.013532461472861884,0.016487699889797723,0.016557736181499156,0.014663982383357265,0.011660063781324738,0.011172868439666288,0.013136051057589096,0.01226568987644937,0.011137115759371416,0.00404242126200476,0.01553140685450413,0.010166308572031635,0.007520169307640864,0.007016462805618639,0.007553561693406719,0.00745148608264813,0.0069333852837147325,0.007813264260329626,0.0057775455071508615,0.013837078233543739,0.007298662059478505,0.014715466956405243,0.011188082099344129,0.005945346767257086,0.008915773967148592,0.01381407472518222,0.015071194867677648,0.005864875901004622,0.005180871482630841,0.011815869291623041,0.012973248948258914,0.014176049837360743,0.009061974538449633,0.013467801117534877
hsa00510,0.015281499102811735,0.007564015785527684,0.006715194666060207,0.008856656364029374,0.0063172624912820104,0.0077886628611919485,0.006621722609506384,0.005111916353345159,0.006909379549942729,0.008909970277439783,0.0066617717955346715,0.006449340532138082,0.006048754809237932,0.006891364431350255,0.007792911265647382,0.007625160964412554,0.007657329641579283,0.007106858283568941,0.007086552090364581,0.007349878400477521,0.006258588760879155,0.006926156417568865,0.008272530871879737,0.007645560389125681,0.0021227926848489715,0.0038028297801958066,0.008839371040095613,0.008064891986725773,0.004749575278360941,0.007361366073018105,0.005977110462427625,0.003820591487805852,0.007135265296898932,0.00869524818026164,0.006317737847419655,0.00778319393670022,0.014553056177650396,0.01016444349401819,0.0065500932756710996,0.006137672237004147,0.00456880098422992,0.006454572335059828,0.00871642089582718,0.01592622582049641,0.009472774149007436,0.007580162374557123,0.013440614340953755,0.005237133752414235,0.00655134180796622,0.007678396990318661
hsa04024,0.01026295749511723,0.0060203577007241155,0.008637143842513899,0.009031823276824742,0.010426080663077097,0.00892707095276531,0.006068504025989254,0.00930444136890717,0.008946684796722382,0.007545598983902081,0.00812875662092233,0.007804450926675439,0.006977683716693439,0.01190552967263825,0.005855052068239128,0.00585232445397838,0.01046775732089464,0.011282189357294399,0.010959926451835248,0.012988645815372494,0.012866672360848926,0.00817005492280512,0.008847625974696034,0.009127909854564431,0.0400617795630548,0.0033477422595771696,0.010744542910848393,0.007462878665543015,0.00524631608735651,0.005673447597478802,0.006317891140881256,0.02365466424206679,0.004926286074226502,0.0062976194294559916,0.004183600905818608,0.010039379277026824,0.006398486693588357,0.009888229091449298,0.008239860751669813,0.004810568541512601,0.007707956835969184,0.011159343264330568,0.010970131112040114,0.0044197636940291425,0.004716683611758244,0.008597671707085277,0.010710386651704006,0.017947773132786653,0.007306694236300472,0.011300422032788545
hsa04915,0.01284782658814346,0.007145404038414056,0.012321006101999672,0.012533048752533223,0.015822180126383992,0.012051469060893164,0.007949330838811927,0.012959678218554484,0.012119261714504009,0.010962530492931052,0.009969776681806618,0.011644349170016785,0.009819605861897665,0.017242500091224383,0.007065968854230445,0.006964393111110325,0.0141880145162672,0.01374925711390025,0.013777525317452076,0.013214018196833554,0.012158696612625704,0.009731909349852037,0.012576977417120253,0.013496334075006108,0.015968123995504985,0.0040077999946782445,0.014549126043256694,0.009789706412681542,0.006912019785241682,0.006654651790959445,0.009105545521848193,0.009134670196963166,0.006350721192967377,0.008060049040043015,0.004443824530753617,0.012910822755173149,0.007529234379191987,0.01506494477296218,0.01190488733760884,0.005825689687057665,0.008136991273002997,0.01350034059404879,0.016874864435021213,0.005268961373206952,0.004782279521347602,0.012097800247617693,0.014011548424147561,0.01305456734814626,0.008883117853019758,0.015156870184726568
hsa00920,0.006380518051856777,0.004886956525508459,0.006322342355696985,0.006085603803570086,0.006935349953891731,0.00663691582912751,0.008839741168360121,0.0039610038240367185,0.006395052248404283,0.006865899275696376,0.0075800957429592785,0.008472870125482503,0.007399904942813973,0.00549584223024269,0.004967005199021446,0.008037959377492184,0.007673701814013633,0.006422099817139163,0.0062962536794459135,0.005529391680225871,0.004052286669174896,0.005200777917969412,0.00958888972943462,0.007551115116025308,0.003195089089241714,0.0038090862995077777,0.006220823272513465,0.008052141217353953,0.005618679981168534,0.004741077121603207,0.005093353968371967,0.0027913687018800725,0.0068711708486743,0.006547234520951597,0.00386098012424701,0.006026338871034518,0.006997669959146083,0.00877906526543071,0.007801683155342778,0.005861625263837335,0.004005234168747342,0.005789985925430844,0.0072460468247321965,0.005847907715849933,0.004519541797287373,0.008981168651145718,0.006843967052815422,0.0035244288904810843,0.004334172883683406,0.005104475661952839
hsa04260,0.010139116004069372,0.005227285924260885,0.0067365573345222534,0.008156867683755984,0.007742542176270189,0.00723812782380022,0.008165707940571535,0.005857317206078204,0.007660476048708328,0.007251466207884029,0.007196831229317666,0.00712760173431823,0.006316196619997707,0.008108811150741314,0.006110916594159857,0.008457443338530933,0.008006194620649434,0.008809706494253493,0.007474632183743603,0.007476481034956367,0.005102750290366955,0.005876466456367649,0.010203955367233928,0.009463332079687478,0.0025916923554918673,0.0031828659944542355,0.00892763015896064,0.009507635244619407,0.005390718471101363,0.004997152422620097,0.005212478409277246,0.003775331655545934,0.005934175384611527,0.006549482505488092,0.0036593712515360375,0.007160334981528762,0.007816236689797121,0.009854720752438515,0.007062674888102664,0.005536947195254813,0.007806200942122225,0.00642753544867716,0.00831403323098083,0.005473905324737197,0.004852691793369599,0.00788913187898663,0.009708451727922306,0.005970545559593464,0.0047970500046564035,0.008928737853359743
hsa04668,0.012714992694431219,0.006583560147852074,0.015074227007060495,0.012785692444352582,0.01619134710184602,0.012414170766177344,0.00790405411673903,0.012961800207152305,0.013329978064347964,0.012158705646500652,0.012153705674688079,0.012039087523574821,0.010737078732718333,0.017468521057734297,0.006808677898290029,0.0064522178837357015,0.01694037449661734,0.012921708784289413,0.01415262078500773,0.01239213267733524,0.01509692054911027,0.010943231183191657,0.012123446024105228,0.013576289020231601,0.006287624635856161,0.0036298489166446436,0.017711441285141502,0.009575479770900086,0.006977080852572634,0.006171670445138235,0.008674801612529261,0.00842861971883799,0.006202092145384516,0.0071964735538035665,0.004005290623325352,0.014508879511590451,0.0067317123177128195,0.01424705552782985,0.01297175909093664,0.005394650460697201,0.007424969266146254,0.015176588055742705,0.01720256808835486,0.005292669504059657,0.004720934807710892,0.01302904300402463,0.014406134996446333,0.010558639403680868,0.00901602886823815,0.01574210230877092
