,GO:0006163,GO:0050900,GO:0006289,GO:0006401,GO:0006633,GO:0006090,GO:0000165,GO:0006665,GO:0030036,GO:0008203,GO:0051180,GO:0034754,GO:0050853,GO:0016567,GO:0006790,GO:0019933,GO:0019722,GO:0006303,GO:0007623,GO:0048010,GO:0033209,GO:0090398,GO:0050909,GO:0007179,GO:0009267,GO:0046486,GO:2000479,GO:0006914,GO:0030520,GO:0000724,GO:0050658,GO:0006487,GO:0016042,GO:0051321,GO:0009062,GO:0050852,GO:0043648,GO:0030433,GO:0034976,GO:0006493,GO:0006897,GO:0006909,GO:0006915,GO:0050810,GO:0060048,GO:0007264,GO:0016055,GO:0042278,GO:0006650,GO:0006284
hsa04215,0.07432954754310492,0.045445944595254216,0.05311852769868158,0.03145857835928688,0.057742090464318684,0.09048160415589696,0.12762320082812983,0.04048866864716183,0.06039656068491612,0.05017341080634384,0.05422494923002234,0.057795340165268674,0.047735253325537366,0.10535379148020858,0.07265682486947384,0.025740524180881193,0.06993403047838598,0.060500393239914185,0.07329408960623346,0.10325299254874135,0.167507871683739,0.13354970082679132,0.023906594050124033,0.07049052011313098,0.10012423607698866,0.05325061892269583,0.11246518460623783,0.11811761114627914,0.053490250271701574,0.05068156634498685,0.038094107468982175,0.03152733198016626,0.0625692691677371,0.05635102532006001,0.06017514979283478,0.11510590861760345,0.0674152487871485,0.07708700916667588,0.08490901154672198,0.025533335602412475,0.04582353898568725,0.06269596722709792,0.11768357441243953,0.08110100542548636,0.04047635770953541,0.08317956181588865,0.038367111683546395,0.07490917810953165,0.05570793346471204,0.04644057549572315
hsa04210,0.05924655576830349,0.05605128837467733,0.05677540496988258,0.03907539907243937,0.05490632834955372,0.0715367531731199,0.1029585285749661,0.0477335111780859,0.06649720039691491,0.05248924908783007,0.05928026134673564,0.057328820594532766,0.0888650566182163,0.07719389293202183,0.0592715019678425,0.02422369578737252,0.06374782328011742,0.06454002767584044,0.06481224205622628,0.11237252432501149,0.11252987803562423,0.1023512648417394,0.023143995428245485,0.07349099004890819,0.07256596018434268,0.05664269610040648,0.08945714524999808,0.08888015322446133,0.06417971527924259,0.05741078635333877,0.03782311154382477,0.04250988334660454,0.05591341235827276,0.05836471959226563,0.04426699650069177,0.10016902788276937,0.053738749053910274,0.06865998879516151,0.07123310629256768,0.03948078151264916,0.05510359653970797,0.06871824739391141,0.08389637835779767,0.07217124442114,0.049912331066951025,0.08363413015598475,0.04748941327477195,0.06333309498988962,0.059137872179230284,0.0629312096664979
hsa04666,0.046625049164352415,0.07388423368978098,0.0242765208198602,0.025842758730763315,0.04953574735789249,0.054081459148236054,0.08888240036898275,0.03804399998184612,0.12639376316749484,0.05452890915614233,0.07003642119452196,0.05876442464495167,0.18658811242290085,0.04124918579609933,0.04613655074174456,0.02958963556512896,0.07460970842674974,0.02790512060174593,0.0348223647297284,0.17356737996972535,0.09636158061484054,0.06447671759260261,0.022639862214063184,0.0859103295993057,0.05387755898019781,0.06472785510436076,0.0757102951440307,0.05374156024201935,0.05607416489161343,0.03306303411106851,0.026636116466271,0.024650905697470804,0.047005359412662324,0.04441623660253302,0.031848142278189495,0.09904946935449682,0.03977358610060646,0.03161867749647937,0.04631714833297718,0.02811481015477147,0.09506947507887863,0.08636278793952519,0.06562167648185427,0.06325683238514249,0.05595390862233653,0.12495459341825009,0.06438668600945383,0.06178064773534599,0.06781884829174405,0.037195357695044326
hsa00561,0.07271750952230602,0.05560747058012994,0.023173559793637156,0.03525841417435534,0.08818193600764493,0.06974126053359894,0.04894075856904448,0.0963478694225661,0.0490173535485693,0.09174974755709266,0.09426788072932914,0.08013377056855679,0.06152329434881515,0.04439084910895457,0.07053869842500304,0.05682455256604904,0.06829561055485715,0.027609373970254914,0.04478713840636387,0.06034543512273865,0.04543735761736601,0.04930358445477011,0.038016714936357034,0.05437098041885745,0.055636861727236316,0.0901348891703573,0.05890219173963971,0.07521740543069708,0.03442158909275982,0.03493566385950004,0.03523364469811044,0.1071685330395484,0.08227236304137261,0.034085659748202816,0.08446782352081227,0.05682452715816962,0.07644845784255687,0.10727961870426646,0.08802537729765864,0.07080213913487983,0.06322147954206392,0.06492887887681086,0.05694218958254998,0.061394208181822535,0.05436200557697627,0.05114921714290398,0.06527425436478841,0.06829454902139279,0.09084656802867973,0.028959201935901017
hsa04068,0.05690688186416181,0.05855153766846294,0.06981966391959477,0.04579101258822889,0.05034264269239461,0.073836982918375,0.10291770027048933,0.03530579459343594,0.06994667874785467,0.04689936315399332,0.052912076440345554,0.0608274693240219,0.1086682172498905,0.07777161740899172,0.054978282219022734,0.03149861692334524,0.06906215089730591,0.08362429371384407,0.0799293376533714,0.12203354173122151,0.11075430534557557,0.10286903585995667,0.038324930792086175,0.08385749871287844,0.07443729282190238,0.0531999336455579,0.09008059681970475,0.07326699696253124,0.0944000518661555,0.06103797627002783,0.04434046254414252,0.027849635879285628,0.04883818072705433,0.059649459911989965,0.034515599403192536,0.07732181729448609,0.049708667535762516,0.037923379595732165,0.05631920594303984,0.03160543023709416,0.053310491398930376,0.06544911113421967,0.08826916578542213,0.07774597454774276,0.05234388911014163,0.10183897065662473,0.059691654804653854,0.05739315883092793,0.05593652516512186,0.07802563750597846
hsa04979,0.06093317600015783,0.07149558277425992,0.022595514075260142,0.02652921092887505,0.06674527001481342,0.051682496138804275,0.05508393714838522,0.09206034344589281,0.05121918876143835,0.08674605637600702,0.09542936606209065,0.07516676014396294,0.06046807661168342,0.0402827138891292,0.06420344761501905,0.04287930588479088,0.06231180356052708,0.02526819729140465,0.03809692151989229,0.08525209703152979,0.054154683900709245,0.04985936695364722,0.04124914399813207,0.06837046393492734,0.04799471806607445,0.07976060511413191,0.06006807144809559,0.06288405642754279,0.05046654741099783,0.02747132167116871,0.027671168235377262,0.1128865930216514,0.07051826085882647,0.030992551917203955,0.06507618155070258,0.05620776830646921,0.05272410391832724,0.11501462131566766,0.08984859638686749,0.09524325103780554,0.0735694699166658,0.0794007430744719,0.057328718262493916,0.07180220506563234,0.055880564172739525,0.04598077512904191,0.07387941119109664,0.05776790019044423,0.07885119023449029,0.02417384517769527
hsa04120,0.0514117392851875,0.03270856487980402,0.1141170399715764,0.06035392124786383,0.04384613707027848,0.06690982135197157,0.07690290748185011,0.03539582825300484,0.04797693306566008,0.0497572443504678,0.04357220826307962,0.06450557517004014,0.04213842052673923,0.16868464925975504,0.051994987244951406,0.01879409518939951,0.03789973737432695,0.11768128142852105,0.07208100463721048,0.05513453823559826,0.11650377726429101,0.08919193028150904,0.022221611887097956,0.0687549553080118,0.06943294287351912,0.04350094680722434,0.052716133238498275,0.08308132533388221,0.0763436933524145,0.08414314633769822,0.059174309211921856,0.029866420704101,0.04817745542546039,0.06658521389839449,0.046218187561291896,0.07445411542793495,0.059005964035651226,0.08862121680439208,0.08089649789460443,0.028646481151228642,0.03840963260031457,0.03818454477828623,0.0752706717880284,0.06724616775571725,0.04058614518068013,0.06908185891605716,0.04829546024381917,0.057179436347042124,0.044396459036986545,0.09638081909479643
hsa03420,0.04435373838696803,0.018252412519442363,0.2992671154118199,0.08739437974881331,0.03347510161225169,0.05994546279178539,0.0586360674881017,0.023024914383126625,0.03745683006287189,0.028028337776085592,0.023890125509834083,0.03664240538719365,0.034534556732150085,0.10475323086993073,0.05154489186913831,0.011631492540612583,0.022207093737925104,0.27120377422552294,0.09681239485927658,0.024714301570778717,0.057279751027670925,0.10013131289638513,0.013380219405882023,0.03258121110961327,0.055387313248864374,0.025690945769265335,0.03986007810604796,0.04100520239369841,0.0913704084028956,0.20832113578757397,0.08364467721625869,0.009565133948683005,0.029778610875737153,0.15869301371981476,0.022074409162021538,0.04536685496213203,0.050369954790176905,0.028824172595056458,0.03447936314164203,0.018642457235521912,0.017716973249297045,0.01754725667368405,0.05513611564501412,0.03941617482774531,0.02124613130686544,0.06038136759220464,0.027877120431156397,0.053438707465547935,0.02708059068182599,0.2825090380238085
hsa04218,0.05578709760241308,0.05149806747511176,0.11058961455097792,0.048373699526459375,0.049891541458663265,0.07206427086364517,0.10065612543618803,0.03818333015049441,0.06321841057772892,0.049366950664031954,0.052305459717265294,0.06524830388782205,0.0808039611842898,0.07725296586181037,0.05354267645319228,0.025547383404646885,0.054293330301370055,0.12235225041911263,0.09450586184342766,0.09405507041978735,0.08780279068660088,0.10427850965854531,0.03135481487218777,0.0819598146792452,0.06911263120728257,0.05078244927571003,0.08530353311078442,0.06322918049798121,0.09978732078835163,0.08655649823759279,0.04787173350347483,0.0397161476483831,0.04864929817545412,0.07368780383398092,0.037137069675750034,0.07012140056320645,0.04859012301793403,0.046345096865902026,0.06070836855263278,0.03643424036383664,0.04797943459114692,0.059755694380657955,0.08547782490812147,0.07115547971869308,0.05430429424428829,0.08073149414914063,0.0598422538442228,0.05656990701312018,0.05350519360983073,0.12696959564025462
hsa04977,0.058785959620092254,0.06542908123874787,0.02404809151095957,0.027084059887990283,0.08482180963793066,0.05456519516364424,0.05224167486615377,0.09985902170537583,0.05048035296135256,0.09323279720001879,0.10704461201455732,0.0764000289535536,0.07106562854925806,0.04548475916918786,0.06502265420381985,0.06113446415959263,0.07102661062675361,0.024325215181991225,0.042463751503648915,0.05935033379773061,0.04344432170877034,0.040496542420719706,0.04851244045445914,0.0544540788172708,0.04743025723737176,0.08847665882134062,0.061302263825065616,0.06425427848037102,0.04668462475836959,0.03970200576963113,0.02351421241423702,0.10928663283945718,0.07535525919978352,0.042472811992357924,0.06593984503416288,0.05497162106413128,0.05306401031490902,0.1004877665323868,0.07897861875966693,0.09377257568491199,0.07257568571224161,0.06715227444042118,0.05257539922271912,0.06627672982208245,0.05572892076234511,0.051832288696621716,0.07237342568336325,0.0573240160194643,0.08425917731785286,0.023716547974265836
