,GO:0034754,GO:0006914,GO:0000165,GO:0050810,GO:0009062,GO:0006650,GO:0033209,GO:2000479,GO:0007623,GO:0016567,GO:0006633,GO:0060048,GO:0000724,GO:0006897,GO:0051321,GO:0006665,GO:0006289,GO:0006790,GO:0006303,GO:0008203,GO:0050852,GO:0048010,GO:0006284,GO:0046486,GO:0007264,GO:0006090,GO:0050900,GO:0030433,GO:0006163,GO:0090398,GO:0043648,GO:0006401,GO:0006493,GO:0019722,GO:0050853,GO:0009267,GO:0050658,GO:0016042,GO:0050909,GO:0042278,GO:0030520,GO:0030036,GO:0007179,GO:0006487,GO:0051180,GO:0006909,GO:0019933,GO:0034976,GO:0016055,GO:0006915
hsa04010,0.058348377381654916,0.06679097109863345,0.12521422345012656,0.07655382025847837,0.03291996635912855,0.0640090730277149,0.12131662988753913,0.09632932036738906,0.05922208618838397,0.059961134165042874,0.05160094863048502,0.06321088003310618,0.03983843953794599,0.06853078057561857,0.044538577118953405,0.04517724162308423,0.03908468856244773,0.05213794931449549,0.044949030578432476,0.05164577253590938,0.0979999765660002,0.1607250296065759,0.04656559980952392,0.06092850969451384,0.10778354234287943,0.06344609929495959,0.06985478590893024,0.04318432107839767,0.052466712598913036,0.11174873095207906,0.043102321218738276,0.039266472662202116,0.03891843407225298,0.08072383460664306,0.13935529198617247,0.07662460020397735,0.03360072971831788,0.05177940706573842,0.02922717676478909,0.05536767454780787,0.07078330170596434,0.08310940899324734,0.09451003784913203,0.03639495408755175,0.06329653136181825,0.08412681667874994,0.03182545253180583,0.059654184213575545,0.06134282024064639,0.0876228722412325
hsa03018,0.03742206022978018,0.04220454745899646,0.052680079908402906,0.042255752519064035,0.044811346250990584,0.032928045570311856,0.04691699043462906,0.03560766481342459,0.07122765563289277,0.06385597718994451,0.036719265594940424,0.027445442959476648,0.07153783022149912,0.03683035821657107,0.06269150390635181,0.026408664309433696,0.08502684208098835,0.0558272468887465,0.09518158072555653,0.03924772740310096,0.03745016740308697,0.050044009135359425,0.10344229301134593,0.03285772390837938,0.04191962710180261,0.06936096249005233,0.030040956694283485,0.02439248942020635,0.056956578120839194,0.053553313903137896,0.07109408778053351,0.20799970192205072,0.03323097369533986,0.02479269078912429,0.03057803709567061,0.052562952986901806,0.145854039825139,0.04449290699875323,0.029891000551543638,0.058613386364356326,0.10252775240695819,0.04203389299176228,0.03713832557478186,0.03244354552312514,0.03372211817373348,0.031295661176061425,0.013609552498172705,0.044543126684295095,0.03303094328373468,0.05341711711278156
hsa04114,0.059469151153418685,0.05865087759205745,0.08672759602238703,0.052380417113650275,0.034037245002483014,0.05320556543172581,0.07430962262555113,0.10883695007343705,0.07649481713325597,0.08423179681992574,0.045035159053321804,0.05700295755249719,0.06428385371216853,0.048853033306068265,0.08245972944526916,0.036411253927214386,0.08395642299152813,0.047545446519821316,0.09356084779405043,0.03950110725168222,0.05644700670193209,0.07359788334967945,0.08649987402963721,0.0508314470018601,0.09068072239203398,0.054933845445094005,0.04086232782476349,0.041443307910174504,0.049273748835114914,0.10651273883566802,0.042918386924925736,0.04872551169510862,0.02530677069152056,0.06479650076234511,0.05571452498130473,0.06976367052875687,0.05349555381076023,0.04585546319425209,0.043496584931460684,0.05357318790862377,0.06306474570160005,0.06279641665359983,0.06475949584994632,0.03229366068454531,0.047492339176616556,0.045237415152303416,0.038407493646755206,0.052533814540491275,0.07022911856649373,0.07407426932972101
hsa04260,0.06646132210950523,0.057649768899723765,0.03754625514992124,0.04768699217069269,0.09213831668221503,0.06990262277054098,0.046667244420445474,0.0703063810438954,0.04468332479378389,0.03459900402157576,0.07205938588772956,0.09965311407192186,0.03226356350352407,0.05118391971353916,0.042364522975812224,0.07887706649561775,0.02223256699857872,0.06614775339409816,0.028699988528414856,0.07223939182741808,0.053332009244846094,0.06589026332320833,0.02731384809459345,0.06790223283480128,0.04506671324052133,0.06560624300022125,0.048109195157422166,0.07339578339501085,0.09466335603875298,0.04858351594701672,0.07008671034136904,0.028605522498073015,0.06605406578216924,0.06334472423231051,0.047372040880512244,0.04315197063862987,0.03289631488131884,0.07234290450016209,0.039700379946403505,0.05955147022098736,0.027139821233392782,0.056590601591237896,0.040008408875714364,0.08962625852575098,0.06475349243035625,0.05091345882026487,0.0423733577826633,0.0642648582071938,0.03770470417881393,0.058181397281005284
hsa04977,0.07788798005759158,0.06425427848037102,0.05224167486615377,0.06627672982208245,0.06593984503416289,0.08583638289733028,0.04344432170877034,0.061302263825065616,0.0424637515036489,0.045484759169187844,0.08482180963793066,0.05572892076234511,0.03970200576963113,0.07378208723902438,0.04247281199235792,0.09985902170537583,0.02404809151095957,0.06527144023772022,0.024325215181991225,0.10087654213526048,0.05497162106413128,0.05935033379773061,0.023716547974265832,0.0899530237635705,0.051832288696621716,0.05456519516364424,0.06542908123874787,0.1004877665323868,0.058785959620092254,0.040496542420719706,0.053064010314909024,0.027084059887990283,0.09377257568491199,0.07102661062675361,0.07106562854925808,0.04743025723737176,0.023514212414237016,0.0762482033145208,0.04851244045445914,0.05732401601946429,0.04668462475836959,0.05048035296135256,0.0544540788172708,0.10928663283945717,0.12104453223602926,0.07018127402182787,0.06113446415959263,0.07897861875966693,0.07237342568336325,0.05257539922271912
hsa00230,0.0790925955550698,0.0794547860934974,0.06254845621857054,0.059973598906371134,0.07900981409790997,0.07092440710465268,0.06107565815182522,0.0702464251814223,0.06282724157758464,0.05835530194309901,0.07012343989334813,0.06217060819606564,0.05538755082033994,0.06291551525493448,0.052713372219666446,0.062123087657990655,0.05309187380822759,0.08994722422053968,0.06662636311488289,0.07174243423133304,0.05888287897616527,0.07395105881856663,0.06350105369899742,0.07053236413143645,0.06148937881740839,0.11308580588143735,0.058379191100729644,0.0720345840393891,0.0919574831327722,0.058570477226783935,0.10871083573190267,0.06006804166267099,0.06564203981918966,0.06697506720692742,0.050939403881169264,0.07011688836355197,0.05680213412122282,0.07639991742541098,0.049313743266640606,0.0931919375621816,0.05496665813217421,0.06255026519063046,0.05642300237393254,0.06956844893464634,0.06985273384477335,0.06323347040224912,0.055061207136602966,0.07338049804652573,0.05526055877347676,0.0657458015992162
hsa04742,0.060471608352476544,0.03921622876642114,0.05704969372930309,0.048609044367563116,0.03620479025382869,0.06642275246072514,0.03818187957903839,0.07237359036964491,0.023639645718773604,0.030139365785698157,0.06378710927414247,0.0753493617522217,0.017028209948803583,0.07815019849543507,0.021996913399423116,0.06695838548481448,0.010640899337084925,0.040032947584576165,0.017601635252541513,0.04892633410439846,0.045690381704210956,0.05180449627968687,0.014018651715379003,0.06497133789304559,0.04694804336411053,0.02444896910132795,0.13254488656789382,0.062119562626815124,0.046606150295388414,0.03279625945417074,0.02648401504718219,0.020701117194072388,0.06662158555462794,0.152665386557108,0.036140598120763395,0.0317695647110479,0.016069751871411974,0.04626185219861138,0.2565039954092119,0.07085854462274326,0.017107153420851905,0.044896772438751044,0.04387857523247287,0.07944838111864326,0.06462406128269095,0.06077090101669438,0.18478829715920914,0.05383815528770847,0.057814140345615266,0.038310071966124404
hsa04068,0.0608274693240219,0.07326699696253124,0.12178816176638353,0.07774597454774276,0.034515599403192536,0.056896695930690355,0.11924606603296468,0.10176197210391538,0.0840642691449453,0.07911262854848261,0.05034264269239461,0.05234388911014163,0.06103797627002783,0.054307537626526195,0.05964945991198996,0.035305794593435934,0.07411414183398103,0.05497828221902272,0.08362429371384407,0.04689936315399332,0.07732181729448609,0.13182100120435905,0.07802563750597846,0.05399583101033486,0.10604873492151538,0.073836982918375,0.05855153766846294,0.037923379595732165,0.05712479422117643,0.13148705808671093,0.05115842102194023,0.04727043865978482,0.03160543023709417,0.07504099170882379,0.10866821724989052,0.08771970324518347,0.04434046254414253,0.04883818072705433,0.038324930792086175,0.05739315883092793,0.0944000518661555,0.07186000300639749,0.09473800160188602,0.027849635879285628,0.05291207644034555,0.06544911113421967,0.03149861692334524,0.05823483864870612,0.06330652122911312,0.09248070990815233
hsa04024,0.061891653582162934,0.050549711154967356,0.07520075566400737,0.06069621726181941,0.03835500821434228,0.06632420433327198,0.06100966688862208,0.08934471357325478,0.04309932075964266,0.03808651241847649,0.0654653996340278,0.07404992953916649,0.026009571540713965,0.07687400799976699,0.031424606732275165,0.059625056451392704,0.023210319222897614,0.0433847647251982,0.03105468671212823,0.05388159123875547,0.05878168088485013,0.08284172154120079,0.029253399629275974,0.06460667345333676,0.07507465741911645,0.04299865293307913,0.0898170525925015,0.05932609228508262,0.05264745117598444,0.06339878682457198,0.037656829675479175,0.024683845284060802,0.04283264803460128,0.11635350722718019,0.07285801023198094,0.051865079851575804,0.023847637584102008,0.05091036193826413,0.12613237353091405,0.0635716734554608,0.043602634185497174,0.06831279529220355,0.06494327477785443,0.05808273282125239,0.06297357555770332,0.06696843596738392,0.15343502717479338,0.06005678575751,0.05775855320099372,0.057300557261655706
hsa00600,0.0766894849962527,0.06946370429195545,0.04678902701801837,0.06238875785939037,0.07265169636876685,0.07932709067402159,0.041635388831201985,0.052247873038305664,0.033998121448486775,0.03820528460445328,0.08562859440758826,0.0582799035568824,0.033817272669037564,0.06197556664702195,0.03764267674509458,0.12117368011985653,0.029280560279053028,0.06128140247526928,0.02872228714547586,0.09240399427681381,0.05200425380680858,0.0533279038099673,0.033340365231783714,0.08122183045260711,0.046521516492164225,0.04577645337834894,0.06515681975353135,0.12446550753209848,0.061853411715448677,0.03798670346653135,0.05140111496051044,0.030061393532547973,0.09073657991338939,0.07071948959005134,0.05556928334123507,0.04813747963329123,0.03314621619373965,0.07702983261859711,0.054901429331200007,0.05646408137295502,0.03329434874276866,0.045976607236832466,0.055203386471954996,0.13067615886458778,0.09540672609629529,0.06394590726744918,0.06841304278525995,0.09660847788355591,0.05884355101984872,0.05305239056000199
hsa04120,0.06450557517004016,0.08689649790873147,0.07690290748185011,0.06724616775571725,0.046218187561291896,0.04439645903698654,0.11650377726429101,0.052716133238498275,0.07800361419231512,0.18686964360421662,0.04384613707027848,0.04058614518068013,0.09027391496661906,0.03961657843736138,0.06658521389839449,0.03539582825300484,0.11542864057118304,0.051994987244951406,0.11852928678607852,0.0497572443504678,0.09058047444652609,0.05513453823559826,0.09995492574478254,0.04350094680722434,0.06908185891605716,0.06690982135197157,0.03270856487980402,0.09778381695127664,0.0514117392851875,0.0934305336899223,0.059005964035651226,0.06035392124786384,0.028646481151228642,0.03789973737432696,0.042138420526739225,0.06943294287351912,0.059174309211921856,0.04817745542546039,0.022221611887097956,0.057179436347042124,0.0763436933524145,0.04871131472923469,0.0687549553080118,0.031212728138579317,0.04357220826307962,0.03818454477828623,0.01879409518939951,0.08635194351244965,0.04829546024381917,0.07647718962225585
hsa04923,0.06272491384121347,0.04946425273538055,0.07637996590761746,0.06805612916379497,0.031063501294605268,0.07427294681214437,0.05872740022757665,0.1025676295339756,0.031802125624111964,0.03667823304303959,0.06439143430904647,0.06626289135161108,0.020288105455286625,0.07888230083720756,0.02612464488375871,0.05977764744179927,0.01913453759910153,0.038255605250785286,0.02191517266575893,0.04868926893410976,0.06756900605037151,0.1044699871876228,0.024457198327983244,0.0722413596521823,0.0733294068426088,0.03592557362848402,0.09948069546575215,0.061377198309046935,0.05384141290704793,0.054794095714931386,0.03519057378350796,0.02289674476064251,0.03894176408553957,0.12185862267612842,0.09824075685159862,0.05071574758771076,0.013645606819806996,0.05117432348032124,0.14292339094382142,0.06380086897188911,0.03157560162987251,0.06246045052038479,0.06326166627730652,0.059844676940039525,0.05866049020378893,0.06796032788071488,0.17073674454016724,0.05792186639148531,0.05624114381865231,0.05175586469768993
hsa03013,0.04214630310385122,0.058781145203924974,0.048257147196282844,0.04672082126701694,0.03938217171993579,0.03741227348978037,0.04990173917418784,0.042661768556043055,0.07243068157412315,0.06303541738043811,0.0374515619999306,0.029082409899804047,0.056605342881660664,0.03647084132897899,0.06281502572488247,0.031696982505827254,0.06157558337708679,0.05133045990413655,0.0774649180476649,0.041855338784739154,0.05641102401454563,0.04474463100759987,0.06923032626749284,0.03550525977443072,0.04351139727242312,0.05994488405233756,0.03177822967114996,0.044795212681543684,0.05215724969969618,0.05384139053382661,0.05348169740232773,0.15272082185888064,0.031120259236403998,0.030202994286346995,0.024338046790299803,0.060598482390026784,0.14389549234645957,0.03905724553088631,0.021892760185388053,0.058734016940712626,0.09941603831506368,0.04406950357594418,0.03657629956866517,0.043589383346151124,0.03225682923995817,0.02736415731952976,0.009378786367424449,0.05826095266116718,0.03107598871058981,0.05644623875220654
hsa00630,0.0671599567184746,0.06370932167088389,0.04152629326936405,0.044190157183646814,0.124836767351708,0.05153529704669384,0.049700830113491655,0.03380907857234652,0.06636308673251815,0.051065004620246,0.0729245286426334,0.04093253879190121,0.04396913249299859,0.03389715294149783,0.04322523193553847,0.03951491580891181,0.037918237713742545,0.1080431021039316,0.05256936710474619,0.053916838925584014,0.041288584434952424,0.048547376569984424,0.0568517871317306,0.05185876313506837,0.035718921328012944,0.15010725956706678,0.03309073379295913,0.034890230451723,0.1207816463268027,0.048300979130656896,0.165314102222719,0.06642443269653646,0.0328024986317255,0.03838946300896152,0.02734606564574217,0.06447141891824018,0.05664291874104858,0.08299841152998592,0.025518159279892927,0.0995188357708392,0.06156843993300548,0.04061234437558993,0.040278823141945565,0.029262631659296944,0.0418795889658273,0.03899683169975988,0.026190286003885406,0.048184202712142375,0.025285848805542677,0.05884816379298782
hsa04370,0.06368205041761037,0.05965539925812809,0.12800208761506157,0.07239574164490262,0.027673473325227613,0.07314224221455583,0.11364787450830344,0.10413945259698142,0.05810846561895275,0.05119069173479239,0.05559282206031867,0.06379928731352963,0.03661715555220981,0.07582283828205372,0.04026310432063413,0.03818041185054318,0.038008535400492184,0.048748847243794614,0.0432202919488104,0.04783811670143872,0.09859919006471315,0.18526437301911852,0.04687456143162447,0.06813321467953828,0.13388717690278423,0.05974282707550759,0.0721547967421628,0.026548996888688677,0.05144121274292678,0.12152433525776288,0.04427233489240302,0.025142844690031106,0.020854793606959972,0.09324205168276622,0.17672569775013128,0.07340215820257838,0.02700049663290964,0.051573867689086506,0.027027011776020883,0.05715457912353414,0.06879040264465075,0.10553977053166103,0.09639022821343426,0.023371729651505115,0.06164228806368285,0.08619368044810527,0.03305143434714042,0.05094630937449749,0.06935109909100133,0.08791296601765558
hsa00513,0.07111560728609473,0.06695707227365792,0.0469102672286333,0.06721577823743494,0.06315138821653968,0.07846818536846936,0.03585626442191657,0.03315697185851762,0.02702768954616341,0.03597620994355489,0.07373987316224095,0.05679462933058587,0.02747968689457072,0.059468931346162615,0.029960511583575447,0.12628780362746855,0.02429592609235323,0.08116969597184995,0.02400725158494957,0.08201209072435517,0.05945131658750763,0.058874499860940135,0.03540788134124351,0.07900190161415556,0.03694922924774635,0.05360281375672672,0.06919650255040703,0.1481775128341323,0.06159180958852388,0.02797021589606871,0.05007044852469409,0.04173403364776082,0.1859704051569341,0.062340029845665175,0.04396331968107349,0.04336264242844181,0.032480027551333855,0.07027356595484807,0.05115773180131612,0.055179098604498565,0.03996754090995659,0.03549039378743073,0.06610585691568194,0.20085453196182643,0.10131213638765883,0.07129886689366917,0.06141447118304789,0.11449359383974676,0.07001455241988455,0.04765690455450738
hsa04668,0.05136668436275319,0.07657520089281607,0.13204396440960176,0.08533176196301508,0.03329099141042867,0.05364576102318609,0.1625694276779317,0.0826175626723723,0.06643688497951318,0.08294547861947282,0.050230979104338394,0.04633040926231004,0.042019928821941964,0.05521418534949643,0.04034284104449082,0.04163720026668665,0.04457531324537528,0.04736237401261357,0.048934011050723945,0.04396798224441065,0.10395351866321798,0.12093169479662591,0.04913281448769832,0.050920357640714425,0.08444700880475674,0.060313308894276496,0.08013320470609724,0.05366734807400859,0.04785055579902038,0.11709511972905785,0.04154512381988888,0.0389420673618122,0.03264944320090102,0.08335127932189015,0.1077622498711617,0.07794008854424794,0.027048994227463673,0.045428468126259704,0.06365401942409735,0.055882078352373535,0.07564775268834015,0.06139465288553264,0.087030764869016,0.030527615409664078,0.05572073563724102,0.07850720334834152,0.04805937393112658,0.07221288047147302,0.04880239059818846,0.09906884806707275
hsa04310,0.05623059812467519,0.05140882913355277,0.07692270785148171,0.07472297308986521,0.029815836784709678,0.05792703045088247,0.07454581387376634,0.0864536336363957,0.08605741322046673,0.07041161293423853,0.041918029690836994,0.05291741460396524,0.054545214070488436,0.05563245455790776,0.0646302397003843,0.04373358400290713,0.06304440019907778,0.046793608915965894,0.06853339682792978,0.049400484653653695,0.051750981358394454,0.06969837857146946,0.06488216804252571,0.056545311130722926,0.07224866885134856,0.05008626610463056,0.045053367155908255,0.04024404726272025,0.04308500390061691,0.09539483189298952,0.04052592940728354,0.035497952327740126,0.04363370554228544,0.05629847804053516,0.048511059738502386,0.06134863630653897,0.03569530606808196,0.04752621436318244,0.02862538479398179,0.04244391564605718,0.07900980237758223,0.05799979163014617,0.08445657370446465,0.04229137229849882,0.06170272518329149,0.054851330338562515,0.03690559524359081,0.04931235784006732,0.1369504120664023,0.06605367763975659
hsa00140,0.11226773914074238,0.06867323778552344,0.06345065625518731,0.07490115329898953,0.07556434439099237,0.07674852927048241,0.06578188553384855,0.06550967486155834,0.05489200820544178,0.058449125218737435,0.08315152612752719,0.06467039290240693,0.053728832375657315,0.05793927340010275,0.0510468948880878,0.09331152843345113,0.04635726981896849,0.08350303529556902,0.053409844732017105,0.08870064066737902,0.06130948479858722,0.06525371978035291,0.0487892619186514,0.07868266349253838,0.05963686839277578,0.07120090581917701,0.06524468263588569,0.10004120000679072,0.07562322777696846,0.06535431036114464,0.07577050265632065,0.04467614528590551,0.08426595118844879,0.07011083431661719,0.060948673756879575,0.0613488265466088,0.041209957084976274,0.08436579818761562,0.05646451751705268,0.07244887499610267,0.0646941358835977,0.05254679394282311,0.0658845707027902,0.10551754651550761,0.08560680351631234,0.06863650773651989,0.04999800241611323,0.08595520695615723,0.06173926227803045,0.06400426035440604
hsa04662,0.059051765743657836,0.06287236747805817,0.12277994271583324,0.08024918910030306,0.030832688026519468,0.06805164923751243,0.1286587766798385,0.07873358352551241,0.051651144781033546,0.0615636061118365,0.056773684060936136,0.05576300822171595,0.03965525849596059,0.07587993098200357,0.04105904144132315,0.04378132927645157,0.03975760537766612,0.048205433832897285,0.045042789060060165,0.0481012654273546,0.11834684406223792,0.16694453118646566,0.04676099342328969,0.06463162403353569,0.12162787982345599,0.05904410889424598,0.07491646169883796,0.040382812006706646,0.04733501288885354,0.10629058649821296,0.03873326722529647,0.02860151716085293,0.03533186063915182,0.08853768580531522,0.1944147680285655,0.0735060656127214,0.02442661588107471,0.0483180180250193,0.031030931528799745,0.052733934095854966,0.0753311679721926,0.09620633748864889,0.09052586973876395,0.03346261767473778,0.06582451142695624,0.09664775543798887,0.029545431804059483,0.05877688653014155,0.06113754464218731,0.0849799025616721
hsa03450,0.053069559075379705,0.057094905744071396,0.08003944912999263,0.05235961186369171,0.04168735170327133,0.03854993827304093,0.0857883357243996,0.060501487170358116,0.12963028252338651,0.11865079692365138,0.04031926081838349,0.030277813524452482,0.23097127589351316,0.033855325031825444,0.1677534321666623,0.019285335333787616,0.3004601230491727,0.07067061921708567,0.3236165240006839,0.04539904529550133,0.06168136866091983,0.044532909296664584,0.33478385839183933,0.038056689462857146,0.07968260989604509,0.09167792448118939,0.031001917781517938,0.02587451020233047,0.06277346289667216,0.15144780475933883,0.06989694732003647,0.10148116673337855,0.02528359996608649,0.03706178381359941,0.04146791262245667,0.08210870330275286,0.1083127765611063,0.043112567029814156,0.03077101583159667,0.08405784959931069,0.11248249633887952,0.045530184162478934,0.0446711969392541,0.012137808069644873,0.03009313470426195,0.03169180633242302,0.012747987276857017,0.04401666323296336,0.03203938606219955,0.082519346296213
hsa00620,0.07657002410243292,0.08619828947326504,0.062269003234561075,0.057212850814290235,0.1259514717817904,0.056499347877069846,0.0639606793082951,0.044330381740997384,0.07400268238149828,0.055324005108499455,0.07719176376881336,0.048138423207886784,0.046484953133618695,0.043127953594828114,0.04281255028872414,0.04526522552306884,0.04480287896966628,0.11661038551722029,0.05840050016927029,0.06737944732908067,0.05443575152199377,0.07557219446354665,0.05937697352625938,0.05702331581143795,0.04675495642806265,0.17592110066251265,0.04170948186747385,0.049412576871010215,0.1316051230478132,0.05773825889014743,0.18121935613462553,0.07019341768464643,0.04421075991591146,0.051251194255971425,0.04348863144344029,0.07403433502626423,0.06804740619191108,0.08984723799944531,0.023337993917302423,0.11312531196558967,0.06807626215897625,0.05086226739225964,0.04926814425101735,0.04597645735145204,0.04784911842350321,0.050388949678289746,0.021945778917180296,0.06373779452645317,0.03802726248664172,0.07128719030182376
hsa04913,0.0744295040984931,0.052564827615473694,0.06447447120913713,0.06962500977391622,0.05720935427045206,0.07497086368630695,0.050834482702259376,0.0896663801698683,0.03916125621076407,0.03468477982286444,0.07210688684043408,0.060043515285644104,0.033768540417896516,0.06816569752617795,0.032943547453747196,0.06700409345597415,0.02870860752831943,0.056192473167031624,0.030728124489639585,0.06265852809836932,0.04978018524914364,0.08038245591980431,0.03524271013457013,0.07537572956928786,0.05987096085840034,0.053340019488914675,0.07534690317641315,0.06946680735898864,0.065505723496719,0.05466868370680028,0.05758973852256407,0.031923277427051866,0.049603819625242435,0.0928073316238233,0.06420419052549672,0.049524935629140704,0.02712076330649582,0.06649252210172493,0.08819347055771515,0.06393057101852656,0.03910427248676996,0.04961307722457992,0.06422228548709538,0.07343931728422287,0.06643799823054411,0.06451371435081527,0.13277878931046264,0.06186036160498472,0.06081211766390219,0.05279514301950389
hsa00512,0.04422405115440726,0.03526271693942305,0.034170221600814336,0.0503347613737223,0.039831248348245085,0.05852236727056471,0.04053803934638825,0.036706024478088316,0.024651814720829963,0.021029836038840292,0.05493740861421997,0.04783229381130752,0.024850262542091238,0.04597282068788944,0.02150097612064952,0.08855132832443396,0.01691711290736619,0.07111215238847654,0.020501786298211797,0.05236369401200212,0.035918240185875326,0.04338156316639334,0.029600314926363638,0.05937100777885658,0.03430478320448039,0.04651602309687555,0.0692883210377448,0.06957511169293852,0.03733155991676456,0.020919493591120785,0.02907244927825508,0.022913550320255757,0.24993963890710277,0.05005559585844454,0.03918698473565548,0.023170233206049606,0.01805145688545302,0.045362065675946285,0.05504521942589914,0.036510513350035134,0.04152860864833512,0.030345150487678493,0.05221254836551749,0.14603265448328343,0.09111985897781774,0.06379416493683275,0.030686251381248152,0.05583681597911844,0.03942669218516106,0.03455489817995569
hsa03410,0.047829616274626965,0.04127554473277166,0.066251476375484,0.04885499824295049,0.03041740436150079,0.037676436354201,0.06847023962106558,0.0453673832805332,0.1104269995802333,0.09647721057668103,0.03744928904916974,0.02455699150532844,0.21770036513477248,0.027415229767122098,0.16459354635069467,0.032016650912259845,0.2776406875277098,0.06023819858258057,0.2767683679848327,0.03831497956284081,0.04930687013373563,0.03342177043039538,0.3183766237011194,0.037025246736247804,0.07180313173697371,0.06257612771936383,0.027806744119233257,0.026343785531180552,0.05220958667632702,0.12280644797003863,0.058941685476258165,0.09307106530801108,0.028772597629143925,0.029648337649855517,0.03859861042653886,0.06649080130192321,0.0908971131927106,0.03941000399556605,0.02414002520537234,0.06530397614076922,0.08920557634798983,0.04169366243483866,0.03901430684391344,0.019466703893742998,0.02984654795988156,0.032036869124997924,0.02053438204366976,0.03753160752615491,0.030267441783407054,0.06794375826529608
hsa00514,0.04649964510621436,0.041746763256047204,0.041101900868270855,0.05578024165625732,0.04328574178144991,0.060482625433485544,0.03465051968760108,0.036790860290120346,0.024781841262906466,0.023726048637280873,0.05254422871016008,0.05227425949774039,0.024348760642706448,0.047283700349351615,0.028668961939181396,0.09654297030833925,0.016781943028333367,0.07200234821501557,0.01698730414248248,0.05748287780172533,0.04098941943869954,0.052006539002769435,0.02813636349657759,0.060578597765108294,0.033260614522008417,0.0484044745141472,0.06864887822207309,0.09604241267635417,0.04074049454580424,0.022352559146698203,0.03543782001095883,0.027587012027921173,0.2273139224099674,0.04801719345318099,0.03607483558513077,0.03012162345127115,0.02067026807136582,0.05246919320481233,0.05260973316136151,0.040069428264859853,0.04202878377892489,0.028357177096934142,0.05800524359390158,0.15140900706204943,0.08769739426894159,0.06549784968146734,0.03549374320529113,0.07374327288785743,0.05688481627805083,0.036772636810793
