,GO:0009267,GO:0019933,GO:0050658,GO:0006090,GO:0006790,GO:0006633,GO:0007179,GO:0046486,GO:0007264,GO:0030433,GO:0051321,GO:0050909,GO:0050852,GO:0000165,GO:0034976,GO:0009062,GO:0016055,GO:0042278,GO:0006665,GO:0007623,GO:0050810,GO:0006487,GO:2000479,GO:0043648,GO:0006897,GO:0006289,GO:0033209,GO:0060048,GO:0006284,GO:0006650,GO:0006401,GO:0050900,GO:0006915,GO:0006914,GO:0000724,GO:0006493,GO:0030036,GO:0006909,GO:0019722,GO:0006303,GO:0034754,GO:0030520,GO:0048010,GO:0016042,GO:0051180,GO:0050853,GO:0090398,GO:0006163,GO:0008203,GO:0016567
hsa04979,0.139199842397718,0.16886292250148316,0.12410990497598336,0.14216742645340105,0.14782336693890594,0.1605983215864063,0.1648309334540962,0.1592485519445449,0.134380069047599,0.19795679053137683,0.11120079345253459,0.1830353536179867,0.1520179628295158,0.14843150854066295,0.1780441731923829,0.1528113089340728,0.16828514896578609,0.14342225802455918,0.17179778167795443,0.1282943635848464,0.1503478170913343,0.19261344189855925,0.14606983168880533,0.13707009400343148,0.16863639745464504,0.11607849125445108,0.13884330340297316,0.15021916194312762,0.11675279492640192,0.15795143864994887,0.11270726974676239,0.1753365047657403,0.14343527330991923,0.155311800357688,0.1166118474049701,0.19135148556172624,0.1463761566408839,0.16487991829962054,0.17087245380940919,0.11202787806041949,0.14279313778393524,0.15191870981877034,0.16885336605370538,0.1514247093098055,0.1685687734662063,0.1546111501569096,0.13058775554931945,0.14234602149119974,0.15884811509647387,0.12873061650655637
hsa04662,0.1478626211075089,0.16330032267421518,0.12131277694280371,0.1394216847779971,0.13750824777379805,0.146391953281259,0.17385448537051906,0.15032756123293095,0.18033285328524046,0.14508344532714382,0.11424275882528503,0.1729904637403747,0.1812724667202412,0.18074596538804077,0.15256174525387603,0.12038697408484988,0.15991970056372976,0.14133463862953763,0.14088106111979762,0.13490122487281161,0.15593734603816325,0.13597283230119236,0.16214165970088165,0.12772850088479215,0.16671506763278238,0.12380435625446586,0.18754307869464498,0.1449741215449926,0.12993798328182557,0.15218065663375013,0.11583688126351457,0.17893422790680175,0.16127169412957362,0.1472922891603786,0.1228920155439367,0.15055017161577505,0.1732227940779193,0.17509923171205818,0.18634324191723056,0.12340262939171717,0.13520793905650186,0.1661814506918926,0.2009606799874164,0.13412175129257678,0.1517692738631695,0.2325055530913612,0.1547634798073459,0.13270789019417928,0.13963358353024732,0.14085297786192158
hsa00061,0.14395563931968614,0.15003880243863016,0.13766448436754414,0.15026778284024836,0.1527593480530078,0.1524475091959594,0.13397295987308236,0.1499450183909292,0.13149722560599272,0.1596324167757256,0.10867270237164821,0.16071042238798922,0.13258075947331416,0.13606853891244933,0.1513661310204999,0.1832824840938694,0.1324633852169591,0.1541827900991508,0.14413743902760032,0.14530507939658666,0.1344520251685766,0.15485986094066706,0.1351357840104565,0.16469662437777044,0.1389537548099217,0.112437124444118,0.12454506514831293,0.12360476706626346,0.12498560251021909,0.14771195655843528,0.12649084506760616,0.136491954376222,0.13739105061759677,0.14873573417951466,0.11966283692619781,0.15026319882984004,0.1316238804019432,0.12933007391830376,0.14799278750728534,0.11747879496688739,0.14477415207629957,0.15200920057120254,0.12802999997161302,0.15672192814668487,0.1476865630563328,0.12214198225890621,0.1327866551081871,0.16320373231295277,0.15446468571594027,0.12464096725150088
hsa04310,0.13159260097737027,0.16344515038404708,0.12924082481917448,0.13430524853555248,0.12915026409987726,0.12797392411032554,0.1683041398109209,0.13838837404359391,0.14837215735525985,0.14465019732364423,0.1344080893820416,0.16454828533760998,0.13688521876005644,0.15109150374326014,0.14343776756557594,0.11420314195227027,0.15488368424013743,0.1315573286642981,0.13567904321387178,0.1535177696104449,0.15061080598032425,0.143473669822757,0.1564061068782249,0.12487096863059721,0.1483159650602009,0.1337286565118084,0.14950930963238684,0.1408387424977122,0.13732241827189806,0.13850454627942393,0.1189272946807812,0.15403511316467564,0.14490388483399197,0.12939773625588066,0.13298211361425685,0.14943624416498189,0.14538608547388998,0.14764379507587166,0.1539959545607687,0.13109707737384657,0.12567302598600658,0.16501631508893144,0.14331326434788114,0.1268125445031546,0.14515001979050987,0.1365277737317726,0.15144159781193536,0.1255202147068305,0.12862964408455183,0.14287598393484274
hsa04742,0.15106987627132823,0.2910003613337086,0.1500869860119583,0.14395541014940857,0.1555412132655566,0.18520616240831556,0.17571331465792248,0.1812297097293676,0.16798925845015833,0.20031643333710095,0.1251123309171836,0.17461335859627972,0.16611383100663213,0.1726069845131051,0.1851902651923832,0.15975294068490167,0.19279830126327846,0.170975705096566,0.18988874827914315,0.14792158193784188,0.16265588139313958,0.19720359420081338,0.1792657146552284,0.14119019582630682,0.19175119754791528,0.1306360419811047,0.16250604700224497,0.18488534563012854,0.12820514991132606,0.18169963738601588,0.13075130358465523,0.2373019946866405,0.1602996854394956,0.16396286905001461,0.1326801061858915,0.18805350664411177,0.16705307332890176,0.1806834679830992,0.2530674604260882,0.1228557172594461,0.16435336353231844,0.14948281248269318,0.17625794458799893,0.1629289950523463,0.1803270847200366,0.1673161680401556,0.14964013985663588,0.1590068115514921,0.17029898390018647,0.1450129780373435
hsa04350,0.13476883883298216,0.16154399040933257,0.13564207479010898,0.1364418005246452,0.12841771933037494,0.1215930473457142,0.19577298435450013,0.13630126188729266,0.1462276249392374,0.141334873810725,0.11647419631637823,0.16639287887600215,0.14076053602814484,0.16208861437543529,0.14183237405197577,0.12369700505891804,0.1708773096108528,0.13301128751093524,0.14271235832359944,0.14822563398683836,0.15517292453352863,0.14857864035337096,0.1527323635398411,0.11685297211190096,0.14606249862289772,0.13002416964499217,0.16044447664528894,0.14097814544730963,0.13207181968510903,0.13647893479537185,0.12149429479648385,0.1647829082822014,0.1465477922570611,0.12994460906497046,0.12093834265980807,0.16031038992050656,0.14663751081188386,0.15804739966439368,0.15214837702693712,0.11846835677476948,0.13679360493207612,0.17818357643111762,0.16676602019834724,0.1302628520524967,0.13267051104744854,0.14043112531443694,0.15824426412187495,0.12172936498707043,0.13616739717163925,0.14216236655858613
hsa04140,0.16648614002604167,0.15813432779258518,0.13301197707484524,0.14611214784278598,0.13630658999969814,0.14875215831353292,0.15733358813600712,0.14587015166983844,0.1625914146437957,0.16169946450511177,0.12213750170474426,0.16077653089690797,0.1589271793228372,0.16433752670544738,0.1619237619847547,0.13564881430626777,0.14330857842712771,0.14244595785056055,0.14229806421756822,0.1420015706638135,0.1437892038777671,0.15333182201282003,0.1723180483725632,0.12815292595479555,0.15868167136444572,0.1282749980081564,0.17043161695670694,0.14132315592956937,0.1318478748064229,0.1469814819184222,0.12277014842901401,0.15499795927001428,0.1548688165520728,0.1769543997758628,0.12728872881304645,0.14846371915023096,0.1549518177582377,0.15185900186585716,0.16825930767254732,0.12168012545132195,0.13596922586151136,0.14386338838565987,0.17449250247420522,0.13718534932398196,0.14427938542733773,0.17056060290847036,0.14156531251129645,0.14279283037691973,0.1419983590902359,0.14215338814519216
hsa04068,0.15189926578779528,0.16091702765847082,0.135147030743519,0.14488943896675627,0.13278006463971975,0.1402120882866748,0.16877811123721714,0.14145923665900284,0.16970317289699433,0.14155644303565407,0.1283342419605808,0.1730552096764693,0.1549578387318188,0.17373726803400855,0.14948101020430768,0.12594288585973284,0.15175074104438388,0.1395755219600011,0.13073361119076624,0.15153715991821892,0.15107214314768677,0.13177738944145762,0.16114933306449972,0.1299360287118626,0.14913836264320654,0.13338634178042422,0.17240837673067996,0.14156337802741267,0.13567728171452545,0.1427595149060124,0.12507864517609132,0.16241275691719417,0.15873889162782692,0.1488413476595788,0.13424169262304775,0.13548066730433256,0.15442131050916166,0.15113752550074075,0.16771010515919202,0.1349652376455781,0.13927645906457872,0.16863112696226196,0.17734103320680178,0.13442501701932577,0.1393282355189711,0.17500672514307328,0.15636344868851218,0.13606456254508079,0.13533324392081866,0.15157224380100112
hsa04977,0.14082447861782427,0.17785207928308078,0.1172443387964123,0.14075971928330855,0.14686095530801477,0.1734977833041572,0.15034756841766783,0.16726834739942362,0.134933890184261,0.19406740390266417,0.11127631690521189,0.18648512865781208,0.14952540701424935,0.14134715770717626,0.17273490539212416,0.15363945052972167,0.1734672506428955,0.14050057058058665,0.1789207879461863,0.14226775493599708,0.1507530429968383,0.196709065117749,0.13537513421850178,0.14311157415443262,0.16248857227474975,0.11205320466953168,0.13653489799909907,0.14139588426179034,0.11724329065530964,0.16270263748955863,0.108833362767261,0.16913532481727056,0.1393669210325349,0.15171826467521507,0.12445802808457157,0.18738281269958026,0.13774371946870462,0.1511730880060361,0.17013560707615352,0.11140072027857804,0.14657500394966985,0.14758140673089204,0.1479656633448189,0.15510118163317485,0.17752078913333624,0.15598276842481526,0.12344308558691167,0.14560088476199085,0.16953318503165146,0.1324509747346961
hsa04215,0.16070070891049554,0.14024433945456746,0.13169948842190138,0.1476296030949875,0.14322859986462194,0.14490069571153613,0.15197471865818632,0.13511288894608325,0.1575588856087783,0.16934770976471658,0.12290317498629855,0.15369284741027112,0.17893849511232038,0.17977608669426437,0.1732284990571188,0.1380730538877038,0.13147245208652916,0.14552464431518217,0.13381943059838525,0.15123948430912038,0.14735985851920566,0.13793567440156743,0.17920695659255395,0.14019591571964798,0.1374157496494191,0.13033099457590652,0.1936192542647355,0.12792552007356087,0.1294764096382814,0.13701284568174674,0.11100447963231577,0.14605155332637004,0.17613145898570823,0.17576139042268477,0.13158916658904304,0.13244725029830304,0.14448924979176345,0.13892760637303309,0.16559472202060024,0.12926907369504181,0.1317291022035694,0.1460505322002476,0.1602436871141316,0.13734077701986352,0.12964697350892396,0.15381965705731837,0.18166448619360243,0.14459544383884354,0.13631184069154037,0.1684414498185889
