,GO:0006633,GO:0050658,GO:0034754,GO:0007264,GO:0016567,GO:0050909,GO:0006650,GO:0006897,GO:0034976,GO:0006665,GO:0007623,GO:0006493,GO:0006790,GO:0030433,GO:0009267,GO:0016042,GO:0051321,GO:2000479,GO:0030036,GO:0090398,GO:0019933,GO:0006303,GO:0006487,GO:0050900,GO:0016055,GO:0000724,GO:0006284,GO:0006401,GO:0042278,GO:0006289,GO:0050853,GO:0006090,GO:0019722,GO:0008203,GO:0043648,GO:0060048,GO:0006915,GO:0007179,GO:0046486,GO:0006914,GO:0000165,GO:0006909,GO:0048010,GO:0050852,GO:0030520,GO:0009062,GO:0033209,GO:0006163,GO:0050810,GO:0051180
hsa04660,0.7018771326178427,0.7271588270112813,0.6771543558299877,0.7197396709647111,0.7195386163784055,0.7005843233434151,0.6994270093716721,0.7151295071970579,0.7224804769912131,0.6947677076053466,0.7186462774880857,0.703137697363825,0.6965862233699314,0.7227019798206218,0.7121406542988497,0.694322349431146,0.7011776708362929,0.721767528440755,0.7207983504454227,0.719361500497853,0.7002872134735227,0.713840084506923,0.7022118335616566,0.7112309255107958,0.7025414043394537,0.7090092680944513,0.721561154272927,0.7186033123412492,0.707733992213436,0.7176827272173857,0.7279537684191457,0.7124455174764951,0.710789750797216,0.6974578786908082,0.7029097710822019,0.6974204766981598,0.715672324227627,0.7200572699421071,0.69820546215773,0.7179804720178891,0.7199132587018081,0.7082406521457165,0.7282901670378913,0.721604346132746,0.7291840921046053,0.7003150587383451,0.7213177465255076,0.7049190963760493,0.7007845493922172,0.6905812230378852
hsa04120,0.7061199120707606,0.7371117483402471,0.6836701472461648,0.7223512123830691,0.730568490721118,0.7037003483084906,0.7018595288576431,0.7167094461070173,0.7317176254915696,0.6995749279321353,0.7249760508672564,0.706498464412273,0.7005101306528508,0.7346429078045442,0.7194441930800858,0.7000556424891556,0.7122900515807132,0.7252936470445722,0.7217370047343503,0.7274247168590646,0.702571098673869,0.7241740201293777,0.707417703655723,0.7103670865763085,0.706312180017199,0.7176320117844731,0.7295323202344017,0.7284286432552692,0.7120986469589586,0.7310066619984003,0.7183871631666753,0.7179512380195083,0.712129863469948,0.703621576553239,0.7099165140429198,0.7022256823159374,0.7197383989929385,0.7258683822934986,0.7010087807481129,0.7250042134718169,0.7234602988385624,0.709223612672512,0.7259478473637468,0.724236475180247,0.7340681827428123,0.7076805655943668,0.7275970729037704,0.7104829347000019,0.7076155865444262,0.6931504567682084
hsa04068,0.7016937139318797,0.7301529387766419,0.6786184497962017,0.7182544525852791,0.7208223893570165,0.7021578853758975,0.6981658035690878,0.713067063421393,0.7241132455341632,0.694658274128034,0.7205300880762967,0.7017377786816114,0.6965175137535209,0.7236805372308717,0.7134786647654796,0.6955070030384878,0.7041903149477274,0.7174726477325662,0.7187209544328721,0.7190666748724425,0.7008335492729667,0.7164815159858601,0.7032203717759048,0.7093754390420831,0.7008166285330227,0.7115869314823842,0.723097099761959,0.7207671950406555,0.707736683117427,0.7187789762832794,0.7189874379917642,0.7135794478027861,0.7100720177158214,0.6983695616926288,0.7035285594850611,0.6982045758143183,0.7147968101795389,0.7215967809512631,0.6971932664335034,0.7200183116433195,0.7186161926863628,0.7064341808562711,0.7251815799179007,0.7220548248652912,0.7297408428825353,0.7022706280615627,0.721092037567712,0.7061016659610478,0.7033397661708565,0.6895282567378322
hsa00061,0.6882213776267011,0.7132103516013351,0.6650863592980685,0.6974224950015683,0.7004260236094175,0.6852280562228146,0.6843537892824899,0.6956479669992497,0.7075749031678081,0.6818248502536042,0.7042906340592956,0.6891031593177038,0.6847472981875593,0.7096492913080982,0.6971043269123552,0.6843872094944005,0.6850908477311223,0.701445591511123,0.6988001615879255,0.7028743978888713,0.6838547700783794,0.6972095690568066,0.6914622469062599,0.689296946775323,0.6839838283845253,0.6931579343254566,0.7046852125636017,0.7043313234113692,0.6945338587166692,0.7001260722219351,0.693718094372106,0.6983415398635153,0.6921485481410157,0.6863379918544794,0.694065782263793,0.6799291697577774,0.6957940372999059,0.7001950563747359,0.6840155201490722,0.7034203439413339,0.6986289346123031,0.6871869516847801,0.7013460453169907,0.7017641610214358,0.7099867506358982,0.6967443183537076,0.6980876978485303,0.6952905657902485,0.685189243785135,0.6764123087787045
hsa04024,0.6927229324656073,0.7167193161455533,0.6690091527435448,0.705716888842327,0.7057229428148908,0.707084663534111,0.6903363199283077,0.7059482906327806,0.7139084553176108,0.6888749599754493,0.7072598933444681,0.6937626276497012,0.6857272614125975,0.716030027819243,0.7005680575570721,0.6862261986541326,0.6906115544305409,0.7110534214035233,0.7073957155315957,0.7078248836985919,0.7083590221431003,0.7012579592913813,0.6968968357646111,0.7035469109088472,0.6935946420874243,0.6968382145287343,0.7084494846785444,0.7070433936098743,0.6968570519320755,0.7052705737340259,0.7055811376249405,0.7002615177880801,0.7085718305987714,0.6895965817094892,0.6928551556523753,0.6935636577737072,0.7017242719309201,0.7078019782221061,0.6894826315291517,0.7074329056347332,0.704695180604864,0.6971168373091323,0.7125482468562429,0.7096650706148043,0.7132282280002933,0.6936553532297812,0.705759357554902,0.6957409462869504,0.6895900956219825,0.6819868804690852
hsa04350,0.6846632004407489,0.7145907812512255,0.6655205677916474,0.7010915085250825,0.7046626080517528,0.687622711409882,0.6840576888299054,0.6986788781591449,0.7079980128913651,0.6836507496205436,0.7062377062044494,0.692833835333669,0.6823204420305785,0.708784680043619,0.6971530827209665,0.681362360129169,0.6879499860560784,0.706137657232365,0.7028738863494236,0.7090080889439366,0.6876799390357061,0.6988245108374284,0.6925301678196547,0.6955316609815151,0.6926768001561984,0.6948543593260488,0.7074253116206104,0.7049219649057581,0.6924311754311743,0.7043924323235254,0.6986415587945739,0.6980777262196295,0.6945504413508525,0.6850475155388096,0.6877137321560506,0.6846427775975882,0.6991885578194145,0.712665468632024,0.6832609016307988,0.7018856967881748,0.7029431763398695,0.6938187935920712,0.7102761605230179,0.704853537062383,0.7161733250029633,0.6879138872321563,0.7052500231336931,0.6895126443565526,0.6922968012958179,0.6754113406402976
hsa03410,0.6931458466373783,0.7259263546467236,0.6692283603685814,0.707232464134107,0.714700415144479,0.6902853655552732,0.6888504062963202,0.7023776163219528,0.7145840825021582,0.6872355424941592,0.7176730237029236,0.6953417131995178,0.6901160221005358,0.7157667856321526,0.7069601121406308,0.6877962236334717,0.7119152184154866,0.7111334301000647,0.7084828900776008,0.7183199156344373,0.6879178604708025,0.7291715757560193,0.6954047530137846,0.697225105839659,0.6929404925970722,0.7176809035797199,0.7435587238622279,0.7162758243069441,0.7013115340027334,0.7346632681040579,0.702403326247054,0.7074402296184827,0.6988539436294202,0.6893415959246629,0.6983036652170362,0.6895911930579838,0.7057072830001901,0.7093128387887668,0.6880330766488926,0.7104566844648461,0.7097682856216717,0.6935648181725889,0.7108110247568926,0.7120271744236101,0.7225418565909991,0.6965753628392216,0.7112376156959132,0.6995351651223615,0.6930694912144084,0.679206964029447
hsa03440,0.6980007248311845,0.7308818677475455,0.6737107389663952,0.7125204368131629,0.7191668215344267,0.6943851451282098,0.6929519951458987,0.7073096774584091,0.7197316192442356,0.6902307904676266,0.7215000683499743,0.6993266966062325,0.6937767998466162,0.7214071234473807,0.7117607882288367,0.6910177445878898,0.7209723574176395,0.7163925775806254,0.7130790709395429,0.7230814324647948,0.6928503117838425,0.7326457191300739,0.6992954048214425,0.7010942819428239,0.699374756573103,0.723988074617581,0.7373811340055111,0.7226717470925945,0.7056544151172301,0.7345495252369807,0.7081134678217429,0.7113146256883124,0.7023716047664459,0.692982116640094,0.7021308915587712,0.6929801160358787,0.7098433752965742,0.7138213554808152,0.6920155852484692,0.7148497708394969,0.7141739683866736,0.6991181479729242,0.7152399365004852,0.7175233667724288,0.7260870373894965,0.6992855704204115,0.7165125576885187,0.7038437357883413,0.6969051166760012,0.6838426261001936
hsa04913,0.6827863771624975,0.7047060445179338,0.6589390198652095,0.6926693367405811,0.6932638547888581,0.6896295826555418,0.6792699360305707,0.6926075010976609,0.7024879225922074,0.6779671087497213,0.6946351732097625,0.6832068310486074,0.6746771955171545,0.7051316792086899,0.6904444980078539,0.6764491101014405,0.6786418872541856,0.6998658401590165,0.6937186281622001,0.6971201467441331,0.693030843129907,0.6896676437987042,0.6874656480509513,0.6896499030740599,0.6834618761095476,0.6855615124043659,0.6968892615276739,0.6958376351253345,0.6862726911763841,0.6940838698061033,0.6914838460441997,0.6883619074265594,0.6932459390092395,0.6806660850863889,0.6838009419658604,0.6789986651131353,0.689974602555609,0.6975170398496637,0.6785919830311782,0.6954451059599875,0.6942940908739468,0.6837569070615901,0.6993663994737508,0.6963471580511909,0.7010391337353723,0.6839304848115753,0.6933808374894559,0.6839049535085038,0.6828989182069878,0.6696108849628019
hsa04010,0.6941308493383268,0.7209801114795734,0.6706909198491813,0.7098646559315513,0.7114329952755559,0.6940642940903282,0.691410164249027,0.7059871210106082,0.7159947893827912,0.6891698359601506,0.7117283701840438,0.6967774668517812,0.6896016042657149,0.7161506708136377,0.703606739496671,0.6877581844038193,0.6951634501551306,0.713332908622275,0.7110534644851467,0.7116717019731162,0.6934129875373196,0.707085383355658,0.6968176382653516,0.7020407437362688,0.6958763153543014,0.7023400811487832,0.7140715027673734,0.7121958694131764,0.7000653900326246,0.7097170251643533,0.7148325567429892,0.7051850786455252,0.704881224851439,0.6912793595464342,0.6957570046222431,0.692953175095168,0.7062687739414324,0.7135259797669582,0.6904307415558906,0.7103668355636976,0.7069422527719571,0.700076837335373,0.0,0.7140569090414812,0.720512919077418,0.6939951445223153,0.7094765884627589,0.6976528091601518,0.689975591082747,0.6832730927630827
