,GO:0030433,GO:0006650,GO:0016567,GO:0006914,GO:0033209,GO:0009267,GO:0043648,GO:0050853,GO:0006915,GO:0006401,GO:0042278,GO:0006303,GO:0000724,GO:0048010,GO:0008203,GO:0009062,GO:0090398,GO:0030036,GO:0007264,GO:0006897,GO:0050900,GO:0006909,GO:0006090,GO:0007623,GO:0050909,GO:0034754,GO:0050852,GO:0006163,GO:0051321,GO:0046486,GO:0050810,GO:0019933,GO:0006790,GO:0006633,GO:0051180,GO:0007179,GO:0006487,GO:0050658,GO:0006289,GO:0016042,GO:0060048,GO:0000165,GO:0030520,GO:0006493,GO:0006665,GO:0006284,GO:0034976,GO:0019722,GO:0016055,GO:2000479
hsa04913,0.17974800659950266,0.15804868240204856,0.13007444844534077,0.14849085309006232,0.1415397844191789,0.14427254462731184,0.1425844529632061,0.15272620278136517,0.14658410941932035,0.1263050533251603,0.14933714528368586,0.1195447559626478,0.1208677677936129,0.1618779249240551,0.1555125058653992,0.15242282152042505,0.14626474945419626,0.1475633491009959,0.14897464879136763,0.16470283213985876,0.17806862627621056,0.15450497724871565,0.13537645057955489,0.13376350142525545,0.21772828600022728,0.1516867429468326,0.14751018800419552,0.14024226873528897,0.11593746477164864,0.15855591540138222,0.14931426937809347,0.22956547052398174,0.1373246196505589,0.1602126465053606,0.15640466780161005,0.1615105866076809,0.1739339034370882,0.13723400508120662,0.12463440535834051,0.15060125514689765,0.1564657777246028,0.1536495957491159,0.14670374843835954,0.1594701627404616,0.16130809238406227,0.12725536067417942,0.1684980850363896,0.19287365521399807,0.16827559489444974,0.16869452047436634
hsa04666,0.14086611182752692,0.15059351703574447,0.13339778220060258,0.1465078665356491,0.17622879700081032,0.1461103339429459,0.1325520934136682,0.22944167400115917,0.15346200955152983,0.11988859229755863,0.1496560976827093,0.12343171430072103,0.12427014203479012,0.20767043494920423,0.14472265989608954,0.12723144555743318,0.14764461634523363,0.19073248036696308,0.18455603300119708,0.17715156577112137,0.17593325730096962,0.17150558174870761,0.13923101810438485,0.1285029406884225,0.17255848747783387,0.13914284192045515,0.17400986212278835,0.136632087251247,0.12139987359376397,0.1494811851862642,0.14416500051187922,0.16643937628535208,0.13328095324158523,0.14628629530278386,0.1514613062056134,0.17337749151585433,0.13111956162729374,0.12803080225718086,0.12055128399474555,0.13498645013563534,0.1498022708639871,0.1675173909929145,0.16006175812104537,0.14312836410321234,0.13892932571509423,0.13348035230551125,0.1502399720809929,0.17892167434664633,0.15368290040655547,0.1637446913715762
hsa04120,0.17701839627027505,0.1336705508601858,0.20088006519615373,0.1533783098602645,0.17112087067555393,0.14815499387754297,0.13628546341224038,0.14208237960264733,0.15385241852581355,0.1414877611797423,0.137344435599369,0.1631750959060063,0.14822010733560287,0.1448596420581044,0.13875792544137333,0.12866186687361247,0.15640500422495407,0.14149806669268558,0.1529856708222117,0.1401278253683,0.14121269933345443,0.13881296254676287,0.1384941135666501,0.15013451268937117,0.15690341313635195,0.14329300635526962,0.1500467802835564,0.13141810244667926,0.14827537478910593,0.13378109040418004,0.14919911061406674,0.1479866857394226,0.12796272370133593,0.13815777479863242,0.13296140107574905,0.16037022064382833,0.13313486747879744,0.14543557365074686,0.16894429423689072,0.1331841554897856,0.1368658703050286,0.1567453085777758,0.16274730967724502,0.13612930406492854,0.13258998611518752,0.15180176742242094,0.16637118321209612,0.14597170425562683,0.14494277978356984,0.14912322461315508
hsa04810,0.1473189296736434,0.15159886475712553,0.13454605043328308,0.14263581865439479,0.16327598098100307,0.13773869809893668,0.13137049570336543,0.19576030060102226,0.15232265108201923,0.12595208166548053,0.14982003128802623,0.12119597282050608,0.12548296240025938,0.20526883071004598,0.14625569919114828,0.12929722621243384,0.1481465866965225,0.18417780737135037,0.17609585008146922,0.17623631101440546,0.1861098860983074,0.1702183858648445,0.14359513270575963,0.13049891711902695,0.18476201399083436,0.1359714131188864,0.16493312160864854,0.13795959290444348,0.12076750461936868,0.15040106103466272,0.13781881092497963,0.18013946741967285,0.1368039474141236,0.1492482392979842,0.15200000259578322,0.1739409839668619,0.14439421896599064,0.1362199628695659,0.12090283945985192,0.13796281772066812,0.15830050691554975,0.16252943840028625,0.15719088652869243,0.15379718052820962,0.14393188301984064,0.12601021834614362,0.15047444487660355,0.18350959554473317,0.16169490679041337,0.15819465544245556
hsa00510,0.23512814026424542,0.17425137645864816,0.1291596435187809,0.17100715753791695,0.1366572139929244,0.14508580065058485,0.14628664166842192,0.15570433327545,0.14818097891800866,0.130610658418725,0.15024060845133927,0.11203834496330155,0.11968386673565434,0.14794880541781041,0.17823179877505516,0.16447896379496962,0.13080046911068596,0.1424350905483495,0.14299903739121547,0.16604992569004534,0.18151975944127302,0.16735523824982712,0.14320049230915188,0.12854729859544417,0.1996859274777342,0.15190481686540458,0.15975706483055355,0.15453653749363822,0.11384803236577767,0.17617368363385127,0.15574879011011095,0.19265654302121213,0.16512650419166944,0.18077458679372105,0.1946985191567051,0.16189831635943272,0.2430148149093145,0.1377882868795317,0.12126794654391548,0.1619329997957169,0.15330655570120869,0.14462088479426297,0.14483673253801443,0.25903709611652415,0.21053760987288503,0.12605503130206436,0.20635331516940542,0.17891026936889087,0.18245793225655238,0.13802275434965197
hsa04024,0.1800059083794599,0.1654052792224554,0.14065141592767083,0.15642650802164595,0.1626100031731383,0.14935658322533468,0.14007564080087415,0.17355386615347057,0.1566482108201757,0.12779115256139054,0.15437494713520292,0.12546163051250617,0.12576018359846358,0.1770353394391537,0.1576809593031581,0.14952103591523877,0.15227570452610034,0.1669056580684187,0.16791393506308383,0.18050367295910424,0.1967153313735663,0.16954867136515708,0.143243025170009,0.14441578423196416,0.2462706462300857,0.1509432581109879,0.1632697038254255,0.145087300910573,0.12579980581155875,0.16493210574487416,0.1506824094657093,0.2568121799384795,0.14239950981933544,0.16126467321073595,0.16292029557905044,0.16974375466959193,0.1699258178213727,0.1421995124039601,0.12742224939535102,0.15189612717561565,0.17641375402492726,0.1654819571022645,0.1537530857463608,0.16246133667351242,0.16736537528387938,0.13161595077802524,0.17227666192800123,0.21707296923713937,0.1715651241586608,0.17591097521031768
hsa04915,0.15979647611940795,0.1571803991318798,0.14457250626221751,0.15757763769570635,0.17229543100386152,0.15062084979282983,0.13216722117586774,0.18461915125139783,0.15554674294742185,0.12885339443265575,0.14486978077806342,0.13045129109448247,0.1336277251422113,0.18495933491436498,0.144945855847086,0.13736224548467774,0.15381803430264956,0.16667012010018645,0.16533023164291316,0.16917653634307214,0.18197103482356944,0.16521356497838616,0.14454274746450305,0.14666521203488433,0.20871457788425413,0.14615968841237031,0.1594471785902201,0.14086700733747845,0.12660898417553393,0.15562389884692526,0.15551176961609334,0.19754328406885047,0.1377216071707003,0.15809106180492627,0.15504348717526656,0.16402546789957057,0.1466465113819006,0.14586145729040847,0.132736375582775,0.14435170530137045,0.16320534601654332,0.16836807736519432,0.16036415652214686,0.14510363743396149,0.14816541635234018,0.133470528709173,0.16021108917399787,0.19295427269536541,0.15832496569617338,0.16957095736705508
hsa00920,0.1508187863252961,0.1304020185656328,0.11973240459086022,0.13616482555888262,0.12166763736535104,0.1312441826999984,0.17680557528674357,0.10044334821306013,0.13214283552399997,0.12300824061897919,0.1523757948973811,0.1268321811583235,0.14165031830751523,0.11529452280284777,0.13577723247014634,0.16915965507168207,0.13697406932783115,0.12512279075153904,0.11694049108964967,0.12686636497251894,0.13030433450523624,0.12791727152110335,0.1569859688372472,0.12687583025563404,0.14639880857981147,0.13812547584157442,0.12773817065728904,0.15491794331505598,0.13199247507234751,0.13347215500873744,0.13858833968590709,0.14927277740906603,0.15698867846296988,0.14059182560828315,0.12894672840942206,0.13562372279675566,0.1575348721884245,0.12909136821801587,0.13290850691999156,0.14859112104021016,0.11894045100313648,0.12325860146210904,0.14486725501852235,0.15679145822787327,0.14024075445364328,0.1407409052501142,0.1419865908976218,0.13238831115577734,0.11226534122008795,0.11834520190357996
hsa04260,0.16797656383349624,0.1491007943015903,0.12082552318632214,0.14602538676923654,0.13574746664885107,0.12928523598307778,0.14552534008362267,0.1456989626371187,0.1427108172443425,0.11654921440836177,0.1462905992191608,0.11973287861206629,0.11891504727885735,0.14860268171679425,0.15284248092436808,0.16506777207214102,0.13292965412521252,0.14944603217284289,0.13514189621707828,0.1490619436367192,0.14992586584465312,0.14670608319261738,0.15375052507641496,0.13600710128395452,0.17538853178354313,0.13625939800029882,0.14338568109881217,0.15847911066747258,0.12244863842740543,0.14930760799732926,0.1374692355694377,0.16410861123423032,0.1414939122968852,0.15567330414966882,0.1521199399895728,0.14479861039053255,0.18533692828999324,0.12980304375101856,0.12075500909245879,0.15011961361396794,0.1688396868337632,0.1301942675825876,0.13532081952648656,0.16825986625838799,0.16423352491422172,0.12714302447402248,0.15852112812883992,0.17063396736777783,0.14625454844255312,0.1653171390249216
hsa04668,0.1583744920070522,0.1482974332149278,0.15811465224213683,0.15444337030650457,0.18923503382267295,0.14859584704665416,0.1317446400602165,0.18987849986515695,0.1668645115079843,0.12981099038527893,0.14498130963621766,0.12880847835448433,0.13065202430633485,0.18217262516522928,0.14262621408216047,0.12486979244721819,0.17348415958892924,0.15685890426406043,0.16496985349744012,0.16150692118060592,0.18725849074178308,0.170872720764961,0.14134175757097298,0.14898127188473437,0.19659440713235193,0.14006590771214886,0.17628536965190741,0.13763802461845195,0.11775695261578996,0.14660856211078307,0.16019536194760872,0.1771749330012537,0.13894806419539665,0.1483184423027331,0.14337642490237437,0.17449678407003674,0.13705798017202572,0.1342697269934393,0.1263150582051502,0.13665464507062208,0.13948661650117852,0.18340118637714592,0.16977548169092954,0.15151439579965906,0.14524627230181367,0.12948618565492132,0.16390913523429534,0.18385399444507106,0.15366512042762562,0.16817946538872386
hsa00061,0.16148714085028734,0.14816814856792365,0.1255900945489505,0.15016116515707328,0.12441416547135209,0.14434284808419018,0.16493280139091887,0.12306292889109055,0.13780459806757078,0.12819650729079687,0.15528269806686654,0.11809350235220469,0.11998344238550357,0.12935474154998203,0.1552964505757301,0.18362699250882886,0.13346211370830652,0.1323297732315357,0.13194265348382364,0.14012376965582315,0.13785758352756786,0.13001268732405138,0.1495852234506583,0.14396819407734235,0.1612921892102734,0.14589294227458624,0.13382880173057315,0.16357484340454884,0.10977641912219757,0.15047994760705455,0.13531187603611156,0.15233010441627975,0.1530175760993699,0.15302137448021477,0.1478667431201066,0.1349870033949789,0.15636376148162204,0.13850128944717413,0.11248726162258263,0.1572021159347465,0.12400125826634871,0.13667235525568697,0.15289245261301965,0.15173402690226895,0.14540363194434602,0.12561245801516766,0.1529435706094793,0.1492483768597741,0.13276314418246998,0.1358856208897889
