,GO:0030433,GO:0006790,GO:0050900,GO:0043648,GO:0007179,GO:0006289,GO:0051321,GO:0006665,GO:0048010,GO:0006163,GO:0006915,GO:0046486,GO:0060048,GO:0006909,GO:0006284,GO:0016567,GO:0000165,GO:0006487,GO:0050909,GO:0030520,GO:0090398,GO:0007264,GO:0006090,GO:0000724,GO:0034976,GO:0006493,GO:0016055,GO:0006650,GO:0050852,GO:0006914,GO:0033209,GO:0016042,GO:2000479,GO:0019722,GO:0050658,GO:0008203,GO:0007623,GO:0009062,GO:0006401,GO:0034754,GO:0050810,GO:0019933,GO:0050853,GO:0009267,GO:0042278,GO:0006897,GO:0006303,GO:0051180,GO:0006633,GO:0030036
hsa04024,0.1800059083794599,0.14239950981933544,0.19864205659010842,0.14007564080087412,0.17419329547817597,0.12742224939535102,0.12579980581155875,0.16736537528387938,0.1770353394391537,0.15132372385204654,0.15886557796823375,0.164840214366482,0.17754357792315617,0.1695486713651571,0.13161595077802524,0.1406514159276708,0.16957204520022578,0.1699258178213727,0.24627064623008568,0.1537530857463608,0.15431321053867228,0.16993760498104987,0.143243025170009,0.12576018359846358,0.17433192055887034,0.16246133667351242,0.17177238713766546,0.16540527922245543,0.16544197237619712,0.15642650802164595,0.16529936653698193,0.15158031896981677,0.18445588142376096,0.21870790421972175,0.1421995124039601,0.1576809593031581,0.14441578423196416,0.14862073223970115,0.1277911525613905,0.1509432581109879,0.15999303758097255,0.2595777013235377,0.1738425849624287,0.15184979358766254,0.15997595657104208,0.18139354411413033,0.12546163051250617,0.16292029557905044,0.16775790263825482,0.1696442256250645
hsa03450,0.13078881330135275,0.13248836875165482,0.13213241301917858,0.13817131823874873,0.12624611004109365,0.25736235292664644,0.19695501190145134,0.10986277397569436,0.12544767741226634,0.13576033609472246,0.14609157045474705,0.11751457339473459,0.13211408439703268,0.12192981862457043,0.2661352570742761,0.1595083927175284,0.1478313680558753,0.10809112334208137,0.14570005325625443,0.17123902351575138,0.1781326074620451,0.13265282226036643,0.1623802032447118,0.21880970489912635,0.13370291376749027,0.12349692054156092,0.1221221324910227,0.11784770872680222,0.14077933296121606,0.13245180100439677,0.1589894755575234,0.12400714810618814,0.15083079892135046,0.1333737759681554,0.15717373968686907,0.12292840733121001,0.17208682218064966,0.13563267980692845,0.14580422482048377,0.13251068516792475,0.12721542517028414,0.12176009115878005,0.1214288734984414,0.14506076802170403,0.15039058216567056,0.12522734044121425,0.2907397272249281,0.11586358390035381,0.12769748898033992,0.12951831735052008
hsa04020,0.1771976536430813,0.14018625302525667,0.19442233449227536,0.1347363975410477,0.17094846296765648,0.1219847875872661,0.1195190745304401,0.16575610587840342,0.18959969800370027,0.14562527067695213,0.1529525943340484,0.1679222191439882,0.17493631117611588,0.16732960910962486,0.12613899489691197,0.1351597584576721,0.1675432909971307,0.1746020999277325,0.22628667965385948,0.14592955916406025,0.1485507909923217,0.1640895646682096,0.13695659577003594,0.12083236054059138,0.16728242914391453,0.1649322004722789,0.17184763195620995,0.1689798143754491,0.16539217676622822,0.15383992382711403,0.15885553335541003,0.14949728847503685,0.17541242749174207,0.21865226824180417,0.1338584653571618,0.15320705905440124,0.13229652695621041,0.14263439230442992,0.1227977863023115,0.14658756794530167,0.1568720167310029,0.23835198558802834,0.1824641978361826,0.14287399901530162,0.15029647350810818,0.1781298007880366,0.11945797103635249,0.16357824422967557,0.16524865924199378,0.1637238668115708
hsa04979,0.19863312266490848,0.14752544757014366,0.17580521603429217,0.13699616825732688,0.1650051876268133,0.11573529068368169,0.11193279522855519,0.17213637974646276,0.16937431996823424,0.14230851353559054,0.1439395043470087,0.1699723239792352,0.14992005919765347,0.17142297955706265,0.11694067230533817,0.129457991310242,0.14839845638120627,0.19308703386047982,0.18280306087734996,0.15238218609633192,0.13085263477195833,0.13432515372105078,0.14102255743412065,0.11653596258692608,0.17883320423097884,0.19171058752887757,0.16776658483583007,0.16481772672227066,0.15256023743140715,0.15730488052012925,0.1381246828915638,0.16046286677362628,0.14624616000974644,0.17130271410672732,0.12459914983089164,0.19124529268427704,0.12660320898092442,0.15281989605697432,0.11419963353657844,0.14342635356906186,0.1564716169260282,0.1711743705936796,0.1548142356953673,0.13910722698641537,0.1440443164544583,0.1778544630892511,0.11228979127108857,0.18059485781674428,0.16612382653274055,0.14641761051881438
hsa00513,0.23416330101489358,0.16462599389270366,0.18311147540188275,0.14228678100809639,0.1677149399416689,0.11746392177333981,0.11508561283964025,0.20913416054658004,0.15326012127680028,0.14948031127888547,0.1448326356831557,0.17233646576356226,0.150826938581028,0.1694668257506644,0.12295086959711993,0.1266612971599082,0.14551701763736924,0.27333778879899295,0.19038438348585632,0.14952961833874456,0.1315730633542756,0.1394025605187386,0.13962880850868858,0.1179735364803188,0.20332314942872926,0.2634847619129609,0.18359109814839228,0.17056388431287783,0.15727054608019694,0.1645982878826204,0.13409536969139796,0.15693121657538867,0.1345577551760514,0.17362167464785008,0.1339314315578889,0.17495308392837275,0.12256369894277536,0.1524103472282567,0.1266382461304251,0.14874324807117553,0.1582699842285447,0.18969556590752515,0.1525970361271428,0.13989122543829638,0.1464984280130107,0.1675473395908864,0.10651804514812618,0.18800982964827365,0.17266336325744477,0.14047430129381153
hsa04923,0.1889953443881629,0.1389723675502388,0.2024937526310666,0.1395595168644265,0.1781912998784497,0.12401572468018725,0.12057739530817682,0.17006578801427968,0.1922723506687038,0.15079159968774394,0.15873578429127966,0.172587918678932,0.1737328351568996,0.16952157738764922,0.12675866409361303,0.14121506401137277,0.17266998024098745,0.17455273136548868,0.2552558367797175,0.15361337893263083,0.154237642201426,0.17259772179379468,0.13774737673305978,0.12020066716196195,0.17887019007060018,0.15723218378494633,0.17837278971983872,0.17314171401163958,0.16984967493787392,0.15918115613752548,0.15885872185016672,0.15697154652933076,0.1872447329866469,0.22141099064301586,0.13854899633625475,0.1627256286092152,0.1404655385309036,0.15005733676106578,0.12696293424266766,0.15669426973417988,0.1654546133577532,0.27145460334714355,0.19009308695751037,0.15451150142396222,0.16027409650501698,0.18579703272399686,0.11223275104553117,0.1697780148466127,0.16977714528326057,0.16907117172875233
hsa04370,0.13779249976020363,0.13780864585943808,0.17713779393113221,0.1338899779841961,0.1808389992386954,0.1271642939154615,0.12118733871038122,0.1368633253801617,0.22000711299964773,0.13698943105199293,0.1652412097095905,0.15464808438655078,0.1538174178492369,0.1699811175953641,0.13616960989871632,0.1417367393813402,0.19509763097321764,0.12773347012096,0.17391064718647173,0.16542644197098239,0.1811109695119235,0.19105878747253374,0.14290609103274451,0.12510328553003638,0.15271352783397846,0.13944881512564894,0.15879237827866535,0.15779844524590902,0.17529701577418386,0.1479879243591912,0.18442588890506248,0.14025497685463695,0.17852554562021622,0.193009568026467,0.12866310744772044,0.14101468754690327,0.13751984209689133,0.1259133817527417,0.12020035146036201,0.14047247655408787,0.1538594989188712,0.1707707695854674,0.2247591664749761,0.15199717542915156,0.14460391542368117,0.16841968228570103,0.12695151096349405,0.14648490625288688,0.14775694932630218,0.18313599493978064
hsa04742,0.20658676852857508,0.15665299408517383,0.2405388218132977,0.14271899330103768,0.17884530410834013,0.1309194859568516,0.1279986378380079,0.19350564061859268,0.17970054494393303,0.16173840639175965,0.1615461478615482,0.18322205750309753,0.18608746859213815,0.1823439776378148,0.13012794346221188,0.14780959885707778,0.17426408696508316,0.2015305108616232,0.34207396710508975,0.15233668777765996,0.1522620607935932,0.16943809955949193,0.14261730220213167,0.13372277944210345,0.19014615486233596,0.19246603083038005,0.19346589423054006,0.1834685999790911,0.16933456912449094,0.1683345859581337,0.16228717918875685,0.16478347472774582,0.18155364592987577,0.2572210793871927,0.15256593107106367,0.17292720103646203,0.1450434440681714,0.1614270850206695,0.1358646404235087,0.16802672643732194,0.1651223609403248,0.29690645995144793,0.16956912688242448,0.15269005830187457,0.17474022612077186,0.1951278473657231,0.12446500440117328,0.18095512884962675,0.18705405892796112,0.16914122938937057
hsa04136,0.14928694494791467,0.1308949491407887,0.13350064161049272,0.1266612520154317,0.13507295180753356,0.131914064216362,0.1323135427657871,0.12796874012608248,0.14793108496251706,0.141144863992983,0.1456911720614867,0.13058090448028492,0.12233716309170035,0.13517195552040503,0.13796200140114717,0.14081221492720564,0.1463129505992437,0.13637113077524488,0.14145213901592946,0.12827928128394656,0.12639210377176363,0.1428373295151632,0.14396894260947027,0.12982650665193912,0.15201939984853846,0.14681378305489837,0.12092794123490239,0.13115998055538122,0.14484446879056112,0.22587733948617264,0.15276483024487578,0.12351089388732624,0.15973857892498938,0.15336937981606105,0.14653628477004157,0.12666019987719618,0.13389207182021437,0.13109901081540287,0.1343418169334003,0.1228859333154382,0.1275714769324498,0.14773059157171212,0.13907264297519217,0.18209126001205467,0.13564123240439127,0.14605509588874796,0.13338220428781433,0.12162658539613855,0.13985721421441213,0.1316546405525755
hsa04140,0.16467582475348658,0.13672340091445284,0.1568189830542765,0.1286977922222224,0.15862151031443383,0.12816761389907366,0.12352249168366233,0.14413742419898873,0.1759294077081283,0.14338916186889958,0.15944145742389307,0.14714069228059484,0.14177894405926084,0.1545108031212507,0.13255036534833317,0.14460575059953773,0.17051730718080144,0.15547014732703635,0.1616188330025134,0.14504815470796237,0.15237066270432587,0.1660872695010749,0.14507906912106003,0.12757837270788877,0.1664382677196334,0.1506650853046368,0.14384866170817812,0.1481918432133624,0.16408907737788128,0.19387051490204602,0.1705514210719848,0.1379897667379497,0.1730030783238709,0.17383240508380007,0.13592313328168593,0.14321863362579504,0.1400601632838114,0.1363976940781099,0.1252434260712694,0.13771442949117682,0.144870497893645,0.16182063963982052,0.17595852675912496,0.17589890785749174,0.14426336471355206,0.16114850347119095,0.1273268249832918,0.1444277083211481,0.14966759277204272,0.15574164070551413
