,GO:0046486,GO:0000724,GO:0050853,GO:0043648,GO:2000479,GO:0006284,GO:0006915,GO:0016042,GO:0016055,GO:0007179,GO:0042278,GO:0019933,GO:0006493,GO:0034754,GO:0006487,GO:0048010,GO:0030520,GO:0060048,GO:0006289,GO:0009267,GO:0050909,GO:0007264,GO:0006633,GO:0090398,GO:0016567,GO:0006090,GO:0006650,GO:0000165,GO:0030036,GO:0006909,GO:0008203,GO:0006401,GO:0051180,GO:0006897,GO:0050852,GO:0006790,GO:0006163,GO:0030433,GO:0033209,GO:0019722,GO:0050658,GO:0050900,GO:0050810,GO:0006914,GO:0007623,GO:0034976,GO:0051321,GO:0009062,GO:0006665,GO:0006303
hsa00061,5.1406795135938756e-05,4.9147684855752704e-05,4.895602608411084e-05,6.428625176187335e-05,4.980409837605357e-05,5.368635632436715e-05,4.878922330020544e-05,5.454908184577056e-05,4.4949281733381585e-05,4.894978827373347e-05,4.739188149602091e-05,4.310517158343146e-05,4.510299875639494e-05,3.5272100907536217e-05,5.1116058496415255e-05,5.845597694138147e-05,4.849680463137626e-05,4.7948131441477246e-05,5.138918491253195e-05,5.013550430352635e-05,4.0847936837044095e-05,4.978069710258009e-05,4.460666939511105e-05,5.050049285711694e-05,5.313918665121493e-05,4.866146541430618e-05,5.367717495429553e-05,4.8977584236743066e-05,4.8846730419883674e-05,4.953596093247408e-05,4.908710107856469e-05,5.030159730953567e-05,3.563871259386444e-05,4.934655634477773e-05,5.577540696360876e-05,4.6008448285145554e-05,4.927968448233966e-05,5.046530396463513e-05,4.731962924935211e-05,4.825896913200863e-05,5.435661754821193e-05,4.592625663112568e-05,4.482309611181651e-05,5.13210136314306e-05,5.383849506487574e-05,5.172641310119409e-05,4.601559845213073e-05,7.662743215546587e-05,4.299407399063633e-05,4.909359203261052e-05
hsa04977,6.98458393780607e-05,4.35939806927195e-05,4.745376969407354e-05,4.111146321675295e-05,4.4327678792700255e-05,4.3674825385918035e-05,4.7483346610055855e-05,6.856260983481943e-05,4.303622614881747e-05,4.698385013698848e-05,4.022297836597538e-05,5.634638167488127e-05,5.1541711276278917e-05,7.626370802901867e-05,5.027143795216472e-05,4.4938696104140776e-05,4.732879312166171e-05,4.2656924039068616e-05,4.326985547959203e-05,5.486471575342956e-05,3.9385274101602286e-05,4.520799396897512e-05,5.106299763248486e-05,4.309795394986028e-05,4.5909330731621394e-05,4.1653385703408864e-05,6.96130600573673e-05,6.662209244760908e-05,4.314663512262606e-05,4.647914522636859e-05,5.8300270244105984e-05,4.156277781269595e-05,0.0002685770343253916,7.932621197814236e-05,4.812956749826268e-05,4.533238510935876e-05,4.027198622583209e-05,4.9294581775467075e-05,4.175709468610121e-05,4.579001738863399e-05,4.405167201983569e-05,4.647371989444334e-05,6.731080416142311e-05,4.5168202532389255e-05,4.240227089165382e-05,5.2799232840039005e-05,3.848862174197913e-05,4.979960792517692e-05,4.610255982830895e-05,4.090908328008113e-05
hsa00071,4.787233119865526e-05,5.019456041916624e-05,4.908265921838975e-05,6.696106293402487e-05,5.256811477980334e-05,5.275259852821146e-05,5.077642421661144e-05,4.899604666458692e-05,4.492965071575961e-05,4.9719373685513566e-05,4.628808140456644e-05,4.0983361566082105e-05,4.443404989546066e-05,3.8621683198856716e-05,4.5883935658685283e-05,5.344998182858972e-05,4.676609172727486e-05,4.670258678129581e-05,5.206178258116821e-05,5.007559021387112e-05,4.002836492992249e-05,5.0758218528594964e-05,4.617022216087844e-05,5.273325963941694e-05,5.368511185335628e-05,4.7932359848262666e-05,4.898057149334801e-05,5.019719563691767e-05,4.9777253735814404e-05,4.850863740413424e-05,5.197491419281442e-05,5.053747920788625e-05,3.5530149739089265e-05,4.942644527898362e-05,5.2704672923488256e-05,4.840335372884428e-05,4.9179851789682006e-05,5.180960215673367e-05,4.863321769278562e-05,4.644715787281927e-05,5.267369981588102e-05,4.583721086439593e-05,4.548688814106768e-05,5.149887594561045e-05,4.972893171081652e-05,5.1070148634359e-05,4.77137481914867e-05,6.804857176969604e-05,4.438560521949188e-05,5.4902617052298496e-05
hsa04141,5.363399417145802e-05,5.7378346299695095e-05,5.808218830409739e-05,5.305349745960883e-05,5.778466111383944e-05,5.9694382402557544e-05,5.750765471974512e-05,5.223503462945074e-05,5.5745705640949246e-05,5.8455364735516185e-05,5.467622447067709e-05,5.100590101088479e-05,5.856737705795985e-05,4.5539372819477695e-05,5.898148358325535e-05,5.7789282127597934e-05,5.3381264462149665e-05,5.5070394157245044e-05,5.947139694838222e-05,5.713424197288816e-05,5.137871247593435e-05,5.8377086470741924e-05,5.3717748762878855e-05,5.818713648582899e-05,6.0427613724513764e-05,5.3999847100598986e-05,5.4161937114731936e-05,5.775258727815846e-05,5.678310165693637e-05,5.6848456582759395e-05,5.1702505646849784e-05,5.6639419297741036e-05,4.5468015236623485e-05,5.6997456613789805e-05,5.867819717395843e-05,5.316616535064169e-05,5.4626150891942856e-05,6.600010831216806e-05,5.6015928006116184e-05,5.506817119097911e-05,5.904083338765135e-05,5.5078870290099545e-05,5.283735076053691e-05,5.9100254630416016e-05,5.6195630495950486e-05,6.025262782158524e-05,5.4462687558132486e-05,5.561679650501675e-05,5.513445940677814e-05,5.7295133395589286e-05
hsa03420,5.040344047139343e-05,6.59452669021279e-05,5.95896356809466e-05,5.490886692661276e-05,6.050826585605511e-05,7.461737416399335e-05,5.7922056455675094e-05,5.230902199707991e-05,5.305479992330238e-05,5.8003517637206035e-05,5.483080872892967e-05,4.7951438214599856e-05,5.015502298956787e-05,4.284045838088723e-05,4.973584674375051e-05,5.815750465022898e-05,5.595877518875349e-05,5.4636869957462104e-05,7.754656985219556e-05,5.997852020583935e-05,4.468107658214127e-05,6.0676777909664344e-05,5.0559465790679066e-05,6.233562552847217e-05,6.360350630152842e-05,5.616131927605896e-05,5.163348321084714e-05,5.9590149005749854e-05,5.928231845014691e-05,5.595022099505138e-05,5.0121742863535446e-05,6.161324227394424e-05,3.928677179375416e-05,5.690458130734315e-05,6.020607468307802e-05,5.317057698140926e-05,5.596651785355746e-05,5.826305884138586e-05,5.794487869631964e-05,5.376765074207387e-05,6.305440921066088e-05,5.292329620923063e-05,5.3764853176301196e-05,6.008382118681906e-05,6.10538744535184e-05,5.8510463721599755e-05,7.477503119750512e-05,5.555787773978394e-05,5.231831886411372e-05,6.8208653166253e-05
hsa04120,5.360053120332162e-05,6.017966242178653e-05,5.951917862988713e-05,5.5169859577497885e-05,5.886425123118261e-05,6.229941228357748e-05,5.7861705500032506e-05,5.10929562950994e-05,5.451486439843354e-05,5.8343784673140226e-05,5.459691136241018e-05,4.959391811041051e-05,5.116538569163039e-05,4.5924953350997744e-05,5.385599075502821e-05,5.827456533759892e-05,5.52410447758425e-05,5.6482821497248935e-05,6.266735673007963e-05,5.958365077112929e-05,4.670909063926501e-05,6.009084667562286e-05,5.2315423027968716e-05,6.052283683274739e-05,6.648230153861734e-05,5.578976596211316e-05,5.332371846190931e-05,5.906681380575321e-05,5.8489740847606625e-05,5.684007883840857e-05,5.104853652431061e-05,5.8659913652314296e-05,4.232834089602146e-05,5.7287760048602474e-05,5.956757304933662e-05,5.373727491128941e-05,5.52190754608572e-05,6.085580158311576e-05,5.9490275519597346e-05,5.495779767818781e-05,6.079030923251056e-05,5.4156760784156824e-05,5.415727638398134e-05,5.962850784515732e-05,5.81496057951988e-05,5.9949168398065e-05,5.966190460085644e-05,5.568895374272875e-05,4.962427359894621e-05,6.067397154024626e-05
hsa03013,4.695062878949223e-05,5.562739066537175e-05,5.473437498404839e-05,5.076881248541065e-05,5.506201682924231e-05,5.785215295692765e-05,5.2959115415354126e-05,4.6508690261635924e-05,4.899593223868001e-05,5.3333037829093264e-05,4.989664205706187e-05,4.4551928484237236e-05,4.684126456063823e-05,3.985504385839179e-05,4.697108431378293e-05,5.340345704346062e-05,5.065588928959493e-05,5.013157620661385e-05,5.7840973296702946e-05,5.4516030285913444e-05,4.487576731499514e-05,5.592586967007194e-05,4.688654964038148e-05,5.590383738388054e-05,5.692766326330326e-05,5.1336738179030974e-05,4.807625120408596e-05,5.3798951634240934e-05,5.413882248019807e-05,5.15719079954637e-05,4.7342851593451906e-05,6.361966928184598e-05,3.7095210902868333e-05,5.2638249039256997e-05,5.4235118221445144e-05,4.9851331557604926e-05,5.101849651683301e-05,5.3857859191896174e-05,6.563338944553756e-05,4.994615794036008e-05,5.7916644100897976e-05,4.967635417841877e-05,4.840204505818835e-05,5.4772151449984074e-05,5.462622126775533e-05,5.374433949090208e-05,5.3971938235917434e-05,5.124976095620213e-05,4.588262858462427e-05,5.5937893844758155e-05
hsa00230,4.3803466436485655e-05,4.95892558682113e-05,4.745806609154322e-05,4.742652752417351e-05,5.318361923677154e-05,4.9839434355575726e-05,4.7154367018080054e-05,4.386793335146935e-05,4.63096132079339e-05,4.822433230398205e-05,4.857610148931126e-05,4.740854795455834e-05,4.484407022044812e-05,3.782534736191075e-05,5.041989383538562e-05,4.8444464093102055e-05,4.3991328860927964e-05,4.6869561376845334e-05,5.0080396362577886e-05,5.106359311286309e-05,4.3914183706169675e-05,4.958696436819072e-05,4.2716913606339455e-05,4.8131679476797165e-05,4.99527242196991e-05,4.624365908957052e-05,4.476182151251531e-05,4.886978067376512e-05,4.828358743563232e-05,4.805076583102694e-05,4.2325857604879106e-05,4.767699416929909e-05,3.8358147322011674e-05,4.8623533685955724e-05,4.984601916165362e-05,4.3547171667326684e-05,5.708639495703437e-05,4.942237064005645e-05,4.60347404228631e-05,4.763605855621152e-05,5.036858068815453e-05,4.690003488877916e-05,4.377710477778081e-05,4.9617501942361606e-05,5.2717077256558664e-05,5.0842857684011654e-05,4.4134948623791926e-05,4.653776718120809e-05,4.090862959891153e-05,4.76245363486164e-05
hsa04915,5.483603415068837e-05,5.628153069086389e-05,6.0804279496829966e-05,5.188519569832039e-05,5.9808663723116995e-05,5.81000587622119e-05,5.6127245953878744e-05,5.008187467629273e-05,5.6099567211644874e-05,5.7089320058796674e-05,5.331827697718942e-05,6.484803372764606e-05,5.0342900180815875e-05,4.2083351538033726e-05,5.129190753779682e-05,5.834311065308671e-05,5.224326205181703e-05,5.647835802584128e-05,5.755265924955379e-05,5.74300021029709e-05,7.10450544026423e-05,5.8437172630200644e-05,5.3081558489951967e-05,5.648460248475388e-05,5.8068210775492715e-05,5.246628698773501e-05,5.557574339102676e-05,5.819285150805654e-05,5.8277604685022416e-05,5.746993828466396e-05,5.045506832934327e-05,5.5472553905091926e-05,4.278595382668855e-05,5.917547950550209e-05,6.063686846410532e-05,5.0601491467366646e-05,5.2520391454984e-05,5.678474253979794e-05,5.5558928047785836e-05,6.217945632203584e-05,5.799239657533371e-05,6.115588166203279e-05,5.496098310932961e-05,5.753318024173878e-05,5.5722318285937956e-05,5.7267530756217804e-05,5.278682448720917e-05,5.341975880223217e-05,4.922079931063792e-05,5.5611358190847906e-05
hsa04010,5.188180461223365e-05,5.82083671497714e-05,6.27991969848522e-05,5.1874625547007204e-05,5.8735069743278575e-05,5.966265442994831e-05,5.637718536130237e-05,4.9131574167619205e-05,5.4282465497292486e-05,5.9699313874300546e-05,5.273639383188869e-05,4.988008913468194e-05,5.1212803608318836e-05,4.3001989431547175e-05,5.093040699749378e-05,0.0,5.3222638166559466e-05,5.78248667036316e-05,5.858657953918111e-05,5.677220208529286e-05,4.682313130385871e-05,5.9806844089018384e-05,5.03419793938514e-05,5.754068129347502e-05,5.9325811857096157e-05,5.3934025481819483e-05,5.311637456563973e-05,5.767787942998818e-05,5.7596219850737884e-05,5.833684523616331e-05,5.0250940949791386e-05,5.684830754568395e-05,4.077379882725256e-05,5.715065273788283e-05,5.9855112489020874e-05,5.190845925563536e-05,5.296258637241778e-05,5.731409513248639e-05,5.7737894993564685e-05,5.601963653498971e-05,5.8558958501261086e-05,5.404767320350218e-05,5.071188677870541e-05,5.766014739172285e-05,5.576825819474572e-05,5.698934723553677e-05,5.3561790244027196e-05,5.260397133351557e-05,4.9427252155487e-05,5.6684247066044206e-05
hsa04662,5.057521157420823e-05,5.4494950228681964e-05,7.290128789928377e-05,4.924300105946447e-05,5.601695120495691e-05,5.619476102877355e-05,5.410182179993743e-05,4.762931390401538e-05,5.243304795430222e-05,5.520713615237735e-05,5.052044325448663e-05,4.7259864368889685e-05,5.0455524921651214e-05,3.99604669878915e-05,4.987888437162662e-05,5.741380810913057e-05,5.086092894872925e-05,5.891756355359162e-05,5.564401579266042e-05,5.3764930744063624e-05,4.5138301477982885e-05,5.940886374041324e-05,4.976964188804238e-05,5.5228559639375064e-05,5.6115745324013255e-05,5.136403851380813e-05,5.163487248954949e-05,5.627364455686229e-05,5.587761928940274e-05,5.704940213642995e-05,4.758340654158253e-05,5.3360060142078814e-05,4.059430106784753e-05,5.4693903996994726e-05,5.9525959055984467e-05,5.185412645286824e-05,5.073212847586129e-05,5.457964503357513e-05,5.773730961422506e-05,5.531716648007496e-05,5.559049673536137e-05,5.284529205541442e-05,5.138343665233035e-05,5.5261120074000966e-05,5.450971131289286e-05,5.4948189542020666e-05,5.07826337142168e-05,5.0931709140842765e-05,4.677944825413923e-05,5.431319638738849e-05
hsa04742,5.1234742980780006e-05,4.1602532936196956e-05,4.61630794205046e-05,4.056915028691773e-05,5.1345829863151325e-05,4.4125824025941755e-05,4.653474412656786e-05,4.035229133255999e-05,5.187597021659097e-05,4.836258951930435e-05,5.608964601917852e-05,0.00011900808207319696,5.152900330062118e-05,4.255255304052198e-05,4.957956422331081e-05,4.879964174108052e-05,4.031256979913006e-05,9.813695652719995e-05,4.440765413805963e-05,4.4484405719454184e-05,8.474867724425759e-05,4.823987326118744e-05,4.92266752655776e-05,4.404813162376605e-05,4.57695346674487e-05,4.051588970066877e-05,5.023235055549316e-05,5.44653749597323e-05,4.970782429869264e-05,5.075697634296311e-05,4.510265113936366e-05,4.3335545275406856e-05,3.794810923950502e-05,6.201399039605558e-05,4.8493668971415194e-05,4.1457354538770534e-05,5.020592734315314e-05,5.32398270148658e-05,4.460654637787229e-05,9.145620404991993e-05,4.5810692122304324e-05,9.381158921529991e-05,4.59308878862884e-05,4.700550586523637e-05,4.300162444792705e-05,5.153782632262356e-05,3.7952022361413074e-05,4.34766493919114e-05,4.771205725928615e-05,4.150941190185827e-05
hsa00920,5.1010456013675335e-05,5.847199120266668e-05,5.52019199065956e-05,7.323777767853626e-05,5.6634968482570636e-05,6.089615673827497e-05,5.6124790701950394e-05,4.998695128211211e-05,5.1130400195784084e-05,5.910428751259255e-05,5.433481441155629e-05,4.7295419494752466e-05,5.8917931881375836e-05,4.172693698841189e-05,5.475874374531759e-05,5.656589619685579e-05,5.3498762553850314e-05,5.1997722321152785e-05,5.984995846076522e-05,5.735791160459158e-05,4.4385718904205984e-05,5.744207620027019e-05,5.538336402367389e-05,5.882230926832754e-05,5.959468038729398e-05,5.5927278496157845e-05,5.202229271206663e-05,5.639596465549502e-05,5.6019780375912775e-05,5.5711188239514026e-05,4.943756759789152e-05,5.923658813759768e-05,3.886783935002372e-05,5.6645655181510334e-05,6.0795149979599286e-05,6.0718144543689426e-05,5.537534694510312e-05,5.7903414758622796e-05,5.646786896917003e-05,5.3007309025704395e-05,5.993518248304393e-05,5.257701549370413e-05,5.066949854783374e-05,5.9416428991018634e-05,5.64022295931112e-05,5.8311676841715356e-05,5.3675324605889e-05,5.522067363718007e-05,5.4886582509279706e-05,5.7841397779130236e-05
hsa04350,4.773356357307057e-05,5.191791012493024e-05,5.311664231529144e-05,4.73631250459128e-05,5.352747940241057e-05,5.813720080253779e-05,5.1956544481041364e-05,4.577805695262213e-05,5.5823997155167645e-05,7.93933532206543e-05,4.85300802202239e-05,4.629564652267078e-05,5.204704967590399e-05,4.044044557308395e-05,5.076412460123139e-05,6.146211456320678e-05,5.1753487065514295e-05,5.004895754367443e-05,5.423712680077483e-05,5.233378648346548e-05,4.2887757077764355e-05,5.380305468251965e-05,4.50868336843759e-05,5.426406079925317e-05,5.502180856510406e-05,5.0212043686756584e-05,4.8758640217593434e-05,5.5418901908120226e-05,5.326012735996774e-05,5.568852499259266e-05,5.0925542845067824e-05,5.1639859175699666e-05,3.7895897791221285e-05,5.296803960261658e-05,5.317641424326272e-05,5.15478146329476e-05,4.859613523901343e-05,5.414900971859628e-05,5.179091841783694e-05,5.1009329078372515e-05,5.432009930454378e-05,5.180408729044557e-05,5.0949518384641944e-05,5.307653906583307e-05,5.1972334022460614e-05,5.3363026437807974e-05,4.903388677476197e-05,4.9222518591615055e-05,4.7098860429011415e-05,5.2143361052652374e-05
hsa04666,5.5569460116223994e-05,5.967568121471955e-05,7.84346645949696e-05,5.323070593138122e-05,5.875883000956593e-05,5.996059201275448e-05,5.7534782845424466e-05,5.074039736054212e-05,5.4195208895010785e-05,5.821510845093088e-05,5.366949082871518e-05,5.05886475097547e-05,5.124665311094663e-05,4.2720959672149715e-05,5.001359695642812e-05,6.039359692782835e-05,5.363237669013561e-05,5.5838090756254775e-05,5.9223534008092376e-05,5.727024268137367e-05,4.915637616086684e-05,6.190008010795426e-05,5.31703828683095e-05,5.8696683885061606e-05,5.940609568990261e-05,5.519412352136205e-05,5.6921705835632434e-05,5.845784269787437e-05,5.994084658904671e-05,6.16847461665299e-05,5.136016784922297e-05,5.685085890626401e-05,4.2169490339365644e-05,5.941027317544865e-05,5.9706867078544436e-05,5.2690375974676196e-05,5.410753099818439e-05,5.721246390874511e-05,5.875198405566405e-05,5.723545090137781e-05,5.9289658491984547e-05,5.6090931775251215e-05,5.400487825071393e-05,5.872224797399815e-05,5.6036351292557276e-05,5.769548051085355e-05,5.524024554060274e-05,5.3780171134671094e-05,4.886081334213247e-05,5.750345884568092e-05
hsa04260,4.9182035643238995e-05,5.507291575588416e-05,5.9804151436524445e-05,4.988466566552669e-05,6.779184398854808e-05,5.6381822735445236e-05,5.262317202297761e-05,4.818613769110503e-05,5.0099166705068115e-05,5.3224621950942724e-05,4.9771163128006256e-05,4.706039192640385e-05,5.187931641768866e-05,3.9941847434922036e-05,5.1773716157093284e-05,5.354985104470937e-05,4.83243212659953e-05,6.180153600137021e-05,5.433580310181897e-05,5.27211394588011e-05,5.110035375433904e-05,5.4141115699180565e-05,4.86772969073391e-05,5.743089858457407e-05,5.46406720972773e-05,5.047398497868841e-05,5.001111128978518e-05,5.228289411330782e-05,5.4163989334751434e-05,5.18983897442308e-05,4.793598919087887e-05,5.3553678813062727e-05,3.856171282898181e-05,5.325823057070368e-05,5.498784199641096e-05,5.130008494581313e-05,5.136943313931214e-05,5.550101110897278e-05,5.176923004699327e-05,5.470516187299869e-05,5.509543164463822e-05,4.9958358790284014e-05,4.824956195896042e-05,5.456858678578341e-05,5.329204540925635e-05,5.61712242850058e-05,4.9321237108338136e-05,5.32189972071805e-05,5.104886071881396e-05,5.222107838953654e-05
