,GO:0046486,GO:0000724,GO:0050853,GO:0043648,GO:2000479,GO:0006284,GO:0006915,GO:0016042,GO:0016055,GO:0007179,GO:0042278,GO:0019933,GO:0006493,GO:0034754,GO:0006487,GO:0048010,GO:0030520,GO:0060048,GO:0006289,GO:0009267,GO:0050909,GO:0007264,GO:0006633,GO:0090398,GO:0016567,GO:0006090,GO:0006650,GO:0000165,GO:0030036,GO:0006909,GO:0008203,GO:0006401,GO:0051180,GO:0006897,GO:0050852,GO:0006790,GO:0006163,GO:0030433,GO:0033209,GO:0019722,GO:0050658,GO:0050900,GO:0050810,GO:0006914,GO:0007623,GO:0034976,GO:0051321,GO:0009062,GO:0006665,GO:0006303
hsa00061,-0.20152596091829555,0.30061655952602484,-0.07049649719400265,-0.10220160522388307,0.9463215405023605,0.8236473066701587,0.11149850325910159,-0.33182599054158896,0.15219003121415667,0.3946117761300927,0.20522651051955024,-1.7523714357358495,-0.3419635986335407,-1.5113147401834766,0.13834983031199005,0.9148483342298649,1.2542032786151602,-0.8140915052106492,0.6059941613113307,0.26631881481169867,-4.517941920786153,0.31973242123653556,-0.37885527793748125,0.7638711832529222,0.091657761194796,0.667164244898046,-0.22302251443040472,0.25935061041878266,0.07915926557649088,-0.1603279318981059,-0.7962407848871873,0.2830987390584875,-4.8553369510146736,0.09131991485342718,0.6215022121855642,-0.07999444653597897,0.051771462340707564,0.4428736828977675,0.7240962729313314,0.037652837133532076,0.6073538684871452,0.06647086904789104,0.07808225825789987,0.23762522102480646,0.8300757313759624,0.203021862434659,0.10031281527694111,-0.5731669084587897,-1.1993969799045108,0.7798330001400782
hsa04977,-6.518424490539992,-6.128568138953657,-3.631536136217838,-6.9964359067554005,-1.02467253378387,-4.325191624884761,-6.962872986250515,-7.579725387060052,-5.227234496207449,-5.5597620375796515,-4.654531365503425,-10.709647938413626,-4.589657630125846,-8.617322984216123,-3.953886214802032,-1.8981542512651304,-0.3195290859475145,-8.008069255128596,-5.227829636897238,-6.208160001490803,-13.460109286979714,-5.05117467831004,-7.770611945887513,-3.776746236323527,-7.632574335269213,-3.09734857912923,-6.5448295420190785,-5.943251858616924,-7.914746040344424,-6.682717141004953,-7.777716121576147,-8.336525120241774,-12.347106746033962,-7.6759334299743704,-4.809473154373178,-6.253600309438278,-7.564398414617459,-5.7139421720704835,-3.9311284852886565,-5.448626811342551,-7.385752924633246,-5.862579445826706,-4.842863271842177,-6.150076116848604,-2.7826715279318983,-6.69991148047279,-1.851972406839614,-8.246180492224022,-9.414405331827586,-3.511406463832601
hsa00071,-2.7421536675609537,0.4153494277985728,-0.4971234878746585,-1.322593417669802,1.0724053501854907,1.6211247356702085,-0.5711023751372557,-3.420932327277639,-0.3216777482969546,0.8347966370337001,0.008545468727881192,-9.70165139584811,-2.4315658245394447,-7.932832606911234,-0.2576198281606327,1.1037329571436247,1.4825722816492053,-3.9313589088687557,1.476184776420805,0.28146975428901805,-14.984756083355398,0.45994416048972775,-2.661248569423915,1.4124960194693483,-0.6418728992982542,0.8605652880192747,-2.85880135393733,0.21291263930741713,-0.713558559582174,-1.4879566424932922,-3.6975236779565326,0.5562579310505888,-11.012284103989673,-0.5956148433933403,1.0211701846427985,-1.7567837893832898,-0.8611190893873341,0.9963035111124359,1.3158579986226349,-0.9550501073362262,1.8713931566238535,-0.9082737574114171,-0.38453634876642895,0.1429255306606068,1.2617641511959024,0.010804643456148628,-0.0978673270491392,-2.6654209611968493,-7.5782466386741145,1.2917113990591058
hsa04141,-6.851676976303218,2.9141814840555766,-0.35309944346100813,-0.3815826640674895,1.3743230627783571,2.8480406897307278,8.338640969169939,-8.188394768913424,1.0728329629336475,2.8452835490802237,0.6542482644629211,-17.738723822364328,-2.8968205802136793,-13.92190531658313,-9.956578595356472,1.5643679565613002,1.7834167008906952,-4.112708610662659,3.030611414988827,4.257301214667182,-20.38312019481421,3.404503719889045,-3.0712290430773512,2.4381201523894727,9.458674785829743,1.5331325581665596,-6.350699973904461,3.234526294537165,7.092528702421052,-1.0412739823242976,-3.711106602497781,7.154875344530418,-14.110505699076947,4.668292135123114,2.1171118819792327,-2.426841990326372,3.248831772392455,1.6202082044578068,2.2751476428370205,-0.3464446490774781,5.799954120469857,0.9156255749090129,0.3421313103720207,4.832749190553464,2.139606584528823,4.95027122413485,0.039015399910175344,-2.693483909173391,-15.432791454521448,2.2553935246028813
hsa03420,0.36580223887933755,2.733878854836864,0.149224168802769,1.153442639459799,1.7993574403004853,2.022673414605385,3.5332034357518376,-0.1152171133388597,2.109613275082124,3.3721650191737114,1.2611908602470026,-8.662330870641208,-1.264878342249363,-7.291388458819325,0.9368149910369417,1.9087313555821135,2.2216383155733803,-2.1643567886286124,1.8722052194858965,3.962410446293813,-16.775664016290023,3.5716181873195367,-0.4499199525774179,2.878623851792383,3.9116172500795465,1.8793598460158183,0.2007136476964184,3.5805318737592637,3.932651184199333,0.6844954539905437,-1.7312140164518168,5.8916054722231195,-11.639737836312813,3.873052966928489,2.600458764436071,1.2678144999933212,3.313176967290298,4.220299721918176,3.111675837665088,1.4211719412871016,6.216053988756379,2.1597858855979712,1.2421346523404315,4.065774007638904,2.542562418180574,4.240621551909523,0.18568339890490781,-0.8822854984791886,-6.350012225723662,2.393891082478401
hsa04120,-5.315386675404331,2.451578204562783,-0.12052884102818677,-0.06798551774892604,1.4306223632467534,2.6584585209749396,8.237015390847949,-5.9820304150129715,1.3321213128871403,2.9293971579226685,0.7319851962104916,-15.117385371028956,-2.675715181834492,-12.420226207722463,0.2877013766683438,1.597668682731654,1.8631368183976067,-3.7684235143458107,3.336801458137926,5.296526407923229,-19.389246457282187,3.7828364563117223,-2.4174599279166036,2.4022441429495833,7.3735552689247275,1.630245142578289,-4.710565018104902,3.780441109862529,8.195138673879269,-0.6689281200018771,-3.612599836969283,8.019775965499006,-12.960372459538824,5.180872572513578,1.5270624043327747,-1.2477991049560584,4.000725016370907,3.2891644222683794,2.365753268329099,0.29956027492281895,5.875262932160875,1.4431702667240527,0.44942489686799947,5.87960636234787,1.7636954563866147,7.455797402089431,0.0749281325948459,-2.250561923695002,-15.063687303894756,1.9273171404000056
hsa03013,-7.2261763776984695,3.096697485971328,-0.1461216822506187,-0.3250309422867236,1.460518287162765,2.9777186270596685,8.614446586823755,-7.640044672141156,1.0827457291364373,2.843238609486797,0.10883150161453373,-18.05139990391684,-2.914068490348947,-13.39964247309974,0.2569742729780943,1.5607454226016466,1.9179732860762522,-4.403078577183412,3.2903366022776295,5.281656214912551,-20.045979822496943,3.2255631369181987,-2.9834630905712087,2.4554339166917005,10.944193556151902,1.5097082273967115,-6.365728469231339,3.5595459067523127,7.963896503400027,-1.040608266794934,-3.848952336534424,5.0294524385341,-14.294038908062785,4.881080975921305,1.8195363933936404,-2.3579025827998388,3.2620217847732857,3.5387236114995813,2.4906468853472807,-0.02738016701099636,3.5543109235140378,0.9579852842912275,0.32631062109308984,6.031500666389311,2.0236419791712668,7.461367693399061,-0.012648055674101127,-2.649622899426326,-15.895086050629052,2.0765724176988014
hsa00230,-10.77378283297886,-0.012331354357035983,-0.5637384064932611,-1.8798690021411881,1.003389774995382,1.3140785228267158,-5.325426688806018,-10.986864967598354,-1.0394016919921942,0.5236132364638655,0.600750002191649,-14.459480430391283,-3.005477545020403,-11.782110432725537,-0.5125376427613897,1.029756292543093,1.3932352714569152,-4.904762030252438,1.1741817606762361,-0.5450417677508601,-15.789965704378588,0.0485129003250244,-4.041872695859847,1.2114978170978181,-5.932472312346359,0.7608976070623221,-9.702163725986688,-0.5420747482329275,-5.60346775436966,-2.6029391002410094,-4.502678301387548,-0.12715167976968206,-10.332393660233945,-3.75946617227442,0.9060436555799374,-7.339820176748719,-2.365470723345862,0.7583705470278459,1.167838334190129,-1.954378370807561,1.79705894677994,-3.1679684920730082,-0.5814767602832396,-1.0634193796741906,1.018092665449715,-1.922011556639184,-0.15762711634750418,-3.193735399668756,-14.175999086630318,1.070064957894963
hsa04915,-4.626111446258771,2.4731728037156104,-0.21278652082475588,-0.1284110243127564,1.191940143404761,2.3316965141231347,5.241429926285815,-5.047729269562467,0.8791398246228322,1.7679939858328122,0.4748868668231225,-16.032231812131563,-2.1132294393144484,-9.893874468953582,0.3193087793077491,1.390454061702472,1.4395564360930782,-3.097332740964808,2.4842632126415274,3.459328254676897,-15.367263255346009,2.2542017024893455,-2.0262419412489496,1.7669913329426592,6.190564391580269,1.304785068337651,-4.125615188180928,2.2300100702292607,4.78245750022372,-0.7948453349951977,-2.916414484116529,5.296187374245777,-10.245184653553132,3.371070159092204,1.643466175524862,-1.4275943195547742,2.654797876210685,2.631040825525153,2.0137145364373263,0.12015292406471569,4.3009377731932785,0.8663694540817936,0.3695288796218924,4.33806275067925,1.6591210842332904,5.434524352673164,0.0696779750384797,-1.8060011734114367,-11.12974483358178,1.8017103511058947
hsa04010,-7.9386507029843205,1.8395828390879807,-0.2043770127549295,-0.5027729705080521,1.0006879184426347,2.086608109006476,5.249220788475962,-7.087009696058178,0.5283835346416129,1.2553770776101285,0.43023865077536416,-14.694686731804081,-2.2948585815054794,-9.941670628396063,0.1355474582293482,0.0,1.5132628775633996,-2.951919628619847,2.3089107496823904,2.6162081870163423,-15.686451443011805,1.3337226399422126,-2.6947663498516525,1.400927994135644,7.276059031908433,1.1779461981742925,-6.235618841729689,1.0068303881970153,3.226830613606886,-1.6365178583158824,-2.9375638959475823,4.375784172954203,-9.680019520224585,1.5113739654522016,1.2433795214003793,-3.2888743220852765,1.0051402997562695,2.4042482420246696,0.8158534482816068,-0.31429172391462934,4.188688924906221,-0.09291102919131693,-0.4957482505661369,3.317981847618554,1.6014289434210442,4.564894818381758,0.05725178097441204,-2.2238813223938005,-12.341119636916797,1.6160282397460302
