,GO:0030433,GO:0006650,GO:0016567,GO:0006914,GO:0033209,GO:0009267,GO:0043648,GO:0050853,GO:0006915,GO:0006401,GO:0042278,GO:0006303,GO:0000724,GO:0048010,GO:0008203,GO:0009062,GO:0090398,GO:0030036,GO:0007264,GO:0006897,GO:0050900,GO:0006909,GO:0006090,GO:0007623,GO:0050909,GO:0034754,GO:0050852,GO:0006163,GO:0051321,GO:0046486,GO:0050810,GO:0019933,GO:0006790,GO:0006633,GO:0051180,GO:0007179,GO:0006487,GO:0050658,GO:0006289,GO:0016042,GO:0060048,GO:0000165,GO:0030520,GO:0006493,GO:0006665,GO:0006284,GO:0034976,GO:0019722,GO:0016055,GO:2000479
hsa04913,11.209468541615815,6.572392973319685,-4.0847460566709906,1.9781378169654331,-0.7701929873039262,1.5043586187389817,0.5841316951869036,1.9676960865462954,1.4466522079414514,-6.314405980005273,1.5818771630133637,-6.481254345900317,-7.635413785455878,3.0822357936119333,4.0076917314978795,3.618224757677895,1.1632935355170413,1.5706055037845361,2.3161839512239255,6.7489773883550495,8.77960432655183,3.5175940392784577,-1.6882841712011727,-2.2105280117440915,13.392243539144905,3.9553539173841745,0.9502144734577522,0.012109054608090858,-5.164567942290654,6.361307639548646,2.1479688811671305,15.23249979954923,-0.8719631762548702,5.048651009943996,3.496009629954784,5.08574233495421,7.261695580700284,-2.4679095487064084,-6.098806862802302,5.014998127536535,4.902444984742711,3.355836908388121,0.3389488410348248,3.628466981811022,6.422921895326696,-4.302910706174012,7.682224974015741,12.536618526025391,9.09021126032881,3.41207338138476
hsa04666,-4.344788267242313,4.039514001426503,-4.607494472692849,1.108358534642043,8.532972166695606,2.354067140263622,-4.727337782882944,11.86360404263364,6.661136131788793,-15.014531828092018,1.5336583491684515,-6.546494999544414,-8.679947680817106,9.859095803901766,0.3036085704699933,-6.6096787612032815,1.104351330761655,25.475525442027443,15.632872859769174,16.99069267755071,13.570855679469055,9.442405815407106,-1.2469509863086239,-4.50810809264167,6.9876491369184475,-1.44905064414535,6.457536857260398,-4.228327813465862,-4.7124626440691,3.491538195304124,-0.011882002160290082,5.583702178583001,-5.686807953069839,0.3423701656127176,1.95001272282963,9.76710227005589,-6.113171021174166,-8.478720761527928,-9.420775923699688,-4.152115765413971,2.5330887023841644,9.53365877805677,3.1505617548168305,-2.3828130207124945,-3.882583545956921,-3.393194787785523,-0.050301959041294635,11.279454397965868,3.9420400977696284,3.625060021543556
hsa04120,9.980579605417745,-7.3972803983747015,42.4315979321736,5.956718639862061,6.93329021810309,3.572365464629827,-2.357114965343616,-0.3932588757991045,9.031326706215388,0.609325329572195,-1.7681501724083546,4.8789614289523175,3.744356204167083,0.2127373125253401,-1.6085905234601667,-5.573055866022165,3.8055698200478787,-2.1000274368895164,4.772749696575468,-4.53677274377954,-5.660337946393767,-2.2268613120840786,-1.1441187081617468,1.8778698096008177,2.5517704117014555,0.7493732386455484,1.493910141089296,-8.284644754603764,1.1792355792606972,-8.274877176148687,1.9643261381995534,-2.6994850787621316,-10.746624228660055,-2.991125883567583,-3.178366570898825,5.942843208615463,-3.9853832666155053,1.0379298241307149,8.757090654822079,-6.031492444258411,-2.329962348528009,6.4719539166159405,3.238035991728741,-4.15701244417306,-6.880957979463841,2.937382761193355,12.24144690730342,-1.4193076389364265,0.28350895585758057,1.0770316293390776
hsa04810,-0.6054533631794584,4.119838170851172,-9.226999312662992,-2.3318330113281527,4.429786055438274,-4.15558387633585,-5.604611424984552,7.518427258579324,7.779553853698399,-12.534752406178832,0.8666865893157706,-7.2779426621678605,-9.19540438624375,8.432761909862391,0.1204741596790959,-6.012715615521162,0.5793546464741537,25.173026574392406,10.42339237755665,16.498259647360072,14.365536529685258,7.62743988219983,-0.6485393662814446,-4.430918944215242,7.642386874490078,-3.8020876984977,4.250741176739396,-4.784516089897429,-5.178840198549462,3.872296009049263,-2.7331561267528053,10.009905651289541,-5.032100249932834,1.0075098729941323,1.4302544818956084,8.402442264929666,-1.0568718289220893,-4.565907083325128,-9.522187668924028,-4.053784830079727,4.128594011595302,6.574314578102589,1.97574318678625,2.1071501654567757,-1.3319807445470033,-6.455800921838148,0.8194624799560479,10.287515012403134,6.4592314910869275,2.355007343904506
hsa00510,21.27077068372889,9.553956778956103,-4.812952618687405,9.7336860549679,-4.437867053462297,0.26841697404982645,0.24754033604873144,1.0855685914513866,1.338047153886167,-5.3936849745986715,0.39656184281403545,-10.420849765078291,-11.023047032413897,-0.6344016377585925,8.66863691588949,5.239291967960337,-5.375429822114031,-1.7592031064840332,-2.206840642270169,6.579350250804283,9.25652698087904,5.7285724539356915,-1.357965028409841,-5.4085835267914,10.69829385955459,2.6182155325260847,2.3670181864048825,4.337256331435123,-6.537349412080744,10.286734105555988,2.1858675055787993,10.63721672029785,8.119483463352982,9.402494839470766,9.509475681464364,3.286507416845541,10.78334207437488,-4.106259497028681,-10.229843910863062,7.310479885400156,1.82573775411431,-2.0788934907465917,-1.3238954765573534,22.19455748192703,19.483928099605006,-6.705575123800268,16.878377059443043,6.945834807120941,12.186411875441799,-2.244896181197106
hsa04024,9.468059106887173,9.919345579544078,-5.119051187065481,3.6884003813636537,2.716522837179584,-0.2153191372288042,-4.149236570528345,4.1228251528252216,9.217636042803264,-14.109712320977884,0.4956159768997517,-7.939298696022933,-12.39565242440567,4.5178362024692795,1.9920208580412653,-0.6255311417998622,0.03756650027036098,13.791263439768784,6.4036756377716095,15.002399740397927,14.36601159279372,5.769248658220421,-2.456849548844037,-2.0347537037485264,12.992870117388607,0.2536341424367713,2.506104203304875,-2.5628433254279788,-5.92686331013723,11.440080422280607,-0.29745609512851134,16.85578531500603,-4.23620068128951,3.2923775169217033,2.6373713665670575,5.9018206681553265,4.301094208981121,-4.333384842075406,-9.64609176599994,2.1872362651490165,7.2397284250307825,5.166863417930587,0.07904890301139057,3.053342926310725,6.783451408456396,-6.854267676931899,11.949828208824094,14.654661334106995,8.032136806621175,3.8188935978232537
hsa04915,2.848526614578043,6.442812461139792,2.451661501718753,6.587404381224136,6.47673204329699,2.3877598226063625,-6.465473973407143,5.999479104941687,7.858020689819269,-11.247235547532302,-1.0642790419896848,-5.159228573871248,-6.050733503347528,5.860283363993473,-1.3174547391514417,-3.8344783520143575,1.3271311444149774,14.793589675011775,8.016783487347864,11.415822315978064,12.974486505886201,5.837952400908991,-1.2932427691690953,-0.6236840696646111,10.415449210032532,-0.32212268730484117,2.421558521405386,-3.3681505914857133,-4.982763145236374,5.91595453859393,2.1357865736471786,12.675182234755958,-5.470126214903997,3.2000779276957028,1.4365134064528515,4.985062249837588,-1.4294715364740491,-1.287881059110814,-5.95795150569248,-0.5797919487025917,5.255797919492656,8.152275710740911,1.416220157669843,-2.6511511353460633,-0.5790310473833569,-4.761363438483726,5.120168915863034,12.902372836222295,3.871331085381421,3.25301973340629
hsa00920,-0.5404001896616077,-1.8169865739231714,-3.4339665334773333,-1.2809875724580044,-3.2952487804558834,-1.2862077203184223,5.775188248718651,-6.106701334759101,-1.8848458125996954,-2.229571838528834,2.111460548434278,-0.6693990331264844,2.187495473585606,-4.167725627876556,-0.4374744652456948,4.659528876480401,0.00020863774240463857,-3.687900301679456,-4.972773006806085,-4.11493263862548,-5.430430375178094,-2.7718218055743757,3.0707662939682954,-1.174947966536387,-3.7988838191085637,0.47829456098663115,-2.085115912734249,2.5641405128988546,0.7620017519198268,-1.4197764995976345,-0.02430587208342188,-4.082575050269865,3.015892212205507,-0.47936019426906146,-1.7344102577118008,-2.1169982329517216,1.2801652188933437,-2.3163836844511376,0.2248581821754167,1.832697867825616,-3.3386099101730746,-4.1993806243186285,0.3836853477056552,0.8031967061204132,-0.6062907539428585,1.217970139211378,-1.949402560467865,-4.859804380447066,-6.131427805708283,-2.7430482312878777
hsa04260,8.299356556638871,4.859992668250717,-11.499973979468614,2.530184482890922,-1.3115346333010662,-5.784213720638184,2.5428483555738497,1.4891718298315453,0.6932829130296131,-13.186348798186426,2.082751003200225,-5.675243795002438,-8.196325337345685,1.917335421983203,4.462786922231631,7.512920854682091,-1.7734617059269913,4.382861476685643,-2.9726317564496334,2.819602744730803,0.39005485737307105,2.4712694843943197,3.2704683279147955,-0.5185772871066406,8.738910112386005,-0.5698400328155184,0.950277917866541,9.190754704725734,-3.1283283152162915,4.692272288429578,-0.6059157928156063,5.393595240256413,1.9759915147974139,5.542232586818333,3.088464794308749,0.9462276037603856,11.075864189370773,-4.6119911488898415,-7.073338077411711,6.575706425972522,7.2417922488654005,-6.829450871228115,-0.9654869061904634,8.506533293450202,10.000956323979166,-3.471383974194049,6.076459530310256,9.280299934996918,2.2416466658734584,4.715331634482306
hsa04668,2.4465215585805975,1.0844486013152321,12.387411349400548,4.43693902225214,8.118802606444369,1.686607725767836,-6.811305553965327,7.981620654268855,14.54400683564692,-9.685580204109193,-0.9189368929809433,-5.341383570044033,-7.300051321692029,4.998329640322763,-2.112986611007071,-8.555757244473162,5.981542565420899,7.425013338650864,7.9729349378233145,6.90652761529538,13.385131718350937,7.535231283866861,-1.794623461229672,0.1683961436396378,7.484494008819152,-2.7820271437230177,5.458650781899585,-5.518038093607188,-6.972629627408324,0.07347086427995184,3.8415299724965677,6.791161909168784,-3.7374498046234317,-0.20137099332950045,-1.558988494130888,8.753716846116214,-4.664412631732631,-6.703743525661208,-8.261231972420196,-5.1581459757266925,-3.321532405471428,12.76067181133878,3.8519730174656166,0.0320514276683902,-1.9423598199073582,-6.081431479536764,7.251650476265371,9.599137760867835,2.17159644651314,3.7351747629202063
