,GO:0050810,GO:0006915,GO:0034976,GO:0016055,GO:0050658,GO:0008203,GO:0006401,GO:0006633,GO:0006284,GO:0006163,GO:0060048,GO:0006665,GO:0042278,GO:0016042,GO:0051321,GO:0009062,GO:0043648,GO:0006289,GO:0006650,GO:0033209,GO:0050853,GO:0016567,GO:0006897,GO:0006487,GO:0006914,GO:0006790,GO:0009267,GO:0006909,GO:0006090,GO:0007623,GO:0050852,GO:0019933,GO:0030520,GO:0034754,GO:0007264,GO:0019722,GO:0007179,GO:0090398,GO:0006303,GO:0030036,GO:0000724,GO:0050900,GO:0006493,GO:0050909,GO:0046486,GO:0000165,GO:0030433,GO:0051180,GO:2000479,GO:0048010
hsa04141,2.8956553682816493,1.5337177621572433,14.450161284416328,-0.43872268453799906,-2.1669279245852238,3.576254895143837,-3.757954408068712,4.048134674666541,-3.0858226436606198,-0.3815394619072802,-0.19302171188121195,5.423031694820342,-0.005643338969529036,1.2881004723303675,-3.3304517384569863,-1.4445977724950307,-0.9274540131578752,-5.596355741078005,2.443567033900261,-0.3162283009038023,-1.4234120402605541,3.3384774942706428,0.5037426206095748,4.858004565353098,5.5302070527312095,1.0316134967946118,-0.783498782486158,1.3669218540496575,-0.9954999428378007,-1.0728210529115048,2.8062994032974284,-1.5009596659947253,0.2899442337171595,2.5430336282030654,-2.7368006965936242,-0.24137329097067217,0.8492728234929053,-2.387084539480374,-4.124723953208156,-4.14017248421442,-4.727689976423306,1.5915275757264908,6.462762037706551,-2.3009856556393857,2.9127732133688746,-0.18808528810187602,10.842151872642397,1.3780409728832448,0.19150534942678124,-0.353043871222213
hsa04114,-2.6246473435893556,-1.8002456082292728,-2.629673283841305,-1.2505791533912964,-0.12716509849764834,-4.91228893752948,-5.177420999208623,-4.238838463442016,-3.285198360970969,-6.928523129963018,-2.4815710176954124,-5.717373067878123,-2.0482278753560372,-6.204756822230355,-0.3234040659370972,-5.60155586804847,-5.5428032289517395,-2.7985203534134353,-4.599397637441968,-1.169068743245076,-2.5112569178906368,-2.4758285871886936,-3.835113101213975,-5.194730299361659,-4.202578308786494,-8.25137193614737,-1.5458724242058237,-3.400259525332421,-2.663942167935119,-0.8465676709699095,-2.319405524311332,-2.614632646693556,-0.8267959052269138,-3.072085346766519,-0.13910697802953165,-1.1759113805371073,-2.2738220340961655,0.7395682704710748,-2.6168223743821333,-2.5479391976916936,-4.178680460402663,-3.173004509355775,-5.906294351209353,-0.8736311513268666,-5.419965198939304,1.1223970460476809,-3.624288008427016,-3.621631724901205,1.4652462480015433,-2.115186723835126
hsa04010,-2.8308872937074536,0.30650053002042876,-1.5571090365134865,-1.9338798401245618,-6.11877941452652,-3.8945625899798157,-9.33531289925024,-4.181896206060407,-4.316866542671845,-7.300248683391532,-2.1899520352298647,-4.116607331774144,-2.3956249933069467,-6.0798578149892695,-4.095266287882549,-6.966843713873928,-6.359867544057292,-7.120128833490018,-2.5156198290530862,4.679936234232601,4.14022173803087,-6.621503984684696,-0.948304641411526,-4.512807644193322,-4.599485193363536,-6.6824167078655945,-4.1741077906160395,3.0029660406915326,-2.34929991212881,-3.093265176895314,3.240491822732585,-3.9231035963445495,-0.08063677355787145,-3.043458933062636,2.463656918952736,2.9638257948231046,2.875594359821834,1.293183246637314,-5.61525994098932,1.321048260605055,-7.620830281604359,-0.22539005019987227,-3.5417773873900082,-3.942364953854072,-3.275141010963074,3.524436281355028,-3.7183600950064206,-2.3334760763047884,0.7690169075999547,0.0
hsa03420,-4.463330093682171,-7.551245743700607,-7.054499895553861,-7.299679737322849,-1.233476561314235,-6.683157721305012,-2.108766546042414,-6.284179876675701,12.117471547411983,-7.267929402440399,-6.261377594584025,-8.50744657945181,-2.745664917897577,-9.175580070470552,8.479251839483029,-6.209864329197982,-4.766899731088123,9.864355967897692,-9.466111653552675,-3.516148683622674,-2.894814069597101,0.15689237844333934,-10.329276006650037,-6.794360121996193,-5.92894565377759,-7.077003190731463,-4.095297162933294,-6.863604956523601,-3.038405677504991,0.4703336771395202,-3.794244369796269,-9.241378712943813,1.891269427521661,-5.064167331508737,-4.67334751813978,-8.365966780131794,-5.9345320698622555,-0.5584730256730077,8.20752977239677,-8.676234725618029,8.586608681807462,-9.615665656618813,-5.203548182297513,-6.445113760991339,-10.962686978355965,-4.203209681803673,-5.125406301547765,-5.767719565711723,-3.0419788757575117,-4.216848591810104
hsa04742,1.6254601773809758,-3.2565747796467264,4.62359753530795,3.457378262161455,-3.719774104726421,0.8521732353718702,-7.191409413820764,6.214426870164204,-5.639514469388354,1.2564873059757808,7.112445005027244,6.156652269190227,10.375319797218365,-0.4509510251548422,-3.29894379764665,-0.2282655517851158,-3.8787809624453247,-6.627667063936743,6.29462938585386,-1.8104771846406105,-0.7878529523089938,-8.666353498671475,11.253299106634019,4.920173804460107,-1.7318002598283275,-2.5983287275860407,-3.075111720081426,4.333684319440347,-3.0071645879105793,-2.9815162327329485,0.9840905856596901,25.75743357943674,-1.1851219925979035,1.7867296479845427,-0.5454656037637039,23.6620216981096,1.528065332016843,-1.9540280763784117,-5.863488735737718,0.8375177338186546,-7.899717661066602,24.074506160172515,4.732098453062463,3.1993675784880446,6.259938316805952,6.167102066542865,3.7180652457898766,2.4041327497656426,3.7888133772827133,0.7629405165607622
hsa00513,1.605560196425148,-3.3529336936490557,9.35824137360054,3.0080526864371837,-2.783706884455369,2.6630407953186856,-3.0883580181375674,2.7543000325045313,-3.9192582404755703,-0.7341331937233566,1.593663870505845,8.514926146397384,-0.9322159469397692,-0.18056674876294912,-2.645334276346216,-0.2761646747990581,-1.8938346282631344,-6.148555321941262,3.3216616467379616,-2.4991741337902265,-0.9934378167948033,-7.106577414059891,0.5833465990262678,9.86211665284457,1.3194549457515627,3.419160028910468,-2.2431271163828708,2.836854368372245,-0.9377664530671547,-3.3110854596666015,0.4694457374982578,2.962265200101007,0.10868796617297859,-0.4999997691234478,-3.3943341887872505,2.045664350330633,2.087032070772291,-2.7805766990973924,-5.989522020029584,-5.227180284228664,-6.545483139888512,3.299503995163929,14.851751008802804,1.8004246439579967,3.3674768250383713,-1.57237128750244,10.096067329211577,2.9491265509591504,-1.2219928025868914,0.15151409324644557
hsa04662,2.802622200336221,2.1633889168638643,-0.24343072708410768,-1.11951062079759,-6.0294523244554385,-2.715034110490601,-7.913680511842499,-1.0421874189158031,-3.4732193966967673,-5.658399621704349,-2.1407900354369644,-3.7038191575199053,-0.6253886150330044,-3.5785585077271214,-4.221358260153447,-4.649155744764278,-4.795147904926042,-5.745164774920881,0.9030740274276949,6.100656773481153,10.30274555319963,-3.9402996119226517,1.5682969233421393,-3.504530290814983,-2.2172687389393033,-5.129861667409632,-1.9170471005125251,4.839533121512144,-1.4959663434789598,-3.126882926348313,8.8760228903464,-2.0001422023341995,0.6346687508276954,-2.672840563476877,7.13684698563737,6.2663193161383015,3.101100640862008,1.4393748486186386,-4.677413151709733,7.381324413254835,-6.296818168379657,3.3032410390306364,-2.7600558185287998,-2.688924407614806,0.21311115789166016,7.57065593231416,-3.2253870986235373,-0.4573209502801997,0.4422005081617441,5.631457551439063
hsa03013,-3.453510805686398,-5.730599817169842,-3.3930969914337945,-6.34437621755776,5.984596091214207,-4.476948827138134,8.03728496726616,-4.184267228413626,-2.7693790718701488,-5.896838542115317,-7.524051397530543,-6.080410540719197,-2.3581117565111467,-7.139913697967498,-0.6404016511090905,-4.481490786928496,-3.876840020934891,-4.032447604623367,-7.777831911237984,-3.0249216872395444,-5.1290491415695945,-7.197281160512962,-8.28847685613429,-3.1059550299810232,-6.357543999605928,-6.8339838401989415,-2.657734079664449,-6.379494920340704,-2.5598756096456263,-0.17108761713360504,-2.655485017745863,-8.149205257811245,2.062537728283582,-4.6836277118502885,-5.292972255580141,-7.335728479739107,-5.258196664536416,-3.0126118232165324,-1.8503250570455756,-8.638583058302691,-5.383803880076931,-6.635810851954731,-6.020968347762366,-5.89747205320975,-9.132844421474992,-5.192109790125669,-3.5949259268936675,-4.9987813581505804,-2.344202368390462,-3.5541880227952656
hsa00510,2.0195848696318723,-2.725858147880559,10.864013917049594,3.034937501212427,-2.397204624402557,4.024066003414636,-3.149239016538584,4.991118315521664,-3.810216542567242,0.392344193673327,2.6939336555120166,11.17130812537039,-0.1781728111410442,1.9581043425915556,-2.6153829848687717,2.4458975888107144,-0.6774047076399695,-6.516741600793631,4.892282564699396,-2.714570116967479,0.17043463029349726,-7.545433355216047,0.6700750487041871,9.243529749841793,2.337440414444682,4.380504459777456,-1.9370232541647614,2.7425050978287593,-0.5847909534911392,-2.555240495335319,0.9719330675750515,4.010103494550824,-0.25033648747763326,0.2858528981011832,-3.163839746803351,3.8219245904531043,1.6823677014731129,-2.849370405719855,-5.54703022310402,-4.556736895760794,-6.849373061910947,4.247025826282933,14.583012937452462,2.733634729435846,5.292096251770914,-1.7742622095818237,10.984230873852749,4.544803907883683,0.004483545779588128,-0.5049720093094757
hsa04218,1.2521152837925638,2.0758319512175563,0.6977174883478072,-1.8030228166387616,-3.1742490884539745,-2.752475942866132,-6.792150852120476,-2.610508247545782,0.5954314228024478,-3.4842111933744038,-2.1476597923485374,-4.129951078926893,-1.8232001901392754,-4.150845045781528,-0.5068494455906425,-4.2963466181872025,-4.419567882491616,-0.8361838411097446,-1.1314701886603968,0.9349118547596538,0.872562930229107,-1.7787198551324086,-2.80208269415796,-2.552448737684948,-2.825324664360212,-5.146487137287597,-0.8831261277000598,-0.2388195258678254,-1.1292930374446657,-0.152577602868082,0.45195174857021475,-3.043443305183145,1.9696469957827922,-1.4719034397683282,1.1905926383698813,0.5359259430770709,2.670588825855147,2.0174473751951183,0.03342358439353613,-0.7332701849344041,-1.0109578724126627,-0.33929352307959243,-3.507064029852975,-2.4517591015112754,-1.6370250763816918,4.367640895480887,-2.4736151915431344,-2.3738695280165656,-0.134857238912179,0.13068947544159465
