,GO:0006805,GO:0006511,GO:0016567,GO:0031648,GO:0050821,GO:0006821,GO:0060271,GO:0006890,GO:0001578,GO:0045022,GO:0003341,GO:0030509,GO:0001666,GO:0006887,GO:0042147,GO:0006479,GO:0030032,GO:0051017,GO:0006979,GO:0097191,GO:0007218,GO:0000165,GO:0009411,GO:0006367,GO:0006919,GO:0006413,GO:0016579,GO:0032922,GO:0060395,GO:0019933,GO:0046777,GO:0007005,GO:0051259,GO:0006997,GO:0007179,GO:0006364,GO:0007219,GO:0007204,GO:0015914,GO:0009615,GO:0016055,GO:0060326,GO:0034394,GO:0044319,GO:0007031,GO:0006606,GO:0006470,GO:0006693,GO:0007229,GO:0010498,GO:0045104,GO:0007029,GO:0043627,GO:0032148,GO:0000077,GO:0008380,GO:0001525,GO:0031532,GO:0043542,GO:0048010,GO:0007265,GO:0002218,GO:0033209,GO:0007249,GO:0018105,GO:0030866,GO:0070498,GO:0051258,GO:0060048,GO:0007051,GO:0007030,GO:0009617,GO:0001676,GO:0034067,GO:0006611,GO:0006816,GO:0006888,GO:0006486,GO:0042632,GO:0090398,GO:0034341,GO:0006749,GO:0042273,GO:0006695,GO:0006473,GO:0050918,GO:0007173,GO:0019722,GO:0042573,GO:0007612,GO:0045494,GO:0031589,GO:0008543,GO:0030218,GO:0046677,GO:0051216,GO:0000422,GO:0030324,GO:0031623,GO:0000723,GO:0006302,GO:0032508,GO:0007032,GO:0008210,GO:0016236,GO:0006284,GO:0006298,GO:0008286,GO:0042593,GO:0016925,GO:0070528,GO:0010212,GO:0016226,GO:0006402,GO:0051457,GO:0030216,GO:0042572,GO:0032924,GO:0060389,GO:0002244,GO:0035329,GO:0007596,GO:0043491,GO:0033627,GO:0006289,GO:0051156,GO:0007041,GO:0042476,GO:0042274,GO:0030317,GO:0019882,GO:0048013,GO:0031929,GO:0080111,GO:0031032,GO:0048255,GO:0042574,GO:0031122,GO:0002181,GO:0016180,GO:0035176
GO:0008340,0.8825222313541131,0.8796167054712103,0.8652048163362535,0.9274735731918222,0.9600590620293009,0.8619100793361377,0.8876671412520478,0.8118432853124613,0.8211268582544567,0.8214351037657506,0.8467202317903486,0.8143228320663164,0.9360790337777535,0.8091202390255975,0.839537721619922,0.7779332085305596,0.8405443624081408,0.816037180315721,0.9032336258124278,0.8835316238199042,0.8276043809584867,0.9303934220805781,0.8423289397531692,0.5800132741091715,0.9401932097080087,0.6563534036473931,0.8972285681621363,0.8019356360288148,0.8144579561204225,0.9013172196601507,0.9120068287173195,0.8766119377177111,0.8833800032978406,0.684889402327438,0.8920942008242344,0.5565830198495639,0.7894371150433249,0.8460391412513893,0.8364431798226512,0.9356423225722561,0.8216920629944344,0.8626395641439082,0.8844993616526388,0.8757190549918528,0.7000591730275456,0.9227057696415318,0.9114623546529156,0.8387389283221306,0.8666419231037712,0.8727415394076475,0.7866176738233758,0.8282222748110971,0.8390869019439138,0.875096739969214,0.7824754392553076,0.734768642411373,0.9214531659100873,0.8933959802023199,0.8975560624399138,0.8044975881930394,0.899849976742631,0.8016860787322259,0.9142137650181676,0.840346730405318,0.9191819513343578,0.811162380047624,0.8387330627674099,0.8105452006643487,0.8674217715945495,0.8108629751606111,0.868947103930685,0.8920183605277032,0.8035651703470533,0.8516619342099588,0.8959983504809224,0.838688980307878,0.8476967918683468,0.8103923165746503,0.8354369430830726,0.8592624525847922,0.9067772181650274,0.7905485010665695,0.5826927436056708,0.8328879456636317,0.6984481310756366,0.8418907283926322,0.886578287160374,0.8468666144367875,0.8356594120792534,0.72973272974911,0.8812728357358269,0.7353466305970792,0.747314332462267,0.9071680357856932,0.8776465840707927,0.8699831242542245,0.8196279460464961,0.8180394571172476,0.8610841854525444,0.7735423614433722,0.8186024086003152,0.7384720480443693,0.8490355794841226,0.8030388092251615,0.8362576533780787,0.7889212221916688,0.7243631881714436,0.8900845666056612,0.9261432868981249,0.8360794393685668,0.8407321014850654,0.8235830199785513,0.8226201916663285,0.7472330109489578,0.7679069906711925,0.8918278169195052,0.8026410174895089,0.717621802836742,0.7295658275511868,0.8018583202305032,0.7413234333537425,0.8182628794508254,0.8661072863985908,0.7404370374522854,0.7593845564804017,0.8795703073527953,0.8233569792560004,0.7953381380550117,0.5120735590440779,0.8215836224823008,0.7121057686180706,0.6606311173246602,0.8174225047215244,0.8352098266842994,0.7775334318793268,0.7719865350627015,0.837265658614025,0.8881243310359778,0.49236236333852645,0.5945213674448714,0.6463105697142816
GO:0050821,0.8281436889636153,0.8807532013839366,0.8919153872992865,0.9108324943630693,0.9139397291320571,0.7743899225220905,0.8430004194889735,0.7079866739039529,0.7726603339358362,0.7552163015897261,0.8267101777034439,0.7371194856635567,0.9005110580062106,0.751658850252933,0.7681966423104709,0.8221080904850873,0.7715295790009811,0.7122317804814525,0.8681835196277446,0.8061762161054034,0.8025612492554878,0.8766696869949264,0.8685499276717785,0.6009524843132636,0.8713407027866921,0.5936670393000499,0.8627168566727017,0.7851646628173675,0.7880310286715212,0.8711769988566288,0.8397604461022545,0.7782838935691672,0.8510449371300911,0.5821488002402521,0.8199827573901118,0.5044846105716079,0.8007304725976475,0.790670034206615,0.7270852721691331,0.8950396773111639,0.8062094526107159,0.7925434030372165,0.8214566994627228,0.8318191352953138,0.6915162863882564,0.8508723321851693,0.849297902448302,0.7611581892591321,0.7628376096181391,0.8737878103042498,0.747049430562181,0.76396526935287,0.8447412902193744,0.8080896799046625,0.7846950121308744,0.7302279331869885,0.8607792803592325,0.7981082170954857,0.8143236338303435,0.7095862425408864,0.8506728617028735,0.7689929186380818,0.8578428779626955,0.8024652229211706,0.8676798605686357,0.7255154562274018,0.7988409522153349,0.7134828118266316,0.8173549118148831,0.7854498726125652,0.8073987612678702,0.8069909251574128,0.7366505369362705,0.7806231685626208,0.8364253364150338,0.7709403909401246,0.8016880019053313,0.7578114577465991,0.7741846062967002,0.8178416262300979,0.8633122119673174,0.7333710779297973,0.5266983194059847,0.7481824106966766,0.7229905355729437,0.7812798106322334,0.7984335697948185,0.7828581545283733,0.741259368626777,0.6526858514774265,0.8286423439016599,0.6583851267860145,0.6851638164421773,0.8805827506500251,0.8430614989065441,0.8156298272712986,0.7584297876170034,0.855490474159765,0.7607406826508418,0.7902977223665475,0.793859778933688,0.7240814310441884,0.7590500503892074,0.7399228926477804,0.7697382964994407,0.8071127248850253,0.721795366592641,0.8192799559535521,0.893761860863538,0.8104184232945455,0.7887541649821743,0.833947877407422,0.7353994297911408,0.7379039174426176,0.7397771352563314,0.8258688236545433,0.7233003855417259,0.6253298191102967,0.6347143220473713,0.7397422528989117,0.7239775194167131,0.7495953944321129,0.8007032539604457,0.6727554486835502,0.7768156235885862,0.8320567669447906,0.7770983623914876,0.7789548499656611,0.46335801804679017,0.7860409118570346,0.628528265814858,0.5904900910201847,0.7415176484256325,0.8371904199642017,0.6797620569137048,0.7676975638868778,0.735964535698476,0.7994596216165344,0.43201647657828834,0.6423019659987083,0.5729304487569769
GO:0009649,0.7403813040024688,0.7819085524837407,0.7878386132971367,0.8084667226509326,0.7787640808254239,0.7041940628168929,0.7377823731941926,0.6242746375064397,0.7492776699993393,0.6212326083293854,0.7683110417852598,0.7057442004320985,0.8485387410252083,0.6168862819449817,0.6662087921089496,0.6485501775552506,0.7025921140337066,0.6684286760289763,0.6695498940085923,0.7516352835214627,0.6940807798999695,0.7499871296184111,0.7159403857045592,0.4828934236055789,0.7867379442841859,0.47974688857471093,0.7459634473502654,0.8218196015490188,0.7619068536815733,0.7460290082325697,0.807054816645087,0.6381534603222222,0.7034461003074862,0.5038061961504645,0.8039867426801826,0.4040032516068144,0.705859345606273,0.672050953321458,0.6237030960348562,0.7719092028524819,0.7897731046534358,0.7556674148582789,0.7577648712677466,0.7113127873735916,0.45521421297168047,0.7905701140578326,0.7888189242136763,0.6768485110417356,0.7178984208143816,0.7556087435184123,0.6680783845918475,0.6317028214522591,0.7373141526663987,0.7366697380831485,0.6769439143264693,0.6001314167157059,0.7759279128798233,0.7626128227234369,0.7771287937536788,0.7191172614655146,0.7957407054144133,0.6631221141229418,0.742003012959262,0.723341138795793,0.8352131073964627,0.702215797852556,0.7378530172206386,0.6106869456023145,0.7516745160298619,0.7130308283410725,0.7066497806600096,0.7543363499277557,0.5645906684742268,0.704044839180157,0.7351219617319039,0.6986954720754366,0.6488104353490892,0.6301961560978034,0.6941890702898529,0.7549343022804199,0.7548971525127924,0.5624651823701727,0.4264331641255157,0.581497190142488,0.6820713676289613,0.7283802469293885,0.7622346886073262,0.647814796368659,0.6629423993337745,0.7090745208442762,0.7696066323489226,0.6597744884673491,0.6333244144661749,0.76468502357228,0.7470654561545094,0.7669460155938637,0.5864082044560177,0.7502571018913512,0.6950919684181277,0.6381963745030536,0.70303450481785,0.613777361597636,0.6430002829220192,0.6123503767607602,0.645821095462018,0.6580770780767302,0.5804836738408616,0.7923791782232382,0.7959438361431165,0.750081137552821,0.6930506062368997,0.7346788328454814,0.6414425575970804,0.5977349924492519,0.6368671495414477,0.7420936503881691,0.5845352564381052,0.6225612507442259,0.6452076724622118,0.7038171903342296,0.6941430358194773,0.7077743552964421,0.6906926912550301,0.6657158909799675,0.6101297275892513,0.6833715037138631,0.6854098073543605,0.7003192097709866,0.3463942180246139,0.7878461295240946,0.505512286590752,0.5976029913618526,0.6664078638466735,0.6977146530217433,0.6658279774283747,0.6525464380175171,0.6302076728709346,0.7579691161648521,0.32950219902854283,0.5971003498930365,0.6417958056893414
GO:0009744,0.8683303533573369,0.7809031667615649,0.7653665819419142,0.8413227566072835,0.877075685143902,0.8634759808065099,0.8104619488678372,0.8185224530994745,0.7031633320652939,0.8007257534748444,0.7647134612083445,0.727685476128649,0.8376053759639018,0.7938001109519046,0.794384305849259,0.6636501269905484,0.7748970041888703,0.7837574676624112,0.816953980999849,0.8232523357767141,0.7991730158508482,0.8321199202161654,0.7003782899205746,0.3976064436338328,0.8722212568076745,0.5088410585822507,0.7731005925570654,0.6471715661219749,0.7032959426468456,0.8028552026811239,0.8196586064797516,0.8282042774985492,0.7847724688297911,0.6468852099801545,0.7963893723149219,0.42130140595952026,0.6390405616315276,0.8403742920459669,0.7833114082045991,0.8254357051447828,0.7578455738484574,0.810796129186957,0.830503152577525,0.8034110503996656,0.6995900064616278,0.8148441048803657,0.8311570399070203,0.8066630296014595,0.8360605583024033,0.7856950949960307,0.6903648076095531,0.8307886936080332,0.7070264776343462,0.7987102857879296,0.6133452389836883,0.6162557082314027,0.8647703671362449,0.8188343154616021,0.8589090613369219,0.747989356198051,0.7666902735492784,0.6458216668397745,0.8271741473701301,0.7285693985938532,0.791480134474203,0.7488269744484254,0.7226373753924489,0.7423792177556564,0.8312273453644187,0.6819172486380856,0.835655704999125,0.8477365821921797,0.7895613732231066,0.8087046073019449,0.8052682616734628,0.8444200237236398,0.8388152993549579,0.7882678500850587,0.816831657642546,0.690227416564642,0.8571993677261255,0.8099832751130029,0.4439077050217599,0.8363544223319701,0.5372802391445335,0.7976599976417001,0.8271731204246614,0.831541385194382,0.7982365341238377,0.6624514542242752,0.8317514153066956,0.6937140695031894,0.6426635446659834,0.7975614232681902,0.7850288223520597,0.8199366920400829,0.7404371926111761,0.7281946790218942,0.8431960467603014,0.6187623333173309,0.6635282272847257,0.5802617658482361,0.8055713057803621,0.7759527902450429,0.774267119123265,0.6133287681722065,0.5747487566874612,0.7977290428457953,0.8542004097424283,0.7150052302630585,0.7964216863058269,0.6835282672883107,0.7730683439054442,0.6339771562972497,0.5818787221807221,0.8334762113388966,0.8009791182095356,0.6346930232977485,0.6546004339588415,0.7222302951353342,0.6487184135406447,0.7694647737462423,0.8146463064747919,0.6952247904533694,0.6140157268641889,0.8252341470506748,0.7414784101561613,0.7275192204278099,0.3956369573695765,0.7634112727263581,0.7280279511728566,0.6459722140286215,0.6849361933710888,0.7485870755688291,0.7489979833852238,0.6262337383713028,0.8352962461580045,0.8105473223939341,0.3765774868420153,0.4830091476466316,0.5837551097519829
GO:0006342,0.6356515877899812,0.7224622723918576,0.7496805054273256,0.7253500215056196,0.7473291476134369,0.5020500775811158,0.6451435778336527,0.4185764319349944,0.6696625891223361,0.4800978080508702,0.694946151896779,0.4880831650460955,0.7626088818408286,0.4798826631718715,0.5117947856665276,0.7253357525503384,0.5506938673197865,0.526018795799204,0.7186477466488176,0.5429722935420312,0.5387755210605493,0.7131816039390231,0.8383945590530657,0.800685300577201,0.6553924933392283,0.6527615424915647,0.7794906770514726,0.8386678068454819,0.6190469962924181,0.6583530831012553,0.6428228287903454,0.5773614723872057,0.7009943429780243,0.3687852050050293,0.608287839510021,0.5763862188653007,0.7355213514419743,0.5073634036815653,0.5472663488689552,0.7689333045255999,0.5586420687884942,0.5841402698833335,0.5540354327931704,0.5875069554973442,0.4841144527622711,0.7731677013814461,0.6130539294708593,0.5817405220340147,0.5104185748486693,0.7006896692477114,0.6110433926181005,0.4835360614265195,0.8025317502684068,0.5522638911740538,0.8477683120562777,0.7617595307997322,0.6291056259561324,0.5658137544454354,0.5697726863070042,0.4811326314296704,0.805956718720298,0.8463373829785658,0.674407546307949,0.6312352133646418,0.7298254401328859,0.5006822968181396,0.695136756052749,0.5496267059545086,0.6402495744001113,0.7076890113557995,0.5538544342840573,0.5551448953996576,0.4924006106000655,0.5237337807015722,0.6541362239517649,0.4644832431065808,0.49836969294939076,0.4739843655634218,0.5042102656104325,0.8725710030186228,0.6850569546115128,0.5231366667680366,0.5815097587020661,0.515286981768469,0.8660425982927482,0.5210602992128321,0.5653638549651957,0.48543764967213554,0.5168357601386635,0.4280795705796635,0.6186263309923967,0.3947722292995082,0.5698761016446322,0.794269665427647,0.7104682669698734,0.5515239523687795,0.5010764350543198,0.7283506774046243,0.4598792269317777,0.8647318803101368,0.8673431158461098,0.7888880821767833,0.5267186774100832,0.5070094480463371,0.4760938540745584,0.8602792267971416,0.8313681037468014,0.6389326740291147,0.6818855630249471,0.7341940204949663,0.5363474320803773,0.8501188057092451,0.5258055242640362,0.648186115804977,0.8706812373166006,0.6910757977987164,0.49176420788119407,0.3889520307055711,0.39218574878294093,0.5377662217134455,0.5966349619186688,0.5671429357997897,0.5769698645001484,0.4165850513880382,0.8222347530449943,0.6222005882461663,0.5234417616257218,0.6297731243346523,0.49668356484120507,0.6403170164682775,0.32516120612842875,0.36810338025052647,0.6350623787747725,0.7881061767303258,0.49854090062300105,0.8031496488277245,0.5316528414280222,0.6612785032820163,0.47379799865083566,0.5840597980658963,0.3456928375705609
GO:0006402,0.5303684303722196,0.5864033902176219,0.5895078749109207,0.6301449213561224,0.623115291007165,0.4502840262090736,0.6022946102117384,0.4113911154954023,0.5676050207022547,0.4754293178566592,0.5612183843176669,0.5179567400939169,0.6206527466043915,0.40181077056747366,0.4555836971302889,0.6706986759842866,0.4989700893262616,0.479594060401674,0.5731808879950087,0.5437115986061158,0.491892341164693,0.5813184187237426,0.555727927975608,0.4474121606025561,0.5531175893421905,0.5574828774489645,0.609231872615675,0.5768323119443766,0.512172370282401,0.5570971311932414,0.5726832228739106,0.4958334356225081,0.5931630426844439,0.42895257440810497,0.5268644615742604,0.3737025809054869,0.5300919604201659,0.46496738931409376,0.4762516850738619,0.6413856290483273,0.5548485673200102,0.49861497870800836,0.5469539745780734,0.5473389401805714,0.4846187749720313,0.5951241707451856,0.5572357089434397,0.5040087330729506,0.5096398590556859,0.5718293311349789,0.5453141184137499,0.45551510359881087,0.5618031061055249,0.5153046121023899,0.525329578720443,0.6268814492921813,0.528084328049979,0.5127557609019073,0.5757522874139085,0.4418854265022662,0.5671774656754567,0.6066943017790983,0.5918483029913212,0.5296780160989121,0.6191669421234993,0.4824356940702626,0.5339419241762964,0.5173335686958827,0.47765258674086825,0.5568007464189205,0.5037514169441768,0.5048626862124558,0.47211958875919874,0.5201030062810447,0.5936555579861236,0.4340455901413771,0.5095392547680736,0.4781009816586747,0.4781560806112853,0.5689734859729859,0.579612281671096,0.47564547330808327,0.4107745991662401,0.44631169641042395,0.5065160222875504,0.4590551534230191,0.5519885283102728,0.4447298873966224,0.5154393912489548,0.43888809845535537,0.532480603678306,0.39237010775109854,0.44654191137386895,0.6014206128089294,0.5634455811321014,0.49324206242899193,0.5014706188455224,0.5691215161734582,0.4607210500646352,0.5725904954528931,0.5532694244531624,0.5762430281888792,0.5044669906061803,0.48109198522893704,0.49101758408977847,0.5403050022008635,0.49162056754200295,0.5256742759861982,0.5770257013237712,0.5027303842901971,0.49613475878774393,0.5718003452524598,0.4920269311894018,0.7607612944841576,0.5311822127920008,0.5369698767887386,0.45670943074305065,0.41817348379966873,0.41197573204554155,0.5091128639619881,0.5141509065944148,0.45777952908092806,0.4665725395047891,0.39616522159142,0.5090099857899683,0.591763326156368,0.4369400466764461,0.525466537175079,0.32998179958852647,0.4980771511833931,0.35867469467890783,0.3458240602826781,0.6262571464122683,0.6178549306263657,0.4162742004498819,0.6904721223326216,0.466029830952255,0.5744171212917323,0.3037326626256667,0.5458791014156471,0.3837266903640603
GO:0033227,0.7976783731874703,0.7945064203192473,0.7791238867128298,0.8544678817699242,0.8729015611094755,0.8346934698390361,0.8911012958525568,0.8654238028628262,0.8444127508057806,0.8815190109508926,0.8430380112213908,0.7637475209276219,0.8226472318331758,0.8271783304262124,0.8873183344646266,0.6937587839725379,0.8452060732658186,0.8001401177588666,0.8100249343296758,0.824169986434885,0.8082255902654409,0.823888951987491,0.7359799011306342,0.4316548055076792,0.8648329509379628,0.6203721751791808,0.8203477743117619,0.7127434802327633,0.7051085124362442,0.8209095928931818,0.838839564946608,0.841695685765377,0.7989085924648816,0.6931493288881286,0.8110593597560615,0.5008762751148484,0.6371805974389033,0.813853802094396,0.8239427248448914,0.8460030979308227,0.7844314386863583,0.8105590643947761,0.8456217107740817,0.7994782590144727,0.6719601915157764,0.8533934020460703,0.8473385430767949,0.7771063995986035,0.8093300358752609,0.812227820579427,0.7548084353934701,0.8463212275198636,0.7047781341137425,0.7922631449878149,0.6679548979774864,0.6608172953332313,0.8499799654904866,0.8521544106355424,0.8360178280640607,0.741081740248702,0.7836231325652551,0.7012354564214338,0.8222164714584398,0.7758713765807028,0.8428933987853436,0.8368162733081324,0.7373455328856292,0.7530669124138333,0.8265649000409628,0.789937338924952,0.9284920036433119,0.8425901870272922,0.7817940567714348,0.905313300802099,0.8411415400530443,0.8342184735240116,0.8968361149610999,0.8207666785275046,0.7883176994341793,0.7306344177653444,0.8297192413980097,0.7339573358545111,0.5332623894230902,0.8318983185137507,0.5291165218775321,0.778063697390413,0.8304197630523703,0.8173769630716801,0.7714844973182151,0.7428498231414987,0.8306456277468129,0.6787592099073884,0.6776950716628013,0.790140654176318,0.7604885326039265,0.8340349734970325,0.7855305723220182,0.7415343497716764,0.8477267005073624,0.6564900836416051,0.7309418702614002,0.6669620289746707,0.8972264440922286,0.7199241840653561,0.826659644532113,0.6888347394787229,0.6101781919439399,0.8008074253420605,0.8447301057587947,0.7428295104765335,0.809576831699679,0.7282273074157086,0.7785829403614263,0.6723800743916668,0.6338519826306078,0.7847885871458622,0.7413360620743972,0.6638971720567345,0.6761315541176175,0.7141147848181318,0.6753867243168447,0.7528090431436515,0.7557635488824803,0.6938523418367355,0.6620969703136893,0.8162621742250546,0.8131470373661712,0.7496504624184734,0.44270740955842736,0.8020278845256492,0.786580692005419,0.6027430536351143,0.7550440541054171,0.7586987944933992,0.7890230696602122,0.6775772771220758,0.7835625902136526,0.8489713189869957,0.42609218828937784,0.5541374505634653,0.6728239778632366
GO:0030707,0.8351350979546767,0.8963472938954091,0.8822334691124812,0.9102619523202089,0.9248697729787246,0.7985387897626243,0.8844230077968062,0.7514709831878016,0.8549155835773965,0.7764233735368015,0.8629148565377066,0.8375942486605926,0.9505770003405888,0.7777590046105997,0.7988671957689245,0.7905920839279509,0.8492711137752327,0.7917502787780413,0.8232599190799622,0.8812657386289836,0.8186430359310554,0.9157596536424734,0.8416568598071541,0.5879881714293151,0.9159252855842644,0.6263064033637878,0.883224570584236,0.8413055407403208,0.8583513474728376,0.8820317290532036,0.9334837200205511,0.7795359059048352,0.8417535288953285,0.6569931112870465,0.9093161183624793,0.5035248102545049,0.8505611747567031,0.8170605420100956,0.7641671002943566,0.914597846424801,0.8806763322386174,0.8895458611586599,0.8909557078740511,0.8784689818394854,0.6126726677283503,0.9152417244694186,0.9254517459242493,0.792283989592505,0.8475053713089442,0.8577309908979797,0.7900621569733691,0.7547134676218438,0.8545613196528675,0.8843551016677956,0.7950074808033789,0.7362937904458924,0.9090171164353097,0.894312690674999,0.8879515703479366,0.817692058267466,0.9002738780266205,0.7932238551082252,0.8993224429048373,0.861634148239653,0.9481407415619599,0.8445862854034423,0.8600534758819127,0.7561079903696486,0.8612427668602832,0.8498615428582091,0.8442005850136576,0.8789319155636001,0.7016631259396952,0.8402844961144365,0.8745735284816842,0.8193060193115504,0.7972665810039512,0.7554237091380057,0.807217488611691,0.8595159948342983,0.8806157504671842,0.7078206918600906,0.5282448572545446,0.7348196608763363,0.7336103191722897,0.8515892640486383,0.9097070350951729,0.80290269187771,0.7971626908081577,0.7991638717923856,0.8804225051801682,0.7613021409598083,0.7646902611080615,0.9009501935489339,0.8817439544395511,0.8871370699185276,0.7548072774698942,0.8679464286585926,0.8316804889132487,0.757638990959892,0.8177698573838544,0.7331716395706639,0.8198102075143943,0.7419848061775665,0.7788851400972069,0.7816677014992606,0.7140697581645207,0.8978951688235665,0.9260570705477938,0.8143488376933607,0.8334163478154502,0.8377116786371402,0.7592367975477797,0.7457404990208941,0.7713458909927743,0.8830111907168204,0.7264310784610211,0.7387142686312406,0.7610941937457656,0.8338220640140211,0.814797321689174,0.8031659221821915,0.825360541807698,0.7645725925739861,0.7487494049681169,0.8197475358687074,0.8220673710516933,0.8260986270854564,0.454367559466086,0.8404102813497145,0.651363779474285,0.6530056185964896,0.7765496649592949,0.8203559854879321,0.7793867247337779,0.790967998947214,0.754275968935674,0.8962296860528279,0.43353591223062415,0.6677357686066328,0.7166881596193019
GO:0042593,0.9047425093558253,0.8349982464133248,0.8186315911540951,0.8935000888267715,0.920091172828782,0.8577334051598512,0.8424192644207051,0.7745865764402884,0.7470029522022632,0.7753101272337667,0.7756870718718402,0.8092745812909944,0.9130124409260223,0.8060114476387727,0.8143535605458772,0.7396401623224385,0.781129531090627,0.7882731732893019,0.869518509806055,0.8763306366318735,0.8370025240353931,0.9119853675509462,0.770005273461512,0.5438825553190417,0.9083101671048628,0.5830699806516983,0.8394181631769043,0.7259597754338187,0.8073738510085487,0.880345674530762,0.88540145401506,0.8104550873072972,0.8222677302691829,0.6724116955489161,0.8833438521752481,0.5195152941174316,0.7829057658051879,0.8724113279593976,0.8208147491681769,0.9036900528581782,0.8053900480313065,0.870608098268624,0.8838603548966397,0.8736744590706377,0.6955257725744308,0.8684465471150732,0.8732490663707613,0.8551329395111871,0.8831583785608496,0.8323839259626066,0.7530593052147938,0.7942920809699714,0.818757630741895,0.8843485677860883,0.7114975669282292,0.6846620996782031,0.9194242744106776,0.8827224057886504,0.8914181077952791,0.8079871567428297,0.8532075902059653,0.7276177456095079,0.8941877169249,0.7924072203122867,0.8593978377291662,0.7711528393828656,0.8121421775487856,0.830135246226978,0.8683733351958272,0.7348509740291698,0.8234445982678346,0.8823905078551979,0.7893114297637208,0.8059261173686892,0.8442282404282828,0.8520687569880031,0.8336403289367444,0.8054540263529059,0.8402342318190902,0.8054449944511727,0.9028602593515407,0.8244219570756707,0.544683353658403,0.8298497715507234,0.6660801407001385,0.8634290791192941,0.8639770123666592,0.854348876577041,0.8338074594826173,0.7249594220607043,0.8518545834343144,0.7549901515347915,0.7409127932464481,0.8867070978255088,0.8744954820273766,0.8724901919733609,0.775575516489269,0.8016988975854686,0.8528538197714307,0.7135588486073158,0.7459485607356908,0.6577661955208669,0.8135411353429345,0.813949101737013,0.8214117938943529,0.7155469946028058,0.6510173602286432,0.8869606723963721,0.9145087176271444,0.8040623193302363,0.8471293605028887,0.7604095211930066,0.7676179059219386,0.7070878550871205,0.7133024144564994,0.8848845395113569,0.828587257434165,0.7262946844439082,0.7345836848481501,0.8076627112035363,0.6776535744132741,0.83540939482333,0.8853850559359225,0.7588991523089923,0.6815910109095078,0.8562647632762155,0.7844074992943957,0.793545861292742,0.4846323780508002,0.7616871043195866,0.6762462887710479,0.6886658611403205,0.7494899690584768,0.7977417467645215,0.7519595007935446,0.7304121624931279,0.8230868219272751,0.864150495222644,0.47309579435545135,0.5545859118189809,0.6486983604384293
GO:0006979,0.8839888350729546,0.8667885930623259,0.8507018927596067,0.9218625598221396,0.9524900382040167,0.8691730115226154,0.8612326039001991,0.7927295899125809,0.7862128214703422,0.7979594588591375,0.8374788153867669,0.7747797206655,0.9184588759427633,0.7866550519476542,0.8052512846513816,0.7829148958260005,0.8066385583402292,0.8145396853753414,0.9104147198792129,0.865273688953667,0.8069981310922743,0.9090546572541626,0.822434388453183,0.5449902663354519,0.928646623910352,0.6573062127933651,0.8909540970661797,0.7634366042066264,0.7641683431426917,0.8788876804719842,0.8881514630728513,0.8826764790821562,0.8626166061354775,0.6704019990940832,0.8479542492186092,0.5625859974950546,0.7326638191291501,0.8355218154415384,0.833647799326297,0.9317968094595709,0.7857875981949773,0.83371519986233,0.8584209763422764,0.8516229710327513,0.7014950371267066,0.8990286442319613,0.8877676039620028,0.8277246258135667,0.8462704946888767,0.8681842145805606,0.7675205548839011,0.8242646113276995,0.8228725206381525,0.8347698616376578,0.7504054690881249,0.7433276700777033,0.901084109503056,0.8692992669238185,0.8870143037298078,0.7739684815950906,0.872071373377674,0.7938243241566046,0.9024643278871626,0.8068822037362836,0.8918209339601154,0.7759332523998235,0.8111515335115334,0.8043672934618133,0.8516005276957884,0.7759068315752545,0.8403189833301242,0.8730145671761074,0.8114994647709928,0.8235028295622333,0.880120427233451,0.8319754342991784,0.8334384044204727,0.7983510099909121,0.8182631578595578,0.827186076274128,0.8970401595343049,0.8024696016454989,0.5860761774151005,0.8361892475220105,0.6595125010618957,0.8196583297858583,0.8551406231964129,0.8278668243552382,0.8267425273655808,0.6954875283750219,0.8617517805994069,0.7073808065275817,0.7072804133034559,0.8967618310531961,0.8534599274635837,0.8365302858972422,0.8227105075381432,0.7834822294900322,0.8442271579248039,0.7624790671718096,0.7937600989981801,0.7324562108750758,0.8129354696571816,0.8060961398233768,0.8401516340129644,0.7723937423167654,0.7085839382742276,0.8612481794058532,0.8995807786239325,0.8260849805337969,0.8133687389115084,0.7988859866049305,0.8229513361962425,0.7580100695277686,0.7378162992808728,0.8718650746010226,0.8035874089461075,0.6679459641408648,0.6820193823210619,0.7693807890122369,0.7050827728481933,0.788147977824339,0.8536291540002112,0.6961402386427455,0.7455358434706043,0.8861701218026286,0.7877375445743477,0.7531672309222894,0.5259749992788764,0.8191417970401346,0.6935919193626678,0.6469560394448328,0.822140580617856,0.8373212020331589,0.7681358609292297,0.7723575994573072,0.8359840378534404,0.850401716192062,0.5048256800873706,0.5677800482156308,0.6204121917511672
